,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,75.41,75.92,75.12,6928133.0,75.81,75.576925067282
4,2013-02-14,76.3,77.42,75.96,8013214.0,77.05,76.92278814134299
5,2013-02-15,76.72,76.96,76.215,11167270.0,76.54,76.51038692078069
8,2013-02-21,76.28,77.2,75.9,10305115.0,77.04,76.71109422006207
10,2013-02-25,77.06,77.67,75.92,9970631.0,75.92,76.68130879889317
14,2013-03-01,75.7,76.72,75.56,9601420.0,76.49,76.38844527547172
15,2013-03-04,76.25,77.53,75.69,20058300.0,77.43,76.83537697776225
15,2013-03-04,76.25,76.68,75.97,7632002.0,76.68,76.36038946645736
18,2013-03-07,77.22,77.49,76.78,7111315.0,76.9,77.08447051707175
20,2013-03-11,77.02,77.5,76.891,5387106.0,77.4,77.28370062935863
27,2013-03-20,77.29,77.82,77.271,8615706.0,77.58,77.67434507697443
31,2013-03-26,77.02,77.5,76.891,5387106.0,77.4,77.28370062935863
32,2013-03-27,76.98,77.14,76.38,9547693.0,76.38,76.63659870410297
34,2013-04-01,76.85,77.6,76.07,11973854.0,77.18,76.84889787041188
34,2013-04-01,76.85,77.85,76.73,7268049.0,77.7,77.53907706240643
39,2013-04-08,78.12,78.88,77.88,6284447.0,78.79,78.52858937954171
44,2013-04-15,79.79,80.84,79.6,10877312.0,79.65,80.46961953029765
45,2013-04-16,79.83,80.21,79.37,9366412.0,80.1,79.77042950276336
46,2013-04-17,79.98,82.0,79.83,19894992.0,81.69,81.46885187168338
49,2013-04-22,81.31,81.59,81.12,7530605.0,81.4,81.37109124528584
50,2013-04-23,81.46,81.73,80.91,5460057.0,81.33,81.24835482228175
52,2013-04-25,77.67,77.67,76.35,14703010.0,76.58,76.66534804649491
53,2013-04-26,76.72,76.96,76.215,11167270.0,76.54,76.51038692078069
55,2013-04-30,77.86,77.89,76.6,9655684.0,76.77,76.92576225174537
58,2013-05-03,78.1,78.46,77.66,7884967.0,78.19,78.03774325014933
60,2013-05-07,77.98,78.2,77.27,9574192.0,77.94,77.60491238443038
63,2013-05-10,78.41,78.595,78.11,5865449.0,78.38,78.3108353385336
64,2013-05-13,78.51,78.97,78.42,5420181.0,78.59,78.78788278923814
68,2013-05-17,79.91,80.04,79.31,5077736.0,79.41,79.54701890576743
69,2013-05-20,79.98,82.0,79.83,19894992.0,81.69,81.46885187168338
70,2013-05-21,79.17,79.22,78.22,7377650.0,78.8,78.48272753745228
72,2013-05-23,78.27,78.42,77.44,6743818.0,77.75,77.75120393903777
75,2013-05-29,80.16,80.25,78.87,9992413.0,78.9,79.25434226840149
82,2013-06-07,77.44,78.28,77.27,7839474.0,77.75,77.96351869336344
85,2013-06-12,78.64,78.89,77.48,7834172.0,77.6,77.95848506822477
92,2013-06-21,76.25,77.53,75.69,20058300.0,77.43,76.83537697776225
92,2013-06-21,76.25,76.68,75.97,7632002.0,76.68,76.36038946645736
98,2013-07-01,77.02,77.5,76.891,5387106.0,77.4,77.28370062935863
100,2013-07-03,78.29,78.57,78.2,5233421.0,78.53,78.42248130118219
103,2013-07-09,79.07,79.9,79.07,11458302.0,79.57,79.71130044213542
105,2013-07-11,80.55,80.75,80.16,6502396.0,80.55,80.3985771078097
108,2013-07-16,81.32,81.37,80.91,11208513.0,80.97,81.03197002461465
110,2013-07-18,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
110,2013-07-18,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
111,2013-07-19,80.36,81.02,79.79,9306055.0,80.99,80.44579005093019
113,2013-07-23,81.22,81.401,80.78,4311045.0,80.95,81.01782923089296
115,2013-07-25,80.01,80.05,79.54,6073538.0,79.93,79.67005136013732
115,2013-07-25,80.01,80.5,79.69,9366118.0,80.01,80.14264050440268
122,2013-08-05,81.05,81.65,80.96,4662795.0,81.4,81.44377209530158
124,2013-08-07,81.41,82.21,81.38,5828509.0,81.96,82.00937533403453
139,2013-08-28,77.86,77.89,76.6,9655684.0,76.77,76.92576225174537
140,2013-08-29,76.76,77.84,76.42,5961184.0,77.31,77.35170847765377
141,2013-08-30,77.53,78.07,73.61,9039485.0,77.89,75.04505678740195
142,2013-09-03,78.27,78.42,77.44,6743818.0,77.75,77.75120393903777
152,2013-09-17,79.96,80.25,79.64,5458695.0,79.83,79.93257136319534
155,2013-09-20,80.09,80.2375,79.82,5521710.0,80.03,79.98458895614473
156,2013-09-23,79.2,79.58,78.67,6305070.0,79.28,79.08919724755162
159,2013-09-26,77.91,78.14,77.62,4633310.0,78.05,77.85442328886458
161,2013-09-30,76.8,77.16,75.35,15028271.0,75.59,75.98890219977427
165,2013-10-04,75.98,77.9,75.92,11960991.0,77.83,77.45310710296795
178,2013-10-23,80.34,80.67,80.02,6339794.0,80.49,80.34493891447671
180,2013-10-25,80.55,80.75,80.16,6502396.0,80.55,80.3985771078097
182,2013-10-29,81.46,81.73,80.91,5460057.0,81.33,81.24835482228175
184,2013-10-31,81.2,81.6,80.72,7786770.0,80.75,81.14380027013509
186,2013-11-04,81.46,81.73,80.91,5460057.0,81.33,81.24835482228175
187,2013-11-05,81.13,81.74,80.85,4955703.0,81.43,81.3916749377897
188,2013-11-06,81.64,81.884,81.47,4563610.0,81.7,81.6881725670542
192,2013-11-12,82.23,83.04,82.12,8201719.0,82.8,82.77847119088793
194,2013-11-14,83.43,84.46,83.425,7580546.0,84.32,84.2349063170454
194,2013-11-14,83.43,83.6,83.1601,4248518.0,83.31,83.34676412380284
195,2013-11-15,84.17,84.45,83.92,6209848.0,84.08,84.19029370431203
197,2013-11-19,84.31,84.98,84.24,7680871.0,84.69,84.77737875862651
198,2013-11-20,84.31,84.98,84.24,7680871.0,84.69,84.77737875862651
201,2013-11-25,84.96,86.48,84.83,10316563.0,85.95,86.06872286234724
202,2013-11-26,85.2,85.76,84.64,7111828.0,84.64,85.21832069243669
204,2013-11-29,84.77,85.21,84.15,4954483.0,84.22,84.64753720376027
207,2013-12-04,83.38,83.92,83.12,7386318.0,83.16,83.60146465210171
210,2013-12-09,84.48,85.95,84.45,11403103.0,85.44,85.62126104336768
211,2013-12-10,84.41,84.43,83.43,7377576.0,83.65,83.68189208089302
215,2013-12-16,82.72,83.49,82.58,5594556.0,82.82,83.21548701570589
224,2013-12-30,82.0,82.05,81.57,4145666.0,82.0,81.70038228889887
230,2014-01-08,80.97,81.13,80.5,5590781.0,80.74,80.72804997405972
231,2014-01-09,80.54,80.8,80.03,10839420.0,80.42,80.3469587217235
231,2014-01-09,80.54,81.365,80.53,9483939.0,81.23,81.17211776572012
233,2014-01-13,80.01,80.05,79.54,6073538.0,79.93,79.67005136013732
233,2014-01-13,80.01,80.5,79.69,9366118.0,80.01,80.14264050440268
240,2014-01-23,78.71,78.97,78.12,12674650.0,78.24,78.45539162583465
246,2014-01-31,76.03,76.34,75.75,13369071.0,75.91,76.04134399288414
247,2014-02-03,76.69,76.76,75.6,14304728.0,75.7,75.91059121613407
249,2014-02-05,75.94,76.8,75.67,9734258.0,76.45,76.4036620834091
251,2014-02-07,76.99,77.39,76.75,7301419.0,77.31,77.10657973592562
253,2014-02-11,78.1,78.46,77.66,7884967.0,78.19,78.03774325014933
254,2014-02-12,78.13,78.53,77.06,11035220.0,77.49,77.63425442911509
263,2014-02-26,78.23,78.77,77.82,7772528.0,77.86,78.33528276889203
268,2014-03-05,78.32,78.41,77.55,8542659.0,77.82,77.79647763085052
269,2014-03-06,78.04,78.445,77.84,6475573.0,78.06,78.19150742835491
270,2014-03-07,78.41,78.595,78.11,5865449.0,78.38,78.3108353385336
271,2014-03-10,78.29,78.57,78.2,5233421.0,78.53,78.42248130118219
283,2014-03-26,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
283,2014-03-26,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
292,2014-04-08,80.51,80.73,80.23,5660786.0,80.29,80.45610284220463
295,2014-04-11,80.98,81.66,80.5,11831591.0,80.76,81.14808745736735
298,2014-04-16,81.28,81.88,81.03,8301006.0,81.65,81.55473141903731
299,2014-04-17,81.47,81.89,81.34,8374713.0,81.76,81.68818439741113
302,2014-04-23,80.72,80.72,79.38,9580599.0,80.36,79.705574080033
303,2014-04-24,80.26,81.38,80.01,9528562.0,81.15,80.95280398359385
303,2014-04-24,80.26,80.99,80.16,8921525.0,80.62,80.74898113126771
304,2014-04-25,81.2,81.6,80.72,7786770.0,80.75,81.14380027013509
306,2014-04-29,82.75,83.0,82.1533,6819225.0,82.31,82.48865272137635
307,2014-04-30,82.39,82.47,81.76,5312492.0,82.34,81.96706822893705
308,2014-05-01,82.39,82.47,81.76,5312492.0,82.34,81.96706822893705
310,2014-05-05,81.64,81.884,81.47,4563610.0,81.7,81.6881725670542
311,2014-05-06,81.76,81.76,81.12,4591267.0,81.13,81.26473208086705
317,2014-05-14,81.74,81.91,81.12,6872657.0,81.17,81.3958385836967
319,2014-05-16,80.63,80.76,80.0,11559255.0,80.33,80.24339652296763
320,2014-05-19,80.01,80.05,79.54,6073538.0,79.93,79.67005136013732
320,2014-05-19,80.01,80.5,79.69,9366118.0,80.01,80.14264050440268
322,2014-05-21,80.34,80.67,80.02,6339794.0,80.49,80.34493891447671
324,2014-05-23,80.51,80.73,80.23,5660786.0,80.29,80.45610284220463
325,2014-05-27,80.55,80.75,80.16,6502396.0,80.55,80.3985771078097
326,2014-05-28,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
326,2014-05-28,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
328,2014-05-30,80.25,80.85,80.17,7432199.0,80.79,80.64934767017724
333,2014-06-06,80.09,80.2375,79.82,5521710.0,80.03,79.98458895614473
334,2014-06-09,79.91,80.04,79.31,5077736.0,79.41,79.54701890576743
335,2014-06-10,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
335,2014-06-10,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
342,2014-06-19,79.85,80.57,79.8,12493024.0,80.24,80.36612385847641
349,2014-06-30,79.01,79.46,78.43,10303230.0,78.59,78.91720970499726
351,2014-07-02,79.56,79.86,79.44,6282586.0,79.56,79.68745861304895
354,2014-07-08,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
354,2014-07-08,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
358,2014-07-14,81.36,81.735,81.3,6806097.0,81.32,81.5939379817553
359,2014-07-15,81.51,81.515,81.09,9638650.0,81.26,81.17902914874244
361,2014-07-17,80.55,80.75,80.16,6502396.0,80.55,80.3985771078097
362,2014-07-18,80.55,80.75,80.16,6502396.0,80.55,80.3985771078097
364,2014-07-22,80.29,80.58,79.77,6073192.0,80.1,80.11518011193515
364,2014-07-22,80.29,82.72,80.29,16530181.0,82.62,82.22180217122992
375,2014-08-06,79.4,80.0,78.61,9895146.0,79.82,79.27388959889245
379,2014-08-12,81.5,81.5,79.21,13742264.0,79.55,79.78420790184019
380,2014-08-13,81.64,81.884,81.47,4563610.0,81.7,81.6881725670542
381,2014-08-14,81.59,82.04,81.435,5930709.0,81.95,81.81492385730932
382,2014-08-15,82.23,83.04,82.12,8201719.0,82.8,82.77847119088793
383,2014-08-18,81.99,81.99,80.84,9352604.0,81.47,81.1171340897267
386,2014-08-21,82.8,83.47,82.69,7106490.0,83.28,83.23648857277146
387,2014-08-22,83.16,83.56,82.985,5259066.0,83.16,83.3317089600421
390,2014-08-27,83.43,84.46,83.425,7580546.0,84.32,84.2349063170454
390,2014-08-27,83.43,83.6,83.1601,4248518.0,83.31,83.34676412380284
393,2014-09-02,83.21,83.49,82.71,5528875.0,82.98,83.04511717373363
395,2014-09-04,82.92,83.1,81.99,14565456.0,82.0,82.35381318007586
396,2014-09-05,83.44,83.945,82.88,6702043.0,83.79,83.41223839730335
396,2014-09-05,83.44,83.45,82.77,5452988.0,83.2,82.93213607889396
397,2014-09-08,83.57,83.6,83.13,4899613.0,83.32,83.24825477742769
401,2014-09-12,83.21,83.49,82.71,5528875.0,82.98,83.04511717373363
402,2014-09-15,83.18,84.25,83.14,7008544.0,83.87,83.99130024720169
402,2014-09-15,83.18,83.7,83.0,6792402.0,83.1,83.44433333120054
406,2014-09-19,84.52,84.77,84.18,11380809.0,84.47,84.44827464401064
408,2014-09-23,84.65,84.92,84.44,7723459.0,84.44,84.69170838324112
412,2014-09-29,84.11,84.47,83.66,6362241.0,84.44,84.04720261615365
416,2014-10-03,83.44,83.945,82.88,6702043.0,83.79,83.41223839730335
416,2014-10-03,83.44,83.45,82.77,5452988.0,83.2,82.93213607889396
417,2014-10-06,83.57,83.6,83.13,4899613.0,83.32,83.24825477742769
418,2014-10-07,83.38,83.92,83.12,7386318.0,83.16,83.60146465210171
420,2014-10-09,84.21,84.88,83.53,7765706.0,83.66,84.22729521934156
420,2014-10-09,84.21,85.1844,84.21,7493615.0,85.13,84.97458154815548
422,2014-10-13,84.31,84.98,84.24,7680871.0,84.69,84.77737875862651
427,2014-10-20,83.25,84.33,82.83,8558072.0,84.18,83.78860840322132
429,2014-10-22,84.06,84.66,83.75,11000579.0,84.4,84.29245471571915
431,2014-10-24,85.1,85.97,84.91,13465590.0,85.16,85.63905840518251
432,2014-10-27,84.96,86.48,84.83,10316563.0,85.95,86.06872286234724
434,2014-10-29,86.67,86.67,85.91,6881448.0,86.54,86.09057546670111
435,2014-10-30,86.16,87.0,85.67,5560308.0,86.94,86.45742187179806
436,2014-10-31,87.08,87.36,86.71,9359840.0,87.27,87.01373982192032
438,2014-11-04,87.49,88.08,86.97,20761155.0,86.97,87.55969784343176
438,2014-11-04,87.49,88.87,87.44,10594790.0,88.64,88.54733023157183
439,2014-11-05,88.74,89.01,88.33,17118011.0,88.57,88.6352160162684
441,2014-11-07,88.74,89.01,88.33,17118011.0,88.57,88.6352160162684
443,2014-11-11,89.38,89.79,89.17,6346785.0,89.67,89.54011088063223
445,2014-11-13,88.94,89.84,88.46,10191559.0,88.6,89.29452012038284
446,2014-11-14,88.7,88.89,87.93,7559371.0,88.11,88.2683984090378
447,2014-11-17,88.0,88.22,87.23,20123406.0,87.86,87.58750950761602
448,2014-11-18,88.02,88.22,86.93,8123516.0,86.99,87.35951874377855
450,2014-11-20,88.33,89.095,88.15,6199673.0,88.96,88.79762519893173
452,2014-11-24,88.88,88.89,87.86,5569245.0,88.11,88.11963714257308
453,2014-11-25,88.36,88.82,88.08,6439699.0,88.8,88.50771787035808
458,2014-12-03,90.84,90.97,89.64,6465627.0,90.0,90.0454347019212
458,2014-12-03,90.84,91.0,89.92,7255494.0,90.44,90.2759005301044
459,2014-12-04,90.5,90.94,90.1,6410706.0,90.58,90.54532187783768
461,2014-12-08,90.34,91.0,90.32,4723879.0,90.76,90.84354551737937
464,2014-12-11,90.0,91.28,89.98,6468676.0,90.41,91.00283854590776
464,2014-12-11,90.0,90.5,89.76,6320139.0,89.97,90.21125984600654
465,2014-12-12,90.01,90.97,89.53,6574629.0,89.55,90.41531004177678
466,2014-12-15,89.7,90.6,89.03,6511895.0,89.2,89.91644658106631
466,2014-12-15,89.7,89.7,89.31,6983536.0,89.33,89.3966398220857
467,2014-12-16,89.14,90.96,88.38,8776495.0,89.36,90.0310014403947
471,2014-12-22,92.1,92.73,92.0,7157130.0,92.6,92.52133247322725
478,2015-01-02,90.84,90.97,89.64,6465627.0,90.0,90.0454347019212
478,2015-01-02,90.84,91.0,89.92,7255494.0,90.44,90.2759005301044
481,2015-01-07,89.94,90.37,89.5626,5986899.0,90.07,89.99348288091423
482,2015-01-08,90.48,91.225,90.13,6831617.0,91.1,90.80812925237488
483,2015-01-09,91.18,91.18,90.12,4873097.0,90.25,90.38471894846495
487,2015-01-15,90.49,90.5,89.34,6768180.0,89.86,89.63501986260295
489,2015-01-20,91.25,91.79,90.5,9874638.0,91.19,91.1174256415082
492,2015-01-23,91.17,91.19,89.95,6745741.0,90.08,90.27217639454493
494,2015-01-27,87.1,87.21,86.02,14417363.0,86.49,86.37112755832872
500,2015-02-04,85.89,86.48,85.55,9212785.0,85.79,86.09479834277265
501,2015-02-05,86.24,86.78,86.1,6531298.0,86.7,86.55327736429767
501,2015-02-05,86.24,86.32,85.915,5892430.0,86.19,86.04588189183373
511,2015-02-20,84.95,85.05,84.19,9581338.0,84.87,84.4485198112192
512,2015-02-23,84.96,86.48,84.83,10316563.0,85.95,86.06872286234724
513,2015-02-24,85.51,85.74,85.01,6502170.0,85.5,85.3068499434649
520,2015-03-05,84.62,84.76,84.09,5914196.0,84.63,84.32137363173737
523,2015-03-10,82.47,82.88,81.54,9681416.0,81.54,82.09061447631008
525,2015-03-12,81.59,82.04,81.435,5930709.0,81.95,81.81492385730932
528,2015-03-17,83.36,83.37,82.43,7509338.0,82.85,82.65955688541607
529,2015-03-18,82.86,84.05,82.02,12607899.0,83.75,83.17574760197739
530,2015-03-19,83.46,83.75,83.12,9257503.0,83.38,83.42017364340963
531,2015-03-20,83.99,84.79,83.77,22580280.0,84.74,84.44612129318953
533,2015-03-24,84.89,85.11,83.87,7478791.0,83.92,84.29422851761515
533,2015-03-24,84.89,85.79,84.8,7520867.0,85.59,85.52886912759111
535,2015-03-26,82.58,82.61,81.95,7311649.0,82.15,82.11623066597862
539,2015-04-01,82.44,82.45,81.4503,7395287.0,82.32,81.69459497270853
545,2015-04-10,82.8,83.47,82.69,7106490.0,83.28,83.23648857277146
548,2015-04-15,83.85,84.02,83.44,6762797.0,84.01,83.66299155744272
549,2015-04-16,83.56,84.07,83.35,7615906.0,83.5,83.79424904988673
554,2015-04-23,81.415,82.1,80.9,14569488.0,80.95,81.5608113724289
561,2015-05-04,80.48,81.24,80.02,10149588.0,81.1,80.72744796454475
563,2015-05-06,80.34,80.67,80.02,6339794.0,80.49,80.34493891447671
565,2015-05-08,80.89,81.21,80.82,6929376.0,80.96,81.0716482558967
567,2015-05-12,80.03,80.18,79.33,8270011.0,79.5,79.6084121109434
567,2015-05-12,80.03,80.29,79.36,6305837.0,79.95,79.71997738209396
568,2015-05-13,80.16,80.25,78.87,9992413.0,78.9,79.25434226840149
571,2015-05-18,80.97,81.13,80.5,5590781.0,80.74,80.72804997405972
574,2015-05-21,80.17,80.58,79.84,6055727.0,80.41,80.23203195326805
578,2015-05-28,79.43,79.45,79.02,5803445.0,79.33,79.11765644165418
580,2015-06-01,78.65,79.07,78.27,7588036.0,78.85,78.68109259063937
581,2015-06-02,78.46,78.72,78.17,7380764.0,78.54,78.42825291436233
583,2015-06-04,78.41,78.595,78.11,5865449.0,78.38,78.3108353385336
584,2015-06-05,78.04,78.445,77.84,6475573.0,78.06,78.19150742835491
587,2015-06-10,79.23,79.79,79.01,9483534.0,79.54,79.49202379201347
589,2015-06-12,79.17,79.22,78.22,7377650.0,78.8,78.48272753745228
592,2015-06-17,79.2,79.58,78.67,6305070.0,79.28,79.08919724755162
597,2015-06-24,79.8,79.85,79.5,8843732.0,79.51,79.59233391576086
603,2015-07-02,80.01,80.05,79.54,6073538.0,79.93,79.67005136013732
603,2015-07-02,80.01,80.5,79.69,9366118.0,80.01,80.14264050440268
609,2015-07-13,81.52,82.04,81.34,7332927.0,81.91,81.78240367713478
613,2015-07-17,81.89,82.38,81.6,5827266.0,82.24,82.04797021559592
616,2015-07-22,81.03,81.3,80.67,6106378.0,80.83,80.95782736214053
618,2015-07-24,80.51,80.73,80.23,5660786.0,80.29,80.45610284220463
619,2015-07-27,79.83,80.21,79.37,9366412.0,80.1,79.77042950276336
621,2015-07-29,80.26,81.38,80.01,9528562.0,81.15,80.95280398359385
621,2015-07-29,80.26,80.99,80.16,8921525.0,80.62,80.74898113126771
622,2015-07-30,79.4,80.0,78.61,9895146.0,79.82,79.27388959889245
623,2015-07-31,77.63,78.53,77.44,12178954.0,78.29,78.18587149950585
625,2015-08-04,76.03,76.34,75.75,13369071.0,75.91,76.04134399288414
630,2015-08-11,76.04,76.45,75.81,7491871.0,76.22,76.1709615236015
634,2015-08-17,75.81,75.81,74.75,8683913.0,75.53,74.99726654884336
638,2015-08-21,73.55,73.9,71.83,15763874.0,71.84,72.52800977866296
641,2015-08-26,69.9,71.0,68.95,17464681.0,70.9,70.04670528022446
642,2015-08-27,71.4,71.75,70.02,13433988.0,71.48,70.62735337215292
644,2015-08-31,71.0,71.0,70.3,9520912.0,70.67,70.44747203236639
651,2015-09-10,68.12,68.9465,67.75,12591110.0,68.32,68.4736719393824
656,2015-09-17,70.0,71.27,69.86,11029573.0,70.24,70.88368370740265
674,2015-10-13,74.24,74.28,73.66,8390248.0,74.11,73.81205372956767
678,2015-10-19,74.65,75.19,74.53,7292177.0,75.16,74.96560272528123
682,2015-10-23,76.76,77.84,76.42,5961184.0,77.31,77.35170847765377
687,2015-10-30,76.98,77.14,76.38,9547693.0,76.38,76.63659870410297
688,2015-11-02,76.57,76.77,76.05,7152929.0,76.6,76.3182837712619
689,2015-11-03,76.3,77.42,75.96,8013214.0,77.05,76.92278814134299
692,2015-11-06,75.88,76.0,74.695,9483466.0,75.57,75.07168345485859
695,2015-11-11,76.02,77.18,75.41,12712854.0,76.72,76.47398006080286
703,2015-11-23,75.82,76.06,75.4,9421321.0,75.97,75.67274616779117
709,2015-12-02,75.73,76.46,75.65,8104185.0,75.79,76.22926324469361
711,2015-12-04,75.98,77.9,75.92,11960991.0,77.83,77.45310710296795
715,2015-12-10,77.91,78.14,77.62,4633310.0,78.05,77.85442328886458
717,2015-12-14,77.63,78.53,77.44,12178954.0,78.29,78.18587149950585
718,2015-12-15,78.71,78.97,78.12,12674650.0,78.24,78.45539162583465
719,2015-12-16,79.98,82.0,79.83,19894992.0,81.69,81.46885187168338
720,2015-12-17,80.98,81.66,80.5,11831591.0,80.76,81.14808745736735
722,2015-12-21,78.63,78.98,78.15,9105763.0,78.95,78.53030229387728
725,2015-12-24,79.66,80.15,79.6,2498020.0,79.79,79.98643829760863
726,2015-12-28,79.74,79.9653,79.47,4149999.0,79.92,79.69747166539638
729,2015-12-31,79.91,80.04,79.31,5077736.0,79.41,79.54701890576743
732,2016-01-06,77.67,77.67,76.35,14703010.0,76.58,76.66534804649491
733,2016-01-07,76.85,77.6,76.07,11973854.0,77.18,76.84889787041188
733,2016-01-07,76.85,77.85,76.73,7268049.0,77.7,77.53907706240643
737,2016-01-13,76.97,76.99,75.79,9310123.0,75.85,76.08588926289062
740,2016-01-19,75.8,76.91,75.72,13457281.0,76.73,76.60408709524766
742,2016-01-21,76.02,77.18,75.41,12712854.0,76.72,76.47398006080286
744,2016-01-25,77.2,77.36,76.5571,9870407.0,76.85,76.82507362191484
747,2016-01-28,79.4,80.0,78.61,9895146.0,79.82,79.27388959889245
748,2016-01-29,79.98,82.0,79.83,19894992.0,81.69,81.46885187168338
750,2016-02-02,80.09,80.2375,79.82,5521710.0,80.03,79.98458895614473
751,2016-02-03,80.48,81.24,80.02,10149588.0,81.1,80.72744796454475
753,2016-02-05,80.58,81.2,80.57,9957618.0,81.2,81.04658834816011
754,2016-02-08,80.29,80.58,79.77,6073192.0,80.1,80.11518011193515
754,2016-02-08,80.29,82.72,80.29,16530181.0,82.62,82.22180217122992
757,2016-02-11,80.39,80.99,79.63,12343863.0,79.9,80.2862073942678
758,2016-02-12,80.36,81.02,79.79,9306055.0,80.99,80.44579005093019
759,2016-02-16,81.99,81.99,80.84,9352604.0,81.47,81.1171340897267
761,2016-02-18,82.23,83.04,82.12,8201719.0,82.8,82.77847119088793
762,2016-02-19,81.96,82.26,81.4,7709648.0,81.79,81.76492853746336
764,2016-02-23,82.0,82.05,81.57,4145666.0,82.0,81.70038228889887
768,2016-02-29,81.1,81.35,80.21,11065303.0,80.29,80.61910318935756
769,2016-03-01,80.54,80.8,80.03,10839420.0,80.42,80.3469587217235
769,2016-03-01,80.54,81.365,80.53,9483939.0,81.23,81.17211776572012
771,2016-03-03,82.54,82.93,82.18,8747057.0,82.84,82.56531921754754
773,2016-03-07,83.18,84.25,83.14,7008544.0,83.87,83.99130024720169
773,2016-03-07,83.18,83.7,83.0,6792402.0,83.1,83.44433333120054
776,2016-03-10,83.13,83.36,82.755,6990064.0,83.07,83.01638565267585
777,2016-03-11,82.75,83.0,82.1533,6819225.0,82.31,82.48865272137635
780,2016-03-16,81.31,81.59,81.12,7530605.0,81.4,81.37109124528584
782,2016-03-18,82.86,84.05,82.02,12607899.0,83.75,83.17574760197739
785,2016-03-23,82.72,83.49,82.58,5594556.0,82.82,83.21548701570589
787,2016-03-28,82.99,83.46,82.95,3883098.0,83.46,83.31806742209193
790,2016-03-31,82.75,83.0,82.1533,6819225.0,82.31,82.48865272137635
791,2016-04-01,82.0,82.05,81.57,4145666.0,82.0,81.70038228889887
792,2016-04-04,83.65,83.65,83.03,5593417.0,83.21,83.17112017077966
793,2016-04-05,83.16,83.56,82.985,5259066.0,83.16,83.3317089600421
795,2016-04-07,83.24,83.68,82.87,6655914.0,83.24,83.29974648961871
796,2016-04-08,83.44,83.945,82.88,6702043.0,83.79,83.41223839730335
796,2016-04-08,83.44,83.45,82.77,5452988.0,83.2,82.93213607889396
798,2016-04-12,82.71,83.21,82.45,7081592.0,82.83,82.89859273974324
808,2016-04-26,81.5,81.5,79.21,13742264.0,79.55,79.78420790184019
811,2016-04-29,79.67,80.15,79.37,9390964.0,80.12,79.80895886872204
813,2016-05-03,80.8,81.7,80.69,7617524.0,81.1,81.41979094065232
814,2016-05-04,80.87,81.77,80.87,7365945.0,81.6,81.5710900810348
818,2016-05-10,82.15,82.6799,82.12,6223170.0,82.48,82.53208113547457
823,2016-05-17,81.64,81.884,81.47,4563610.0,81.7,81.6881725670542
839,2016-06-09,82.58,82.61,81.95,7311649.0,82.15,82.11623066597862
840,2016-06-10,82.77,83.34,82.61,6840768.0,83.2,83.08898188032438
841,2016-06-13,82.96,83.91,82.91,7927516.0,83.91,83.66655062050955
842,2016-06-14,82.55,83.37,82.27,6868619.0,83.35,82.98194261689373
848,2016-06-22,83.5,83.76,83.29,4940053.0,83.57,83.53339883942535
853,2016-06-29,82.96,83.91,82.91,7927516.0,83.91,83.66655062050955
855,2016-07-01,84.52,84.77,84.18,11380809.0,84.47,84.44827464401064
856,2016-07-05,84.48,85.95,84.45,11403103.0,85.44,85.62126104336768
858,2016-07-07,85.23,85.24,84.525,7905843.0,84.83,84.69734658901291
861,2016-07-12,85.49,85.94,85.19,6649847.0,85.75,85.61181198058893
874,2016-07-29,84.89,85.11,83.87,7478791.0,83.92,84.29422851761515
874,2016-07-29,84.89,85.79,84.8,7520867.0,85.59,85.52886912759111
875,2016-08-01,85.44,86.58,85.42,10420628.0,86.41,86.32372073420868
877,2016-08-03,86.51,86.72,85.46,8192124.0,85.97,85.88548377614859
878,2016-08-04,86.12,86.53,85.8,5564060.0,86.05,86.19582296751864
879,2016-08-05,86.08,86.44,85.53,6729690.0,85.78,85.94538033892619
887,2016-08-17,86.45,86.65,86.21,4902470.0,86.5,86.41596727697751
887,2016-08-17,86.45,87.11,85.97,6762059.0,86.96,86.60944994806904
887,2016-08-17,86.45,86.85,86.02,9332303.0,86.72,86.435654552829
893,2016-08-25,87.3,87.94,87.04,10595473.0,87.9,87.60515110725127
898,2016-09-01,87.36,88.31,86.98,29793308.0,88.31,87.82016478313929
