,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,90.4,90.82,90.24,3283314.0,90.35,90.52167199647018
5,2013-02-15,90.06,91.0,89.4,5238292.0,89.99,90.35547652693252
8,2013-02-21,91.61,93.61,91.35,5991167.0,93.13,93.09906122128338
10,2013-02-25,93.28,93.57,91.55,6400992.0,91.56,92.35098517202805
14,2013-03-01,91.69,92.67,91.14,4554060.0,91.44,92.08971280974227
15,2013-03-04,91.48,92.57,91.47,4117244.0,92.36,92.29369395235817
18,2013-03-07,91.4,91.96,91.4,3178585.0,91.81,91.74144225950266
27,2013-03-20,91.0,91.71,90.99,4181228.0,91.42,91.46416196459266
27,2013-03-20,91.0,91.77,90.48,4697679.0,91.03,91.22315398341239
29,2013-03-22,91.0,91.71,90.99,4181228.0,91.42,91.46416196459266
29,2013-03-22,91.0,91.77,90.48,4697679.0,91.03,91.22315398341239
31,2013-03-26,91.54,93.29,91.31,4144085.0,93.26,92.83490629468224
31,2013-03-26,91.54,91.81,90.9901,4676434.0,91.76,91.28565630246987
34,2013-04-01,92.74,92.805,92.065,2947675.0,92.78,92.24148365341492
39,2013-04-08,92.94,94.49,92.8,3674272.0,94.44,94.10512311569347
43,2013-04-12,95.67,96.97,95.49,5352985.0,96.39,96.56174269305833
44,2013-04-15,95.94,96.17,94.09,5016084.0,94.11,94.89765920551089
45,2013-04-16,94.46,95.23,93.73,5630189.0,94.97,94.5492547951691
49,2013-04-22,91.9,92.945,91.6699,4176868.0,92.82,92.5455454423698
50,2013-04-23,93.28,93.57,91.55,6400992.0,91.56,92.35098517202805
52,2013-04-25,94.47,94.81,94.21,3363146.0,94.64,94.45470645477272
55,2013-04-30,95.83,95.9,95.06,3714391.0,95.59,95.26997156197649
58,2013-05-03,95.46,95.6,94.05,5658388.0,94.26,94.5801178026917
60,2013-05-07,93.12,93.89,93.0,4977513.0,93.61,93.56569917682026
64,2013-05-13,93.16,94.54,93.03,4749364.0,94.04,94.16333682822695
70,2013-05-21,94.94,94.97,93.69,5203499.0,94.4,94.05551319886274
75,2013-05-29,92.67,92.74,91.45,6788984.0,92.25,91.82654197460843
81,2013-06-06,90.15,90.35,89.59,3589249.0,90.25,89.83833181761251
82,2013-06-07,92.65,93.065,91.07,5650528.0,92.09,91.92996089703358
83,2013-06-10,92.26,92.63,90.21,6651979.0,90.72,91.22084015490317
84,2013-06-11,91.09,91.44,90.83,3529324.0,91.31,91.08681311088556
85,2013-06-12,91.7,92.155,91.1,4194731.0,91.65,91.59187171346429
92,2013-06-21,87.48,88.44,86.65,11091388.0,87.46,87.64145477381905
94,2013-06-25,86.57,86.885,85.84,3908321.0,86.6,86.26875361374925
103,2013-07-09,89.28,89.9,88.93,4291383.0,89.18,89.468598990691
103,2013-07-09,89.28,90.29,88.65,5298493.0,89.72,89.65743401895598
105,2013-07-11,89.84,90.28,88.48,6022995.0,89.79,89.26854550743376
108,2013-07-16,89.52,90.75,89.31,4933608.0,89.95,90.34279288049144
112,2013-07-22,89.0,89.1999,88.06,6109298.0,88.31,88.44760907023905
113,2013-07-23,89.2,89.68,88.58,4164752.0,88.78,89.10714595537408
120,2013-08-01,89.61,89.76,88.83,3910085.0,89.75,89.12431300699143
121,2013-08-02,89.39,89.91,89.19,2752483.0,89.45,89.58754432750413
121,2013-08-02,89.39,89.56,88.71,2791099.0,89.22,88.99133006717952
122,2013-08-05,89.39,89.91,89.19,2752483.0,89.45,89.58754432750413
122,2013-08-05,89.39,89.56,88.71,2791099.0,89.22,88.99133006717952
124,2013-08-07,88.65,88.65,87.88,4218917.0,88.21,88.03023566810128
136,2013-08-23,84.35,84.76,83.66,2849552.0,84.26,84.17262776579688
136,2013-08-23,84.35,84.85,84.24,4301822.0,84.51,84.57173614753246
140,2013-08-29,83.03,84.415,82.86,4510696.0,83.88,84.03124419738255
141,2013-08-30,83.67,84.0,83.15,4385955.0,83.44,83.50149736623808
142,2013-09-03,83.83,84.39,83.16,4725577.0,83.4,83.78383657983703
150,2013-09-13,86.49,86.73,86.16,5054368.0,86.3,86.33657363318774
152,2013-09-17,87.77,88.35,87.72,4154273.0,88.22,88.09640847574792
156,2013-09-23,90.12,90.16,89.26,13825654.0,89.75,89.38698580825422
159,2013-09-26,87.02,87.72,86.77,3597557.0,87.69,87.34929166698582
161,2013-09-30,86.72,87.21,86.28,4288452.0,86.59,86.74116622607548
167,2013-10-08,86.42,87.16,86.33,3270598.0,86.79,86.88148351123408
179,2013-10-24,88.65,88.65,87.88,4218917.0,88.21,88.03023566810128
180,2013-10-25,87.77,88.35,87.72,4154273.0,88.22,88.09640847574792
181,2013-10-28,88.73,88.98,88.19,2857133.0,88.81,88.48502926333354
184,2013-10-31,89.23,90.1,88.8,5339785.0,89.12,89.59242640021859
185,2013-11-01,89.36,89.8,88.71,4247065.0,89.39,89.21218940585196
186,2013-11-04,90.15,90.35,89.59,3589249.0,90.25,89.83833181761251
187,2013-11-05,90.07,90.49,89.83,3085056.0,90.13,90.14846781312092
191,2013-11-11,89.36,89.8,88.71,4247065.0,89.39,89.21218940585196
192,2013-11-12,89.61,89.76,88.83,3910085.0,89.75,89.12431300699143
194,2013-11-14,90.67,91.24,90.59,3766174.0,90.7,90.97006851435327
198,2013-11-20,91.53,91.81,88.6,10067520.0,89.3,89.87254703605336
202,2013-11-26,86.12,86.37,84.86,8403404.0,85.48,85.41191643579465
204,2013-11-29,85.75,86.0099,85.3,2990376.0,85.54,85.56818623666533
211,2013-12-10,86.25,86.49,85.38,4756257.0,85.79,85.79178210527539
220,2013-12-23,84.84,85.74,84.7,4380567.0,85.19,85.41109704525205
224,2013-12-30,86.57,86.885,85.84,3908321.0,86.6,86.26875361374925
227,2014-01-03,86.25,86.49,85.38,4756257.0,85.79,85.79178210527539
231,2014-01-09,83.25,83.63,82.61,6690090.0,83.31,83.03639531171694
233,2014-01-13,82.44,82.96,82.27,7027686.0,82.45,82.62104866365603
234,2014-01-14,82.74,83.12,80.98,7252904.0,80.98,81.88236293430472
239,2014-01-22,83.92,84.35,83.47,3159201.0,84.3,83.89543159832175
240,2014-01-23,83.61,84.41,83.0,4539037.0,83.54,83.82100883061557
247,2014-02-03,78.09,78.19,75.28,9839835.0,75.39,76.35595396026616
249,2014-02-05,76.56,76.955,76.27,7069216.0,76.34,76.56514956931035
249,2014-02-05,76.56,77.08,76.06,7040279.0,76.9,76.56059714088535
251,2014-02-07,78.33,80.29,78.17,8663204.0,80.25,79.8304292589927
254,2014-02-12,79.64,79.66,78.31,5160136.0,78.44,78.72184058473302
260,2014-02-21,79.64,79.66,78.31,5160136.0,78.44,78.72184058473302
263,2014-02-26,80.05,80.08,78.92,5278235.0,79.5,79.25341213055128
268,2014-03-05,81.87,81.8799,80.77,3844436.0,81.07,81.08400648253951
269,2014-03-06,81.2,81.5,80.7948,5149998.0,80.91,81.065062748428
270,2014-03-07,81.02,81.04,79.22,5384591.0,80.34,79.82953462954134
271,2014-03-10,80.32,80.57,80.04,4571415.0,80.43,80.21752494881842
283,2014-03-26,80.18,81.0351,80.18,4872399.0,80.42,80.79104377940176
286,2014-03-31,81.23,81.76,80.81,5134861.0,80.81,81.2982925264011
288,2014-04-02,82.32,83.58,82.31,6594486.0,82.94,83.2775460490619
289,2014-04-03,82.53,82.72,81.38,8541891.0,81.6,81.83296243914407
295,2014-04-11,83.36,83.99,82.71,5563057.0,83.14,83.38184421779238
298,2014-04-16,84.75,85.17,83.63,5654120.0,83.66,84.30770137609875
298,2014-04-16,84.75,84.82,84.1,5248639.0,84.79,84.25801578907608
299,2014-04-17,83.62,84.05,82.12,7858834.0,83.15,82.94941594295886
302,2014-04-23,83.49,83.94,83.25,3745547.0,83.35,83.59833265443828
303,2014-04-24,83.2,84.01,83.01,3696993.0,83.49,83.66888555587774
305,2014-04-28,84.58,86.65,84.52,5937523.0,84.55,86.25763530951309
308,2014-05-01,85.49,85.96,85.21,3504473.0,85.72,85.59362183825101
310,2014-05-05,85.02,86.0,84.83,5817485.0,85.83,85.62144721421606
310,2014-05-05,85.02,85.51,84.82,2328286.0,85.34,85.20014173434862
311,2014-05-06,85.18,85.99,83.86,6376437.0,83.92,84.97446728377244
311,2014-05-06,85.18,85.55,85.0,3258104.0,85.28,85.25159683166014
312,2014-05-07,85.29,85.36,83.92,4857557.0,84.0,84.3903971004429
317,2014-05-14,85.91,86.27,85.59,3194972.0,85.75,85.89216222354656
319,2014-05-16,85.23,85.69,85.12,2187364.0,85.15,85.4350333612662
319,2014-05-16,85.23,85.98,85.2,6359696.0,85.77,85.70543618131849
