,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,67.0,67.31,66.75,6653728.0,67.18,67.0744902090802
5,2013-02-15,65.71,66.25,65.111,11356503.0,65.43,65.68173876769971
8,2013-02-21,65.2,65.43,64.32,11749423.0,64.82,64.69742172402353
10,2013-02-25,65.39,67.45,64.8,13078268.0,64.8,66.54994070590251
11,2013-02-26,64.97,65.4,64.36,9429206.0,64.44,64.84294897139058
14,2013-03-01,65.34,66.65,65.16,11186743.0,66.3,66.25851131890798
15,2013-03-04,66.05,66.65,65.86,7969894.0,66.63,66.40266264130068
18,2013-03-07,66.97,67.1,66.4,9305367.0,66.79,66.64341440567159
23,2013-03-14,67.0,67.31,66.75,6653728.0,67.18,67.0744902090802
25,2013-03-18,64.41,64.82,63.22,12106771.0,63.45,63.78803604576647
27,2013-03-20,65.41,66.1,64.74,12407887.0,65.74,65.44095374849063
27,2013-03-20,65.41,66.39,65.335,13249834.0,66.25,66.16605050591596
31,2013-03-26,65.99,66.69,65.87,9802334.0,66.62,66.48315457203255
34,2013-04-01,66.7,66.84,65.605,8705918.0,66.0,65.93982782951738
38,2013-04-05,64.67,66.09,63.81,15883201.0,65.13,65.11531034678998
39,2013-04-08,65.14,65.86,65.09,5605757.0,65.86,65.69741878798813
44,2013-04-15,66.23,66.67,65.43,9736540.0,65.49,65.95184834076879
45,2013-04-16,65.78,66.18,65.38,10072915.0,65.81,65.80703484653363
49,2013-04-22,64.09,64.59,63.58,11160122.0,64.58,64.10535104508632
52,2013-04-25,62.81,63.05,61.79,56905940.0,62.44,62.30738951084913
55,2013-04-30,61.6,62.12,61.25,21041722.0,61.6,61.78944495374857
58,2013-05-03,63.52,63.85,63.31,10548705.0,63.77,63.653870457090136
60,2013-05-07,63.81,64.22,63.53,9706623.0,63.97,63.9450134361131
64,2013-05-13,64.34,65.07,64.18,9940620.0,64.815,64.82365548391878
66,2013-05-15,65.33,65.42,64.5,18832972.0,64.76,64.7780093567036
70,2013-05-21,65.68,66.21,65.6,11228396.0,65.76,66.07862848150756
75,2013-05-29,63.78,64.3,63.5,13122291.0,64.11,64.00839248969152
82,2013-06-07,62.9,63.1105,61.415,29483620.0,62.1,61.91874123720292
85,2013-06-12,61.966,61.97,61.01,14631493.0,61.11,61.232686303779126
92,2013-06-21,60.93,61.05,60.215,25052714.0,60.67,60.513846893040956
103,2013-07-09,60.15,60.34,59.02,24847868.0,59.39,59.43997591052031
108,2013-07-16,61.49,61.88,61.2,13333353.0,61.85,61.610557904756085
113,2013-07-23,62.27,62.75,62.21,9012043.0,62.3,62.64231723794143
122,2013-08-05,65.41,66.1,64.74,12407887.0,65.74,65.44095374849063
122,2013-08-05,65.41,66.39,65.335,13249834.0,66.25,66.16605050591596
123,2013-08-06,66.18,67.04,65.86,10971652.0,66.07,66.63215020365703
124,2013-08-07,65.27,65.8401,65.0,9493341.0,65.21,65.53637492103773
129,2013-08-14,67.08,67.13,65.29,15282667.0,65.35,65.68349947460855
140,2013-08-29,66.57,67.14,66.4,6551694.0,66.71,66.91263703595851
141,2013-08-30,66.63,66.66,65.74,8441297.0,66.28,65.95586727448135
142,2013-09-03,66.92,67.74,66.52,11906598.0,66.75,67.27619429568283
152,2013-09-17,68.36,69.46,68.15,13800279.0,69.42,69.09628159846623
154,2013-09-19,69.71,69.85,69.03,10046738.0,69.64,69.299980422782
156,2013-09-23,70.0,70.235,68.88,13520856.0,68.98,69.30307352101731
157,2013-09-24,68.72,70.24,68.49,8494227.0,69.34,69.75168902066804
159,2013-09-26,69.08,69.35,68.7,4987096.0,68.87,69.00998012063226
161,2013-09-30,66.94,67.59,66.55,8557521.0,67.32,67.16492124152118
175,2013-10-18,68.47,69.47,68.4505,10455804.0,69.43,69.28043282389747
176,2013-10-21,68.51,69.28,68.45,9233511.0,68.91,69.10552438397812
177,2013-10-22,68.85,69.41,68.55,7393302.0,69.41,69.07733608915257
184,2013-10-31,69.19,69.98,68.76,11205114.0,69.49,69.49549815447783
186,2013-11-04,70.14,70.19,69.25,9294454.0,69.57,69.48240499039765
187,2013-11-05,69.25,69.55,68.86,8605109.0,69.005,69.20349326394562
190,2013-11-08,67.42,67.7,66.8,8225168.0,67.1,67.16487520830324
192,2013-11-12,67.54,68.57,67.54,9940673.0,68.51,68.38901545225646
194,2013-11-14,69.98,71.48,69.85,14855556.0,71.22,71.09498980825497
198,2013-11-20,71.95,72.4,70.91,15106095.0,71.03,71.48978316566239
202,2013-11-26,72.69,73.65,72.59,16427085.0,73.65,73.41521044179268
204,2013-11-29,73.52,73.89,73.26,6060038.0,73.58,73.62926168287147
210,2013-12-09,73.88,75.2,73.87,7978379.0,74.86,74.93854904989064
211,2013-12-10,73.3,73.84,73.09,10724632.0,73.38,73.59404416301302
215,2013-12-16,73.22,73.51,72.21,7201681.0,72.61,72.64167172022871
220,2013-12-23,73.52,73.89,73.26,6060038.0,73.58,73.62926168287147
224,2013-12-30,73.66,73.9,73.5,5389883.0,73.57,73.75079294603044
231,2014-01-09,74.0371,74.1,73.68,9276238.0,73.91,73.83491468240747
233,2014-01-13,73.78,74.27,72.83,8576302.0,73.22,73.40989926829825
239,2014-01-22,75.5,75.58,74.99,6637492.0,75.08,75.17613891955929
240,2014-01-23,75.49,75.9,75.16,8084877.0,75.87,75.57588046476691
240,2014-01-23,75.49,76.2425,75.49,6286503.0,75.9,76.11317047181397
247,2014-02-03,73.67,73.95,72.93,15940060.0,73.32,73.33113596132863
248,2014-02-04,73.4,74.47,73.2,9005085.0,74.41,74.10844838215563
249,2014-02-05,72.1,72.66,72.03,10488791.0,72.37,72.52661812860568
251,2014-02-07,73.4,74.47,73.2,9005085.0,74.41,74.10844838215563
254,2014-02-12,75.66,76.65,75.66,11498577.0,76.42,76.47950346822064
263,2014-02-26,75.15,75.5,74.9,5551595.0,75.05,75.25047317595454
267,2014-03-04,75.5,75.58,74.99,6637492.0,75.08,75.17613891955929
268,2014-03-05,76.44,76.96,75.79,6786176.0,76.67,76.33944991767012
269,2014-03-06,77.0,77.18,76.5411,7757672.0,77.0,76.79863141526354
269,2014-03-06,77.0,77.0,75.39,15395999.0,75.53,75.7130957510537
270,2014-03-07,77.1,77.2,76.44,7284997.0,76.79,76.66702189481697
271,2014-03-10,76.79,77.07,76.55,7704915.0,77.07,76.84940127183306
274,2014-03-13,77.0,77.18,76.5411,7757672.0,77.0,76.79863141526354
274,2014-03-13,77.0,77.0,75.39,15395999.0,75.53,75.7130957510537
283,2014-03-26,78.82,79.62,78.31,14203416.0,78.31,79.07068617599134
295,2014-04-11,77.53,78.9167,77.53,9288880.0,78.01,78.65067361333844
298,2014-04-16,79.99,80.28,79.42,7287075.0,80.18,79.77867840275441
299,2014-04-17,80.14,81.34,80.04,10566174.0,81.32,81.03471110678386
302,2014-04-23,81.0,81.0,80.16,13593949.0,80.71,80.35288464127422
303,2014-04-24,77.5,78.62,76.77,22779739.0,77.87,77.8350424340951
308,2014-05-01,78.53,79.49,78.53,7018325.0,78.99,79.31466665447782
308,2014-05-01,78.53,78.53,77.69,10144491.0,78.51,77.8752707151346
309,2014-05-02,79.3,79.8,79.19,6787247.0,79.75,79.63568775723665
310,2014-05-05,78.76,79.92,78.51,7525710.0,79.56,79.49111264105089
311,2014-05-06,79.23,79.63,78.75,8169473.0,79.31,79.18157881573283
317,2014-05-14,79.83,80.99,79.83,8228154.0,80.41,80.77200552720225
319,2014-05-16,79.7,79.77,78.76,8376840.0,79.42,79.01105184714034
320,2014-05-19,79.22,79.99,79.2,5427327.0,79.81,79.83682205707238
322,2014-05-21,79.17,79.98,79.12,7671461.0,79.67,79.79806470965339
326,2014-05-28,80.2,80.5,79.8,6388260.0,80.38,80.13665375496184
328,2014-05-30,80.33,80.53,79.92,7336494.0,80.45,80.18312688219147
332,2014-06-05,79.83,80.99,79.83,8228154.0,80.41,80.77200552720225
333,2014-06-06,80.2,80.5,79.8,6388260.0,80.38,80.13665375496184
342,2014-06-19,79.3,79.8,79.19,6787247.0,79.75,79.63568775723665
349,2014-06-30,79.15,79.39,78.65,6567334.0,79.2,78.9571451477809
351,2014-07-02,79.81,80.43,79.7,5449256.0,80.17,80.23519193297007
358,2014-07-14,79.44,79.78,79.38,7609813.0,79.52,79.69569840196372
359,2014-07-15,79.39,79.91,79.15,5983960.0,79.44,79.6302627353267
361,2014-07-17,79.11,79.21,77.88,12578379.0,78.11,78.21154390529374
364,2014-07-22,80.09,81.87,79.99,10754906.0,81.53,81.434076574625
372,2014-08-01,73.67,73.95,72.93,15940060.0,73.32,73.33113596132863
381,2014-08-14,74.76,74.99,74.6,6482178.0,74.76,74.84537394721971
386,2014-08-21,76.61,77.31,76.45,8646467.0,76.77,77.06382647004759
390,2014-08-27,77.15,77.19,76.49,7846198.0,76.97,76.67192316437098
393,2014-09-02,75.92,76.08,74.75,9827098.0,75.06,75.11253647430048
395,2014-09-04,75.22,75.3,73.95,9914616.0,74.08,74.26722839497653
397,2014-09-08,75.49,75.9,75.16,8084877.0,75.87,75.57588046476691
397,2014-09-08,75.49,76.2425,75.49,6286503.0,75.9,76.11317047181397
402,2014-09-15,75.5,75.58,74.99,6637492.0,75.08,75.17613891955929
404,2014-09-17,75.66,76.65,75.66,11498577.0,76.42,76.47950346822064
406,2014-09-19,77.0,77.18,76.5411,7757672.0,77.0,76.79863141526354
406,2014-09-19,77.0,77.0,75.39,15395999.0,75.53,75.7130957510537
407,2014-09-22,75.49,75.9,75.16,8084877.0,75.87,75.57588046476691
407,2014-09-22,75.49,76.2425,75.49,6286503.0,75.9,76.11317047181397
408,2014-09-23,76.23,76.57,75.81,8788928.0,75.83,76.18776896169197
412,2014-09-29,74.63,75.08,74.16,6630859.0,74.82,74.62625581044695
416,2014-10-03,73.88,75.2,73.87,7978379.0,74.86,74.93854904989064
418,2014-10-07,74.23,74.43,73.48,8241983.0,73.51,73.80212007100792
420,2014-10-09,75.22,75.3,73.95,9914616.0,74.08,74.26722839497653
421,2014-10-10,73.52,73.89,73.26,6060038.0,73.58,73.62926168287147
423,2014-10-14,71.75,73.21,71.18,12036676.0,72.48,72.45800531768242
426,2014-10-17,72.05,73.3,72.0,6492346.0,73.27,73.01778909709759
427,2014-10-20,72.05,73.3,72.0,6492346.0,73.27,73.01778909709759
431,2014-10-24,75.42,76.01,74.91,6238720.0,76.0,75.48991934339148
432,2014-10-27,75.86,76.03,75.27,4766956.0,75.84,75.5341418718491
434,2014-10-29,76.5,77.38,76.31,5395635.0,76.89,77.06019232021714
435,2014-10-30,76.65,77.59,76.53,5314244.0,77.37,77.3150519931122
436,2014-10-31,78.53,79.49,78.53,7018325.0,78.99,79.31466665447782
436,2014-10-31,78.53,78.53,77.69,10144491.0,78.51,77.8752707151346
438,2014-11-04,77.49,77.72,76.4035,15347356.0,77.11,76.81955036621287
443,2014-11-11,69.71,69.85,69.03,10046738.0,69.64,69.299980422782
445,2014-11-13,70.21,70.83,70.19,9833120.0,70.65,70.72391320326012
445,2014-11-13,70.21,71.78,70.08,11499426.0,70.31,71.37101003027509
446,2014-11-14,71.01,71.21,70.55,7454829.0,70.85,70.82416244155002
452,2014-11-24,71.7,71.9399,71.18,9413791.0,71.695,71.49928923293427
453,2014-11-25,71.73,72.28,71.61,12488593.0,72.27,72.11190448423251
453,2014-11-25,71.73,72.77,71.565,9502633.0,71.99,72.44623471092194
458,2014-12-03,73.63,74.84,73.44,13143718.0,74.37,74.46509543589416
459,2014-12-04,74.24,74.34,72.93,9436300.0,73.34,73.26831253993019
461,2014-12-08,73.22,73.51,72.21,7201681.0,72.61,72.64167172022871
464,2014-12-11,71.73,72.28,71.61,12488593.0,72.27,72.11190448423251
464,2014-12-11,71.73,72.77,71.565,9502633.0,71.99,72.44623471092194
465,2014-12-12,71.63,71.81,70.58,8351609.0,70.585,70.93624033120092
466,2014-12-15,70.85,71.42,69.59,11016109.0,70.37,70.28874711448779
467,2014-12-16,70.21,70.83,70.19,9833120.0,70.65,70.72391320326012
467,2014-12-16,70.21,71.78,70.08,11499426.0,70.31,71.37101003027509
471,2014-12-22,73.58,74.655,73.45,9074214.0,74.56,74.35109467403119
478,2015-01-02,74.51,74.8699,73.75,6667808.0,74.28,74.19362105582447
481,2015-01-07,73.37,74.47,72.96,10030724.0,73.73,73.92816536968753
482,2015-01-08,74.3,75.3,74.14,10937230.0,74.505,74.99219416226707
483,2015-01-09,74.57,74.87,73.64,9038892.0,74.42,74.07049792814595
487,2015-01-15,72.26,72.59,71.045,10858404.0,71.38,71.5499263333286
488,2015-01-16,70.85,71.42,69.59,11016109.0,70.37,70.28874711448779
489,2015-01-20,71.75,73.21,71.18,12036676.0,72.48,72.45800531768242
492,2015-01-23,72.01,72.35,71.43,8142053.0,72.175,71.83332736376984
494,2015-01-27,71.9,72.495,70.945,11398770.0,71.77,71.61431448999865
499,2015-02-03,65.78,66.18,65.38,10072915.0,65.81,65.80703484653363
500,2015-02-04,66.59,67.71,66.12,13089575.0,66.96,67.12266693978728
