,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,74.57,74.8,73.83,1805797.0,74.75,74.17540191600253
5,2013-02-15,74.84,74.85,73.99,2073860.0,74.43,74.1646390553331
8,2013-02-21,72.5,72.61,71.72,2770327.0,72.09,71.95373885019814
10,2013-02-25,73.3,73.49,71.6,1444377.0,71.6,72.10435316460575
14,2013-03-01,73.28,74.86,72.87,1818776.0,74.78,74.30293354628546
15,2013-03-04,74.3,75.34,74.1701,1402986.0,75.33,75.09461889408267
18,2013-03-07,76.93,76.945,76.16,1299591.0,76.49,76.33710475063697
27,2013-03-20,78.03,78.04,77.36,2058807.0,77.57,77.50096784164553
31,2013-03-26,74.88,75.431,74.66,3314482.0,74.9,75.15267919250334
34,2013-04-01,76.3,76.35,75.27,1589330.0,75.53,75.52266357077119
39,2013-04-08,77.26,78.345,76.97,1816386.0,78.34,77.95841523669378
44,2013-04-15,84.28,84.55,77.81,14442477.0,78.58,79.10021361365479
45,2013-04-16,79.52,81.99,79.36,8360267.0,81.82,81.39650933125627
49,2013-04-22,80.06,80.27,79.37,1978647.0,79.95,79.68778065832451
52,2013-04-25,81.3,81.39,79.99,2500563.0,80.12,80.31813504413797
55,2013-04-30,80.51,81.0,80.21,2409501.0,80.68,80.68361303021562
58,2013-05-03,82.1,82.59,81.91,1686922.0,82.17,82.37488675676634
60,2013-05-07,82.44,83.95,82.02,2809167.0,83.91,83.38202143501404
64,2013-05-13,84.11,84.56,83.83,1574275.0,84.39,84.28098502866159
70,2013-05-21,86.94,87.75,86.9,1840586.0,87.35,87.60811471984165
75,2013-05-29,87.61,87.97,86.852,1821713.0,87.36,87.31670653816147
82,2013-06-07,84.91,85.55,84.5,15530900.0,84.58,84.90435091278292
85,2013-06-12,85.97,86.0,84.24,2092391.0,84.35,84.60761524909402
92,2013-06-21,82.28,83.52,82.01,3580996.0,83.09,83.09914442741592
103,2013-07-09,86.85,87.39,86.25,2015802.0,87.27,86.83398143739626
108,2013-07-16,88.34,88.43,86.915,1511415.0,87.56,87.28495225315376
113,2013-07-23,89.34,90.32,89.24,1617088.0,89.52,90.10967773169489
122,2013-08-05,91.58,92.3,91.54,1475499.0,92.05,92.17920185256571
124,2013-08-07,92.01,92.08,91.43,1430187.0,91.68,91.62060304638375
140,2013-08-29,88.63,89.81,88.44,856070.0,89.17,89.51054541440199
141,2013-08-30,89.23,89.28,88.54,964505.0,88.83,88.74176218627481
142,2013-09-03,89.97,90.5,89.405,1556855.0,90.12,89.98252894881936
151,2013-09-16,92.01,92.08,91.43,1430187.0,91.68,91.62060304638375
152,2013-09-17,91.74,93.31,91.7,2286499.0,93.29,93.05141422430498
156,2013-09-23,93.2,93.76,92.9,1013535.0,93.32,93.46176407341093
159,2013-09-26,92.46,93.25,92.34,1051218.0,93.01,93.06207105304466
161,2013-09-30,92.22,92.67,92.0,1269952.0,92.15,92.44752303354991
184,2013-10-31,97.62,98.315,96.31,2225043.0,97.78,97.16567661899734
186,2013-11-04,98.29,98.29,97.5,1219548.0,98.05,97.67782795767972
187,2013-11-05,97.55,97.75,96.83,1406424.0,97.09,97.16149868769008
192,2013-11-12,98.09,98.45,97.28,1096503.0,97.69,97.77111480337955
194,2013-11-14,98.81,100.21,98.42,1719843.0,100.21,99.7068901486509
198,2013-11-20,100.5,101.59,100.47,1060033.0,101.07,101.43361684456808
202,2013-11-26,102.22,102.53,101.43,1467016.0,101.45,101.86988856661438
204,2013-11-29,101.26,101.63,100.68,854911.0,100.85,101.14001507097913
206,2013-12-03,100.5,101.59,100.47,1060033.0,101.07,101.43361684456808
207,2013-12-04,100.5,101.59,100.47,1060033.0,101.07,101.43361684456808
211,2013-12-10,101.94,102.47,101.45,1182532.0,101.93,102.02380952620176
224,2013-12-30,110.74,111.085,110.06,875372.0,110.59,110.52153279216283
231,2014-01-09,114.17,114.81,113.49,2196355.0,114.0,114.18254895257408
233,2014-01-13,114.02,114.59,112.68,2048786.0,112.99,113.44412320301367
240,2014-01-23,114.41,114.54,111.99,3400191.0,112.81,112.56682656344789
247,2014-02-03,115.17,115.8699,112.9,3775962.0,113.13,113.92811974623083
249,2014-02-05,112.99,113.27,111.21,2826445.0,113.2,111.79898258639197
251,2014-02-07,115.23,117.91,115.04,3180691.0,117.77,117.36257514173182
254,2014-02-12,121.07,121.93,120.74,3605738.0,121.52,121.53101689943507
261,2014-02-24,123.05,123.2599,121.68,1296003.0,122.34,122.15866049018732
263,2014-02-26,123.87,125.18,123.43,2620037.0,124.28,124.64439306354555
268,2014-03-05,124.87,126.24,124.19,2196087.0,125.91,125.5100185207514
269,2014-03-06,127.15,127.63,125.85,1649945.0,126.4,126.54125486643576
270,2014-03-07,127.03,127.03,125.65,1690797.0,126.67,125.94629591792157
271,2014-03-10,126.48,126.7,125.25,1766768.0,126.28,125.70335453607254
283,2014-03-26,119.72,120.578,118.03,2121614.0,118.04,119.10938806734268
286,2014-03-31,119.46,121.525,119.46,1664548.0,121.39,121.24745885660468
295,2014-04-11,116.15,117.4,115.25,2313825.0,115.77,116.5051707596265
298,2014-04-16,118.55,119.84,117.662,2735689.0,119.71,118.9428210074683
299,2014-04-17,119.44,120.11,118.5225,1733281.0,119.3,119.29688287135686
302,2014-04-23,121.71,121.77,114.53,4405399.0,119.39,115.96279488173319
303,2014-04-24,119.59,119.59,114.24,4507401.0,115.38,115.26156064099355
308,2014-05-01,113.72,114.96,113.15,1553490.0,114.92,114.34400819476659
310,2014-05-05,113.78,115.11,112.75,1153373.0,114.82,114.1174586679181
311,2014-05-06,114.69,115.335,113.82,1911629.0,114.42,114.55891925717769
317,2014-05-14,117.66,118.055,116.17,1708752.0,116.49,116.82112411015991
319,2014-05-16,115.46,117.94,115.21,1977462.0,117.85,117.39383538700608
320,2014-05-19,117.46,119.365,117.34,2135743.0,119.29,119.00558704373053
322,2014-05-21,115.35,116.17,114.57,1705516.0,115.32,115.44448441874736
327,2014-05-29,116.15,117.4,115.25,2313825.0,115.77,116.5051707596265
328,2014-05-30,117.11,117.43,116.8,2439278.0,116.91,117.14409578761835
333,2014-06-06,119.26,120.05,119.17,1405510.0,119.81,119.89064389822083
338,2014-06-13,120.0,120.4,118.85,2151752.0,119.71,119.43244025568957
342,2014-06-19,120.0,120.4,118.85,2151752.0,119.71,119.43244025568957
343,2014-06-20,120.0,120.4,118.85,2151752.0,119.71,119.43244025568957
349,2014-06-30,118.2,118.5634,117.68,1603154.0,118.0,118.11664942439116
350,2014-07-01,118.45,118.62,115.135,3195532.0,116.09,115.92581314035098
351,2014-07-02,119.05,119.61,117.91,2137733.0,118.05,118.6269718838007
354,2014-07-08,119.46,121.525,119.46,1664548.0,121.39,121.24745885660468
358,2014-07-14,118.9,119.57,117.565,1486608.0,117.8,118.42487261037216
359,2014-07-15,118.0,118.48,116.73,2688624.0,118.0,117.39439099036468
361,2014-07-17,119.48,120.826,118.61,2714652.0,119.02,119.93583513865278
364,2014-07-22,122.44,124.98,122.44,3823175.0,123.06,124.59791696626249
377,2014-08-08,119.48,120.826,118.61,2714652.0,119.02,119.93583513865278
378,2014-08-11,121.71,121.77,114.53,4405399.0,119.39,115.96279488173319
381,2014-08-14,121.78,122.15,121.32,1047290.0,121.78,121.76129478339287
386,2014-08-21,122.55,122.7,121.73,854550.0,121.81,122.05730474733136
390,2014-08-27,120.9,120.98,119.68,1172599.0,120.08,120.01968428040009
393,2014-09-02,120.89,122.81,120.57,2156036.0,122.72,122.28845071789593
397,2014-09-08,125.01,125.25,124.07,1652546.0,124.98,124.48513400843751
402,2014-09-15,123.05,123.2599,121.68,1296003.0,122.34,122.15866049018732
406,2014-09-19,124.8,125.06,123.04,1215490.0,123.24,123.63965176564942
408,2014-09-23,121.36,121.88,120.8,1203649.0,121.16,121.38611672770438
412,2014-09-29,120.49,122.24,120.38,1153517.0,122.0,121.92896823909012
416,2014-10-03,119.46,121.525,119.46,1664548.0,121.39,121.24745885660468
418,2014-10-07,120.33,120.49,118.19,1533823.0,118.22,118.77141096446837
420,2014-10-09,121.64,121.64,117.7,1751878.0,117.82,118.49324269828394
427,2014-10-20,111.92,114.39,111.67,1871957.0,114.33,113.84569793460932
429,2014-10-22,114.41,114.54,111.99,3400191.0,112.81,112.56682656344789
431,2014-10-24,116.19,118.49,116.05,1865081.0,117.9,118.06082528371681
432,2014-10-27,117.83,118.13,117.1174,1600473.0,118.0,117.53743824328488
434,2014-10-29,118.45,118.62,115.135,3195532.0,116.09,115.92581314035098
435,2014-10-30,115.9,116.88,115.62,1835415.0,116.59,116.5314634948071
436,2014-10-31,118.41,118.58,117.06,2206510.0,117.57,117.48358324184349
438,2014-11-04,118.48,118.76,117.61,1469036.0,118.32,118.04616809808921
443,2014-11-11,116.69,118.64,116.33,1948068.0,118.3,118.08374744035642
445,2014-11-13,118.67,118.85,117.86,1207595.0,118.24,118.20352961299365
446,2014-11-14,117.93,118.86,117.84,1522340.0,118.75,118.67770520781751
452,2014-11-24,125.88,127.87,125.88,2150945.0,127.41,127.59773277400922
453,2014-11-25,127.76,129.69,127.22,1855690.0,127.88,128.997674198958
458,2014-12-03,128.7,129.37,128.47,1178262.0,128.92,129.12300618322078
459,2014-12-04,128.75,129.22,127.76,1098904.0,128.39,128.3920434158114
461,2014-12-08,128.09,129.04,127.7101,1382212.0,128.49,128.62780372229403
464,2014-12-11,127.34,128.94,126.43,1388693.0,126.72,128.00586117971523
465,2014-12-12,125.85,126.76,124.97,1108827.0,124.99,125.95496393087276
466,2014-12-15,125.42,126.14,122.89,1639133.0,123.73,124.02595685217216
467,2014-12-16,123.42,125.38,121.5,1538272.0,121.55,123.57650768169422
471,2014-12-22,128.64,129.4,127.77,1161394.0,128.93,128.6251294595586
478,2015-01-02,126.3,126.546,124.11,2722727.0,124.13,124.75694160868217
478,2015-01-02,126.3,128.49,126.16,2043711.0,128.12,128.07781702784624
481,2015-01-07,126.56,128.97,125.94,2098338.0,128.93,128.1386105943142
482,2015-01-08,129.46,131.06,129.46,2524350.0,130.27,130.83983910218828
483,2015-01-09,130.76,131.12,129.33,1912447.0,129.75,129.94117277960004
487,2015-01-15,126.3,126.546,124.11,2722727.0,124.13,124.75694160868217
487,2015-01-15,126.3,128.49,126.16,2043711.0,128.12,128.07781702784624
489,2015-01-20,126.0,126.5,124.09,2270142.0,125.24,124.90661809601447
492,2015-01-23,126.77,127.07,124.76,1993834.0,124.87,125.43032220059709
494,2015-01-27,124.16,125.85,124.12,1894282.0,124.88,125.5930353730127
500,2015-02-04,126.85,128.03,126.03,1531088.0,126.35,127.22707649057274
501,2015-02-05,126.76,127.49,125.87,1472761.0,127.04,126.69745851818423
502,2015-02-06,127.0,127.25,121.3,4172149.0,123.18,122.61190028788789
506,2015-02-12,126.76,127.49,125.87,1472761.0,127.04,126.69745851818423
511,2015-02-20,127.41,131.22,127.15,2170746.0,131.17,130.47280573939
513,2015-02-24,130.82,131.96,130.27,1385674.0,131.85,131.38416388029253
515,2015-02-26,130.76,131.12,129.33,1912447.0,129.75,129.94117277960004
520,2015-03-05,130.32,131.57,129.59,1544650.0,131.46,130.830383387755
522,2015-03-09,128.59,130.48,128.59,1185666.0,130.18,130.23962077464526
523,2015-03-10,127.45,128.47,126.18,1735000.0,127.03,127.3251658861527
528,2015-03-17,132.55,132.82,130.42,1544006.0,132.35,131.0979474793774
529,2015-03-18,132.16,134.62,131.11,1906953.0,133.89,133.44068565386257
530,2015-03-19,133.78,135.01,133.77,1638767.0,134.76,134.8524228477363
531,2015-03-20,135.88,136.88,134.85,2666340.0,136.63,135.91882207656897
533,2015-03-24,137.37,139.03,135.58,5124359.0,135.65,137.32009089071067
535,2015-03-26,132.67,133.97,132.21,1200832.0,133.07,133.44702487742694
539,2015-04-01,134.67,134.72,131.29,1801438.0,132.0,132.02076444420706
549,2015-04-16,133.26,133.53,132.31,1547435.0,132.49,132.75766747042974
554,2015-04-23,130.28,130.3,128.68,2254308.0,129.55,129.02813590496655
556,2015-04-27,130.7,130.89,129.54,928727.0,130.13,129.96978591028073
565,2015-05-08,128.96,130.2199,128.96,2121977.0,129.98,130.05601028077888
567,2015-05-12,130.0,130.24,128.11,1465150.0,129.61,128.71578779244243
571,2015-05-18,130.25,130.4799,129.74,1250036.0,129.97,130.07131120793514
574,2015-05-21,132.19,133.48,131.8375,2328749.0,132.84,133.02584441755172
578,2015-05-28,130.7,130.89,129.54,928727.0,130.13,129.96978591028073
579,2015-05-29,130.24,131.0399,129.13,2237196.0,129.19,130.04861830081146
580,2015-06-01,129.84,135.74,129.7,2598226.0,135.28,134.7776897710749
580,2015-06-01,129.84,129.94,128.51,1209190.0,129.46,128.8910986673095
581,2015-06-02,129.1,130.03,128.34,847697.0,129.57,129.3242492461222
587,2015-06-10,128.59,130.48,128.59,1185666.0,130.18,130.23962077464526
597,2015-06-24,129.15,131.47,128.88,2000897.0,130.27,130.93603685743204
605,2015-07-07,130.86,133.0,127.18,4610503.0,128.17,129.70524367190924
609,2015-07-13,131.37,134.38,130.75,1732531.0,134.29,133.46893909709226
613,2015-07-17,136.26,136.78,135.05,1477627.0,135.75,135.76425612861328
616,2015-07-22,140.22,141.25,138.08,3412245.0,140.06,139.38040747968304
618,2015-07-24,139.64,140.72,137.6,1345473.0,137.94,138.95807857041996
621,2015-07-29,138.31,139.76,138.31,1099560.0,139.62,139.58913703006394
625,2015-08-04,138.68,138.99,137.51,857654.0,137.77,138.0484900356415
630,2015-08-11,135.72,136.47,133.85,1546774.0,134.58,134.88819482346292
634,2015-08-17,134.6,136.4,134.01,892158.0,136.31,135.70528466023478
637,2015-08-20,133.58,137.15,133.38,1877859.0,137.07,136.4934732071719
638,2015-08-21,131.01,132.04,127.91,2046115.0,127.96,129.41732193999653
639,2015-08-24,120.9,120.98,119.68,1172599.0,120.08,120.01968428040009
641,2015-08-26,122.56,125.46,121.22,3074126.0,125.26,123.95969393993501
642,2015-08-27,126.725,128.1,125.57,2159487.0,127.91,126.98840699465022
644,2015-08-31,126.51,127.24,124.885,2601392.0,125.37,125.8369651639367
651,2015-09-10,121.23,122.63,121.06,1883638.0,122.03,122.30985301906613
656,2015-09-17,126.42,130.76,126.01,3074883.0,128.23,129.79907235424722
674,2015-10-13,125.07,126.7,124.83,898520.0,125.48,126.30795981568359
678,2015-10-19,126.27,129.07,125.98,2007488.0,129.03,128.44856932481494
681,2015-10-22,127.76,129.69,127.22,1855690.0,127.88,128.997674198958
687,2015-10-30,131.42,132.41,130.78,2435613.0,130.78,131.7662512619605
688,2015-11-02,131.28,134.76,131.01,1618556.0,134.54,134.06376607171546
689,2015-11-03,134.08,134.69,132.61,1460169.0,134.26,133.45133958422457
692,2015-11-06,133.97,134.42,133.11,1242154.0,134.3,133.69918804525062
697,2015-11-13,132.67,133.97,132.21,1200832.0,133.07,133.44702487742694
699,2015-11-17,135.0,135.26,133.14,2470850.0,134.31,133.74203989678756
703,2015-11-23,137.8,138.6,137.07,1818981.0,137.6,137.92443489984035
705,2015-11-25,137.8,138.6,137.07,1818981.0,137.6,137.92443489984035
709,2015-12-02,138.52,138.87,136.53,1534002.0,136.77,137.25139120026986
711,2015-12-04,133.58,137.15,133.38,1877859.0,137.07,136.4934732071719
717,2015-12-14,133.85,135.57,133.414,1452483.0,135.41,135.0011858004566
719,2015-12-16,138.68,138.99,137.51,857654.0,137.77,138.0484900356415
722,2015-12-21,135.76,137.64,135.58,1325891.0,137.55,137.2566651061986
725,2015-12-24,140.94,141.75,140.75,370701.0,141.32,141.53305010485437
726,2015-12-28,140.97,141.21,140.525,835653.0,140.7,140.86335793928188
729,2015-12-31,141.97,143.21,141.84,1144968.0,141.85,142.9658756620759
731,2016-01-05,139.0,139.75,138.415,1076582.0,138.82,139.21136079097846
733,2016-01-07,135.0,135.26,133.14,2470850.0,134.31,133.74203989678756
737,2016-01-13,137.42,138.01,133.0,2521224.0,133.77,134.3839675531956
740,2016-01-19,134.57,135.65,132.9,3007161.0,134.91,134.15591051669762
