,date,open,high,low,volume,Actual,Predicted
0,2013-02-08,57.16,59.36,57.0101,9005266.0,58.97,58.743768358862305
1,2013-02-11,57.56,57.71,57.05,4166702.0,57.12,57.24371751962392
5,2013-02-15,57.06,57.495,57.04,5751137.0,57.32,57.1931751296681
8,2013-02-21,55.57,55.94,54.88,6357223.0,55.24,55.26907431304938
10,2013-02-25,54.69,54.75,53.29,6811904.0,53.3,53.707393177883574
14,2013-03-01,53.34,53.795,52.88,6973518.0,53.52,53.21528084600465
15,2013-03-04,53.31,53.5,53.13,4782998.0,53.32,53.18450241480981
18,2013-03-07,53.76,54.18,53.685,4456669.0,53.8,53.921682944104305
27,2013-03-20,55.47,55.53,54.81,4525969.0,54.88,54.97890827113483
28,2013-03-21,54.69,54.75,53.29,6811904.0,53.3,53.707393177883574
29,2013-03-22,55.14,55.78,55.09,6059477.0,55.65,55.442495485117256
31,2013-03-26,55.14,55.78,55.09,6059477.0,55.65,55.442495485117256
34,2013-04-01,57.16,59.36,57.0101,9005266.0,58.97,58.743768358862305
39,2013-04-08,62.07,62.37,61.295,4545510.0,61.89,61.72829762358595
44,2013-04-15,62.72,63.0,61.58,4627777.0,61.59,62.16442730072182
45,2013-04-16,62.18,63.0,61.77,4976365.0,62.81,62.49988210226182
49,2013-04-22,59.99,60.1,58.64,6020853.0,59.22,59.10454496727886
52,2013-04-25,59.13,59.41,58.61,5669009.0,59.34,58.85531129229244
55,2013-04-30,60.14,60.38,59.21,5698480.0,59.93,59.6107098092298
58,2013-05-03,59.79,60.03,58.87,5149453.0,58.92,59.293277977718894
60,2013-05-07,60.08,61.13,59.93,4830638.0,60.5,60.765582813743926
64,2013-05-13,62.67,62.8,62.26,3490372.0,62.39,62.40534491468776
70,2013-05-21,62.57,63.03,62.45,3248961.0,62.87,62.780699035233944
75,2013-05-29,63.32,63.55,62.81,5009278.0,63.35,63.02350821363716
82,2013-06-07,62.27,62.93,61.7,5218723.0,62.57,62.34320888264614
85,2013-06-12,64.24,64.51,63.62,3891093.0,63.83,63.975821972688934
