,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,44.3,44.44,44.12,5750092.0,44.32,44.26136784777004
5,2013-02-15,44.39,44.62,44.16,11986419.0,44.4,44.400184941692416
8,2013-02-21,44.73,45.28,44.4,15118201.0,45.12,44.97310296722072
10,2013-02-25,45.5,45.99,45.43,19945813.0,45.72,45.81657243402713
14,2013-03-01,46.22,46.76,46.11,12749647.0,46.72,46.565215564728874
15,2013-03-04,46.7,46.745,46.18,11900872.0,46.45,46.38246124988333
15,2013-03-04,46.7,47.11,46.59,9939722.0,47.11,46.928471375488286
16,2013-03-05,47.4,47.57,47.21,10584643.0,47.48,47.36618366867281
16,2013-03-05,47.4,47.49,46.07,41610870.0,46.28,46.66852278485619
16,2013-03-05,47.4,47.66,47.01,24384774.0,47.01,47.32963635060039
18,2013-03-07,47.4,47.57,47.21,10584643.0,47.48,47.36618366867281
18,2013-03-07,47.4,47.49,46.07,41610870.0,46.28,46.66852278485619
18,2013-03-07,47.4,47.66,47.01,24384774.0,47.01,47.32963635060039
21,2013-03-12,47.71,48.0,47.37,9088731.0,47.981,47.70677524950116
26,2013-03-19,48.9,49.36,48.82,13950131.0,49.17,49.176637765077444
27,2013-03-20,49.06,49.38,49.008,6927888.0,49.22,49.230893405082234
27,2013-03-20,49.06,49.17,48.53,15014353.0,48.6,48.783590285965225
27,2013-03-20,49.06,49.46,48.47,20085169.0,49.01,49.00965743889358
28,2013-03-21,48.33,48.37,48.0,10758395.0,48.12,48.10168069850771
31,2013-03-26,49.38,49.59,49.16,11663246.0,49.48,49.357789146553735
33,2013-03-28,48.99,49.43,48.77,11466919.0,49.43,49.177629997331934
34,2013-04-01,49.06,49.38,49.008,6927888.0,49.22,49.230893405082234
34,2013-04-01,49.06,49.17,48.53,15014353.0,48.6,48.783590285965225
34,2013-04-01,49.06,49.46,48.47,20085169.0,49.01,49.00965743889358
36,2013-04-03,49.43,49.78,49.1,35022353.0,49.52,49.45375048913197
36,2013-04-03,49.43,49.55,49.01,14327569.0,49.02,49.219215947467326
38,2013-04-05,49.05,49.28,48.99,5459999.0,49.15,49.13678603314328
39,2013-04-08,48.99,49.43,48.77,11466919.0,49.43,49.177629997331934
40,2013-04-09,49.52,49.73,49.32,11576149.0,49.66,49.50774953980565
41,2013-04-10,49.47,49.65,49.3799,8432832.0,49.54,49.49123532378264
43,2013-04-12,50.49,50.91,50.05,10922643.0,50.51,50.53937410871636
44,2013-04-15,50.66,51.29,50.64,11267141.0,51.2,51.11740124106548
44,2013-04-15,50.66,51.056,50.26,14451035.0,50.64,50.70435015774197
