,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,39.395,39.5425,38.985,11032112.0,39.0825,39.184713510014184
5,2013-02-15,39.0875,39.52,38.935,17891168.0,39.4975,39.276600081649214
8,2013-02-21,38.78,39.5725,38.6975,14220580.0,39.36,39.34144730292736
10,2013-02-25,39.8,40.0875,38.9725,11177204.0,38.9725,39.41047019221921
14,2013-03-01,39.4825,39.715,39.1625,13212916.0,39.52,39.400128499825804
15,2013-03-04,39.44,39.885,39.3875,6569720.0,39.875,39.7569861168935
18,2013-03-07,40.2175,40.445,39.9125,8687144.0,40.1275,40.15964137620308
27,2013-03-20,39.25,39.9925,39.18,16070016.0,39.8325,39.76997513223156
31,2013-03-26,41.225,41.945,41.135,17267556.0,41.865,41.70580189960095
34,2013-04-01,42.4375,42.7475,41.7253,13236436.0,41.8375,42.14001480942594
39,2013-04-08,41.41,41.5925,41.12,6125312.0,41.5725,41.334337209546185
44,2013-04-15,41.155,41.22,40.3225,10773268.0,40.3225,40.57301972763204
45,2013-04-16,40.6625,41.2,40.625,10096152.0,41.1775,41.05433062960748
49,2013-04-22,40.8925,41.0875,40.6225,5403332.0,40.8825,40.84493312928445
52,2013-04-25,41.9775,42.62,41.86,9335380.0,42.19,42.40441057639096
55,2013-04-30,42.1475,42.475,42.01,12166080.0,42.115,42.27963972836825
58,2013-05-03,44.24,45.21,44.1075,15026356.0,44.885,44.91174398604579
60,2013-05-07,44.8725,44.965,44.305,11876096.0,44.9475,44.49712126956261
64,2013-05-13,44.645,45.11,44.5325,12479684.0,44.7325,44.91005702144615
70,2013-05-21,45.385,45.6725,45.0975,13429516.0,45.3875,45.3694384768932
75,2013-05-29,44.805,45.05,44.5175,7490024.0,44.535,44.777520157389034
82,2013-06-07,45.1625,45.25,44.8875,13898416.0,44.985,44.983301950401405
85,2013-06-12,45.16,45.16,44.6775,9994624.0,44.7875,44.77384454056221
92,2013-06-21,45.0,45.375,44.7,17923692.0,44.875,45.03212558412305
103,2013-07-09,47.2375,47.3825,46.65,23331236.0,46.8,46.84515403634952
108,2013-07-16,47.5475,47.6825,47.175,7509664.0,47.345,47.36421214620836
113,2013-07-23,47.6825,47.8675,47.135,11706188.0,47.145,47.39988478424891
122,2013-08-05,46.0,46.285,45.7,11479412.0,46.135,45.98104538579089
124,2013-08-07,45.3525,45.5,44.975,15560284.0,45.3475,45.144533464138796
140,2013-08-29,43.7775,44.32,43.6975,9404832.0,43.8425,44.14477058127564
141,2013-08-30,43.8525,43.875,43.4525,9886588.0,43.605,43.54542606776244
142,2013-09-03,44.0075,44.6,43.8125,12551628.0,44.255,44.32249456463268
152,2013-09-17,47.33,47.975,47.1388,10400684.0,47.9,47.69987724837507
156,2013-09-23,49.49,50.215,49.0,19551704.0,49.06,49.67682641363356
159,2013-09-26,48.1125,48.625,47.915,9326500.0,48.39,48.368796389485205
161,2013-09-30,47.7,47.99,47.5625,9568604.0,47.775,47.808356352577746
184,2013-10-31,49.2612,49.725,48.565,23983764.0,49.1675,49.05994108644843
186,2013-11-04,49.92,50.0,49.0475,11090132.0,49.105,49.31732811765984
187,2013-11-05,48.845,49.4935,48.75,11083668.0,49.3425,49.283125699725744
192,2013-11-12,49.7025,49.795,49.2125,9016572.0,49.5675,49.392037822560404
194,2013-11-14,49.9825,50.0575,49.6925,10909500.0,50.0375,49.79205074797595
198,2013-11-20,49.445,50.05,49.4175,10197220.0,49.53,49.897518950259176
202,2013-11-26,50.665,50.9,50.405,11255140.0,50.88,50.63087365392605
204,2013-11-29,51.1275,51.2675,50.865,4139016.0,50.865,51.039193384792256
205,2013-12-02,51.025,51.8275,50.84,14273132.0,51.5225,51.516495764395515
206,2013-12-03,49.9825,50.0575,49.6925,10909500.0,50.0375,49.79205074797595
211,2013-12-10,50.2275,50.4225,49.8575,15669324.0,49.8575,50.06296141570117
214,2013-12-13,51.1275,51.2675,50.865,4139016.0,50.865,51.039193384792256
224,2013-12-30,55.1475,55.404,54.925,5940188.0,55.2275,55.178211711996845
231,2014-01-09,55.8875,56.13,55.415,8451228.0,55.4775,55.71730386796698
233,2014-01-13,55.505,56.0463,54.6525,13554716.0,54.725,55.29809127447657
240,2014-01-23,57.915,58.0825,56.915,13664840.0,57.0625,57.28222680264682
247,2014-02-03,54.1275,54.4588,53.0175,21743148.0,53.3675,53.5248227038701
249,2014-02-05,53.31,54.185,53.2803,13523608.0,53.9025,53.97633387178597
251,2014-02-07,55.0475,55.5,54.615,12580416.0,55.445,55.06872015873729
254,2014-02-12,55.86,56.225,55.7225,14656320.0,56.0425,56.00831627668341
263,2014-02-26,56.8075,56.975,56.315,10413568.0,56.5275,56.55064362215261
268,2014-03-05,56.405,56.45,55.575,11329892.0,55.7025,55.79910246485713
269,2014-03-06,55.94,56.5175,55.83,9125960.0,55.965,56.31179289958304
270,2014-03-07,56.2375,56.4325,55.885,8971584.0,56.39,56.110146846295024
271,2014-03-10,56.3775,56.5925,56.18,7355232.0,56.375,56.384365724935336
283,2014-03-26,54.9875,55.0475,53.92,10667356.0,53.92,54.228165600811295
295,2014-04-11,49.8075,50.0,48.71,29940648.0,49.1575,49.063755546153274
298,2014-04-16,51.75,52.39,51.37,15832712.0,52.34,51.95693719255402
299,2014-04-17,52.585,52.885,51.9875,13379428.0,51.9875,52.356032427711035
302,2014-04-23,52.575,52.575,52.0,8823036.0,52.205,52.1244817544981
303,2014-04-24,52.45,52.625,51.8975,13547036.0,52.35,52.14581157395674
308,2014-05-01,51.025,51.8275,50.84,14273132.0,51.5225,51.516495764395515
310,2014-05-05,50.9375,51.97,50.75,13794736.0,51.7825,51.62555029485015
311,2014-05-06,51.675,51.755,51.3,10873108.0,51.34,51.42758837862459
317,2014-05-14,52.8,52.97,52.465,6852788.0,52.465,52.673835336050885
319,2014-05-16,51.8975,52.5225,51.8975,12283908.0,52.4525,52.377224016135
320,2014-05-19,52.345,52.745,52.2125,7039712.0,52.59,52.55916840593474
322,2014-05-21,52.2125,52.6673,52.1475,9096584.0,52.525,52.51333542042852
328,2014-05-30,53.97,53.9875,53.3325,6142704.0,53.7075,53.50011402319351
333,2014-06-06,53.1325,53.35,52.9025,10002916.0,53.25,53.10890286643103
342,2014-06-19,52.8675,53.04,52.005,15331316.0,52.58,52.33248057249027
349,2014-06-30,52.165,52.935,52.125,9985672.0,52.6775,52.74918684126571
351,2014-07-02,53.72,53.8725,53.5625,5780668.0,53.71,53.70956337299811
358,2014-07-14,54.6875,55.59,54.4125,13725012.0,55.2575,55.20082543038018
359,2014-07-15,55.4175,56.1875,55.225,10902016.0,55.445,55.887754042030814
361,2014-07-17,55.485,55.5,54.4575,9832240.0,54.47,54.718983273352215
364,2014-07-22,55.23,55.6475,55.1525,7699120.0,55.315,55.49448478166094
381,2014-08-14,53.0225,53.1475,52.8275,7136780.0,53.13,52.95660171722396
386,2014-08-21,54.125,54.2425,53.9275,5552508.0,53.9375,54.056888514819526
390,2014-08-27,54.28,54.3825,53.8227,8035580.0,54.2825,54.00348958039422
393,2014-09-02,53.3525,53.7425,53.1775,8077416.0,53.6825,53.52315963619664
397,2014-09-08,53.5025,54.055,53.375,10275216.0,53.9425,53.8368079537076
401,2014-09-12,53.72,53.8725,53.5625,5780668.0,53.71,53.70956337299811
402,2014-09-15,53.4625,53.9025,53.4625,7039100.0,53.66,53.804931275452724
406,2014-09-19,54.4225,54.5375,53.8725,20475552.0,54.0625,54.039908095313486
408,2014-09-23,53.475,53.475,53.115,7963564.0,53.115,53.181062055868864
412,2014-09-29,52.5525,52.865,52.28,8788964.0,52.7325,52.584844326965005
416,2014-10-03,52.7575,53.075,52.545,9966504.0,52.9975,52.83207234120471
418,2014-10-07,52.7025,52.7725,51.9625,8950228.0,52.0125,52.1933978536338
