,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,34.95,35.39,34.92,24198800.0,35.26,35.30279879672195
5,2013-02-15,35.24,35.36,35.02,21107532.0,35.16,35.19156137874228
8,2013-02-21,35.05,35.68,35.02,38031161.0,35.46,35.562030099845295
10,2013-02-25,35.84,35.95,34.77,27031799.0,34.79,35.13237247781251
14,2013-03-01,34.94,35.565,34.85,20627017.0,35.39,35.390066415451976
15,2013-03-04,35.37,35.88,35.33,16880899.0,35.85,35.76466721620127
18,2013-03-07,36.13,36.48,36.08,21497816.0,36.42,36.39285474771515
27,2013-03-20,37.65,37.84,37.35,19050384.0,37.44,37.59028130576946
31,2013-03-26,37.43,37.4515,37.07,18635413.0,37.3,37.19121323375645
34,2013-04-01,37.02,37.09,36.75,10906380.0,36.93,36.88403911980874
34,2013-04-01,37.02,37.42,36.54,23090305.0,36.57,36.99099670539277
38,2013-04-05,36.81,36.86,36.4,14432458.0,36.73,36.55319177414551
39,2013-04-08,37.11,37.11,36.62,20086368.0,37.02,36.755613392860894
44,2013-04-15,37.02,37.09,36.75,10906380.0,36.93,36.88403911980874
44,2013-04-15,37.02,37.42,36.54,23090305.0,36.57,36.99099670539277
45,2013-04-16,36.85,37.225,36.75,20353235.0,37.06,37.092246491317425
46,2013-04-17,36.81,36.86,36.4,14432458.0,36.73,36.55319177414551
49,2013-04-22,36.81,36.86,36.4,14432458.0,36.73,36.55319177414551
50,2013-04-23,36.85,37.225,36.75,20353235.0,37.06,37.092246491317425
52,2013-04-25,37.47,37.8,37.33,14861014.0,37.64,37.641280371895526
55,2013-04-30,37.96,38.04,37.54,20587123.0,37.98,37.721731467634214
58,2013-05-03,37.74,37.92,37.6,15881294.0,37.74,37.793286140392645
60,2013-05-07,38.02,38.56,37.91,23272904.0,38.4,38.38500758614218
63,2013-05-10,38.04,38.29,37.83,12774199.0,38.2,38.092024390357615
64,2013-05-13,38.04,38.29,37.83,12774199.0,38.2,38.092024390357615
70,2013-05-21,40.33,40.8,40.17,23055244.0,40.68,40.59781792867179
75,2013-05-29,40.36,40.9,40.21,22847891.0,40.75,40.690542232012554
76,2013-05-30,40.79,40.95,40.12,18319933.0,40.27,40.41668589137844
82,2013-06-07,41.23,41.38,40.81,23458489.0,41.25,41.04420520946242
85,2013-06-12,40.79,40.95,40.12,18319933.0,40.27,40.41668589137844
92,2013-06-21,40.64,41.2,40.15,38850178.0,40.96,40.73512021114078
103,2013-07-09,42.95,43.08,42.23,22544383.0,42.7,42.51431809641469
108,2013-07-16,43.35,43.45,42.85,21829002.0,43.02,43.05899154010343
113,2013-07-23,44.65,44.785,44.5,13432417.0,44.57,44.6484504067461
115,2013-07-25,44.22,44.44,44.05,14352407.0,44.11,44.27134369125733
122,2013-08-05,44.47,44.55,44.22,14162266.0,44.34,44.34883108032122
124,2013-08-07,43.34,43.505,43.27,18578865.0,43.27,43.429142865530736
131,2013-08-16,42.68,42.75,42.07,13379204.0,42.28,42.27577858796648
136,2013-08-23,42.68,42.75,42.07,13379204.0,42.28,42.27577858796648
140,2013-08-29,41.06,41.54,40.9,20307689.0,41.32,41.332762191313414
140,2013-08-29,41.06,41.66,41.03,10512561.0,41.25,41.520769137713906
141,2013-08-30,41.37,41.42,40.92,15031829.0,41.08,41.07623214976373
142,2013-09-03,41.65,41.85,41.06,15949324.0,41.39,41.366965021635714
152,2013-09-17,42.97,43.05,42.57,16797875.0,42.85,42.7373040756616
156,2013-09-23,42.42,42.52,42.06,16474582.0,42.31,42.23444916643765
159,2013-09-26,41.92,42.2,41.41,20494186.0,41.61,41.76440228198755
161,2013-09-30,41.06,41.54,40.9,20307689.0,41.32,41.332762191313414
161,2013-09-30,41.06,41.66,41.03,10512561.0,41.25,41.520769137713906
162,2013-10-01,41.37,41.42,40.92,15031829.0,41.08,41.07623214976373
166,2013-10-07,40.79,40.95,40.12,18319933.0,40.27,40.41668589137844
177,2013-10-22,42.75,42.84,42.53,11921602.0,42.7,42.660755400699166
