,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,71.25,71.51,70.53,6202534.0,71.4,70.90795070224637
1,2013-02-11,71.25,72.37,71.15,6829195.0,71.93,72.08332309375844
5,2013-02-15,69.54,70.0,68.13,25687156.0,69.3,68.64339044453558
8,2013-02-21,70.0,71.47,69.72,20425983.0,70.26,70.84143433074945
8,2013-02-21,70.0,70.365,69.8,7098829.0,70.1,70.10389836018926
10,2013-02-25,70.5,71.34,70.44,11819590.0,70.44,71.05666953742089
14,2013-03-01,70.78,71.9,70.78,8902516.0,71.74,71.65797838850189
15,2013-03-04,71.52,73.26,71.51,10567354.0,73.26,72.9085655068847
18,2013-03-07,73.4899,73.61,73.2,6689031.0,73.32,73.32523237695767
22,2013-03-13,73.89,74.43,73.61,6136444.0,74.39,74.10355075448719
26,2013-03-19,72.42,72.8,71.93,5873371.0,72.25,72.3490164875724
27,2013-03-20,72.81,73.375,72.74,6309979.0,72.99,73.1905166249646
27,2013-03-20,72.81,73.99,72.81,5868395.0,73.78,73.77870687391207
30,2013-03-25,74.14,75.22,73.92,7040685.0,75.14,74.85319783225249
30,2013-03-25,74.14,75.11,74.11,7681252.0,74.8,74.88388888639753
31,2013-03-26,74.93,75.09,74.43,6642358.0,74.77,74.65324216429896
33,2013-03-28,74.84,75.12,74.47,6019150.0,74.96,74.76662656391336
33,2013-03-28,74.84,75.47,74.79,4272059.0,75.15,75.3173979240359
34,2013-04-01,75.0,75.93,74.9,8416097.0,75.43,75.65130365384152
37,2013-04-04,76.03,77.155,76.03,7388035.0,76.89,76.93426947375279
37,2013-04-04,76.03,76.06,75.3,8111282.0,75.52,75.46086004230473
39,2013-04-08,76.1,77.445,75.83,8075057.0,77.29,76.99622885727311
41,2013-04-10,78.28,78.3,77.37,7961644.0,77.72,77.57849497489961
44,2013-04-15,78.44,79.28,78.43,8549081.0,78.47,79.07722353042215
45,2013-04-16,78.23,78.86,78.0301,6854546.0,78.68,78.57194307156597
49,2013-04-22,78.29,78.44,77.5,5155003.0,77.97,77.82049490776781
50,2013-04-23,78.11,78.83,77.66,7072744.0,77.86,78.35085452806113
52,2013-04-25,78.18,78.8275,77.881,5730230.0,78.65,78.48106966810174
53,2013-04-26,78.58,78.97,78.44,7584938.0,78.49,78.74724780106199
54,2013-04-29,79.08,79.5,78.733,8511711.0,79.15,79.11616407499335
55,2013-04-30,78.28,78.3,77.37,7961644.0,77.72,77.57849497489961
58,2013-05-03,78.92,79.34,78.9,5599388.0,79.25,79.22259731279581
59,2013-05-06,79.1,79.143,78.77,6571101.0,78.83,78.84513819038483
60,2013-05-07,79.1,79.143,78.77,6571101.0,78.83,78.84513819038483
62,2013-05-09,78.31,78.5,78.21,6474360.0,78.37,78.34553148952156
64,2013-05-13,78.8,78.94,77.915,7714538.0,78.5,78.22357159279333
66,2013-05-15,78.8,78.94,77.915,7714538.0,78.5,78.22357159279333
70,2013-05-21,77.62,78.18,77.25,7484386.0,77.39,77.7731247711943
75,2013-05-29,77.05,77.05,76.06,5882206.0,76.23,76.29961407571493
76,2013-05-30,76.49,77.37,76.28,6904853.0,77.26,77.03993485069999
