,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,88.35,88.51,87.97,8764645.0,88.28,88.17712920695386
5,2013-02-15,88.57,88.61,87.8,15696943.0,88.36,88.03401730407715
8,2013-02-21,88.79,89.018,88.36,10939724.0,88.59,88.64321276763972
10,2013-02-25,89.88,90.191,87.7,15303546.0,87.7,88.53182711263149
14,2013-03-01,89.07,89.68,88.92,11302278.0,89.43,89.44175255665482
15,2013-03-04,89.13,89.25,88.46,10994996.0,88.95,88.71992977169042
18,2013-03-07,89.63,89.76,88.68,12890263.0,88.71,89.02925056039454
21,2013-03-12,89.45,90.96,89.2,19173136.0,89.62,90.50606244817853
23,2013-03-14,89.41,90.3,89.36,12329745.0,90.13,90.08713876978554
26,2013-03-19,88.89,88.9,87.65,16328635.0,88.07,87.98719541482359
27,2013-03-20,88.95,89.21,88.3,11319019.0,88.63,88.66931089932507
29,2013-03-22,88.4,88.63,87.355,10137435.0,88.11,87.80034605744098
31,2013-03-26,89.41,90.3,89.36,12329745.0,90.13,90.08713876978554
34,2013-04-01,90.13,90.985,89.98,9415826.0,90.77,90.69814631422042
36,2013-04-03,90.65,91.48,90.0,13590721.0,90.72,90.84425633812431
37,2013-04-04,90.1,90.98,89.76,11155111.0,90.89,90.5541637237429
39,2013-04-08,89.11,89.11,88.1501,11013906.0,88.6,88.38938024020193
42,2013-04-11,88.95,89.21,88.3,11319019.0,88.63,88.66931089932507
44,2013-04-15,88.29,88.91,87.64,12227727.0,87.75,88.30407240863839
44,2013-04-15,88.29,88.67,86.27,19628202.0,86.49,87.12489415281269
45,2013-04-16,87.19,87.23,86.085,14578729.0,86.61,86.40197685789676
49,2013-04-22,87.61,88.32,87.285,11262646.0,88.09,87.93165834784804
49,2013-04-22,87.61,89.01,86.12,23928098.0,88.95,87.67658018334232
51,2013-04-24,89.45,90.96,89.2,19173136.0,89.62,90.50606244817853
52,2013-04-25,88.89,88.9,87.65,16328635.0,88.07,87.98719541482359
54,2013-04-29,88.26,88.99,87.76,14579439.0,88.99,88.48069234844424
55,2013-04-30,88.26,88.99,87.76,14579439.0,88.99,88.48069234844424
58,2013-05-03,89.0,90.19,88.92,13036606.0,90.02,89.9009046024067
60,2013-05-07,90.62,91.15,90.145,11087372.0,91.15,90.69067154735909
62,2013-05-09,91.14,91.78,90.38,16760994.0,91.09,91.1090284522602
64,2013-05-13,89.8,90.14,89.43,9812126.0,90.1,89.78734775610185
70,2013-05-21,92.67,93.32,92.5,10727290.0,92.67,93.06557270931944
70,2013-05-21,92.67,93.43,92.38,12520506.0,92.8,93.07247293277388
75,2013-05-29,91.76,92.415,91.59,11563102.0,92.08,92.16019646542743
79,2013-06-04,91.18,91.55,91.133,8163804.0,91.34,91.42687908878743
81,2013-06-06,89.45,90.96,89.2,19173136.0,89.62,90.50606244817853
82,2013-06-07,90.89,90.96,90.52,4266541.0,90.71,90.64318510094448
82,2013-06-07,90.89,91.5,90.49,12505835.0,91.45,91.08567746903958
85,2013-06-12,91.13,91.32,89.59,10864418.0,89.74,90.14238478005826
86,2013-06-13,89.63,89.76,88.68,12890263.0,88.71,89.02925056039454
92,2013-06-21,89.76,90.14,88.85,25500392.0,89.48,89.42986780208659
93,2013-06-24,88.95,89.21,88.3,11319019.0,88.63,88.66931089932507
100,2013-07-03,90.63,91.89,90.63,10826502.0,91.77,91.64359161951916
103,2013-07-09,92.64,93.44,92.25,12937587.0,93.34,93.00286416105813
107,2013-07-15,93.19,93.47,92.77,11413454.0,93.3,93.10360876941532
108,2013-07-16,93.19,93.47,92.77,11413454.0,93.3,93.10360876941532
112,2013-07-22,94.87,95.11,94.65,9352535.0,95.09,94.89522944452725
113,2013-07-23,94.86,95.49,94.84,7377506.0,95.2,95.34407893416713
122,2013-08-05,91.42,91.76,91.01,12625883.0,91.59,91.38970573452178
124,2013-08-07,91.18,91.55,91.133,8163804.0,91.34,91.42687908878743
127,2013-08-12,90.43,90.66,88.51,18759590.0,88.96,89.21794468496014
134,2013-08-21,86.95,87.4,86.42,6614908.0,86.74,86.89417221414449
134,2013-08-21,86.95,87.1348,86.37,7449634.0,86.47,86.64375109431066
137,2013-08-26,87.5,87.65,87.03,13451350.0,87.48,87.26496317786169
139,2013-08-28,87.28,87.44,86.96,8357353.0,87.21,87.14770387692386
140,2013-08-29,88.63,88.63,87.23,11408105.0,87.27,87.58657017237363
141,2013-08-30,87.39,87.55,86.79,12480433.0,87.16,87.06462127372502
141,2013-08-30,87.39,87.82,86.92,11741074.0,87.48,87.37794351556347
142,2013-09-03,87.7,88.0,86.835,10546795.0,87.15,87.28923310113487
143,2013-09-04,87.01,87.49,86.6,14632941.0,87.49,87.09046181166336
147,2013-09-10,88.4,88.63,87.355,10137435.0,88.11,87.80034605744098
148,2013-09-11,87.88,88.16,87.11,9570809.0,87.73,87.52014439521446
152,2013-09-17,88.71,89.35,88.65,8943341.0,88.94,89.16453837636895
152,2013-09-17,88.71,89.0,86.6,24568339.0,86.6,87.42093522265907
156,2013-09-23,88.29,88.91,87.64,12227727.0,87.75,88.30407240863839
156,2013-09-23,88.29,88.67,86.27,19628202.0,86.49,87.12489415281269
159,2013-09-26,87.4,87.45,86.81,9787077.0,87.07,86.98436542750767
161,2013-09-30,86.06,86.7,85.61,17486142.0,86.04,86.24795356141898
176,2013-10-21,87.5,87.65,87.03,13451350.0,87.48,87.26496317786169
184,2013-10-31,89.45,90.96,89.2,19173136.0,89.62,90.50606244817853
186,2013-11-04,90.0,92.27,90.0,20592370.0,92.1,91.86441802283358
187,2013-11-05,91.34,93.25,91.24,21110485.0,91.99,92.84191352937842
189,2013-11-07,92.64,93.44,92.25,12937587.0,93.34,93.00286416105813
192,2013-11-12,92.67,93.32,92.5,10727290.0,92.67,93.06557270931944
192,2013-11-12,92.67,93.43,92.38,12520506.0,92.8,93.07247293277388
194,2013-11-14,92.68,93.42,92.68,7868713.0,93.22,93.26528343358095
198,2013-11-20,95.75,95.9499,94.37,10459364.0,94.68,94.8964080914039
200,2013-11-22,94.96,95.21,93.83,12355397.0,94.66,94.3346360813693
202,2013-11-26,94.75,94.81,94.15,11859551.0,94.27,94.35677650357611
204,2013-11-29,93.65,94.22,93.3,6770498.0,93.48,93.83866147432532
206,2013-12-03,93.6,94.11,92.58,11572112.0,93.92,93.26213474405776
207,2013-12-04,94.19,94.53,93.22,9740056.0,94.49,93.74608245900365
211,2013-12-10,95.9,95.975,95.39,9868328.0,95.71,95.5816001158401
213,2013-12-12,94.5,94.89,93.89,13498531.0,94.52,94.37276117213092
215,2013-12-16,96.28,97.16,96.03,10300659.0,96.03,96.81070931816889
224,2013-12-30,101.53,101.55,100.31,9008884.0,100.31,100.65506717238613
231,2014-01-09,100.2,100.39,99.03,11679041.0,99.76,99.50541575700316
233,2014-01-13,99.91,100.1,98.27,12112226.0,98.55,98.87117926130183
240,2014-01-23,97.25,97.39,96.01,15397746.0,96.97,96.46803924929839
247,2014-02-03,91.915,92.31,89.64,20381403.0,90.05,90.58485254297301
249,2014-02-05,90.305,90.61,89.38,16395819.0,89.58,89.87701721889829
251,2014-02-07,90.12,90.63,89.75,12632454.0,90.58,90.2549236993298
252,2014-02-10,90.45,90.87,89.85,10161030.0,90.43,90.33617985562955
254,2014-02-12,91.01,91.86,90.64,10753088.0,91.08,91.4184242072766
259,2014-02-20,93.85,93.85,92.77,11394514.0,93.71,93.0523554205953
263,2014-02-26,96.56,96.86,95.53,9088471.0,95.79,96.04251583101293
268,2014-03-05,95.2,95.29,93.395,19836928.0,93.8,93.97143476294018
269,2014-03-06,93.67,93.94,93.27,12612051.0,93.76,93.59467968653256
270,2014-03-07,94.37,95.06,93.99,12660051.0,94.99,94.65335683168804
271,2014-03-10,95.15,95.55,94.66,9967356.0,95.5,95.10992881725731
283,2014-03-26,95.56,95.58,94.41,11033634.0,94.7,94.72982927252504
291,2014-04-07,97.25,97.39,96.01,15397746.0,96.97,96.46803924929839
295,2014-04-11,96.51,97.4399,96.28,13353028.0,96.72,97.10555116883161
298,2014-04-16,99.05,100.1,98.97,12508091.0,99.94,99.85639163906711
299,2014-04-17,99.69,100.97,99.69,15439810.0,100.42,100.75258920063841
302,2014-04-23,100.59,100.95,100.33,8691639.0,100.5,100.69380202803374
302,2014-04-23,100.59,101.0,100.32,10369477.0,100.74,100.73217196185307
303,2014-04-24,100.48,100.6,99.86,9057792.0,100.01,100.12482102730952
308,2014-05-01,101.96,102.39,101.2,11161697.0,101.41,101.76411896837674
310,2014-05-05,101.69,103.13,101.58,7614576.0,102.91,102.78343469459013
311,2014-05-06,102.6,103.3,102.41,9669834.0,102.67,103.03945827406352
317,2014-05-14,102.36,102.68,102.11,6999163.0,102.29,102.43727003509025
319,2014-05-16,100.59,100.95,100.33,8691639.0,100.5,100.69380202803374
319,2014-05-16,100.59,101.0,100.32,10369477.0,100.74,100.73217196185307
320,2014-05-19,100.42,101.11,100.42,5851383.0,100.87,100.97488085948433
322,2014-05-21,100.85,102.22,100.72,7748049.0,102.03,101.87031784945232
328,2014-05-30,100.8,101.15,100.37,11488959.0,100.53,100.77959016242755
333,2014-06-06,100.61,101.63,100.6,9342474.0,101.6,101.43725479398833
342,2014-06-19,102.61,102.84,101.68,11107691.0,102.63,102.12753693649037
