,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,66.7442,67.6628,66.1742,66.7156,118721995,AAPL,76.1791036666665
4,2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154,AAPL,76.1791036666665
9,2013-02-22,64.1785,64.5142,63.7999,64.4014,82583823,AAPL,70.08384500000012
13,2013-02-28,63.4357,63.9814,63.0571,63.0571,80532382,AAPL,72.24620633333329
17,2013-03-06,62.0728,62.1785,60.6328,60.8088,114903180,AAPL,61.11459599999995
20,2013-03-11,61.3928,62.7157,60.7342,62.5528,118272126,AAPL,70.35034499999986
23,2013-03-14,61.8328,62.0914,61.4928,61.7857,75834906,AAPL,69.14221466666682
24,2013-03-15,62.5614,63.4614,62.4642,63.3799,160710606,AAPL,66.49252666666652
25,2013-03-18,63.0642,65.3514,63.0285,65.1028,150441144,AAPL,77.20528433333371
26,2013-03-19,65.6428,65.8528,64.0714,64.9271,131531708,AAPL,73.34586099999993
34,2013-04-01,63.1285,63.3854,61.1057,61.2728,97294421,AAPL,63.980596666666386
38,2013-04-05,60.6428,60.7071,59.9542,60.4571,95743088,AAPL,67.88708633333296
40,2013-04-09,60.9085,61.2142,60.3928,60.9971,76615504,AAPL,68.78117299999981
42,2013-04-11,61.9599,62.5699,61.5999,62.0471,82073628,AAPL,66.94175866666669
46,2013-04-17,60.0385,60.0857,56.8728,57.5428,236138966,AAPL,64.83367699999982
51,2013-04-24,56.2199,59.3214,56.0714,57.9231,242387530,AAPL,62.03828900000016
53,2013-04-26,58.5442,59.8241,58.3214,59.6007,191006032,AAPL,65.32446433333347
54,2013-04-29,60.0642,61.9452,59.9999,61.4457,159958876,AAPL,67.3518256666664
58,2013-05-03,64.4728,64.7471,64.1642,64.2828,90319201,AAPL,70.91528566666685
60,2013-05-07,66.4242,66.5356,64.8142,65.5225,120499960,AAPL,62.87540633333333
61,2013-05-08,65.5771,66.4814,65.1156,66.2628,118010781,AAPL,66.93548200000015
63,2013-05-10,65.4242,65.6728,64.3542,64.7099,83631828,AAPL,66.71654689999991
70,2013-05-21,62.5928,63.6399,62.0285,62.8085,113921367,AAPL,66.45240566666682
71,2013-05-22,63.4357,64.0499,62.6028,63.0505,110727309,AAPL,72.24620633333329
75,2013-05-29,62.8571,63.9285,62.7714,63.5642,82641944,AAPL,69.62365833333315
83,2013-06-10,63.5328,64.1541,62.3999,62.6985,112522179,AAPL,69.85193533333326
94,2013-06-25,57.9571,58.2557,56.9757,57.5185,78534687,AAPL,64.82040099999982
95,2013-06-26,57.6999,57.8271,56.5228,56.8671,91924994,AAPL,63.845136666666406
97,2013-06-28,55.9085,57.1814,55.5528,56.6471,144619734,AAPL,63.569275333333074
98,2013-07-01,57.5271,58.8957,57.3171,58.4599,97743408,AAPL,61.82874166666681
99,2013-07-02,58.5657,60.2328,58.4957,59.7842,117442150,AAPL,61.82477466666674
101,2013-07-05,60.0557,60.4699,59.3357,59.6314,68505794,AAPL,65.32446433333347
108,2013-07-16,60.9314,61.5299,60.5957,61.4564,54033805,AAPL,68.34243833333309
109,2013-07-17,61.3857,61.7457,61.1742,61.4728,49743169,AAPL,64.89705966666658
110,2013-07-18,61.9114,62.1242,61.5157,61.6797,54696012,AAPL,65.85302766666632
113,2013-07-23,60.8571,60.9942,59.8157,59.8557,91062300,AAPL,62.25197800000008
123,2013-08-06,66.8599,67.4128,66.0242,66.4642,83715443,AAPL,75.21411000000013
125,2013-08-08,66.2649,66.2999,65.4214,65.8585,63946841,AAPL,61.36104499999989
128,2013-08-13,67.2771,70.6656,66.8642,69.9385,219634975,AAPL,78.90077066666684
130,2013-08-15,70.9171,71.7712,69.869,71.1299,122441893,AAPL,77.84500733333363
132,2013-08-19,72.0485,73.3914,71.9999,72.5342,127478547,AAPL,82.42837566666677
134,2013-08-21,71.9414,72.4499,71.5999,71.7656,83809726,AAPL,74.61963000000021
140,2013-08-29,70.2356,70.9285,70.1614,70.2428,59807748,AAPL,76.00540399999959
141,2013-08-30,70.2856,70.4214,69.4999,69.6022,68078395,AAPL,79.5308463333338
146,2013-09-09,72.1428,72.5599,71.9256,72.3099,84887432,AAPL,80.51579033333313
151,2013-09-16,65.8571,65.9442,63.8885,64.3028,136823442,AAPL,70.86916966666693
153,2013-09-18,66.1685,66.6214,65.8085,66.3828,113743049,AAPL,77.82397199999994
164,2013-10-03,70.0728,70.3356,68.6769,69.0585,80629248,AAPL,80.04947266666663
166,2013-10-07,69.5085,70.3785,69.3356,69.6785,77919884,AAPL,78.92440733333369
168,2013-10-09,69.2342,69.6842,68.3256,69.5125,75311488,AAPL,78.652223666667
170,2013-10-11,69.5699,70.5485,69.3085,70.4016,66934938,AAPL,79.08616766666631
171,2013-10-14,69.9756,71.0828,69.9071,70.8628,65474542,AAPL,79.4381676666667
172,2013-10-15,71.0721,71.7142,70.7885,71.2399,80018603,AAPL,77.42415066666685
179,2013-10-24,74.9999,76.0671,74.6356,75.9871,96191095,AAPL,93.00354033333365
186,2013-11-04,74.4428,75.2599,74.1156,75.2499,61157033,AAPL,91.4228280000002
189,2013-11-07,74.2256,74.7414,73.1971,73.2131,65655100,AAPL,84.44162599999994
196,2013-11-18,74.9985,75.3128,74.0285,74.0898,61236224,AAPL,90.13709166666709
199,2013-11-21,73.9428,74.4585,73.3814,74.4479,65506861,AAPL,75.186965
