,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,35.42,35.57,35.15,35.27,4860053,ABBV,44.238833333333176
4,2013-02-14,35.05,36.73,35.01,36.57,7570052,ABBV,46.11908888888895
9,2013-02-22,38.79,38.85,38.14,38.46,4490835,ABBV,44.076566666666686
13,2013-02-28,36.66,37.14,36.5,36.92,10322299,ABBV,46.35387777777792
17,2013-03-06,37.56,37.86,37.37,37.74,5489700,ABBV,45.24636666666664
20,2013-03-11,37.25,38.15,37.08,37.67,4614351,ABBV,45.23143333333344
23,2013-03-14,37.43,37.59,36.86,37.56,9864432,ABBV,44.9604000000001
24,2013-03-15,37.44,38.54,37.28,38.5,12208850,ABBV,44.095566666666684
25,2013-03-18,38.05,38.49,37.99,38.16,5126112,ABBV,45.269900000000106
26,2013-03-19,38.25,38.4,37.84,38.36,5108398,ABBV,44.01763333333324
34,2013-04-01,39.96,41.14,39.96,41.12,5739918,ABBV,44.80619999999985
38,2013-04-05,41.31,41.5,41.09,41.31,14091702,ABBV,43.987299999999884
40,2013-04-09,41.96,43.56,41.8,42.55,8674526,ABBV,48.419833333333294
42,2013-04-11,43.42,43.705,43.11,43.2,6494382,ABBV,45.01536944444461
46,2013-04-17,42.14,42.43,41.42,42.24,5046271,ABBV,44.445833333333354
51,2013-04-24,45.14,45.34,43.94,44.32,5541225,ABBV,50.18907873015866
51,2013-04-24,45.14,45.34,43.94,44.32,5541225,ABBV,50.18907873015866
53,2013-04-26,44.95,46.31,44.75,45.84,10100905,ABBV,52.76823333333315
54,2013-04-29,45.83,45.93,45.05,45.23,6025401,ABBV,48.10313333333313
58,2013-05-03,44.31,44.77,43.83,44.68,4643020,ABBV,49.72329333333338
60,2013-05-07,44.5,45.0,44.4201,44.91,3745563,ABBV,50.547599999999775
61,2013-05-08,45.01,45.05,43.39,43.49,6973280,ABBV,44.63303333333345
63,2013-05-10,44.21,45.01,44.2,45.01,4455864,ABBV,50.88943333333342
70,2013-05-21,46.19,46.96,46.17,46.54,4710269,ABBV,47.0086916666669
71,2013-05-22,46.46,48.0,45.85,46.76,5203782,ABBV,52.41538055555546
75,2013-05-29,44.89,45.18,43.79,43.88,6908441,ABBV,47.59763333333324
83,2013-06-10,44.33,44.33,43.22,43.92,4703379,ABBV,46.44393333333341
87,2013-06-14,42.98,43.5,42.5,43.21,4078472,ABBV,45.02413611111128
92,2013-06-21,41.66,42.71,41.2,42.62,9823959,ABBV,47.741333333333536
94,2013-06-25,42.15,42.77,41.61,42.63,4687548,ABBV,47.85536666666688
95,2013-06-26,43.1,43.61,43.025,43.38,4733682,ABBV,44.82696666666661
97,2013-06-28,42.53,42.97,41.32,41.34,10754205,ABBV,43.37043333333326
98,2013-07-01,41.4,41.93,41.07,41.61,4589412,ABBV,42.02739999999999
99,2013-07-02,41.58,42.569,41.58,42.21,4367392,ABBV,44.43470000000002
101,2013-07-05,42.45,42.83,42.31,42.72,2743786,ABBV,44.119100000000124
108,2013-07-16,44.54,44.77,43.7,43.81,3714496,ABBV,47.09949999999982
109,2013-07-17,43.97,44.15,43.74,43.96,3646009,ABBV,44.68769999999999
110,2013-07-18,43.96,44.56,43.81,44.32,3043697,ABBV,50.18907873015866
110,2013-07-18,43.96,44.56,43.81,44.32,3043697,ABBV,50.18907873015866
113,2013-07-23,44.92,45.09,44.23,44.31,3535542,ABBV,50.18907873015866
117,2013-07-29,44.72,45.45,44.47,45.06,4326780,ABBV,48.24303333333337
123,2013-08-06,44.42,44.99,44.42,44.88,4980644,ABBV,50.5456999999998
125,2013-08-08,44.86,45.18,44.61,45.06,2892355,ABBV,48.24303333333337
128,2013-08-13,45.12,45.18,44.68,44.93,2791757,ABBV,49.92383333333336
130,2013-08-15,44.6,44.62,43.1333,43.21,4363128,ABBV,45.02413611111128
132,2013-08-19,43.01,43.81,42.95,43.37,3314503,ABBV,44.42789999999993
134,2013-08-21,42.82,42.88,42.25,42.31,4118891,ABBV,44.476500000000144
138,2013-08-27,43.02,43.089,42.6,42.63,4482415,ABBV,47.85536666666688
140,2013-08-29,42.32,43.09,42.26,42.62,2788872,ABBV,47.741333333333536
141,2013-08-30,42.76,43.03,42.3,42.61,3170663,ABBV,47.831966666666894
146,2013-09-09,43.88,44.44,43.5,44.43,3287461,ABBV,49.271818888888795
151,2013-09-16,45.32,45.95,45.19,45.82,3536757,ABBV,52.512899999999824
153,2013-09-18,47.19,48.42,46.885,47.92,6689426,ABBV,51.54894333333344
164,2013-10-03,45.6,46.3399,45.1,46.01,7020811,ABBV,47.331966666666396
166,2013-10-07,46.12,46.98,46.09,46.09,4703814,ABBV,45.56556666666646
168,2013-10-09,44.72,45.31,44.32,44.81,5113041,ABBV,48.93669166666684
170,2013-10-11,45.7,45.7,44.955,45.65,2985710,ABBV,49.262533333333295
171,2013-10-14,45.21,46.45,45.07,46.33,3377273,ABBV,45.40290000000009
172,2013-10-15,46.05,46.38,45.75,46.08,3533322,ABBV,45.56556666666646
179,2013-10-24,48.63,48.9799,47.74,47.93,5077926,ABBV,51.54894333333344
184,2013-10-31,48.68,49.0,48.44,48.45,4563677,ABBV,49.08516666666667
186,2013-11-04,49.19,49.19,48.0,48.76,4095606,ABBV,48.5603000000001
189,2013-11-07,48.17,48.36,47.18,47.24,4444941,ABBV,48.45980738095248
191,2013-11-11,48.23,48.67,48.19,48.57,2282892,ABBV,50.17293333333323
196,2013-11-18,48.89,49.96,48.73,48.87,8585679,ABBV,49.60583333333345
199,2013-11-21,48.28,48.67,47.99,48.57,4459830,ABBV,50.17293333333323
204,2013-11-29,48.43,48.93,48.07,48.45,4044343,ABBV,49.08516666666667
205,2013-12-02,48.49,48.68,48.02,48.39,4322116,ABBV,50.68918055555574
207,2013-12-04,49.75,50.29,49.3001,49.67,5309417,ABBV,50.73573333333344
215,2013-12-16,53.42,54.78,52.98,53.37,9848309,ABBV,54.015266666666534
216,2013-12-17,53.43,53.92,53.0,53.63,7990671,ABBV,57.909766666666535
220,2013-12-23,52.73,52.935,52.24,52.58,4964436,ABBV,59.903031111111076
222,2013-12-26,52.59,53.06,52.34,52.99,2401527,ABBV,55.324233333333325
224,2013-12-30,52.73,53.03,52.6,53.01,2898886,ABBV,54.13843333333336
228,2014-01-06,52.7,52.7,50.03,50.39,11871094,ABBV,52.87846666666695
231,2014-01-09,50.59,51.65,49.87,51.22,6960524,ABBV,52.81836293650784
240,2014-01-23,48.74,49.06,48.39,48.87,7270503,ABBV,49.60583333333345
244,2014-01-29,47.15,47.84,46.9801,47.61,7608549,ABBV,51.639366666666675
250,2014-02-06,47.89,48.18,47.45,47.93,4957804,ABBV,51.54894333333344
252,2014-02-10,48.75,50.19,48.72,49.55,7907594,ABBV,51.61343333333335
253,2014-02-11,49.41,49.9675,49.04,49.66,7220444,ABBV,50.73573333333344
257,2014-02-18,50.64,51.56,50.56,51.46,4984888,ABBV,53.47977222222244
259,2014-02-20,51.19,52.11,50.73,51.86,6078933,ABBV,57.323586111111034
262,2014-02-25,50.93,51.13,50.5,50.72,5424996,ABBV,53.76493333333351
263,2014-02-26,49.95,50.97,49.93,50.74,5710741,ABBV,53.02880000000026
264,2014-02-27,50.6,50.92,50.47,50.91,5052972,ABBV,52.83664523809532
265,2014-02-28,50.84,51.96,50.51,50.91,7096343,ABBV,52.83664523809532
270,2014-03-07,52.25,52.5,51.01,51.46,5860736,ABBV,53.47977222222244
271,2014-03-10,51.9,51.9,50.86,51.66,3086027,ABBV,54.6472666666667
278,2014-03-19,53.09,53.53,52.44,53.11,6408622,ABBV,59.20010000000018
280,2014-03-21,54.22,54.73,53.09,53.46,12930499,ABBV,59.27873333333343
283,2014-03-26,52.0,52.34,51.46,51.5,5684946,ABBV,53.385900000000284
284,2014-03-27,51.53,51.84,51.43,51.66,4777964,ABBV,54.6472666666667
285,2014-03-28,51.83,52.13,50.89,50.98,4208320,ABBV,53.62262500000017
