,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,73.32,73.71,73.2,73.56,1884631,ACN,78.76577388888882
4,2013-02-14,73.21,73.5,72.66,73.13,2096346,ACN,73.98766666666661
9,2013-02-22,74.15,74.8,73.95,74.8,1930654,ACN,80.11720666666685
13,2013-02-28,74.52,75.14,74.27,74.36,2366121,ACN,76.23693333333314
17,2013-03-06,77.03,77.6,76.92,77.41,2000048,ACN,81.52203333333301
20,2013-03-11,78.38,78.43,77.63,78.3,1752106,ACN,82.79180833333305
23,2013-03-14,78.08,78.37,77.865,78.26,1959257,ACN,81.73963333333293
24,2013-03-15,77.88,78.17,76.52,76.6,6131312,ACN,77.99583777777788
25,2013-03-18,75.87,77.27,75.86,76.81,2578496,ACN,82.25606222222243
26,2013-03-19,77.16,77.22,75.81,76.18,2801666,ACN,88.36656666666659
34,2013-04-01,76.07,76.45,75.55,75.85,2017406,ACN,86.8794666666663
36,2013-04-03,76.835,77.0,76.13,76.6,2986577,ACN,77.99583777777788
38,2013-04-05,75.76,76.36,75.52,76.25,2077949,ACN,76.45528666666675
40,2013-04-09,76.76,76.95,75.93,76.21,1975596,ACN,85.52269999999989
42,2013-04-11,76.97,77.94,76.81,77.78,2533852,ACN,81.35927698412706
46,2013-04-17,76.79,77.23,76.42,76.7,3185116,ACN,77.62796000000017
51,2013-04-24,76.43,77.91,76.43,77.81,3654835,ACN,81.35927698412706
53,2013-04-26,78.61,79.38,78.46,78.66,2683480,ACN,78.90843333333333
54,2013-04-29,78.66,81.45,78.63,81.13,3947964,ACN,81.4912244444445
58,2013-05-03,80.08,80.29,79.24,79.5,3486056,ACN,76.54580000000003
60,2013-05-07,78.87,79.35,78.74,79.05,2567784,ACN,86.86106888888908
61,2013-05-08,79.13,80.0,79.0,80.0,3088533,ACN,80.59832777777763
63,2013-05-10,80.34,81.48,80.15,80.48,2193646,ACN,79.38027333333369
64,2013-05-13,80.06,80.69,79.85,79.92,1739587,ACN,76.20836666666668
