,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,84.96,85.13,84.45,84.94,7943132,AMGN,105.22393333333329
4,2013-02-14,86.0,86.398,84.609,84.72,6189005,AMGN,104.96500000000037
9,2013-02-22,85.07,86.88,85.07,86.82,4920383,AMGN,104.78876666666629
13,2013-02-28,91.0,93.42,90.87,91.55,6528557,AMGN,99.43886666666714
17,2013-03-06,93.82,94.29,93.09,93.27,3716274,AMGN,102.76296666666708
20,2013-03-11,92.66,93.36,90.87,91.44,5699566,AMGN,99.43656666666713
23,2013-03-14,91.6528,92.29,91.15,92.18,3436357,AMGN,103.90490000000042
24,2013-03-15,91.84,92.16,91.26,91.808,10172673,AMGN,98.98140000000053
25,2013-03-18,91.27,91.36,90.35,90.39,3605821,AMGN,104.93189999999997
26,2013-03-19,90.68,92.52,90.54,92.4,4010846,AMGN,104.81310000000026
31,2013-03-26,97.29,98.76,97.07,98.66,3126921,AMGN,102.12136666666618
34,2013-04-01,102.6199,103.9,101.7,102.31,4099647,AMGN,104.78663999999958
38,2013-04-05,104.21,104.62,103.47,104.04,4015816,AMGN,109.4699666666663
40,2013-04-09,105.48,105.48,103.78,104.3,2881547,AMGN,109.70423333333335
42,2013-04-11,108.57,109.36,107.62,108.22,4272994,AMGN,110.2571999999997
46,2013-04-17,109.94,110.39,107.65,109.44,3546530,AMGN,114.14540238095253
50,2013-04-23,113.71,114.95,112.0,112.76,4792970,AMGN,113.19153333333338
51,2013-04-24,106.67,108.37,104.021,104.93,7490437,AMGN,110.7826333333328
53,2013-04-26,109.04,109.69,106.9,108.38,2933600,AMGN,111.54080000000039
54,2013-04-29,108.15,108.38,106.332,106.67,4293874,AMGN,111.84079999999963
58,2013-05-03,106.7,107.575,106.14,106.48,2620497,AMGN,104.72376666666614
60,2013-05-07,105.0,105.56,104.1801,104.46,2957055,AMGN,108.25033333333278
61,2013-05-08,104.64,105.51,104.22,105.07,3224191,AMGN,100.14480000000012
63,2013-05-10,104.56,106.75,104.4,106.72,2905095,AMGN,111.84079999999963
70,2013-05-21,102.45,104.68,102.45,104.24,3490307,AMGN,109.43916666666631
71,2013-05-22,104.26,107.4,103.615,104.53,3534978,AMGN,108.71306666666634
75,2013-05-29,105.81,105.95,104.15,104.39,2909869,AMGN,108.42806666666624
76,2013-05-30,104.49,105.84,104.19,105.22,2351668,AMGN,103.72573333333305
81,2013-06-06,95.01,97.53,94.15,97.49,4670657,AMGN,109.563433333333
83,2013-06-10,98.95,99.44,97.87,98.31,2901293,AMGN,113.8284000000003
94,2013-06-25,97.64,98.75,95.64,96.378,3068812,AMGN,111.57738666666629
95,2013-06-26,97.33,100.17,97.2501,99.6,2975846,AMGN,112.66575333333368
97,2013-06-28,98.74,99.88,97.7801,98.66,5268201,AMGN,102.12136666666618
98,2013-07-01,100.2,101.72,97.28,97.49,4898633,AMGN,109.563433333333
99,2013-07-02,96.79,97.28,95.4,96.06,4006034,AMGN,116.70112666666697
101,2013-07-05,96.92,97.9,96.78,97.64,2233477,AMGN,109.88289999999965
108,2013-07-16,104.27,104.9,103.54,104.05,1895640,AMGN,109.43916666666631
109,2013-07-17,104.5,104.95,103.89,104.31,2184200,AMGN,109.70423333333335
110,2013-07-18,104.55,106.0,104.27,104.77,2296611,AMGN,102.30443333333383
113,2013-07-23,109.21,109.21,106.44,106.62,2560503,AMGN,111.07279999999955
123,2013-08-06,107.0,107.4,104.57,105.22,3633431,AMGN,103.72573333333305
125,2013-08-08,111.74,111.899,109.35,110.38,4758696,AMGN,122.08366666666713
128,2013-08-13,108.63,108.92,107.0335,107.86,2683285,AMGN,111.5076300000002
130,2013-08-15,105.94,108.52,104.59,105.76,3267758,AMGN,102.18925000000002
132,2013-08-19,105.11,106.19,104.35,104.47,1708585,AMGN,108.25033333333278
134,2013-08-21,105.54,106.18,103.88,104.65,2341732,AMGN,106.94240000000013
140,2013-08-29,108.75,111.5,108.5,108.86,2739601,AMGN,111.45709999999991
141,2013-08-30,109.23,109.825,108.02,108.94,2655006,AMGN,113.63106666666664
146,2013-09-09,111.34,111.96,110.46,111.67,2826790,AMGN,122.54719999999992
151,2013-09-16,116.21,117.18,115.41,117.18,4776658,AMGN,120.6691000000003
153,2013-09-18,115.59,117.91,115.01,117.521,2609615,AMGN,136.19956666666664
164,2013-10-03,112.99,113.06,110.07,111.118,3058836,AMGN,113.78682222222189
166,2013-10-07,111.47,111.7055,110.08,110.22,2662599,AMGN,118.84103333333357
168,2013-10-09,108.13,108.42,105.76,106.28,5440677,AMGN,110.89486666666662
170,2013-10-11,110.0,111.51,109.66,110.89,2431336,AMGN,109.20551111111068
171,2013-10-14,110.02,111.69,109.59,111.58,2211075,AMGN,108.34426666666735
172,2013-10-15,111.62,112.12,110.89,111.44,1968930,AMGN,120.51786666666699
178,2013-10-23,114.94,116.15,114.1,115.67,3365234,AMGN,118.20549999999983
179,2013-10-24,116.28,117.53,115.75,116.2,3234182,AMGN,134.04729999999986
186,2013-11-04,118.73,119.7,116.89,117.28,2248741,AMGN,121.15740000000032
189,2013-11-07,114.16,115.25,110.65,111.03,3827369,AMGN,114.0461888888889
196,2013-11-18,116.5,117.72,115.75,116.03,2879834,AMGN,134.90833333333302
199,2013-11-21,115.81,116.3775,110.75,112.25,7457362,AMGN,124.2843999999997
204,2013-11-29,114.19,114.45,113.68,114.08,1828333,AMGN,121.84223333333335
205,2013-12-02,114.29,114.865,113.78,114.47,2185545,AMGN,123.32333333333328
207,2013-12-04,112.74,113.54,112.036,113.07,2433489,AMGN,118.20039999999992
216,2013-12-17,112.67,112.9199,109.94,111.0,3987576,AMGN,113.49698888888891
220,2013-12-23,114.67,114.722,112.52,113.2,2159599,AMGN,115.17223333333345
221,2013-12-24,113.34,113.41,112.2,112.25,1013453,AMGN,124.2843999999997
222,2013-12-26,112.62,114.475,112.45,114.36,1558500,AMGN,127.83626666666673
224,2013-12-30,115.36,115.52,114.39,115.49,1533955,AMGN,120.630095873016
225,2013-12-31,115.91,115.95,113.67,114.08,2362823,AMGN,121.84223333333335
227,2014-01-03,115.7,115.97,114.06,114.47,2075841,AMGN,123.32333333333328
228,2014-01-06,114.47,114.92,113.12,113.48,2838138,AMGN,127.47170000000001
231,2014-01-09,116.54,118.96,116.22,118.89,3401883,AMGN,118.44060912698399
233,2014-01-13,118.32,118.73,115.94,116.4,3703890,AMGN,123.82063333333325
236,2014-01-16,118.82,119.69,118.21,119.03,2553509,AMGN,121.58573888888867
244,2014-01-29,117.0,121.16,117.0,119.17,5730423,AMGN,126.99962436507961
252,2014-02-10,119.68,120.36,117.9,120.3,3352513,AMGN,133.38299999999956
253,2014-02-11,120.0,121.25,118.85,121.24,2502769,AMGN,121.83144166666712
259,2014-02-20,123.35,124.31,122.901,123.49,3019980,AMGN,116.45010000000019
262,2014-02-25,125.34,126.22,124.02,124.36,2429830,AMGN,116.06463333333309
263,2014-02-26,123.9,124.23,121.74,121.86,3895729,AMGN,126.27754999999978
264,2014-02-27,121.99,123.9,121.77,123.08,3775396,AMGN,139.82469999999964
270,2014-03-07,125.31,125.9,120.26,122.26,7124965,AMGN,127.15343333333287
278,2014-03-19,127.99,127.99,125.72,126.58,2599484,AMGN,145.34650000000008
280,2014-03-21,127.05,128.96,122.47,122.93,7101208,AMGN,140.34279999999958
283,2014-03-26,121.23,122.89,120.05,120.11,3843835,AMGN,135.61909999999963
284,2014-03-27,121.31,123.98,120.5,122.29,4553405,AMGN,126.53043333333287
285,2014-03-28,122.27,124.12,120.38,120.55,3245971,AMGN,118.11023333333304
289,2014-04-03,126.16,127.25,123.13,124.13,3036339,AMGN,113.48536666666662
305,2014-04-28,111.78,112.34,108.2,111.48,6113899,AMGN,122.79576666666692
306,2014-04-29,112.3,112.45,110.67,111.9,4116169,AMGN,116.68585833333323
308,2014-05-01,111.38,113.21,110.81,112.76,3643094,AMGN,113.19153333333338
316,2014-05-13,111.66,112.18,110.76,110.81,3676843,AMGN,119.36151111111137
318,2014-05-15,112.0,112.3199,109.92,110.29,2785390,AMGN,117.58103333333356
325,2014-05-27,115.73,115.92,114.72,115.89,2514130,AMGN,119.91116666666704
326,2014-05-28,116.1,116.38,115.36,115.67,2261668,AMGN,118.20549999999983
334,2014-06-09,117.47,117.79,116.04,116.4,2900146,AMGN,123.82063333333325
336,2014-06-11,116.96,117.52,115.6,116.34,2178396,AMGN,123.71209999999951
337,2014-06-12,116.14,116.62,115.6101,116.2,1805743,AMGN,134.04729999999986
338,2014-06-13,116.67,116.695,115.3,116.03,1456995,AMGN,134.90833333333302
339,2014-06-16,116.0,116.91,115.725,116.16,2159567,AMGN,133.11893333333273
344,2014-06-23,120.68,120.85,118.5,119.13,2317976,AMGN,133.42732000000012
