,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,35.36,35.49,34.89,35.17,2658949,AVGO,34.28234952380953
4,2013-02-14,35.09,35.67,34.99,35.64,3237126,AVGO,37.18636666666663
9,2013-02-22,33.97,34.47,33.71,34.09,1896307,AVGO,36.855033333333445
13,2013-02-28,33.69,34.31,33.33,34.22,3478535,AVGO,37.437666666666686
16,2013-03-05,33.7,34.36,33.68,34.33,3050936,AVGO,37.67693333333321
17,2013-03-06,34.31,34.77,34.21,34.71,2460909,AVGO,35.626916666666546
20,2013-03-11,35.08,35.66,34.97,35.26,2817204,AVGO,36.156226666666655
20,2013-03-11,35.08,35.66,34.97,35.26,2817204,AVGO,36.156226666666655
23,2013-03-14,36.05,36.98,36.03,36.66,4344860,AVGO,44.35986666666658
24,2013-03-15,36.7,36.78,35.81,36.0,3444622,AVGO,37.66930000000016
25,2013-03-18,35.58,35.9008,35.05,35.26,2868879,AVGO,36.156226666666655
25,2013-03-18,35.58,35.9008,35.05,35.26,2868879,AVGO,36.156226666666655
26,2013-03-19,35.39,35.82,35.04,35.3,3339990,AVGO,34.11085555555566
32,2013-03-27,35.47,35.73,35.25,35.64,1486027,AVGO,37.18636666666663
34,2013-04-01,35.82,36.0,35.19,35.34,1850042,AVGO,34.03643333333345
38,2013-04-05,34.01,34.42,33.33,34.33,1444850,AVGO,37.67693333333321
40,2013-04-09,34.71,35.13,34.22,34.78,1600750,AVGO,36.744916666666626
42,2013-04-11,35.24,35.92,35.01,35.63,1828184,AVGO,37.18636666666663
46,2013-04-17,33.75,33.77,32.28,32.405,6400977,AVGO,37.49633333333353
51,2013-04-24,32.37,32.84,32.045,32.62,3206167,AVGO,37.3949000000002
53,2013-04-26,32.59,32.59,31.96,32.11,3094499,AVGO,36.90710000000006
54,2013-04-29,32.35,32.79,32.2,32.53,2042968,AVGO,37.52623333333354
58,2013-05-03,32.16,32.39,31.851,31.88,4690029,AVGO,37.17043333333325
60,2013-05-07,32.92,32.95,32.47,32.54,1609250,AVGO,37.52623333333354
61,2013-05-08,32.63,33.52,32.575,33.5,2543620,AVGO,35.12853333333348
63,2013-05-10,33.96,34.14,33.825,34.06,1564370,AVGO,36.68683333333345
68,2013-05-17,34.49,34.78,34.36,34.43,2744300,AVGO,37.611841666666855
70,2013-05-21,34.61,35.125,34.44,35.09,2073711,AVGO,34.3283161904762
71,2013-05-22,34.98,35.24,34.23,34.56,3387282,AVGO,38.289975000000034
75,2013-05-29,34.37,34.7,34.15,34.43,2268226,AVGO,37.611841666666855
83,2013-06-10,37.5,37.5099,36.79,36.83,2635930,AVGO,45.19623333333351
92,2013-06-21,37.04,37.48,36.615,37.38,8004002,AVGO,41.33008666666682
94,2013-06-25,37.13,37.59,36.81,37.1,2601868,AVGO,39.714886666666864
95,2013-06-26,37.39,37.72,36.99,37.25,2066045,AVGO,43.18247666666671
96,2013-06-27,37.48,37.84,37.29,37.32,2635886,AVGO,41.01408523809541
97,2013-06-28,37.0,37.62,36.76,37.38,2299702,AVGO,41.33008666666682
98,2013-07-01,37.85,37.87,37.34,37.61,2714655,AVGO,40.91863333333324
98,2013-07-01,37.85,37.87,37.34,37.61,2714655,AVGO,40.91863333333324
99,2013-07-02,37.95,38.98,37.82,38.48,4037680,AVGO,44.39586666666671
101,2013-07-05,38.62,39.18,38.16,38.81,1444695,AVGO,43.317055555555406
106,2013-07-12,38.69,38.98,38.68,38.95,1834116,AVGO,43.91488888888892
108,2013-07-16,38.16,39.14,38.16,38.87,3125367,AVGO,44.20012222222204
109,2013-07-17,39.01,39.74,38.86,38.92,2399117,AVGO,43.88362222222224
110,2013-07-18,38.75,38.88,37.45,37.6,3704826,AVGO,40.95509999999991
113,2013-07-23,38.08,38.16,37.51,37.61,1650020,AVGO,40.91863333333324
113,2013-07-23,38.08,38.16,37.51,37.61,1650020,AVGO,40.91863333333324
117,2013-07-29,36.62,36.9,36.38,36.59,1309433,AVGO,45.767000000000216
123,2013-08-06,36.93,36.95,36.7,36.86,1073007,AVGO,45.311999999999976
125,2013-08-08,37.6,37.6,37.28,37.32,1939590,AVGO,41.01408523809541
126,2013-08-09,37.18,37.24,36.74,36.83,1385765,AVGO,45.19623333333351
128,2013-08-13,37.84,38.12,37.32,38.02,1375379,AVGO,41.43493333333343
130,2013-08-15,36.14,36.94,35.75,36.02,2511136,AVGO,37.66930000000016
131,2013-08-16,35.97,36.355,35.89,36.25,1354331,AVGO,42.101766666666585
132,2013-08-19,36.32,36.41,36.08,36.25,2324650,AVGO,42.101766666666585
134,2013-08-21,36.64,36.99,36.3799,36.59,1442544,AVGO,45.767000000000216
140,2013-08-29,38.4,39.0,38.13,38.95,3595486,AVGO,43.91488888888892
141,2013-08-30,38.96,38.99,38.29,38.51,2507278,AVGO,44.39720000000004
146,2013-09-09,38.87,39.0,38.63,38.77,1636411,AVGO,40.774833333333376
151,2013-09-16,39.37,39.68,39.04,39.28,2158817,AVGO,47.24472222222223
153,2013-09-18,40.22,40.68,39.84,40.67,2364759,AVGO,46.13553333333323
164,2013-10-03,43.39,43.59,42.826,43.3,2281651,AVGO,56.64794666666654
166,2013-10-07,43.5,43.5,42.88,43.0,1458667,AVGO,58.084152380952524
168,2013-10-09,42.97,43.06,41.83,42.2,2759419,AVGO,51.681566666666704
170,2013-10-11,43.25,43.5,42.775,43.29,1897907,AVGO,56.63940999999988
171,2013-10-14,43.13,44.31,43.01,44.23,2018267,AVGO,56.1155666666666
172,2013-10-15,44.27,44.44,43.58,43.74,1876104,AVGO,57.094816666666595
173,2013-10-16,44.08,44.6,43.87,44.5,1701991,AVGO,54.681666666666494
179,2013-10-24,45.28,45.7,44.96,45.49,3002062,AVGO,54.67739999999987
186,2013-11-04,45.09,45.3,44.6,45.04,1391063,AVGO,54.28656666666683
189,2013-11-07,45.36,45.5,43.58,43.66,3230946,AVGO,57.094816666666595
196,2013-11-18,44.61,44.72,43.855,43.96,1346290,AVGO,58.15138999999986
199,2013-11-21,42.93,43.22,42.72,43.05,1543378,AVGO,55.11350000000025
200,2013-11-22,43.06,43.52,42.95,43.3,1121886,AVGO,56.64794666666654
204,2013-11-29,44.99,45.09,44.66,44.73,1140085,AVGO,56.84723333333311
205,2013-12-02,45.49,46.21,44.94,45.0,2445386,AVGO,54.28656666666683
207,2013-12-04,44.48,44.9,44.42,44.5,2644780,AVGO,54.681666666666494
216,2013-12-17,50.35,54.54,50.3,53.56,8723018,AVGO,61.57236666666641
220,2013-12-23,52.28,52.28,51.8,52.06,1308334,AVGO,64.52339999999998
222,2013-12-26,52.83,52.95,52.46,52.72,701010,AVGO,63.22043333333329
224,2013-12-30,52.79,52.85,52.19,52.7,1096180,AVGO,63.83676666666653
228,2014-01-06,52.8,53.4,52.43,52.49,1263353,AVGO,63.15843333333321
231,2014-01-09,54.0,54.17,52.76,53.23,1233943,AVGO,62.70643333333329
244,2014-01-29,53.94,55.94,53.37,54.07,2397391,AVGO,63.611066666666765
252,2014-02-10,56.19,56.4791,55.57,56.31,1234720,AVGO,59.50756666666672
253,2014-02-11,56.2,58.16,56.19,58.07,1734398,AVGO,68.8223333333332
259,2014-02-20,58.04,59.03,57.7,59.0,2228184,AVGO,70.31622285714296
259,2014-02-20,58.04,59.03,57.7,59.0,2228184,AVGO,70.31622285714296
262,2014-02-25,60.0,60.0,58.39,59.0,2696852,AVGO,70.31622285714296
262,2014-02-25,60.0,60.0,58.39,59.0,2696852,AVGO,70.31622285714296
263,2014-02-26,60.0,63.49,59.97,61.9,4912497,AVGO,73.33943333333335
264,2014-02-27,61.19,62.22,60.78,61.38,1646037,AVGO,71.14470000000009
270,2014-03-07,63.95,63.95,62.45,62.75,1513253,AVGO,71.76733833333361
278,2014-03-19,64.01,64.88,63.79,64.41,1756159,AVGO,71.26606666666662
280,2014-03-21,65.64,65.83,63.64,63.9,2326690,AVGO,71.49136666666655
283,2014-03-26,64.39,64.88,62.12,62.81,2841406,AVGO,71.66337166666692
284,2014-03-27,62.77,63.105,61.84,62.78,2524687,AVGO,71.66337166666692
285,2014-03-28,62.99,64.68,62.87,64.11,1432960,AVGO,70.77733333333337
286,2014-03-31,64.5,65.33,64.24,64.41,1481904,AVGO,71.26606666666662
289,2014-04-03,64.74,65.58,63.47,63.93,2159167,AVGO,71.17873333333335
305,2014-04-28,62.91,62.92,60.32,60.78,3070773,AVGO,73.70596666666633
306,2014-04-29,60.98,61.55,60.005,60.92,2165638,AVGO,73.66699999999967
308,2014-05-01,62.92,64.9,62.58,63.49,1886347,AVGO,70.63433333333313
316,2014-05-13,69.27,69.34,68.56,68.76,2302069,AVGO,74.23760000000009
318,2014-05-15,68.67,68.95,67.11,67.93,3209438,AVGO,71.86013333333344
325,2014-05-27,71.03,71.28,70.32,70.93,3163703,AVGO,86.7621999999997
326,2014-05-28,70.55,70.75,69.84,70.1,3492805,AVGO,82.3918222222221
334,2014-06-09,71.88,72.5,71.47,71.79,1741993,AVGO,86.83871666666697
336,2014-06-11,71.67,72.3851,71.35,71.75,2494262,AVGO,84.99516666666706
339,2014-06-16,71.47,71.94,70.6,70.88,1566831,AVGO,86.38266666666638
342,2014-06-19,71.13,71.32,70.34,70.93,1273351,AVGO,86.7621999999997
344,2014-06-23,71.61,71.96,70.79,71.24,1334908,AVGO,87.76999999999981
350,2014-07-01,72.48,74.13,72.35,74.03,2142945,AVGO,81.7704333333333
351,2014-07-02,73.58,74.6,73.58,74.32,1608079,AVGO,85.24956666666661
355,2014-07-09,73.66,74.23,73.09,74.23,979856,AVGO,82.88263333333323
361,2014-07-17,73.26,73.67,71.66,71.9,1781783,AVGO,84.61006666666681
363,2014-07-21,74.52,75.5,74.49,75.42,1536948,AVGO,79.30133333333312
367,2014-07-25,72.28,72.3,69.71,69.92,3685292,AVGO,82.44463333333353
