,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,12.35,12.42,12.05,12.17,192478919,BAC,13.706066666666745
4,2013-02-14,12.09,12.27,12.07,12.13,143901737,BAC,14.224050000000007
9,2013-02-22,11.62,11.635,11.26,11.44,178923836,BAC,13.715800000000032
13,2013-02-28,11.325,11.37,11.195,11.23,143393299,BAC,13.701833333333273
17,2013-03-06,11.77,12.02,11.76,11.92,182110891,BAC,13.222100000000033
20,2013-03-11,12.08,12.2214,12.02,12.15,106267997,BAC,13.415100000000079
20,2013-03-11,12.08,12.2214,12.02,12.15,106267997,BAC,13.415100000000079
23,2013-03-14,12.12,12.19,12.1,12.11,113724590,BAC,14.259072222222224
24,2013-03-15,12.52,12.66,12.35,12.57,318880083,BAC,13.436896666666676
25,2013-03-18,12.29,12.68,12.26,12.56,189022386,BAC,13.701353333333312
26,2013-03-19,12.79,12.94,12.59,12.71,242277564,BAC,14.999121111111105
28,2013-03-21,12.71,12.84,12.55,12.57,154166594,BAC,13.436896666666676
29,2013-03-22,12.62,12.67,12.48,12.56,101412682,BAC,13.701353333333312
33,2013-03-28,12.24,12.28,12.11,12.18,91892522,BAC,12.802220000000057
34,2013-04-01,12.15,12.28,12.1,12.15,86222962,BAC,13.415100000000079
34,2013-04-01,12.15,12.28,12.1,12.15,86222962,BAC,13.415100000000079
35,2013-04-02,12.24,12.245,12.14,12.15,102437614,BAC,13.415100000000079
35,2013-04-02,12.24,12.245,12.14,12.15,102437614,BAC,13.415100000000079
38,2013-04-05,11.67,12.01,11.64,11.97,140879614,BAC,13.532533333333305
40,2013-04-09,12.25,12.35,12.21,12.25,132144798,BAC,13.81324999999995
41,2013-04-10,12.31,12.4,12.26,12.32,105636019,BAC,13.637983333333294
42,2013-04-11,12.31,12.33,12.16,12.27,100194781,BAC,13.28223166666667
42,2013-04-11,12.31,12.33,12.16,12.27,100194781,BAC,13.28223166666667
43,2013-04-12,12.145,12.25,12.07,12.17,87986609,BAC,13.706066666666745
44,2013-04-15,12.19,12.32,11.97,11.98,176079807,BAC,13.552933333333298
46,2013-04-17,11.91,12.02,11.45,11.7,335205627,BAC,14.058333333333318
47,2013-04-18,11.61,11.65,11.23,11.44,219747653,BAC,13.715800000000032
51,2013-04-24,12.135,12.37,12.12,12.31,120442535,BAC,14.261716666666638
53,2013-04-26,12.34,12.46,12.29,12.42,83009491,BAC,14.374433333333366
54,2013-04-29,12.45,12.48,12.37,12.38,65362048,BAC,13.648566666666703
55,2013-04-30,12.39,12.4,12.2,12.31,89290204,BAC,14.261716666666638
58,2013-05-03,12.36,12.41,12.205,12.24,94175767,BAC,13.55046666666671
60,2013-05-07,12.92,13.11,12.76,12.9,218010362,BAC,14.5062933333334
60,2013-05-07,12.92,13.11,12.76,12.9,218010362,BAC,14.5062933333334
61,2013-05-08,12.85,13.18,12.84,13.02,149216151,BAC,14.480876190476174
61,2013-05-08,12.85,13.18,12.84,13.02,149216151,BAC,14.480876190476174
63,2013-05-10,12.94,13.04,12.89,13.02,87490693,BAC,14.480876190476174
63,2013-05-10,12.94,13.04,12.89,13.02,87490693,BAC,14.480876190476174
66,2013-05-15,13.29,13.55,13.29,13.44,139479051,BAC,15.214847142857131
69,2013-05-20,13.39,13.6,13.39,13.51,88699484,BAC,14.38016071428572
70,2013-05-21,13.525,13.56,13.36,13.44,111706562,BAC,15.214847142857131
71,2013-05-22,13.485,13.73,13.17,13.31,174350542,BAC,14.849291320346298
75,2013-05-29,13.31,13.555,13.27,13.48,126364220,BAC,14.314811111111116
83,2013-06-10,13.49,13.55,13.26,13.3,104531350,BAC,14.834810764790742
85,2013-06-12,13.24,13.25,12.97,13.06,117108791,BAC,14.616607619047628
94,2013-06-25,12.61,12.77,12.4296,12.67,132644354,BAC,14.6952144444445
95,2013-06-26,12.84,12.8533,12.68,12.76,105195057,BAC,13.79881833333339
96,2013-06-27,12.84,13.03,12.78,13.01,124501164,BAC,14.416216666666655
97,2013-06-28,12.97,13.0,12.84,12.86,90186158,BAC,13.355189999999949
97,2013-06-28,12.97,13.0,12.84,12.86,90186158,BAC,13.355189999999949
98,2013-07-01,12.95,13.1,12.92,12.93,83052051,BAC,14.516100000000035
99,2013-07-02,12.95,13.1,12.8,12.9,83600455,BAC,14.5062933333334
99,2013-07-02,12.95,13.1,12.8,12.9,83600455,BAC,14.5062933333334
101,2013-07-05,12.99,13.08,12.91,13.06,80636575,BAC,14.616607619047628
103,2013-07-09,13.37,13.53,13.25,13.53,105958177,BAC,14.646888611111132
105,2013-07-11,13.54,13.58,13.33,13.51,93484434,BAC,14.38016071428572
108,2013-07-16,13.93,14.02,13.77,13.92,145681864,BAC,15.528438888888886
