,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,97.72,98.2,97.59,97.97,2450100,BRK.B,111.08156666666675
4,2013-02-14,97.84,99.31,97.84,99.21,5013700,BRK.B,112.12683333333275
9,2013-02-22,100.5,101.27,100.22,101.21,3448400,BRK.B,111.85116666666705
12,2013-02-27,98.58,101.27,98.58,101.21,4319700,BRK.B,111.85116666666705
13,2013-02-28,101.44,102.33,101.31,102.16,8875500,BRK.B,112.9560999999996
17,2013-03-06,103.29,103.56,102.76,103.24,3316300,BRK.B,113.03780000000002
20,2013-03-11,103.77,104.15,103.41,104.07,3268700,BRK.B,111.39709999999955
23,2013-03-14,103.81,104.25,103.59,103.99,3178400,BRK.B,111.42269999999978
24,2013-03-15,103.67,103.79,102.79,102.79,7253800,BRK.B,115.3798666666664
25,2013-03-18,102.11,102.85,101.91,102.12,3585500,BRK.B,112.99969999999948
26,2013-03-19,102.37,102.74,101.3,101.77,3343300,BRK.B,113.3640999999995
34,2013-04-01,104.17,104.46,103.17,103.47,2416800,BRK.B,113.88326666666632
38,2013-04-05,103.91,104.39,103.34,104.15,3680800,BRK.B,111.40053333333289
40,2013-04-09,105.38,105.47,104.78,105.12,2666600,BRK.B,112.77973333333287
42,2013-04-11,106.38,106.98,106.02,106.73,3547000,BRK.B,117.41303333333337
46,2013-04-17,106.42,106.69,104.3,105.17,4493500,BRK.B,112.87523333333321
51,2013-04-24,106.72,107.0,106.36,106.75,2443500,BRK.B,117.53766666666675
53,2013-04-26,107.54,107.9,106.5,107.1,3869800,BRK.B,116.26933333333305
54,2013-04-29,107.19,107.4,106.41,106.61,2573900,BRK.B,117.3385333333333
58,2013-05-03,108.26,109.2,108.23,108.64,4447700,BRK.B,127.76223333333294
60,2013-05-07,110.49,110.5,109.46,109.9,3679300,BRK.B,118.8053666666667
61,2013-05-08,109.96,110.98,109.43,110.94,3814900,BRK.B,115.70693333333303
63,2013-05-10,111.1,111.88,111.0,111.82,3786300,BRK.B,123.25806666666736
65,2013-05-14,112.08,112.73,111.8,112.67,3891300,BRK.B,117.35466666666613
70,2013-05-21,113.07,113.34,112.45,112.7,3614600,BRK.B,117.04033333333282
71,2013-05-22,112.82,113.45,111.11,111.85,5845600,BRK.B,118.33246666666743
75,2013-05-29,111.66,113.46,111.41,113.03,4557200,BRK.B,117.78978107142825
76,2013-05-30,113.37,115.0,113.31,114.84,5531300,BRK.B,115.39254285714276
81,2013-06-06,111.34,113.17,111.15,113.1,4550300,BRK.B,114.47513666666683
83,2013-06-10,115.56,115.98,114.8,115.15,3126900,BRK.B,121.55540666666658
94,2013-06-25,111.81,112.31,110.88,112.07,4147900,BRK.B,117.49900000000079
95,2013-06-26,112.98,113.5,112.27,112.91,3763100,BRK.B,114.17446380952403
97,2013-06-28,112.66,112.86,111.66,111.92,4455800,BRK.B,118.87990000000073
98,2013-07-01,112.51,113.77,112.51,113.04,3302000,BRK.B,117.78978107142825
99,2013-07-02,112.84,113.36,112.08,112.52,2748600,BRK.B,120.72256666666586
101,2013-07-05,113.34,115.0,113.21,114.96,3158100,BRK.B,120.9531483333333
108,2013-07-16,117.46,117.98,117.03,117.2,2653800,BRK.B,112.93969999999992
109,2013-07-17,117.83,118.13,117.44,117.63,3042000,BRK.B,123.68029999999999
110,2013-07-18,117.89,118.56,117.83,118.56,4139900,BRK.B,123.7175999999998
113,2013-07-23,119.07,119.08,118.15,118.21,2844500,BRK.B,118.88516666666655
117,2013-07-29,116.91,116.91,115.98,116.42,2447100,BRK.B,117.02663333333373
120,2013-08-01,116.98,117.5,116.52,117.28,3992400,BRK.B,116.35936666666629
123,2013-08-06,118.23,118.45,117.26,117.91,2756900,BRK.B,116.67086666666611
125,2013-08-08,117.4,117.86,116.6,117.64,2558200,BRK.B,123.68029999999999
128,2013-08-13,117.35,117.61,116.43,117.28,1903500,BRK.B,116.35936666666629
130,2013-08-15,116.0,116.22,114.59,114.8,3626000,BRK.B,114.39566666666697
132,2013-08-19,115.14,115.49,114.19,114.3,2249200,BRK.B,114.88286666666644
134,2013-08-21,114.8,115.0,113.52,113.98,3111500,BRK.B,122.53607666666639
140,2013-08-29,111.88,112.69,111.7,111.99,2655800,BRK.B,123.3859333333338
141,2013-08-30,112.25,112.48,110.72,111.22,3998100,BRK.B,115.70518888888864
146,2013-09-09,112.13,112.67,111.45,112.67,3028900,BRK.B,117.35466666666613
151,2013-09-16,114.37,115.1,114.22,114.84,3158400,BRK.B,115.39254285714276
153,2013-09-18,115.39,117.07,114.95,116.7,4910100,BRK.B,114.70225999999958
164,2013-10-03,114.05,114.05,112.82,113.37,4110400,BRK.B,119.19956666666687
166,2013-10-07,112.99,113.68,112.4,112.86,3651800,BRK.B,113.76528523809539
168,2013-10-09,111.66,112.21,110.84,111.77,3773500,BRK.B,119.52975000000015
169,2013-10-10,113.14,114.92,113.06,114.84,4147000,BRK.B,115.39254285714276
170,2013-10-11,114.85,115.83,114.2,115.81,3551900,BRK.B,115.35635833333333
171,2013-10-14,114.99,116.08,114.49,116.0,3668400,BRK.B,122.34449999999961
172,2013-10-15,115.85,115.85,114.49,114.63,2872700,BRK.B,126.45750000000031
179,2013-10-24,116.95,117.31,116.61,116.84,2597200,BRK.B,115.00310000000005
186,2013-11-04,115.78,115.82,114.5,114.87,3522300,BRK.B,114.18963333333333
189,2013-11-07,115.12,115.46,113.79,113.83,3553400,BRK.B,114.92570000000036
196,2013-11-18,116.56,116.56,115.69,115.9,2633200,BRK.B,112.68990000000002
199,2013-11-21,115.32,116.51,114.71,116.42,3201300,BRK.B,117.02663333333373
204,2013-11-29,116.73,116.97,116.09,116.53,2098700,BRK.B,113.98250476190518
205,2013-12-02,116.5,116.59,115.11,115.33,4021100,BRK.B,120.03453333333391
207,2013-12-04,114.35,115.58,114.0,115.3,3675700,BRK.B,114.04034444444505
208,2013-12-05,115.01,115.56,114.87,114.96,2874600,BRK.B,120.9531483333333
216,2013-12-17,114.15,114.18,113.58,113.63,3699200,BRK.B,115.81109999999971
220,2013-12-23,116.4,117.17,116.22,117.04,3506900,BRK.B,114.2510333333334
222,2013-12-26,117.43,117.99,117.03,117.99,2036200,BRK.B,120.11709999999955
224,2013-12-30,118.33,118.56,117.75,118.04,1942600,BRK.B,120.13736666666622
225,2013-12-31,118.05,118.66,117.81,118.56,2420000,BRK.B,123.7175999999998
228,2014-01-06,118.2,118.2,116.26,116.28,3426000,BRK.B,115.12356666666669
231,2014-01-09,115.77,115.93,115.03,115.32,3339600,BRK.B,115.54310000000068
234,2014-01-14,114.15,114.96,113.6,114.96,3766400,BRK.B,120.9531483333333
238,2014-01-21,115.32,115.49,114.26,115.15,4248600,BRK.B,121.55540666666658
244,2014-01-29,111.41,112.04,111.12,111.28,3914000,BRK.B,115.70518888888864
251,2014-02-07,110.61,112.7,110.61,112.61,5607600,BRK.B,120.8910999999992
252,2014-02-10,112.62,113.0,111.73,112.61,3118000,BRK.B,120.8910999999992
253,2014-02-11,112.83,113.79,112.14,113.61,4188400,BRK.B,115.83756666666639
259,2014-02-20,113.33,113.49,112.3,113.1,4108200,BRK.B,114.47513666666683
262,2014-02-25,113.14,114.16,112.57,113.94,3255200,BRK.B,121.6640499999996
263,2014-02-26,113.86,114.18,113.2,113.7,3104000,BRK.B,117.07386666666687
264,2014-02-27,113.25,114.58,113.08,114.58,3207100,BRK.B,125.15773333333331
270,2014-03-07,121.84,122.92,121.4,122.67,4384600,BRK.B,128.3022
278,2014-03-19,123.48,123.69,121.84,122.62,3210600,BRK.B,128.3022
280,2014-03-21,125.05,125.89,124.42,125.2,8904100,BRK.B,141.02303333333384
283,2014-03-26,125.0,125.05,123.01,123.01,3148300,BRK.B,128.11686666666677
284,2014-03-27,123.29,123.85,122.63,123.47,3983300,BRK.B,128.1401000000004
285,2014-03-28,123.83,124.37,123.03,123.53,3430300,BRK.B,128.0669000000003
289,2014-04-03,124.49,124.71,123.89,124.31,2272200,BRK.B,127.06551277777743
305,2014-04-28,128.01,128.31,126.16,127.7,3529900,BRK.B,141.36628999999994
306,2014-04-29,127.87,128.74,127.81,128.49,3053100,BRK.B,139.81933333333333
308,2014-05-01,128.81,129.25,128.15,129.06,2655500,BRK.B,138.17241111111176
313,2014-05-08,127.23,127.49,126.33,126.67,2773300,BRK.B,131.30243333333354
316,2014-05-13,127.69,127.92,127.06,127.89,2127500,BRK.B,138.20416333333347
318,2014-05-15,127.3,127.44,126.0,126.36,3206100,BRK.B,138.1177555555556
325,2014-05-27,127.41,127.75,127.25,127.52,2251600,BRK.B,131.87406666666726
326,2014-05-28,127.43,127.94,127.26,127.46,2211300,BRK.B,132.18310000000056
334,2014-06-09,128.33,128.62,127.57,127.99,2385200,BRK.B,141.34474984127
334,2014-06-09,128.33,128.62,127.57,127.99,2385200,BRK.B,141.34474984127
336,2014-06-11,127.86,128.48,127.86,128.22,2422300,BRK.B,136.8565333333335
339,2014-06-16,125.95,126.34,125.71,126.15,2545800,BRK.B,137.1246
344,2014-06-23,126.8,126.98,126.3,126.67,2768500,BRK.B,131.30243333333354
345,2014-06-24,126.35,127.37,126.35,126.78,2862500,BRK.B,139.3233333333331
350,2014-07-01,126.72,127.64,126.66,127.24,2885300,BRK.B,135.86640000000037
351,2014-07-02,127.08,127.73,126.83,127.73,2599700,BRK.B,137.95660619047646
354,2014-07-08,128.24,129.09,128.17,128.22,3052400,BRK.B,136.8565333333335
355,2014-07-09,128.49,128.87,128.31,128.75,1923800,BRK.B,138.23083333333295
359,2014-07-15,128.68,129.17,128.0,128.49,2931200,BRK.B,139.81933333333333
361,2014-07-17,127.92,128.12,126.4,126.52,2834500,BRK.B,132.88635777777787
363,2014-07-21,127.92,128.75,127.62,128.58,1787200,BRK.B,140.0955333333334
367,2014-07-25,128.02,128.17,127.4,127.55,1807700,BRK.B,131.9318333333339
372,2014-08-01,125.0,126.95,122.72,125.83,3947900,BRK.B,141.2501333333337
374,2014-08-05,129.7,129.75,127.36,127.99,3370600,BRK.B,141.34474984127
374,2014-08-05,129.7,129.75,127.36,127.99,3370600,BRK.B,141.34474984127
377,2014-08-08,128.8,130.95,128.62,130.9,3761100,BRK.B,140.39676666666682
379,2014-08-12,132.24,133.19,131.66,133.06,2742900,BRK.B,138.6836333333341
385,2014-08-20,135.0,135.1,134.45,134.91,2329800,BRK.B,142.8665333333331
388,2014-08-25,136.43,136.75,136.07,136.23,2305900,BRK.B,140.8208999999999
396,2014-09-05,137.71,138.35,137.34,138.07,3475900,BRK.B,148.39473333333305
399,2014-09-10,137.27,137.95,137.16,137.72,2037900,BRK.B,142.7464000000001
401,2014-09-12,137.92,138.18,136.76,137.09,3291300,BRK.B,149.15533097883582
407,2014-09-22,140.56,140.73,139.19,139.26,3422400,BRK.B,147.15100000000044
408,2014-09-23,139.18,139.71,138.75,138.78,2767600,BRK.B,148.89045555555637
409,2014-09-24,138.78,140.07,138.68,139.95,2801200,BRK.B,143.16113333333357
