,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,20.935,21.0,19.92,20.065,114136586,CMCSA,21.002238888888865
3,2013-02-13,20.935,21.0,19.92,20.065,114136586,CMCSA,21.002238888888865
4,2013-02-14,20.195,20.34,19.95,20.17,43627282,CMCSA,21.547233333333388
9,2013-02-22,19.91,20.045,19.815,19.955,28505430,CMCSA,21.790174999999916
13,2013-02-28,20.035,20.1893,19.895,19.895,24696584,CMCSA,22.05674166666679
17,2013-03-06,20.575,20.655,20.36,20.425,15663620,CMCSA,21.8316994444445
20,2013-03-11,20.415,20.57,20.36,20.5675,16923626,CMCSA,21.79570214285711
23,2013-03-14,20.395,20.62,20.28,20.58,28377174,CMCSA,21.819335476190442
24,2013-03-15,20.435,20.62,20.295,20.355,35299422,CMCSA,20.780116666666625
25,2013-03-18,20.125,20.25,19.9255,20.185,26053680,CMCSA,20.80711666666673
26,2013-03-19,20.175,20.22,19.765,20.065,32476112,CMCSA,21.002238888888865
26,2013-03-19,20.175,20.22,19.765,20.065,32476112,CMCSA,21.002238888888865
32,2013-03-27,20.645,20.88,20.575,20.875,22330376,CMCSA,20.304272500000053
34,2013-04-01,20.73,21.0325,20.54,20.69,20077524,CMCSA,22.529413333333185
38,2013-04-05,20.695,20.82,20.465,20.78,27949534,CMCSA,21.42154666666672
40,2013-04-09,20.815,20.91,20.46,20.64,23151404,CMCSA,21.707373333333333
42,2013-04-11,20.9,20.98,20.825,20.905,26442356,CMCSA,20.775162261904782
46,2013-04-17,20.56,20.64,20.265,20.3075,36055524,CMCSA,20.54311666666659
51,2013-04-24,20.525,20.64,20.27,20.335,22902938,CMCSA,20.37738333333325
51,2013-04-24,20.525,20.64,20.27,20.335,22902938,CMCSA,20.37738333333325
52,2013-04-25,20.37,20.51,20.305,20.375,24018542,CMCSA,21.73450333333336
53,2013-04-26,20.4,20.765,20.32,20.685,27519840,CMCSA,22.32692666666654
54,2013-04-29,20.81,20.845,20.64,20.745,16753888,CMCSA,20.429789999999965
58,2013-05-03,21.07,21.375,21.07,21.27,15546490,CMCSA,24.202013333333433
60,2013-05-07,21.485,21.625,21.415,21.525,18317864,CMCSA,24.130900000000064
61,2013-05-08,21.47,21.68,21.455,21.6375,14363316,CMCSA,24.488116666666777
63,2013-05-10,21.545,21.6775,21.455,21.54,12767444,CMCSA,24.1549000000001
70,2013-05-21,20.805,21.205,20.7675,21.115,25555556,CMCSA,20.537433333333347
71,2013-05-22,20.97,21.32,20.77,20.89,23456918,CMCSA,22.297908333333442
75,2013-05-29,20.88,20.895,20.3859,20.395,34549670,CMCSA,21.831199166666707
80,2013-06-05,20.48,20.485,20.03,20.095,26948458,CMCSA,21.332650000000015
83,2013-06-10,20.59,20.605,20.25,20.335,20579640,CMCSA,20.37738333333325
