,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,58.35,58.62,58.0,58.61,6787827,COP,59.690533333333306
4,2013-02-14,57.8,58.01,57.6199,57.92,5764412,COP,58.38713333333348
9,2013-02-22,58.3,58.33,57.65,58.2,4387306,COP,62.427933333333456
13,2013-02-28,57.9,58.3,57.85,57.95,7528251,COP,58.36723333333347
17,2013-03-06,57.93,58.04,57.44,58.0,6691277,COP,61.27813333333361
20,2013-03-11,58.41,58.595,58.08,58.44,4725968,COP,58.24273333333354
23,2013-03-14,59.0,59.56,58.87,59.52,5130118,COP,54.26896666666638
24,2013-03-15,59.1,59.39,58.81,59.07,10307678,COP,49.69653333333315
25,2013-03-18,58.67,59.65,58.55,59.15,5002603,COP,52.434966666666426
26,2013-03-19,59.21,59.48,58.71,59.31,6726904,COP,62.20703333333365
34,2013-04-01,60.2,60.7,60.02,60.48,4124336,COP,63.89828333333309
38,2013-04-05,58.38,58.69,58.06,58.54,6736481,COP,60.079066666666655
39,2013-04-08,58.6,59.34,58.51,59.31,4744039,COP,62.20703333333365
40,2013-04-09,59.51,60.06,59.0,59.78,4603934,COP,52.72873333333302
42,2013-04-11,60.4,60.63,59.83,60.16,6837247,COP,61.31003333333306
46,2013-04-17,57.17,57.2,56.38,56.81,7038608,COP,57.13260000000001
51,2013-04-24,57.89,58.55,57.89,58.26,7812011,COP,61.25303333333342
53,2013-04-26,58.42,59.0,58.359,58.91,6303916,COP,59.034799999999926
54,2013-04-29,59.29,60.05,59.021,59.9,5621023,COP,60.067133333333274
58,2013-05-03,61.41,61.97,61.25,61.92,6434510,COP,67.18707666666661
60,2013-05-07,62.38,62.99,62.26,62.84,5933479,COP,65.63257055555579
61,2013-05-08,62.8,62.94,62.33,62.59,6476002,COP,61.64284962962965
63,2013-05-10,62.44,62.58,61.82,62.23,12466209,COP,57.30460500000011
65,2013-05-14,62.02,63.14,61.84,63.06,6908589,COP,64.30224690476201
70,2013-05-21,64.25,64.769,63.8,64.31,6543784,COP,73.6909666666665
71,2013-05-22,63.54,63.97,62.57,62.74,9357667,COP,65.10343365079369
74,2013-05-28,63.24,63.61,62.72,62.84,5906433,COP,65.63257055555579
75,2013-05-29,62.49,63.01,62.2,62.78,6431668,COP,64.98517531746037
83,2013-06-10,62.36,62.44,61.95,62.2,4148183,COP,52.298040000000256
94,2013-06-25,59.81,60.015,59.37,59.83,6079147,COP,59.552533333333095
95,2013-06-26,60.37,60.45,59.758,60.33,4010484,COP,69.46070000000032
97,2013-06-28,60.3,60.77,60.04,60.5,6164469,COP,63.89828333333309
98,2013-07-01,60.73,61.63,60.73,61.23,5100523,COP,63.246022222222514
99,2013-07-02,61.21,62.185,61.05,61.79,6708306,COP,69.05680000000005
101,2013-07-05,62.11,62.415,61.52,62.31,4281660,COP,66.07155000000026
108,2013-07-16,65.24,65.4,64.71,64.95,16526358,COP,70.22913333333355
109,2013-07-17,65.24,65.64,65.13,65.56,4853408,COP,65.1810999999999
