,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,101.98,102.37,100.95,101.63,1224373,COST,110.78339999999994
4,2013-02-14,101.04,102.06,101.012,102.02,2211142,COST,110.2052333333336
9,2013-02-22,101.07,101.3,100.23,101.16,1576132,COST,112.43423333333305
13,2013-02-28,101.07,102.37,100.792,101.29,2213051,COST,113.5123000000004
17,2013-03-06,103.15,103.49,102.36,102.56,1254331,COST,110.18356666666614
20,2013-03-11,103.55,103.69,102.35,102.44,2120769,COST,110.73353333333296
23,2013-03-14,103.27,104.03,102.91,102.91,2316625,COST,110.08996666666623
24,2013-03-15,102.55,102.99,101.51,101.746,4001782,COST,110.23866666666642
25,2013-03-18,101.34,102.01,101.01,101.68,2137918,COST,110.47519999999977
26,2013-03-19,101.86,102.5399,101.13,102.12,2239813,COST,110.8707999999999
34,2013-04-01,106.0,106.59,105.381,105.81,1005672,COST,111.1818999999998
38,2013-04-05,105.3,105.97,104.45,105.8,1678824,COST,111.1818999999998
40,2013-04-09,107.25,107.28,105.59,105.79,1947206,COST,111.17503333333315
42,2013-04-11,105.88,106.4,105.19,106.01,2319396,COST,108.67828777777802
46,2013-04-17,104.77,105.25,104.34,104.77,1882584,COST,115.3529166666663
51,2013-04-24,107.46,108.35,107.3,107.83,2234212,COST,113.26816666666673
53,2013-04-26,108.9,109.75,108.38,109.27,2146663,COST,114.2121666666663
54,2013-04-29,109.3,109.47,108.47,108.63,1728260,COST,117.6919666666667
58,2013-05-03,109.93,110.41,109.01,109.75,1407584,COST,117.16948666666654
60,2013-05-07,109.02,109.779,108.66,109.71,1617338,COST,117.16318666666653
61,2013-05-08,109.9,110.25,109.4,109.61,863785,COST,114.03272666666638
63,2013-05-10,109.41,110.155,109.17,109.99,1239598,COST,117.75151999999983
65,2013-05-14,110.29,111.72,109.885,111.39,1932706,COST,118.00016666666639
70,2013-05-21,112.48,113.96,112.21,113.48,1945999,COST,117.38310000000024
71,2013-05-22,113.33,114.72,112.93,113.38,2524281,COST,115.98763333333333
75,2013-05-29,114.53,114.655,112.74,112.95,1833743,COST,116.84912047619063
83,2013-06-10,110.93,111.03,109.64,110.31,1563896,COST,117.11469999999977
88,2013-06-17,111.75,112.5,110.939,111.7,1441615,COST,118.97303333333329
94,2013-06-25,110.68,110.68,109.24,110.25,1607798,COST,117.17766666666641
95,2013-06-26,110.45,111.47,110.1,111.18,1539192,COST,113.78353333333312
97,2013-06-28,111.21,112.22,110.52,110.57,1853520,COST,113.16300666666662
98,2013-07-01,111.55,111.81,110.319,110.43,1112669,COST,120.56756666666651
99,2013-07-02,110.63,111.87,110.45,110.85,1279653,COST,113.85189015872977
101,2013-07-05,112.24,112.31,110.71,111.76,1366659,COST,119.08306666666661
108,2013-07-16,116.17,116.74,115.55,116.53,1295143,COST,118.44796666666664
109,2013-07-17,116.96,117.7,116.3501,117.4,1276865,COST,116.32326666666711
110,2013-07-18,117.34,117.6,116.4,117.06,1180656,COST,122.8502333333336
112,2013-07-22,118.82,118.83,117.65,118.05,1157965,COST,117.32833333333343
113,2013-07-23,118.37,119.15,118.29,119.1,1079585,COST,128.41233333333344
123,2013-08-06,119.24,119.92,119.02,119.5,1308478,COST,133.34180000000006
125,2013-08-08,118.06,118.9099,116.08,117.39,2372919,COST,116.89571666666694
128,2013-08-13,116.34,116.35,114.75,115.65,1230333,COST,123.35093333333374
130,2013-08-15,112.46,112.7799,111.51,111.79,1656613,COST,117.67569999999974
132,2013-08-19,111.9,112.94,111.8,112.08,1259508,COST,117.61574190476144
134,2013-08-21,112.63,112.87,111.85,111.96,1329274,COST,121.29946111111101
137,2013-08-26,113.0,113.12,111.84,111.87,1033414,COST,121.15802777777768
140,2013-08-29,110.29,111.89,110.19,111.39,1387952,COST,118.00016666666639
141,2013-08-30,111.74,112.19,111.15,111.87,1207686,COST,121.15802777777768
145,2013-09-06,114.3,115.01,113.12,114.35,2231975,COST,120.75689999999963
146,2013-09-09,114.17,115.47,113.929,115.35,1262032,COST,120.3943638888889
151,2013-09-16,118.36,118.46,116.96,117.35,1782654,COST,114.99909166666684
153,2013-09-18,117.68,119.061,116.96,118.642,1858820,COST,129.524643333333
159,2013-09-26,115.89,116.48,115.24,116.4,1039095,COST,118.36503333333286
164,2013-10-03,114.34,115.14,113.9,114.42,1608037,COST,117.51859999999962
166,2013-10-07,113.81,114.165,113.36,113.41,1293940,COST,116.79289999999962
168,2013-10-09,111.08,115.23,110.15,114.59,5852576,COST,118.5727333333336
170,2013-10-11,115.16,116.0,114.74,115.9,1563043,COST,113.8857333333329
171,2013-10-14,115.0103,116.3,115.0103,116.26,1195117,COST,124.97615388888852
172,2013-10-15,115.76,116.1099,115.27,115.36,1503334,COST,120.28609722222225
179,2013-10-24,115.54,116.8,115.18,116.24,2250079,COST,113.99174444444515
179,2013-10-24,115.54,116.8,115.18,116.24,2250079,COST,113.99174444444515
181,2013-10-28,116.2,118.29,116.2,117.35,1809729,COST,114.99909166666684
186,2013-11-04,120.0,120.4,119.26,120.34,1589212,COST,114.6948000000002
189,2013-11-07,124.74,124.74,122.51,122.78,2459632,COST,116.16213333333305
190,2013-11-08,122.21,122.89,121.12,122.78,2314755,COST,116.16213333333305
196,2013-11-18,124.66,124.66,122.915,123.31,1327685,COST,115.76960000000055
199,2013-11-21,122.95,124.2,122.31,123.89,1164216,COST,115.22110000000012
204,2013-11-29,125.7,126.0325,125.14,125.43,725417,COST,125.65623333333359
205,2013-12-02,125.66,125.69,123.45,123.69,1444905,COST,114.97890000000038
207,2013-12-04,123.26,124.46,122.36,122.97,1644123,COST,131.2196999999999
216,2013-12-17,118.17,118.36,117.02,117.55,1724393,COST,124.87213333333318
216,2013-12-17,118.17,118.36,117.02,117.55,1724393,COST,124.87213333333318
220,2013-12-23,119.1,119.13,118.1332,118.69,1181616,COST,119.25179333333324
221,2013-12-24,118.69,118.85,118.18,118.69,612519,COST,119.25179333333324
222,2013-12-26,118.68,119.11,118.59,118.63,1169900,COST,132.21109428571387
224,2013-12-30,118.95,119.37,118.569,118.77,812878,COST,115.98970000000045
228,2014-01-06,117.49,117.75,115.89,116.4,2120218,COST,118.36503333333286
231,2014-01-09,116.2,119.1,114.05,118.51,5763123,COST,114.29523444444413
235,2014-01-15,116.07,116.69,115.25,116.24,1847624,COST,113.99174444444515
235,2014-01-15,116.07,116.69,115.25,116.24,1847624,COST,113.99174444444515
236,2014-01-16,116.44,116.47,115.3,115.56,1938349,COST,115.99080000000033
237,2014-01-17,115.6,116.61,115.43,116.29,2708082,COST,116.3405447222225
244,2014-01-29,114.05,114.19,112.11,112.23,2356365,COST,120.99363333333395
252,2014-02-10,114.04,114.1,112.58,113.85,1871796,COST,117.07616666666632
253,2014-02-11,113.91,115.15,113.5,114.99,1778347,COST,118.29566666666673
257,2014-02-18,116.3,116.41,114.92,115.36,2062002,COST,120.28609722222225
259,2014-02-20,114.57,115.55,113.88,115.06,1837090,COST,117.33901666666706
262,2014-02-25,114.0,115.887,114.0,115.46,1935430,COST,125.72799999999974
263,2014-02-26,115.5,116.83,115.37,115.88,1926823,COST,112.9088999999995
264,2014-02-27,116.03,116.42,115.28,116.22,1374462,COST,113.99174444444515
266,2014-03-03,116.22,117.07,115.11,115.75,1666961,COST,116.0721333333337
270,2014-03-07,113.8,114.01,113.1401,113.5,2906694,COST,117.59469999999992
271,2014-03-10,113.21,114.59,113.0,114.59,2325219,COST,118.5727333333336
277,2014-03-18,113.9,114.12,113.02,113.85,2501020,COST,117.07616666666632
278,2014-03-19,113.54,114.25,112.46,112.85,1635636,COST,120.83439999999953
280,2014-03-21,114.41,114.58,113.3,113.83,4442274,COST,116.857633333333
283,2014-03-26,114.28,114.47,112.46,112.49,1912278,COST,117.09463333333403
284,2014-03-27,112.5,112.94,111.82,112.03,2042713,COST,115.96439444444401
285,2014-03-28,112.35,112.785,111.15,111.66,2795496,COST,120.73903333333304
289,2014-04-03,111.74,112.15,111.28,111.7,2329649,COST,118.97303333333329
294,2014-04-10,114.12,114.44,111.94,112.08,3305094,COST,117.61574190476144
295,2014-04-11,111.44,112.78,111.4,112.08,3098466,COST,117.61574190476144
299,2014-04-17,113.52,114.03,113.12,113.5,1659126,COST,117.59469999999992
305,2014-04-28,115.1,116.61,115.1,115.59,3018758,COST,118.26883333333309
306,2014-04-29,115.38,115.9496,115.16,115.4,1580555,COST,118.32634444444429
308,2014-05-01,115.68,116.0,114.94,115.56,1167950,COST,115.99080000000033
316,2014-05-13,116.32,116.6,116.08,116.29,1229433,COST,116.3405447222225
318,2014-05-15,114.76,114.8,113.62,114.35,1890968,COST,120.75689999999963
325,2014-05-27,115.0,115.22,113.62,113.87,2583867,COST,115.82143333333298
326,2014-05-28,114.0,114.95,113.956,114.24,2391409,COST,117.17663333333377
334,2014-06-09,118.21,118.85,117.473,117.78,1623136,COST,119.45402777777795
336,2014-06-11,116.46,116.94,115.98,116.24,1117146,COST,113.99174444444515
336,2014-06-11,116.46,116.94,115.98,116.24,1117146,COST,113.99174444444515
337,2014-06-12,116.13,116.43,115.07,115.44,1427319,COST,125.57773333333294
339,2014-06-16,115.32,115.46,114.95,115.43,1503081,COST,124.2124999999996
342,2014-06-19,116.57,116.58,115.78,116.26,1635755,COST,124.97615388888852
343,2014-06-20,116.65,116.65,115.09,115.36,2966299,COST,120.28609722222225
344,2014-06-23,115.2,115.32,114.51,115.22,1509532,COST,119.3686999999999
350,2014-07-01,115.54,115.7,114.9,115.44,1501715,COST,125.57773333333294
351,2014-07-02,115.25,115.91,115.25,115.75,1122270,COST,116.0721333333337
355,2014-07-09,117.21,117.99,117.11,117.92,2328158,COST,116.71262666666676
361,2014-07-17,117.35,117.54,116.58,116.79,1436645,COST,114.5162999999998
363,2014-07-21,117.43,117.91,116.86,117.04,1340803,COST,122.86510000000028
364,2014-07-22,117.28,118.04,117.1,117.55,1768971,COST,124.87213333333318
364,2014-07-22,117.28,118.04,117.1,117.55,1768971,COST,124.87213333333318
367,2014-07-25,117.96,118.03,117.07,117.55,1549356,COST,124.87213333333318
367,2014-07-25,117.96,118.03,117.07,117.55,1549356,COST,124.87213333333318
372,2014-08-01,117.8,118.33,117.46,117.88,2089466,COST,118.64616722222281
374,2014-08-05,117.5,118.2,117.29,118.05,1798588,COST,117.32833333333343
379,2014-08-12,118.77,119.27,118.551,119.01,1082111,COST,119.32343333333367
385,2014-08-20,120.45,121.23,120.09,120.91,1287408,COST,125.00246666666715
396,2014-09-05,125.04,127.03,124.71,127.01,2915411,COST,144.51323333333323
399,2014-09-10,126.31,126.49,125.87,126.17,1014919,COST,142.17260000000002
407,2014-09-22,126.37,126.5,125.58,125.83,1453733,COST,142.98696666666683
408,2014-09-23,125.96,125.99,125.21,125.51,1563097,COST,137.23063333333295
409,2014-09-24,126.09,127.78,125.58,127.62,2076388,COST,143.57816666666665
412,2014-09-29,125.03,125.6,124.78,125.32,1170981,COST,139.49650000000068
413,2014-09-30,124.86,125.6,124.77,125.32,1666455,COST,139.49650000000068
415,2014-10-02,124.99,126.21,124.82,125.79,1545842,COST,142.71083333333365
418,2014-10-07,125.35,125.83,124.75,125.27,2335221,COST,132.99203333333372
426,2014-10-17,123.77,125.75,123.18,124.65,3199186,COST,141.0854666666666
451,2014-11-21,140.8,140.83,139.23,139.72,1849219,COST,150.08809999999977
452,2014-11-24,139.33,139.99,139.19,139.8,1645815,COST,148.29803333333365
455,2014-11-28,141.3,142.9699,140.308,142.12,1442598,COST,148.43958333333262
457,2014-12-02,142.43,143.349,141.76,143.06,1765406,COST,146.45778333333345
459,2014-12-04,143.49,143.49,142.02,143.02,1324093,COST,149.27091666666695
473,2014-12-24,144.56,144.865,143.6,143.65,738668,COST,151.87193333333377
474,2014-12-26,143.61,143.87,143.08,143.44,1233068,COST,150.1341699999999
478,2015-01-02,141.87,143.15,140.814,141.61,1471736,COST,151.05538333333345
