,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,43.09,43.34,42.5,43.075,4106540,CRM,42.0226555555554
4,2013-02-14,43.0725,43.865,42.89,43.615,6838456,CRM,52.52717658730177
9,2013-02-22,42.5375,42.64,42.1875,42.64,4078316,CRM,42.35670000000021
13,2013-02-28,41.7675,42.475,41.7675,42.305,14764784,CRM,42.16683333333315
17,2013-03-06,46.415,46.8675,46.1425,46.5925,4816236,CRM,41.06696666666674
20,2013-03-11,46.38,46.985,46.3775,46.485,4028992,CRM,41.04770000000007
23,2013-03-14,45.41,45.7245,44.59,44.6225,7149992,CRM,48.446633333333516
24,2013-03-15,44.6075,44.96,44.0475,44.125,9869600,CRM,42.360800000000026
25,2013-03-18,43.825,44.25,43.455,43.5325,6496436,CRM,53.08326666666672
26,2013-03-19,43.63,43.6825,42.5925,42.8075,7280500,CRM,51.196366666666705
34,2013-04-01,44.675,44.9138,43.6825,43.8475,4824468,CRM,43.554127777777786
38,2013-04-05,40.415,41.43,40.33,41.355,5287516,CRM,43.59346666666653
40,2013-04-09,41.8775,41.8775,40.8875,41.3325,5303976,CRM,43.60586666666653
42,2013-04-11,41.88,42.085,41.4075,41.6275,6845720,CRM,40.14400000000007
46,2013-04-17,42.2125,42.665,41.415,41.8375,5535820,CRM,43.553133333333314
51,2013-04-24,41.02,41.53,40.87,40.91,2670712,CRM,43.11750000000006
53,2013-04-26,40.84,41.1,40.635,40.71,2646256,CRM,43.162066666666895
54,2013-04-29,40.75,41.28,40.55,41.01,2651598,CRM,42.14643333333308
58,2013-05-03,42.27,42.5,42.06,42.24,2897014,CRM,40.81296666666667
60,2013-05-07,42.64,42.85,42.11,42.42,2802740,CRM,48.69733333333323
61,2013-05-08,42.43,42.59,42.2,42.37,3028226,CRM,40.99736666666651
63,2013-05-10,43.21,44.25,43.21,44.17,4286810,CRM,42.360800000000026
70,2013-05-21,47.05,47.11,46.3,46.33,6112756,CRM,41.57516666666677
71,2013-05-22,46.43,47.218,45.53,45.78,6717123,CRM,48.604330000000054
75,2013-05-29,41.18,42.36,40.85,41.93,8799416,CRM,48.80043333333319
79,2013-06-04,39.25,40.19,37.57,37.8,29695067,CRM,46.24592857142863
83,2013-06-10,39.95,39.97,38.52,38.68,10800056,CRM,52.82673333333323
86,2013-06-13,37.46,37.977,36.87,37.8,5838058,CRM,46.24592857142863
94,2013-06-25,37.61,38.24,37.34,37.44,5831970,CRM,49.50815000000018
95,2013-06-26,37.75,38.2,37.72,38.0,5046835,CRM,45.43580999999977
97,2013-06-28,38.44,38.57,37.81,38.18,5070584,CRM,49.75313333333301
98,2013-07-01,38.56,38.72,37.76,37.8,3799789,CRM,46.24592857142863
