,date,open,high,low,close,volume,Name,Predicted
2,2013-02-12,21.25,21.27,20.94,20.97,46456472,CSCO,21.23036666666667
3,2013-02-13,21.0,21.14,20.93,21.14,63085496,CSCO,22.371108571428532
4,2013-02-14,20.88,21.0,20.51,20.99,67158759,CSCO,21.52108333333344
5,2013-02-15,20.94,21.07,20.92,20.99,44439532,CSCO,21.52108333333344
9,2013-02-22,20.81,20.93,20.72,20.9,20483295,CSCO,23.899113333333418
13,2013-02-28,20.89,21.045,20.74,20.855,30335762,CSCO,24.65324688888898
14,2013-03-01,20.71,20.9,20.55,20.83,24174763,CSCO,24.960847480158755
14,2013-03-01,20.71,20.9,20.55,20.83,24174763,CSCO,24.960847480158755
17,2013-03-06,21.3,21.79,21.24,21.715,45966136,CSCO,24.044371666666724
20,2013-03-11,21.77,21.98,21.65,21.88,29119951,CSCO,24.30331166666658
23,2013-03-14,21.7,21.86,21.45,21.59,40468163,CSCO,24.578416666666588
24,2013-03-15,21.57,21.95,21.38,21.925,59803100,CSCO,23.278316666666647
25,2013-03-18,21.74,21.95,21.61,21.67,30211694,CSCO,23.807878888888943
26,2013-03-19,21.71,21.745,21.3,21.52,27264047,CSCO,24.64701666666675
27,2013-03-20,21.63,21.74,21.58,21.67,24570873,CSCO,23.807878888888943
32,2013-03-27,20.68,20.9,20.61,20.83,27760827,CSCO,24.960847480158755
32,2013-03-27,20.68,20.9,20.61,20.83,27760827,CSCO,24.960847480158755
34,2013-04-01,21.04,21.38,20.78,20.83,40009110,CSCO,24.960847480158755
34,2013-04-01,21.04,21.38,20.78,20.83,40009110,CSCO,24.960847480158755
38,2013-04-05,20.25,20.7,20.0,20.61,54766854,CSCO,24.180266333333417
40,2013-04-09,20.64,21.05,20.58,20.97,27529434,CSCO,21.23036666666667
41,2013-04-10,21.07,21.6,21.02,21.47,39307049,CSCO,23.589777777777748
42,2013-04-11,21.33,21.7,21.27,21.685,35992114,CSCO,23.168769920634908
46,2013-04-17,20.95,21.019,20.59,20.63,30870307,CSCO,25.072333000000082
51,2013-04-24,20.47,20.53,20.26,20.39,55726435,CSCO,25.046880000000048
53,2013-04-26,20.61,20.71,20.51,20.67,33713439,CSCO,23.65307766666679
54,2013-04-29,20.65,21.07,20.47,20.98,29476183,CSCO,21.242366666666666
55,2013-04-30,20.99,21.25,20.8,20.92,37776985,CSCO,24.750193333333304
56,2013-05-01,20.83,20.9,20.35,20.38,44771358,CSCO,25.046880000000048
58,2013-05-03,20.93,20.96,20.76,20.83,41962481,CSCO,24.960847480158755
58,2013-05-03,20.93,20.96,20.76,20.83,41962481,CSCO,24.960847480158755
60,2013-05-07,20.68,20.71,20.29,20.38,54596335,CSCO,25.046880000000048
61,2013-05-08,20.4,20.76,20.4,20.72,37411489,CSCO,24.822963666666602
62,2013-05-09,20.72,20.95,20.615,20.83,25789832,CSCO,24.960847480158755
62,2013-05-09,20.72,20.95,20.615,20.83,25789832,CSCO,24.960847480158755
63,2013-05-10,20.83,21.1,20.82,21.1,26926071,CSCO,23.17793333333328
70,2013-05-21,23.89,24.06,23.59,24.01,48123360,CSCO,22.207683333333303
71,2013-05-22,24.0,24.02,23.25,23.34,46833021,CSCO,25.77411873015883
71,2013-05-22,24.0,24.02,23.25,23.34,46833021,CSCO,25.77411873015883
75,2013-05-29,23.71,24.24,23.7,24.12,37313001,CSCO,24.07299999999996
78,2013-06-03,24.26,24.5,24.03,24.38,30804849,CSCO,23.720570476190446
79,2013-06-04,24.27,24.6,24.03,24.36,30628433,CSCO,23.761153888888852
80,2013-06-05,24.27,24.64,24.21,24.32,45741050,CSCO,22.765124702380948
83,2013-06-10,24.57,24.67,24.28,24.36,33762450,CSCO,23.761153888888852
84,2013-06-11,24.13,24.445,24.05,24.07,28059597,CSCO,25.03274999999993
88,2013-06-17,24.26,24.96,24.23,24.7,46031222,CSCO,25.0571370460558
88,2013-06-17,24.26,24.96,24.23,24.7,46031222,CSCO,25.0571370460558
89,2013-06-18,24.72,24.98,24.7,24.82,34938975,CSCO,24.881105555555564
94,2013-06-25,24.31,24.44,23.99,24.005,41334735,CSCO,22.211329999999972
95,2013-06-26,24.3,24.4451,24.18,24.385,32721339,CSCO,23.720570476190446
97,2013-06-28,24.43,24.61,24.3,24.335,35574037,CSCO,22.847291369047614
97,2013-06-28,24.43,24.61,24.3,24.335,35574037,CSCO,22.847291369047614
98,2013-07-01,24.42,24.83,24.305,24.335,33673590,CSCO,22.847291369047614
98,2013-07-01,24.42,24.83,24.305,24.335,33673590,CSCO,22.847291369047614
99,2013-07-02,24.24,24.64,24.22,24.32,31098575,CSCO,22.765124702380948
101,2013-07-05,24.64,24.66,24.25,24.57,19984282,CSCO,25.331122222222174
104,2013-07-10,25.07,25.56,25.0602,25.41,37920216,CSCO,24.699825694444474
108,2013-07-16,25.86,25.99,25.63,25.71,26336141,CSCO,23.614639365079473
109,2013-07-17,25.8,25.86,25.6,25.72,22080747,CSCO,23.583972698412786
110,2013-07-18,25.87,26.15,25.73,25.86,32994873,CSCO,24.300466666666825
112,2013-07-22,26.0,26.04,25.48,25.72,30419591,CSCO,23.583972698412786
113,2013-07-23,25.7,25.77,25.49,25.56,27953348,CSCO,25.509218152777873
123,2013-08-06,26.41,26.415,26.06,26.21,26093494,CSCO,28.065766666666573
123,2013-08-06,26.41,26.415,26.06,26.21,26093494,CSCO,28.065766666666573
125,2013-08-08,26.27,26.315,26.18,26.26,20512120,CSCO,26.61223333333315
