,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,61.2,61.31,60.57,61.02,2389915,DHR,62.51447499999998
4,2013-02-14,60.78,61.36,60.52,61.16,2789273,DHR,63.76060000000006
8,2013-02-21,60.71,61.2,60.59,60.99,2733441,DHR,63.0089416666667
9,2013-02-22,61.11,61.46,61.01,61.46,2155617,DHR,63.60436666666695
13,2013-02-28,61.4,61.99,61.13,61.6,2567753,DHR,63.956733333332934
13,2013-02-28,61.4,61.99,61.13,61.6,2567753,DHR,63.956733333332934
17,2013-03-06,62.32,62.46,61.67,61.77,2336097,DHR,64.52826666666677
19,2013-03-08,61.83,62.07,61.54,61.94,2233500,DHR,62.932492857142776
20,2013-03-11,61.95,62.3,61.94,62.26,1740969,DHR,69.00226666666669
23,2013-03-14,62.25,62.6,62.22,62.6,1800669,DHR,67.32996666666683
24,2013-03-15,62.23,62.9,62.15,62.65,4223112,DHR,67.32996666666683
25,2013-03-18,61.97,62.195,61.67,61.81,2494911,DHR,65.23273333333331
26,2013-03-19,62.02,62.236,60.96,61.28,3478379,DHR,63.182300000000154
27,2013-03-20,61.47,61.8,61.093,61.31,2893824,DHR,63.269366666666805
34,2013-04-01,61.86,62.1,61.51,61.79,2189002,DHR,64.50240000000038
35,2013-04-02,62.0,62.05,61.56,61.74,2589802,DHR,63.89426666666654
38,2013-04-05,60.02,60.585,59.78,60.55,2699020,DHR,66.96881912698412
40,2013-04-09,60.82,60.85,60.185,60.54,2592411,DHR,66.96881912698412
42,2013-04-11,61.75,62.115,61.55,61.94,2368825,DHR,62.932492857142776
46,2013-04-17,60.66,60.72,59.58,59.74,3411132,DHR,64.70499999999993
53,2013-04-29,60.0,60.41,59.88,60.23,2103955,DHR,63.72775277777765
54,2013-04-30,60.29,61.53,60.08,60.94,5108250,DHR,66.38269999999996
58,2013-05-06,60.79,61.45,60.54,61.31,2079017,DHR,63.269366666666805
60,2013-05-08,61.5,61.72,61.35,61.64,2077608,DHR,65.61227142857142
61,2013-05-09,61.61,62.12,61.45,61.74,2008275,DHR,63.89426666666654
63,2013-05-13,61.68,61.955,61.57,61.6,2302415,DHR,63.956733333332934
63,2013-05-13,61.68,61.955,61.57,61.6,2302415,DHR,63.956733333332934
70,2013-05-22,63.83,64.04,62.48,62.76,2821350,DHR,67.32996666666683
71,2013-05-23,62.31,62.71,62.18,62.39,2822608,DHR,66.69873333333341
74,2013-05-29,62.1,62.48,61.895,62.21,2103672,DHR,65.48120000000023
75,2013-05-30,62.42,62.9,62.09,62.5,2098290,DHR,69.16013333333355
78,2013-06-04,62.23,62.77,61.435,61.79,2959586,DHR,64.50240000000038
83,2013-06-11,61.66,62.48,61.5401,62.21,2290813,DHR,65.48120000000023
89,2013-06-19,64.36,64.8,63.66,63.68,3497636,DHR,69.4894666666668
90,2013-06-20,62.99,63.23,62.1,62.26,3270545,DHR,69.00226666666669
94,2013-06-26,62.82,63.66,62.71,63.35,3296234,DHR,69.80280000000016
95,2013-06-27,63.77,63.9,63.09,63.64,2531966,DHR,69.49266666666679
97,2013-07-01,63.74,65.15,63.6,64.7,3760389,DHR,68.78643333333345
98,2013-07-02,64.59,64.765,63.46,63.68,3248561,DHR,69.4894666666668
99,2013-07-03,63.34,63.91,63.16,63.63,1100358,DHR,69.49266666666679
101,2013-07-08,64.95,65.061,64.31,64.44,2790956,DHR,69.21766666666672
108,2013-07-17,68.28,68.63,68.14,68.41,3217950,DHR,69.6379666666665
109,2013-07-18,68.0,68.68,66.83,67.75,5498028,DHR,69.56271666666692
110,2013-07-19,68.0,69.02,67.674,68.69,2941459,DHR,74.9543333333335
113,2013-07-24,68.0,68.13,67.385,67.63,2671325,DHR,73.2518833333337
123,2013-08-07,67.0,67.56,66.8,67.49,2339852,DHR,73.98528222222257
125,2013-08-09,67.27,67.4,66.92,66.99,1557308,DHR,73.55850000000022
127,2013-08-13,66.53,67.72,66.47,67.63,1760382,DHR,73.2518833333337
128,2013-08-14,67.4,67.45,66.545,66.67,1734379,DHR,73.05003333333349
130,2013-08-16,66.51,66.83,66.305,66.73,2177721,DHR,72.7422333333331
132,2013-08-20,66.9,66.9,66.215,66.32,2390427,DHR,73.88973333333327
134,2013-08-22,66.4,67.54,66.26,67.29,1675850,DHR,73.17325000000017
140,2013-08-30,65.42,65.82,65.25,65.52,1532578,DHR,74.96426666666692
141,2013-09-03,66.28,66.6,65.6075,65.87,1693797,DHR,74.91940000000018
146,2013-09-13,69.63,69.78,69.01,69.76,2467848,DHR,77.7092714285719
151,2013-09-20,70.32,70.72,69.57,69.57,5124792,DHR,76.26840412698402
