,date,open,high,low,close,volume,Name,Predicted
9,2014-04-09,559.62,565.37,552.95,564.14,3324742,GOOG,556.7479333333317
13,2014-04-15,536.82,538.45,518.4601,536.44,3847453,GOOG,571.3148650000005
15,2014-04-17,548.81,549.5,531.15,536.1,6795393,GOOG,549.7495833333332
22,2014-04-29,516.9,529.46,516.32,527.7,2692489,GOOG,543.8945666666662
24,2014-05-01,527.11,532.93,523.88,531.35,1900432,GOOG,584.3360666666688
26,2014-05-05,524.82,528.9,521.32,527.81,1021408,GOOG,543.2046000000001
34,2014-05-15,525.7,525.87,517.42,519.98,1703758,GOOG,599.5593999999996
46,2014-06-03,550.99,552.34,542.55,544.94,1861921,GOOG,571.3752333333354
48,2014-06-05,546.4,554.95,544.45,553.9,1684886,GOOG,574.5196722222202
50,2014-06-09,557.15,562.9,556.04,562.12,1463676,GOOG,567.5755999999988
53,2014-06-12,557.3,557.99,548.46,551.35,1457104,GOOG,535.2983666666659
54,2014-06-13,552.26,552.3,545.56,551.76,1217176,GOOG,549.5805999999986
57,2014-06-18,544.86,553.56,544.0,553.37,1737343,GOOG,620.4450499999984
60,2014-06-23,555.15,565.0,554.25,564.95,1534659,GOOG,558.2456333333319
61,2014-06-24,565.19,572.646,561.01,564.62,2201789,GOOG,554.1463999999985
63,2014-06-26,581.0,582.45,571.85,576.0,1737210,GOOG,557.6477499999991
66,2014-07-01,578.32,584.4,576.65,582.67,1446309,GOOG,557.3000000000017
74,2014-07-14,582.6,585.21,578.03,584.87,1852290,GOOG,561.0970999999993
80,2014-07-22,590.72,599.65,590.6,594.74,1694787,GOOG,725.2964666666659
81,2014-07-23,593.23,597.85,592.5,595.98,1229846,GOOG,549.0506666666662
87,2014-07-31,580.6,583.6499,570.0,571.6,2099516,GOOG,543.5392333333325
94,2014-08-11,569.99,570.49,566.0,567.88,1215968,GOOG,547.0381333333328
97,2014-08-14,576.18,577.9,570.88,574.65,982926,GOOG,536.9752850000004
98,2014-08-15,577.86,579.38,570.52,573.48,1517056,GOOG,535.0061999999984
99,2014-08-18,576.11,584.51,576.0,582.16,1282531,GOOG,609.048699999998
108,2014-08-29,571.33,572.04,567.0692,571.6,1081231,GOOG,543.5392333333325
109,2014-09-02,571.85,577.83,571.19,577.33,1576830,GOOG,532.631533333331
110,2014-09-03,580.0,582.99,575.0,577.94,1214586,GOOG,536.5634333333328
113,2014-09-08,586.6,591.77,586.3,589.72,1429101,GOOG,530.782066666668
125,2014-09-24,581.46,589.63,580.52,587.99,1724537,GOOG,532.6118666666677
127,2014-09-26,576.06,579.25,574.66,577.1,1439807,GOOG,563.7970000000009
128,2014-09-29,571.75,578.19,571.17,576.36,1281204,GOOG,560.1274333333324
