,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,75.79,75.87,75.37,75.66,8014788,JNJ,88.06366666666636
4,2013-02-14,75.5,76.09,75.38,75.81,9681846,JNJ,86.25066666666675
9,2013-02-22,76.39,76.49,75.97,76.25,8573208,JNJ,87.13036666666643
13,2013-02-28,76.23,76.49,76.11,76.11,11810494,JNJ,86.9468666666667
17,2013-03-06,77.69,77.74,77.22,77.39,8535851,JNJ,85.7637333333336
20,2013-03-11,77.92,78.52,77.84,78.44,8807527,JNJ,84.75216666666643
23,2013-03-14,78.67,79.1,78.49,79.1,10149230,JNJ,85.3135
24,2013-03-15,78.62,79.24,78.62,79.19,18302441,JNJ,85.38016666666677
25,2013-03-18,78.72,79.19,78.7,78.81,8005457,JNJ,85.20356666666659
26,2013-03-19,78.98,79.09,78.5,78.86,7092364,JNJ,85.2197666666666
34,2013-04-01,81.39,81.965,81.28,81.93,7378460,JNJ,87.60906666666651
38,2013-04-05,81.79,82.11,81.62,82.04,8581618,JNJ,87.64253333333318
40,2013-04-09,81.26,81.75,81.24,81.52,9078243,JNJ,85.54320000000033
42,2013-04-11,82.14,82.96,82.08,82.32,9882669,JNJ,86.39146666666673
46,2013-04-17,83.36,84.43,83.29,83.9,13693285,JNJ,87.0681333333332
51,2013-04-24,85.68,85.74,84.28,84.39,9479780,JNJ,87.91563333333336
53,2013-04-26,85.3,85.49,84.805,85.12,6785201,JNJ,93.37862499999952
54,2013-04-29,85.02,85.89,84.91,85.58,8039781,JNJ,91.07013333333292
58,2013-05-03,85.58,85.99,85.45,85.75,9212094,JNJ,92.26436666666643
60,2013-05-07,84.87,85.57,84.63,85.53,9062990,JNJ,90.64109999999944
61,2013-05-08,85.48,85.6,84.93,85.46,8030714,JNJ,90.63959999999943
63,2013-05-10,85.29,85.76,85.181,85.76,7595332,JNJ,92.26436666666643
70,2013-05-21,87.94,88.64,87.79,88.59,10099587,JNJ,90.30136666666671
71,2013-05-22,88.7,89.99,88.2,88.46,13810803,JNJ,98.15296666666632
75,2013-05-29,87.08,87.16,85.14,85.65,11871743,JNJ,90.19439999999962
83,2013-06-10,85.01,85.71,84.73,85.14,8476975,JNJ,93.37862499999952
94,2013-06-25,85.16,85.59,84.54,85.35,11241086,JNJ,91.18363333333282
95,2013-06-26,85.95,87.32,85.94,86.99,11966641,JNJ,93.56987777777782
97,2013-06-28,86.72,87.38,85.85,85.86,11897743,JNJ,92.01563333333314
98,2013-07-01,85.72,87.64,85.5,86.63,9905779,JNJ,96.29789999999996
99,2013-07-02,86.65,87.2,86.21,86.57,8573755,JNJ,95.47543333333365
99,2013-07-02,86.65,87.2,86.21,86.57,8573755,JNJ,95.47543333333365
101,2013-07-05,87.58,87.88,86.92,87.87,5403508,JNJ,93.31046666666707
102,2013-07-08,88.09,88.99,87.97,88.59,12051669,JNJ,90.30136666666671
107,2013-07-15,89.91,90.81,89.76,90.4,13343236,JNJ,90.03500000000022
108,2013-07-16,91.04,91.66,90.13,90.4,11410317,JNJ,90.03500000000022
109,2013-07-17,90.58,90.97,89.88,90.13,12835285,JNJ,97.57779999999934
110,2013-07-18,90.33,90.9493,90.06,90.17,8329613,JNJ,97.57779999999934
113,2013-07-23,92.39,92.855,92.11,92.42,8467834,JNJ,97.65538174603174
118,2013-07-30,93.47,93.97,93.02,93.17,8863057,JNJ,92.8329666666663
123,2013-08-06,93.88,93.94,93.5,93.81,6414982,JNJ,93.46286666666637
125,2013-08-08,94.27,94.37,92.71,93.34,11090305,JNJ,97.13312666666674
128,2013-08-13,91.89,93.35,91.76,93.01,10099808,JNJ,101.46273333333353
130,2013-08-15,90.32,90.41,89.09,89.55,12010672,JNJ,95.87270000000026
