,date,open,high,low,close,volume,Name,Predicted
1,2013-02-11,38.71,38.83,38.41,38.61,12159872,KO,42.27803333333322
3,2013-02-13,37.67,37.94,37.01,37.21,19942647,KO,41.001243174603154
4,2013-02-14,37.24,37.51,36.7,36.84,22748290,KO,40.64801333333349
9,2013-02-22,37.76,38.52,37.71,38.52,20102745,KO,41.366416507936556
9,2013-02-22,37.76,38.52,37.71,38.52,20102745,KO,41.366416507936556
13,2013-02-28,38.47,38.97,38.42,38.72,19010564,KO,42.00336132275133
15,2013-03-04,38.6,38.82,38.45,38.82,9934233,KO,40.533441587301496
17,2013-03-06,38.8,39.04,38.7,39.02,11655103,KO,40.0099333333332
17,2013-03-06,38.8,39.04,38.7,39.02,11655103,KO,40.0099333333332
20,2013-03-11,39.2,39.38,39.18,39.31,9201401,KO,40.40889999999984
23,2013-03-14,38.82,39.12,38.66,39.02,14573357,KO,40.0099333333332
23,2013-03-14,38.82,39.12,38.66,39.02,14573357,KO,40.0099333333332
24,2013-03-15,38.82,38.94,38.66,38.83,20807695,KO,40.62633777777759
25,2013-03-18,38.61,38.94,38.57,38.76,11480229,KO,43.27918888888884
26,2013-03-19,38.92,39.4,38.82,39.33,15133642,KO,42.459100000000014
30,2013-03-25,40.11,40.25,39.96,40.12,15718586,KO,39.41018388888879
33,2013-03-28,40.38,40.6,40.02,40.44,14214145,KO,39.15078333333347
33,2013-03-28,40.38,40.6,40.02,40.44,14214145,KO,39.15078333333347
34,2013-04-01,40.39,40.4899,40.17,40.45,8202005,KO,38.56895833333334
34,2013-04-01,40.39,40.4899,40.17,40.45,8202005,KO,38.56895833333334
36,2013-04-03,40.78,40.82,40.08,40.17,13639024,KO,40.89119444444444
38,2013-04-05,40.21,40.355,40.01,40.08,10731445,KO,39.23770513227511
38,2013-04-05,40.21,40.355,40.01,40.08,10731445,KO,39.23770513227511
39,2013-04-08,40.06,40.87,39.77,40.86,22758248,KO,41.01003977513231
40,2013-04-09,40.81,41.13,40.51,40.71,21057051,KO,41.026845555555575
42,2013-04-11,41.13,41.41,41.06,41.18,10962497,KO,42.099070119047575
42,2013-04-11,41.13,41.41,41.06,41.18,10962497,KO,42.099070119047575
43,2013-04-12,40.91,41.11,40.68,41.08,10394506,KO,40.24807023809518
46,2013-04-17,42.14,42.7,42.03,42.55,24207933,KO,39.4060255555557
46,2013-04-17,42.14,42.7,42.03,42.55,24207933,KO,39.4060255555557
46,2013-04-17,42.14,42.7,42.03,42.55,24207933,KO,39.4060255555557
47,2013-04-18,42.48,42.65,42.09,42.1,16023100,KO,42.084151031746075
48,2013-04-19,42.28,42.77,42.2,42.66,13880945,KO,42.5407327777777
48,2013-04-19,42.28,42.77,42.2,42.66,13880945,KO,42.5407327777777
49,2013-04-22,42.52,42.85,42.4,42.72,10544599,KO,41.27860666666673
50,2013-04-23,42.78,42.96,42.255,42.7,11204315,KO,41.67356666666656
51,2013-04-24,42.64,42.9,42.1,42.15,11368181,KO,42.40181146825386
