,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,52.125,52.19,51.618,51.921,4095090,MA,57.59767333333308
4,2013-02-14,51.615,52.326,51.615,52.216,6655150,MA,59.14368999999965
9,2013-02-22,52.291,52.443,51.729,52.383,6586920,MA,55.688260000000206
13,2013-02-28,51.519,52.1368,51.339,51.782,6149710,MA,58.07925666666683
17,2013-03-06,52.552,53.123,52.335,52.758,5179090,MA,57.01849333333337
20,2013-03-11,52.958,53.247,52.841,53.089,4090860,MA,59.54182333333312
23,2013-03-14,52.855,53.125,52.671,52.718,5566830,MA,57.3539733333334
24,2013-03-15,52.599,52.883,51.822,51.937,11607910,MA,57.65851333333309
25,2013-03-18,51.531,51.966,51.473,51.501,5627720,MA,57.20481666666658
26,2013-03-19,51.622,51.784,50.8158,51.16,6301550,MA,58.01919333333339
34,2013-04-01,54.244,54.69,53.6,53.723,5501470,MA,57.76969333333339
38,2013-04-05,52.668,53.265,52.627,53.16,5784070,MA,59.861323333333395
40,2013-04-09,53.4,53.4355,52.315,52.764,9010480,MA,57.01849333333337
42,2013-04-11,53.442,54.232,53.257,54.124,5678360,MA,56.738673333333416
46,2013-04-17,52.725,53.086,52.468,52.576,6309250,MA,56.94833333333353
51,2013-04-24,53.197,53.475,53.123,53.202,2663010,MA,59.84352333333349
53,2013-04-26,53.422,53.816,53.347,53.533,4542560,MA,58.25984000000032
54,2013-04-29,53.748,53.999,53.535,53.901,3809000,MA,58.822660000000035
58,2013-05-03,55.174,55.766,55.063,55.355,7937660,MA,61.66797999999998
60,2013-05-07,54.808,55.193,54.544,55.126,4332380,MA,62.996883333333486
61,2013-05-08,55.117,55.4955,54.828,55.372,4387660,MA,61.66928666666664
63,2013-05-10,55.379,55.754,53.3795,55.513,4669100,MA,63.49606666666664
70,2013-05-21,58.453,58.9,58.24,58.485,3917840,MA,64.5806966666667
71,2013-05-22,58.7,58.829,57.614,57.671,5598490,MA,62.27653000000028
75,2013-05-29,57.232,57.6209,57.045,57.301,3506280,MA,67.2573866666668
83,2013-06-10,56.76,56.909,56.266,56.578,4115830,MA,62.09704999999996
94,2013-06-25,56.7265,56.763,56.162,56.458,8311060,MA,61.754106666666694
95,2013-06-26,56.8,57.275,56.379,57.0,5345710,MA,62.71258000000007
97,2013-06-28,56.917,57.45,56.647,57.45,10395620,MA,64.13295666666676
98,2013-07-01,57.861,59.0,57.755,58.321,8533150,MA,64.19298999999992
99,2013-07-02,58.19,58.895,57.971,58.306,5604160,MA,64.19298999999992
101,2013-07-05,59.0,59.503,58.6,59.503,5466660,MA,66.37387333333332
108,2013-07-16,59.622,59.791,58.938,58.979,4651100,MA,67.74305999999999
109,2013-07-17,58.3,59.394,58.295,59.335,9215990,MA,68.57893999999992
110,2013-07-18,59.603,60.074,59.452,59.692,3486820,MA,69.93872333333327
113,2013-07-23,60.383,60.485,59.75,59.8,4648820,MA,70.6661466666665
123,2013-08-06,64.221,65.698,63.995,65.4,8198720,MA,79.64786333333288
125,2013-08-08,64.906,65.0,64.149,64.584,4531630,MA,72.77607333333317
128,2013-08-13,63.681,63.681,63.021,63.333,3245200,MA,74.06136000000002
130,2013-08-15,62.386,62.479,61.5635,61.874,5328930,MA,74.43486666666686
132,2013-08-19,61.915,62.6006,61.75,61.989,3906610,MA,74.80521333333331
134,2013-08-21,61.961,62.759,61.801,61.931,9310280,MA,74.35919666666689
140,2013-08-29,61.05,61.84,61.045,61.257,5059840,MA,73.69430142063507
141,2013-08-30,61.395,61.498,60.359,60.608,6122560,MA,73.15930472222246
146,2013-09-09,63.801,64.089,63.553,64.04,6172810,MA,73.32758666666659
151,2013-09-16,67.38,67.5,66.865,67.1,7033970,MA,80.69147666666674
153,2013-09-18,67.9,68.852,67.6436,68.764,4669930,MA,77.58203333333326
164,2013-10-03,67.318,67.59,66.405,66.906,5546890,MA,76.5366133333335
166,2013-10-07,66.778,67.1,66.517,66.607,5288820,MA,76.5063366666666
168,2013-10-09,65.573,66.4469,64.744,65.723,6541050,MA,76.82215999999998
170,2013-10-11,67.885,68.5535,67.574,68.418,5458440,MA,79.87427999999953
171,2013-10-14,67.942,69.005,67.43,68.91,3597700,MA,77.58203333333326
172,2013-10-15,68.725,69.324,68.266,68.639,9155980,MA,78.46327999999971
179,2013-10-24,71.455,72.699,71.401,72.469,4019740,MA,80.91410000000033
186,2013-11-04,73.833,73.982,72.624,72.84,4568300,MA,74.9117333333332
189,2013-11-07,73.736,73.755,71.963,72.132,4742650,MA,76.72758666666695
196,2013-11-18,75.372,75.97,75.1212,75.455,6949950,MA,77.19063000000034
199,2013-11-21,74.484,74.959,74.484,74.7,3684630,MA,73.87614666666686
204,2013-11-29,76.143,76.5,75.963,76.081,2387740,MA,84.903831111111
205,2013-12-02,76.081,76.375,75.4,75.612,4239800,MA,84.99407714285731
207,2013-12-04,75.2,75.375,74.406,74.817,5090920,MA,75.43343333333331
216,2013-12-17,79.98,80.354,79.6115,79.795,9612290,MA,73.90640000000013
220,2013-12-23,82.506,82.563,81.256,81.51,8993190,MA,85.81289999999993
222,2013-12-26,81.505,82.19,81.417,82.19,5942890,MA,77.91843333333301
224,2013-12-30,83.012,83.892,82.855,83.33,7074520,MA,78.6917666666668
228,2014-01-06,83.196,83.388,82.466,82.669,7022770,MA,88.93993333333299
231,2014-01-09,84.0,84.424,83.625,84.36,7212580,MA,85.59876666666652
244,2014-01-29,78.19,78.67,77.01,77.7,7915482,MA,75.83313333333328
246,2014-01-31,75.51,76.99,71.75,75.68,23255509,MA,74.15705666666653
249,2014-02-05,72.76,73.5,72.11,72.84,7769433,MA,74.9117333333332
252,2014-02-10,76.66,77.3399,75.85,76.35,4886654,MA,77.0406333333332
253,2014-02-11,76.8,76.83,76.0,76.19,5323791,MA,75.65949999999984
258,2014-02-19,77.34,78.01,76.53,76.65,6038258,MA,76.05433333333367
259,2014-02-20,76.88,76.88,74.85,75.86,8723584,MA,77.38036666666667
262,2014-02-25,76.0,76.97,75.52,76.74,7437312,MA,78.67343333333349
263,2014-02-26,76.83,77.41,76.61,77.36,7438903,MA,75.51513166666659
264,2014-02-27,77.34,78.01,77.0,77.76,4939433,MA,73.7722333333335
270,2014-03-07,78.07,78.25,77.52,77.94,4134098,MA,77.22946666666675
278,2014-03-19,78.94,79.6,77.92,78.31,5929255,MA,72.83756666666692
280,2014-03-21,79.34,79.83,75.9,75.99,14425292,MA,81.38614563492078
283,2014-03-26,75.81,76.17,73.68,73.71,7612692,MA,78.27129999999971
284,2014-03-27,73.54,73.62,72.35,73.34,7690125,MA,82.97213333333352
285,2014-03-28,73.39,73.79,72.44,73.22,5245438,MA,81.22836666666639
286,2014-03-31,73.86,74.87,73.5,74.7,5843774,MA,73.87614666666686
288,2014-04-02,74.89,75.35,74.53,74.7,4271585,MA,73.87614666666686
289,2014-04-03,75.04,75.5499,74.24,74.53,4133295,MA,78.05986666666648
301,2014-04-22,74.47,74.77,73.85,74.53,5049896,MA,78.05986666666648
305,2014-04-28,70.8,72.16,70.2169,71.24,8649368,MA,77.75394666666683
306,2014-04-29,71.49,72.61,71.33,72.03,6031110,MA,80.13568000000011
308,2014-05-01,75.57,76.71,74.05,74.22,9752820,MA,76.15800000000021
316,2014-05-13,75.19,75.43,74.45,74.83,3268662,MA,75.43343333333331
318,2014-05-15,74.0,74.24,72.881,73.08,4306940,MA,77.20836666666654
322,2014-05-21,74.2,75.64,74.17,75.63,4365876,MA,80.01500825396805
323,2014-05-22,75.81,76.22,75.1,75.75,4625410,MA,76.50330833333351
