,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,94.64,94.75,93.48,94.0,6663099,MCD,96.23566666666667
4,2013-02-14,93.86,93.89,93.19,93.56,5360819,MCD,95.32388333333364
4,2013-02-14,93.86,93.89,93.19,93.56,5360819,MCD,95.32388333333364
9,2013-02-22,94.27,95.25,93.85,95.25,4421583,MCD,109.72289571428598
11,2013-02-26,96.35,96.57,96.05,96.22,6452891,MCD,97.39602880952384
13,2013-02-28,95.71,96.22,95.51,95.9,3970852,MCD,100.55262285714288
17,2013-03-06,95.95,96.82,95.93,96.81,5054337,MCD,96.43553333333358
17,2013-03-06,95.95,96.82,95.93,96.81,5054337,MCD,96.43553333333358
20,2013-03-11,98.46,98.89,98.275,98.89,4853567,MCD,97.61889722222242
23,2013-03-14,99.36,99.38,98.9,99.31,3650189,MCD,97.36155119047585
24,2013-03-15,98.97,99.7,98.815,99.67,6389739,MCD,98.45983500000008
25,2013-03-18,98.95,99.34,98.21,98.57,3934995,MCD,97.92866666666716
26,2013-03-19,98.78,98.99,98.2,98.4,4645243,MCD,96.6073655555553
28,2013-03-21,98.5,98.88,98.42,98.53,3522671,MCD,98.43100000000047
29,2013-03-22,98.52,99.6155,98.52,99.27,4136252,MCD,96.76643880952393
34,2013-04-01,99.41,99.68,98.85,99.05,3156140,MCD,100.30534666666695
34,2013-04-01,99.41,99.68,98.85,99.05,3156140,MCD,100.30534666666695
38,2013-04-05,100.17,101.475,99.81,101.42,5693181,MCD,95.2142799999999
39,2013-04-08,101.08,101.5,100.85,101.5,4163570,MCD,99.07413333333356
40,2013-04-09,101.5,101.5,100.57,101.06,3690209,MCD,99.6152999999999
42,2013-04-11,101.34,102.47,101.34,101.99,4049305,MCD,94.13613888888904
46,2013-04-17,102.56,103.11,102.0,102.54,4191501,MCD,108.52906277777797
47,2013-04-18,102.08,102.23,100.1,101.91,5691521,MCD,96.7941755555558
51,2013-04-24,100.09,101.24,100.09,101.02,4592939,MCD,95.81296666666654
53,2013-04-26,100.83,100.99,100.4,100.89,3113532,MCD,94.78866111111094
54,2013-04-29,101.56,102.52,101.15,102.18,3418086,MCD,98.6409999999999
55,2013-04-30,102.27,102.36,101.56,102.14,4204779,MCD,97.7695000000002
56,2013-05-01,101.98,102.44,101.33,101.38,2720066,MCD,96.35296000000008
