,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,41.42,41.49,41.01,41.15,15808788,MRK,45.32453333333348
4,2013-02-14,41.04,41.22,40.825,41.19,16332453,MRK,45.32453333333348
9,2013-02-22,42.58,43.27,42.53,42.97,15395688,MRK,48.24151031746037
12,2013-02-27,42.27,43.15,42.27,42.97,12926836,MRK,48.24151031746037
13,2013-02-28,43.01,43.21,42.73,42.73,14214980,MRK,46.7515866666669
17,2013-03-06,43.3,43.74,43.06,43.68,18418124,MRK,47.63246666666658
19,2013-03-08,43.4,43.5,42.92,42.97,29273518,MRK,48.24151031746037
20,2013-03-11,42.95,43.67,42.87,43.66,38640997,MRK,47.63339999999991
23,2013-03-14,44.71,44.75,43.6,44.27,25895477,MRK,46.537066666666576
24,2013-03-15,43.83,44.09,43.79,44.09,24310813,MRK,47.24320000000006
25,2013-03-18,43.78,43.94,43.57,43.63,12117418,MRK,47.63339999999991
26,2013-03-19,43.7,43.84,43.6,43.7,15504006,MRK,47.622633333333255
34,2013-04-01,44.0,44.37,43.77,44.35,9903585,MRK,46.504999999999896
38,2013-04-05,45.04,45.23,44.89,45.13,12602042,MRK,50.97736666666645
40,2013-04-09,45.73,45.94,45.34,45.51,10582562,MRK,48.363166666666785
42,2013-04-11,46.68,47.51,46.68,47.21,17538011,MRK,50.2263666666667
46,2013-04-17,46.72,46.91,46.41,46.76,11777200,MRK,49.58773333333331
51,2013-04-24,48.67,48.79,47.865,47.95,15546163,MRK,48.13600476190459
53,2013-04-26,47.27,48.07,47.11,47.87,10614177,MRK,49.42798611111095
54,2013-04-29,47.88,48.12,47.72,47.82,11375812,MRK,52.40418333333328
58,2013-05-03,46.25,46.38,45.4633,45.67,12878071,MRK,48.87269999999996
60,2013-05-07,45.1,45.3,44.88,45.27,14528643,MRK,52.32083333333359
61,2013-05-08,45.12,45.6,44.97,44.99,18309476,MRK,48.227366666666775
63,2013-05-10,45.54,45.95,45.49,45.95,13923958,MRK,51.53360000000015
70,2013-05-21,45.24,47.53,45.19,47.33,47027336,MRK,49.49379999999997
71,2013-05-22,47.6,48.3,46.49,46.71,42629192,MRK,48.21443333333349
