,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,27.93,28.11,27.88,28.03,41715530,MSFT,33.9702833333333
4,2013-02-14,27.92,28.06,27.87,28.04,32663174,MSFT,33.96994999999997
7,2013-02-20,28.13,28.2,27.83,27.87,44109412,MSFT,33.763366666666585
9,2013-02-22,27.68,27.76,27.48,27.76,31425726,MSFT,33.86123333333317
13,2013-02-28,27.88,27.97,27.74,27.8,35836861,MSFT,33.86123333333317
17,2013-03-06,28.21,28.23,27.78,28.09,51448452,MSFT,34.71686666666667
20,2013-03-11,27.94,27.97,27.67,27.87,36627200,MSFT,33.763366666666585
23,2013-03-14,28.0,28.16,27.93,28.135,55910657,MSFT,35.15476666666669
24,2013-03-15,28.03,28.16,27.98,28.035,92709815,MSFT,33.96994999999997
25,2013-03-18,27.88,28.28,27.81,28.1,44825522,MSFT,35.08251666666669
26,2013-03-19,28.12,28.22,28.03,28.18,51901568,MSFT,34.3969666666667
34,2013-04-01,28.64,28.66,28.36,28.61,29199115,MSFT,33.946161111111195
38,2013-04-05,28.22,28.78,28.11,28.7,50927261,MSFT,34.83660666666676
40,2013-04-09,28.73,29.815,28.68,29.61,77733607,MSFT,35.91851666666681
42,2013-04-11,29.1,29.2,28.73,28.935,130903838,MSFT,35.34728333333339
46,2013-04-17,28.85,29.04,28.6,28.825,52840621,MSFT,34.652095555555725
51,2013-04-24,30.62,31.92,30.6,31.76,90897055,MSFT,36.62320000000014
53,2013-04-26,31.9,31.98,31.45,31.79,47799284,MSFT,36.21406666666675
53,2013-04-26,31.9,31.98,31.45,31.79,47799284,MSFT,36.21406666666675
54,2013-04-29,31.8,32.68,31.77,32.61,59116288,MSFT,33.63530000000002
58,2013-05-03,33.23,33.52,33.08,33.49,46784484,MSFT,33.299426666666704
60,2013-05-07,33.65,33.79,33.24,33.31,42916453,MSFT,36.450100000000035
61,2013-05-08,33.0667,33.24,32.65,32.99,51643216,MSFT,36.854200999999875
63,2013-05-10,32.67,32.72,32.32,32.69,36394841,MSFT,37.06331111111116
70,2013-05-21,35.1,35.2725,34.72,34.85,48693429,MSFT,31.900083333333235
71,2013-05-22,34.79,34.84,34.36,34.61,66043135,MSFT,33.199249999999886
75,2013-05-29,34.74,35.02,34.57,34.88,38411673,MSFT,32.91986666666647
83,2013-06-10,35.51,35.65,35.14,35.47,35991809,MSFT,36.314166666666736
91,2013-06-20,34.26,34.33,33.37,33.49,54493643,MSFT,33.299426666666704
94,2013-06-25,34.08,34.38,33.46,33.67,44051085,MSFT,35.45749999999997
95,2013-06-26,34.12,34.48,33.8875,34.35,48665592,MSFT,33.709271111111136
97,2013-06-28,34.38,34.79,34.34,34.545,65545445,MSFT,35.163299999999914
98,2013-07-01,34.75,34.99,34.33,34.36,31054868,MSFT,33.709271111111136
99,2013-07-02,34.41,34.4389,33.63,33.94,37629522,MSFT,36.68176666666678
101,2013-07-05,34.09,34.24,33.581,34.21,26085831,MSFT,32.54659722222224
103,2013-07-09,34.58,34.6,34.14,34.35,25318501,MSFT,33.709271111111136
108,2013-07-16,36.01,36.4299,35.96,36.27,36378481,MSFT,39.66790555555568
109,2013-07-17,36.34,36.39,35.49,35.74,37281516,MSFT,37.03290000000015
110,2013-07-18,35.72,35.89,35.22,35.44,49118611,MSFT,36.501999999999974
113,2013-07-23,31.91,32.04,31.71,31.82,65810331,MSFT,36.214733333333406
123,2013-08-06,31.55,31.67,31.38,31.58,36331541,MSFT,35.281815833333305
125,2013-08-08,32.24,33.07,32.05,32.89,59035735,MSFT,36.90132666666666
128,2013-08-13,32.51,32.55,32.21,32.23,39464299,MSFT,37.67708244444448
130,2013-08-15,32.0,32.18,30.84,31.79,33337991,MSFT,36.21406666666675
130,2013-08-15,32.0,32.18,30.84,31.79,33337991,MSFT,36.21406666666675
132,2013-08-19,31.76,31.97,31.38,31.393,27902716,MSFT,34.918629999999894
134,2013-08-21,31.61,32.01,31.54,31.61,37398935,MSFT,36.38780083333336
140,2013-08-29,32.93,33.6,32.8,33.55,45271567,MSFT,33.995363333333316
141,2013-08-30,33.37,33.48,33.09,33.4,42774005,MSFT,33.95516000000004
146,2013-09-09,31.2208,31.79,31.2,31.655,49610584,MSFT,35.99621666666654
149,2013-09-12,32.72,32.78,32.59,32.69,32861951,MSFT,37.06331111111116
151,2013-09-16,33.38,33.5,32.73,32.801,55010116,MSFT,36.888728888888984
153,2013-09-18,32.99,33.4,32.83,33.32,64100189,MSFT,36.450100000000035
164,2013-10-03,33.88,34.0,33.42,33.86,38704461,MSFT,34.17499333333334
166,2013-10-07,33.6,33.71,33.2,33.3,35067124,MSFT,36.450100000000035
168,2013-10-09,33.07,33.3499,32.96,33.07,35843167,MSFT,33.209236000000004
170,2013-10-11,33.68,34.14,33.68,34.13,30033336,MSFT,34.13118317460319
171,2013-10-14,33.9,34.5,33.78,34.45,27757870,MSFT,32.888300000000015
172,2013-10-15,34.67,34.99,34.47,34.49,47107657,MSFT,33.24613333333331
179,2013-10-24,33.82,34.1,33.57,33.72,53209728,MSFT,33.255019999999924
186,2013-11-04,35.59,35.98,35.55,35.94,28061873,MSFT,39.89143333333343
189,2013-11-07,37.96,38.01,37.43,37.5,60445258,MSFT,39.4769333333335
196,2013-11-18,37.35,37.58,37.07,37.2,53277485,MSFT,39.1797005555557
199,2013-11-21,37.27,37.53,37.26,37.4,23064699,MSFT,39.86733333333318
204,2013-11-29,37.82,38.29,37.82,38.13,22090428,MSFT,39.44666666666663
205,2013-12-02,38.09,38.78,38.06,38.45,42950373,MSFT,39.66255500000001
207,2013-12-04,38.21,38.98,38.12,38.94,51983578,MSFT,41.781233333333205
216,2013-12-17,36.94,37.11,36.3344,36.52,45687679,MSFT,40.00742999999984
219,2013-12-20,36.2,36.93,36.185,36.8,62650324,MSFT,40.04723999999993
220,2013-12-23,36.81,36.89,36.55,36.62,25128740,MSFT,37.494696666666464
222,2013-12-26,37.2,37.49,37.17,37.44,17614984,MSFT,40.10266666666654
223,2013-12-27,37.58,37.62,37.17,37.29,14563533,MSFT,39.049733333333585
224,2013-12-30,37.22,37.38,36.9006,37.29,16290475,MSFT,39.049733333333585
228,2014-01-06,36.85,36.89,36.11,36.13,43615035,MSFT,36.99675674603172
231,2014-01-09,35.88,35.91,35.4,35.53,36520448,MSFT,36.56773333333341
243,2014-01-28,36.12,36.39,35.75,36.27,36225755,MSFT,39.66790555555568
244,2014-01-29,35.98,36.88,35.9,36.66,52790351,MSFT,37.14651999999982
252,2014-02-10,36.63,36.8,36.29,36.8,26782083,MSFT,40.04723999999993
253,2014-02-11,36.88,37.26,36.86,37.175,32164989,MSFT,40.19053111111107
254,2014-02-12,37.35,37.6,37.3,37.47,27055869,MSFT,39.58733333333353
259,2014-02-20,37.57,37.87,37.395,37.75,27541038,MSFT,38.2905415079366
262,2014-02-25,37.61,37.85,37.35,37.54,30867657,MSFT,38.19689999999987
263,2014-02-26,37.5801,37.74,37.19,37.47,41042629,MSFT,39.58733333333353
264,2014-02-27,37.45,37.89,37.23,37.86,33919024,MSFT,38.78661444444457
270,2014-03-07,38.28,38.36,37.69,37.9,26596635,MSFT,40.343200000000216
278,2014-03-19,39.47,39.55,38.91,39.27,35597241,MSFT,41.747230000000044
280,2014-03-21,40.72,40.94,40.01,40.16,80731942,MSFT,45.00810000000003
283,2014-03-26,40.48,40.705,39.6,39.79,41982966,MSFT,42.00432499999982
284,2014-03-27,39.74,39.97,39.34,39.36,35369170,MSFT,42.16819166666678
285,2014-03-28,39.79,40.635,39.68,40.3,43472747,MSFT,44.51514968253978
289,2014-04-03,41.29,41.29,40.71,41.01,30139567,MSFT,43.39466666666679
294,2014-04-10,40.44,40.69,39.09,39.36,45960848,MSFT,42.16819166666678
299,2014-04-17,40.01,40.195,39.51,40.01,36689399,MSFT,42.932466666666826
305,2014-04-28,40.14,41.29,40.09,40.87,50610208,MSFT,45.14669999999998
306,2014-04-29,41.1,41.19,40.39,40.51,29637370,MSFT,43.9799033333332
308,2014-05-01,40.2401,40.36,39.95,40.0,28791455,MSFT,43.9211333333335
316,2014-05-13,39.92,40.5,39.85,40.42,27004768,MSFT,45.293049186507844
318,2014-05-15,40.09,40.4,39.51,39.6,37793243,MSFT,42.65072138888902
325,2014-05-27,40.26,40.26,39.81,40.19,26161164,MSFT,43.94923333333344
326,2014-05-28,40.14,40.19,39.82,40.01,25711565,MSFT,42.932466666666826
330,2014-06-03,40.6,40.68,40.25,40.29,18071096,MSFT,44.51448523809534
333,2014-06-06,41.48,41.66,41.24,41.48,24060542,MSFT,45.229911111111136
334,2014-06-09,41.39,41.48,41.02,41.27,15019425,MSFT,46.3744111111112
336,2014-06-11,40.93,41.07,40.765,40.86,18039990,MSFT,45.081799999999845
339,2014-06-16,41.04,41.61,41.04,41.5,24205297,MSFT,45.77449999999988
344,2014-06-23,41.73,42.0,41.69,41.99,18743905,MSFT,46.470422222222325
350,2014-07-01,41.86,42.15,41.69,41.87,26922597,MSFT,51.00616666666677
351,2014-07-02,41.73,41.9,41.53,41.9,20208526,MSFT,48.11699999999999
353,2014-07-07,41.75,42.12,41.71,41.99,21953619,MSFT,46.470422222222325
355,2014-07-09,41.98,41.99,41.53,41.67,18445910,MSFT,48.6388042063492
361,2014-07-17,45.45,45.71,44.25,44.53,82180263,MSFT,45.59189999999983
363,2014-07-21,44.56,45.16,44.22,44.835,37604378,MSFT,44.23536888888876
366,2014-07-24,44.93,45.0,44.32,44.4,30725348,MSFT,43.83199999999986
367,2014-07-25,44.3,44.66,44.3,44.5,26737724,MSFT,44.868966666666566
