,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,72.58,72.92,72.4199,72.55,1501352,NEE,80.65306666666642
4,2013-02-14,72.34,72.64,71.8443,72.2,1779659,NEE,80.53733333333349
9,2013-02-22,72.6,73.04,72.6,72.75,5997410,NEE,80.93706666666661
13,2013-02-28,71.88,72.35,71.771,71.87,2104843,NEE,79.26543333333348
17,2013-03-06,73.95,74.23,73.84,74.17,1409477,NEE,76.46406666666681
20,2013-03-11,74.0,74.4,73.98,74.18,1538571,NEE,76.46406666666681
23,2013-03-14,73.32,74.05,73.25,74.01,2327534,NEE,76.26103333333316
24,2013-03-15,73.67,74.545,73.63,74.47,2855981,NEE,76.4749666666668
25,2013-03-18,74.17,74.45,73.96,74.12,1596901,NEE,76.46406666666681
26,2013-03-19,74.79,75.37,74.74,75.12,2224087,NEE,80.56856666666665
34,2013-04-01,77.61,77.68,77.24,77.48,995191,NEE,80.13860000000008
38,2013-04-05,78.52,79.63,78.52,79.54,1642870,NEE,82.39993333333314
40,2013-04-09,79.79,79.95,79.13,79.19,1381229,NEE,83.32563333333347
42,2013-04-11,80.0,80.25,79.56,79.84,1729230,NEE,85.22793333333381
42,2013-04-11,80.0,80.25,79.56,79.84,1729230,NEE,85.22793333333381
46,2013-04-17,79.5,79.53,78.55,79.02,1510581,NEE,82.01833333333353
51,2013-04-24,80.27,80.98,79.81,80.56,1415281,NEE,86.68219666666639
51,2013-04-24,80.27,80.98,79.81,80.56,1415281,NEE,86.68219666666639
53,2013-04-26,80.4,80.88,80.24,80.54,922911,NEE,86.85503999999969
54,2013-04-29,80.72,81.3539,80.23,81.26,1230410,NEE,83.16465833333348
58,2013-05-03,82.05,82.2,81.531,81.75,1281800,NEE,82.64463333333384
58,2013-05-03,82.05,82.2,81.531,81.75,1281800,NEE,82.64463333333384
60,2013-05-07,80.78,81.72,80.69,81.72,1343000,NEE,82.71103333333383
61,2013-05-08,81.54,81.88,80.59,80.94,1750820,NEE,87.66943333333319
62,2013-05-09,80.91,81.0967,79.6,79.84,1968931,NEE,85.22793333333381
62,2013-05-09,80.91,81.0967,79.6,79.84,1968931,NEE,85.22793333333381
63,2013-05-10,79.86,80.07,79.22,80.0,1831600,NEE,83.78797222222242
63,2013-05-10,79.86,80.07,79.22,80.0,1831600,NEE,83.78797222222242
70,2013-05-21,80.26,80.82,79.71,80.49,1373341,NEE,84.80213047619041
71,2013-05-22,80.39,81.15,78.75,79.16,1805030,NEE,81.61903333333319
75,2013-05-29,76.62,76.71,74.86,75.72,2521195,NEE,80.88579999999986
83,2013-06-10,78.73,79.4,78.403,78.68,3210554,NEE,81.25530000000009
94,2013-06-25,78.95,79.37,78.12,79.0,1619906,NEE,81.98766666666684
95,2013-06-26,79.6,80.47,79.5084,79.84,1670132,NEE,85.22793333333381
95,2013-06-26,79.6,80.47,79.5084,79.84,1670132,NEE,85.22793333333381
97,2013-06-28,81.46,81.77,80.18,81.48,2747775,NEE,86.46536666666694
98,2013-07-01,81.88,81.95,79.95,80.23,2607833,NEE,83.73983666666635
98,2013-07-01,81.88,81.95,79.95,80.23,2607833,NEE,83.73983666666635
99,2013-07-02,80.23,81.0,80.02,80.34,1984271,NEE,83.85506666666652
101,2013-07-05,80.17,80.31,79.04,79.93,1195387,NEE,81.60988888888907
108,2013-07-16,85.51,85.65,84.47,84.96,2633055,NEE,84.3568333333334
109,2013-07-17,85.45,85.65,84.61,84.81,1769819,NEE,90.67510000000031
110,2013-07-18,85.06,85.69,84.83,85.43,1455442,NEE,84.2498666666663
111,2013-07-19,85.53,85.82,84.88,84.96,1818678,NEE,84.3568333333334
113,2013-07-23,85.03,85.41,84.62,84.8,2578952,NEE,87.70763333333322
123,2013-08-06,87.21,87.51,86.68,86.82,2129401,NEE,92.82933333333366
125,2013-08-08,86.84,87.1,86.37,86.63,1463806,NEE,87.80879999999974
128,2013-08-13,85.74,85.815,84.97,85.1,1024101,NEE,89.47343333333298
130,2013-08-15,83.92,83.92,82.84,83.0,1465720,NEE,88.75640000000007
132,2013-08-19,82.0,82.5,81.32,81.54,1085796,NEE,84.48680000000027
134,2013-08-21,81.87,81.97,80.32,80.78,2123730,NEE,81.97404603174627
137,2013-08-26,81.38,81.44,80.53,80.56,1143611,NEE,86.68219666666639
137,2013-08-26,81.38,81.44,80.53,80.56,1143611,NEE,86.68219666666639
140,2013-08-29,81.04,81.11,80.28,80.56,1379305,NEE,86.68219666666639
140,2013-08-29,81.04,81.11,80.28,80.56,1379305,NEE,86.68219666666639
141,2013-08-30,80.6,80.99,79.95,80.36,1146078,NEE,83.86208047619033
146,2013-09-09,80.1,80.3,79.85,80.23,1647280,NEE,83.73983666666635
146,2013-09-09,80.1,80.3,79.85,80.23,1647280,NEE,83.73983666666635
151,2013-09-16,80.26,80.73,78.9,79.17,3291535,NEE,81.61903333333319
152,2013-09-17,79.17,79.5199,78.83,79.0,2092469,NEE,81.98766666666684
153,2013-09-18,78.85,82.88,78.81,82.55,4192695,NEE,85.9767333333328
164,2013-10-03,80.21,80.21,78.97,79.45,1478157,NEE,82.35649999999978
166,2013-10-07,79.24,79.89,79.15,79.35,818577,NEE,83.73766666666667
168,2013-10-09,79.97,81.27,79.634,80.0,1407866,NEE,83.78797222222242
168,2013-10-09,79.97,81.27,79.634,80.0,1407866,NEE,83.78797222222242
170,2013-10-11,81.3,81.94,81.09,81.75,1427092,NEE,82.64463333333384
170,2013-10-11,81.3,81.94,81.09,81.75,1427092,NEE,82.64463333333384
171,2013-10-14,81.26,81.31,80.05,81.06,1639771,NEE,86.41364999999996
172,2013-10-15,80.88,81.15,80.14,80.21,1281978,NEE,83.21075166666655
174,2013-10-17,81.22,83.09,80.66,83.0,1509451,NEE,88.75640000000007
179,2013-10-24,85.54,85.54,84.5169,85.17,1236639,NEE,88.59940000000009
186,2013-11-04,88.65,88.98,86.98,88.09,2523848,NEE,89.21766666666625
189,2013-11-07,88.22,88.73,86.8,87.0,2236972,NEE,93.79186666666634
196,2013-11-18,88.97,89.27,88.57,89.06,2205262,NEE,97.4005666666666
199,2013-11-21,86.48,87.18,86.08,86.59,1990751,NEE,90.81253333333352
200,2013-11-22,86.45,87.06,86.16,86.59,1570733,NEE,90.81253333333352
204,2013-11-29,84.38,85.38,84.38,84.59,734099,NEE,91.64383333333379
204,2013-11-29,84.38,85.38,84.38,84.59,734099,NEE,91.64383333333379
205,2013-12-02,84.84,84.84,83.69,83.93,1622588,NEE,83.70306666666701
207,2013-12-04,83.7,84.76,83.53,84.21,2212402,NEE,93.7386999999998
216,2013-12-17,82.49,83.18,82.4,82.63,2038259,NEE,86.47166666666624
220,2013-12-23,85.3,85.37,84.61,84.7,1804779,NEE,93.315766666667
222,2013-12-26,84.69,84.8,84.23,84.59,1181074,NEE,91.64383333333379
222,2013-12-26,84.69,84.8,84.23,84.59,1181074,NEE,91.64383333333379
223,2013-12-27,84.67,85.06,84.39,84.7,974078,NEE,93.315766666667
224,2013-12-30,84.57,85.17,84.56,85.05,1091264,NEE,92.30046666666625
228,2014-01-06,84.43,84.64,84.0,84.4,1690975,NEE,90.1800666666668
231,2014-01-09,85.57,86.21,84.92,86.02,2067302,NEE,88.07946666666633
244,2014-01-29,88.46,89.27,88.02,88.77,2347238,NEE,96.5616333333331
252,2014-02-10,90.35,91.42,89.94,91.34,1518649,NEE,97.4600666666663
253,2014-02-11,91.13,92.66,91.01,91.98,2423839,NEE,100.23886666666685
259,2014-02-20,92.56,93.04,92.051,92.45,2207181,NEE,97.09910000000023
262,2014-02-25,92.01,92.72,91.38,91.64,2211126,NEE,97.41583333333318
263,2014-02-26,91.22,91.4499,90.3,90.46,2270871,NEE,97.66436666666704
264,2014-02-27,90.45,90.84,90.0,90.58,2071140,NEE,97.63626666666703
270,2014-03-07,90.6,91.85,90.3,91.8,1976539,NEE,103.21446666666665
278,2014-03-19,94.44,94.88,92.51,93.3,2326757,NEE,99.1704666666671
280,2014-03-21,94.43,95.43,93.76,94.57,4153861,NEE,100.05093333333335
282,2014-03-25,94.24,95.01,93.89,94.57,1741571,NEE,100.05093333333335
283,2014-03-26,94.68,94.895,93.8,93.88,1687879,NEE,104.53303333333326
284,2014-03-27,93.74,94.72,93.39,94.61,1592636,NEE,100.27976666666665
285,2014-03-28,94.45,94.87,94.09,94.72,1470854,NEE,96.20976666666677
286,2014-03-31,95.15,96.13,94.98,95.62,1618845,NEE,100.1259031349207
289,2014-04-03,94.68,95.25,94.44,94.6,1283417,NEE,100.36696666666693
305,2014-04-28,98.06,98.79,96.77,97.27,2574071,NEE,102.08699547619074
306,2014-04-29,97.41,98.16,97.3627,97.97,2009140,NEE,106.53483906084651
307,2014-04-30,99.9,101.5,99.69,99.85,4390441,NEE,103.08660000000032
308,2014-05-01,100.22,100.35,99.36,99.97,2674429,NEE,98.96702499999998
316,2014-05-13,96.16,96.6,95.735,96.08,2419520,NEE,101.12936666666631
318,2014-05-15,96.63,97.5,96.23,96.27,2661054,NEE,97.09196666666665
325,2014-05-27,97.25,97.686,96.46,96.53,1764808,NEE,104.07433333333339
326,2014-05-28,96.53,97.52,96.3,97.36,1911236,NEE,99.32554222222181
327,2014-05-29,96.72,97.27,95.96,96.55,1496287,NEE,99.82053333333313
328,2014-05-30,96.6,97.46,96.33,97.36,2101728,NEE,99.32554222222181
330,2014-06-03,97.17,97.64,96.86,97.16,2038544,NEE,97.79696666666649
334,2014-06-09,97.08,97.38,95.99,96.38,1768066,NEE,102.92533333333374
336,2014-06-11,95.68,95.88,94.19,94.9,2157807,NEE,100.48653333333323
336,2014-06-11,95.68,95.88,94.19,94.9,2157807,NEE,100.48653333333323
337,2014-06-12,94.9,96.06,94.28,95.62,2583305,NEE,100.1259031349207
339,2014-06-16,96.96,98.23,96.5025,97.16,2244451,NEE,97.79696666666649
344,2014-06-23,100.11,100.23,99.06,99.63,1897510,NEE,95.41719999999991
350,2014-07-01,102.44,102.46,101.31,101.45,2504559,NEE,102.31160000000044
351,2014-07-02,101.13,101.44,99.43,99.7,2870729,NEE,107.08909999999993
355,2014-07-09,98.77,99.27,98.31,98.83,1715825,NEE,111.60233333333362
361,2014-07-17,99.52,99.52,97.555,97.58,1606871,NEE,108.88587920634907
363,2014-07-21,98.89,98.96,98.13,98.68,897743,NEE,100.27407055555535
367,2014-07-25,98.56,99.05,98.3,98.45,1284964,NEE,101.0035444444448
372,2014-08-01,93.94,94.14,91.79,94.05,3732778,NEE,99.93033333333332
373,2014-08-04,93.94,94.14,91.79,94.05,3732778,NEE,99.93033333333332
374,2014-08-05,93.66,93.98,92.34,92.59,2437840,NEE,96.38053333333372
379,2014-08-12,94.98,95.39,94.6,94.9,1306185,NEE,100.48653333333323
379,2014-08-12,94.98,95.39,94.6,94.9,1306185,NEE,100.48653333333323
