,date,open,high,low,close,volume,Name,Predicted
0,2013-02-08,12.37,12.4699,12.29,12.37,7677336,NVDA,14.083933333333386
3,2013-02-13,12.44,12.665,12.33,12.37,21322573,NVDA,14.083933333333386
4,2013-02-14,12.2,12.74,12.05,12.73,22049335,NVDA,14.414579999999956
9,2013-02-22,12.37,12.53,12.3,12.52,9253663,NVDA,14.13150999999997
11,2013-02-26,12.25,12.435,12.2091,12.37,12187503,NVDA,14.083933333333386
13,2013-02-28,12.56,12.85,12.51,12.66,14784738,NVDA,14.433250000000008
17,2013-03-06,12.88,13.0,12.73,12.79,8572283,NVDA,14.555573888888906
20,2013-03-11,12.69,12.75,12.59,12.695,7493637,NVDA,14.497925000000029
23,2013-03-14,12.82,12.86,12.67,12.75,9582541,NVDA,14.363173095238102
24,2013-03-15,12.75,12.75,12.59,12.64,8894379,NVDA,14.426649999999988
25,2013-03-18,12.56,12.67,12.46,12.55,7457792,NVDA,14.652326666666701
26,2013-03-19,12.56,12.62,12.38,12.47,8869010,NVDA,14.359306666666699
30,2013-03-25,12.55,12.56,12.32,12.41,9051901,NVDA,14.647826666666681
34,2013-04-01,12.8,12.8,12.32,12.41,11070635,NVDA,14.647826666666681
38,2013-04-05,12.07,12.46,12.04,12.46,13783274,NVDA,14.278846666666693
40,2013-04-09,12.44,12.72,12.35,12.63,9514523,NVDA,14.386599999999966
42,2013-04-11,12.65,12.85,12.3,12.77,24229958,NVDA,14.47954166666664
46,2013-04-17,12.86,12.98,12.71,12.785,13323630,NVDA,14.557375555555573
51,2013-04-24,12.96,13.47,12.95,13.36,13913473,NVDA,14.248169999999996
53,2013-04-26,13.45,13.47,13.335,13.41,8108269,NVDA,14.227119999999987
54,2013-04-29,13.43,13.62,13.37,13.57,6742210,NVDA,14.227683333333292
56,2013-05-01,13.77,13.86,13.6025,13.65,8532822,NVDA,14.227183333333311
58,2013-05-03,13.9,13.97,13.82,13.87,7346592,NVDA,14.51648333333331
60,2013-05-07,13.83,13.86,13.52,13.65,11201659,NVDA,14.227183333333311
61,2013-05-08,13.67,13.98,13.62,13.899,8348753,NVDA,14.724449999999967
63,2013-05-10,14.2,14.6,14.2,14.54,21528101,NVDA,14.979149444444417
64,2013-05-13,14.44,14.5,14.18,14.24,7245247,NVDA,15.092755238095199
70,2013-05-21,14.85,14.98,14.675,14.92,8944627,NVDA,15.63326666666665
71,2013-05-22,14.98,14.98,14.34,14.4,12009887,NVDA,15.652825714285681
