,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,72.24,72.37,70.98,71.5,12030221,PEP,83.00586666666648
4,2013-02-14,72.12,73.2,71.5,72.28,8160764,PEP,83.17919999999994
9,2013-02-22,75.42,75.58,75.14,75.57,4971264,PEP,83.2127333333335
13,2013-02-28,75.44,75.95,75.44,75.77,6009225,PEP,82.92066666666685
17,2013-03-06,77.0,77.09,76.62,76.8,3940573,PEP,81.69766666666658
20,2013-03-11,77.12,77.39,76.79,76.85,4023087,PEP,81.69766666666658
23,2013-03-14,77.06,77.22,76.86,77.19,4153774,PEP,81.93243333333348
24,2013-03-15,76.85,77.15,76.7,77.04,6621394,PEP,84.39056666666688
25,2013-03-18,76.66,76.99,76.6,76.68,4176810,PEP,81.3506999999999
26,2013-03-19,76.78,76.95,76.5,76.67,5040139,PEP,81.3506999999999
34,2013-04-01,78.76,79.23,78.76,79.1,3639312,PEP,81.54916666666664
38,2013-04-05,78.95,79.08,78.4,78.59,4244556,PEP,85.00733333333307
39,2013-04-08,78.565,79.51,78.25,79.5,3726374,PEP,82.3615415079367
40,2013-04-09,79.6,79.72,79.155,79.21,3921868,PEP,84.82006666666666
42,2013-04-11,80.03,80.48,79.8,79.96,5389990,PEP,83.18601333333346
46,2013-04-17,79.74,80.15,78.77,78.85,7532205,PEP,84.82260000000001
47,2013-04-18,80.21,83.45,80.11,81.25,18895013,PEP,83.23943333333347
51,2013-04-24,84.06,84.29,82.22,82.34,6398269,PEP,84.8527423809526
53,2013-04-26,82.71,82.99,82.3,82.51,3075921,PEP,81.1345400000004
54,2013-04-29,82.51,82.915,82.42,82.65,2850226,PEP,82.56826666666693
54,2013-04-29,82.51,82.915,82.42,82.65,2850226,PEP,82.56826666666693
58,2013-05-03,82.96,83.25,82.46,82.83,4777198,PEP,85.99658888888898
60,2013-05-07,82.59,83.34,82.37,83.34,3706774,PEP,83.00599999999974
61,2013-05-08,83.3,83.65,82.81,83.25,4110645,PEP,82.97823333333335
62,2013-05-09,83.35,83.58,82.6,82.85,3711864,PEP,84.92644031745999
62,2013-05-09,83.35,83.58,82.6,82.85,3711864,PEP,84.92644031745999
63,2013-05-10,82.98,83.255,82.58,83.0,3161863,PEP,80.87966666666634
70,2013-05-21,82.63,82.925,82.12,82.63,3984661,PEP,85.43653507936519
71,2013-05-22,82.59,84.27,82.58,82.97,5241802,PEP,80.80853333333319
75,2013-05-29,82.23,82.23,80.92,81.12,4346002,PEP,86.66464444444479
82,2013-06-07,81.98,82.51,81.49,82.51,6447739,PEP,81.1345400000004
83,2013-06-10,82.6,83.06,82.1045,82.85,5036518,PEP,84.92644031745999
83,2013-06-10,82.6,83.06,82.1045,82.85,5036518,PEP,84.92644031745999
94,2013-06-25,80.42,80.55,79.67,80.04,5930320,PEP,82.60173333333297
95,2013-06-26,80.62,81.57,80.62,81.3,4519191,PEP,83.71486666666688
97,2013-06-28,81.97,82.27,81.6,81.79,6001777,PEP,82.11494444444432
98,2013-07-01,81.96,82.5,81.76,82.04,3804856,PEP,83.57313333333303
99,2013-07-02,81.94,82.23,81.32,81.68,5056144,PEP,81.28634637566132
101,2013-07-05,81.1,81.28,80.29,80.8,3343334,PEP,81.7817777777775
108,2013-07-16,83.93,84.3,83.31,84.02,4480747,PEP,87.59728444444413
109,2013-07-17,84.05,85.51,83.93,85.24,7277801,PEP,85.48420261904732
110,2013-07-18,85.33,87.06,85.3,86.8,9202364,PEP,88.91926666666654
113,2013-07-23,86.37,86.43,85.97,86.2,6321160,PEP,90.64583039682526
123,2013-08-06,84.44,85.43,84.12,85.05,3837769,PEP,82.64651666666703
125,2013-08-08,84.98,85.09,84.44,84.68,2707864,PEP,80.51624928571432
128,2013-08-13,83.91,84.0999,83.26,83.39,2952974,PEP,84.4308750000004
130,2013-08-15,82.24,82.28,80.83,80.91,5350212,PEP,82.03018888888852
132,2013-08-19,80.11,81.05,79.82,80.88,4945079,PEP,82.5965777777775
134,2013-08-21,80.06,80.16,79.01,79.08,5453936,PEP,84.08673333333302
138,2013-08-27,79.19,79.39,78.61,79.06,5179710,PEP,84.36366666666663
140,2013-08-29,79.25,79.74,79.05,79.33,5616981,PEP,85.48813333333328
141,2013-08-30,79.42,79.84,79.23,79.73,4362672,PEP,82.88139777777755
144,2013-09-05,79.53,79.708,78.8,79.07,4025828,PEP,84.08673333333302
146,2013-09-09,79.25,79.48,78.79,79.38,3757080,PEP,85.54193333333329
151,2013-09-16,80.79,81.22,80.61,81.02,4130134,PEP,81.96895333333285
153,2013-09-18,81.69,82.93,81.255,82.88,4916811,PEP,86.64927666666696
156,2013-09-23,81.56,81.58,80.95,81.02,5384783,PEP,81.96895333333285
161,2013-09-30,79.86,79.92,79.25,79.5,5231393,PEP,82.3615415079367
164,2013-10-03,79.57,79.908,79.29,79.44,3987559,PEP,83.52752000000032
166,2013-10-07,79.25,79.59,78.96,79.06,4872495,PEP,84.36366666666663
168,2013-10-09,79.11,80.19,78.8665,79.5,5298581,PEP,82.3615415079367
170,2013-10-11,80.73,81.09,80.45,80.83,4111038,PEP,84.88717777777748
171,2013-10-14,80.45,81.12,80.34,81.09,3642769,PEP,86.32404444444443
172,2013-10-15,81.17,81.53,80.4,80.6,5427713,PEP,81.7474511904762
172,2013-10-15,81.17,81.53,80.4,80.6,5427713,PEP,81.7474511904762
179,2013-10-24,83.41,83.41,82.54,82.54,5510781,PEP,79.8478399999998
179,2013-10-24,83.41,83.41,82.54,82.54,5510781,PEP,79.8478399999998
186,2013-11-04,84.62,84.99,84.135,84.37,3572847,PEP,80.68749999999982
189,2013-11-07,86.57,86.68,85.09,85.3,5869987,PEP,81.87263611111105
196,2013-11-18,86.02,86.182,85.4,85.86,4163167,PEP,83.26324999999983
199,2013-11-21,85.79,85.92,85.22,85.62,3137139,PEP,83.03796261904766
200,2013-11-22,85.56,85.8,85.11,85.74,3380120,PEP,82.3476476190479
204,2013-11-29,84.62,84.88,84.195,84.46,2698087,PEP,82.93290000000029
205,2013-12-02,84.43,84.52,83.54,83.7,4495875,PEP,85.09832690476202
207,2013-12-04,83.02,83.02,82.11,82.65,6819764,PEP,82.56826666666693
207,2013-12-04,83.02,83.02,82.11,82.65,6819764,PEP,82.56826666666693
216,2013-12-17,81.05,81.25,80.35,80.46,8210198,PEP,81.99665119047617
220,2013-12-23,82.34,82.38,81.45,81.86,3721349,PEP,87.0869666666665
221,2013-12-24,82.06,82.21,81.8,82.04,1115370,PEP,83.57313333333303
222,2013-12-26,82.14,82.45,82.01,82.45,1798956,PEP,82.86367388888895
224,2013-12-30,82.71,83.09,82.68,82.91,2006895,PEP,84.30510444444478
224,2013-12-30,82.71,83.09,82.68,82.91,2006895,PEP,84.30510444444478
228,2014-01-06,82.2,82.61,82.08,82.28,3888671,PEP,82.88151428571422
231,2014-01-09,83.34,83.39,82.37,82.85,4565939,PEP,84.92644031745999
231,2014-01-09,83.34,83.39,82.37,82.85,4565939,PEP,84.92644031745999
239,2014-01-22,82.83,83.0,82.47,82.85,3920420,PEP,84.92644031745999
239,2014-01-22,82.83,83.0,82.47,82.85,3920420,PEP,84.92644031745999
244,2014-01-29,81.87,81.87,80.1,80.22,7545185,PEP,84.03572111111106
251,2014-02-07,79.68,80.26,79.26,80.22,4578150,PEP,84.03572111111106
252,2014-02-10,80.17,80.72,80.16,80.6,4742012,PEP,81.7474511904762
252,2014-02-10,80.17,80.72,80.16,80.6,4742012,PEP,81.7474511904762
253,2014-02-11,80.48,81.33,80.33,81.25,5077734,PEP,83.23943333333347
259,2014-02-20,77.43,78.87,77.37,78.01,9580424,PEP,86.46939999999974
262,2014-02-25,79.02,79.75,78.93,79.23,7513012,PEP,84.86236666666666
263,2014-02-26,79.5,79.88,78.57,78.65,6586262,PEP,83.62983333333311
264,2014-02-27,78.65,79.46,78.4,79.07,7809766,PEP,84.08673333333302
270,2014-03-07,81.51,81.63,81.03,81.56,4033468,PEP,84.65506626984086
278,2014-03-19,81.98,81.99,81.19,81.37,5106038,PEP,82.16543333333347
279,2014-03-20,81.36,81.91,81.25,81.86,3241077,PEP,87.0869666666665
280,2014-03-21,82.22,82.57,81.5,82.14,9206706,PEP,81.3150666666668
283,2014-03-26,82.57,83.74,82.49,82.87,6392588,PEP,86.70527666666685
284,2014-03-27,82.85,83.21,82.5,82.54,4352011,PEP,79.8478399999998
284,2014-03-27,82.85,83.21,82.5,82.54,4352011,PEP,79.8478399999998
285,2014-03-28,82.7,83.21,82.695,82.95,4078089,PEP,83.23186666666703
287,2014-04-01,83.07,83.27,82.73,82.88,4676900,PEP,86.64927666666696
289,2014-04-03,82.92,83.1,82.6,82.91,3369428,PEP,84.30510444444478
289,2014-04-03,82.92,83.1,82.6,82.91,3369428,PEP,84.30510444444478
305,2014-04-28,85.54,87.0,85.45,86.82,5978549,PEP,89.69859999999983
306,2014-04-29,86.93,86.9413,85.76,85.76,4869119,PEP,81.75974761904783
308,2014-05-01,86.0,86.134,84.945,85.57,3848907,PEP,90.47394253968281
312,2014-05-07,85.31,87.12,85.31,86.8,5500617,PEP,88.91926666666654
316,2014-05-13,86.95,87.44,86.81,87.23,2259404,PEP,91.66863333333342
318,2014-05-15,86.84,86.9,85.69,85.74,3877132,PEP,82.3476476190479
325,2014-05-27,85.81,86.63,85.645,86.53,4403590,PEP,87.85043333333293
326,2014-05-28,86.35,87.16,86.34,87.07,4031007,PEP,89.95236666666678
334,2014-06-09,87.82,88.325,87.82,88.0,2284090,PEP,93.23986666666637
336,2014-06-11,88.15,88.5,87.74,87.78,3747601,PEP,92.2823666666668
339,2014-06-16,86.87,87.74,86.71,87.55,3894528,PEP,92.31500000000044
344,2014-06-23,89.2,89.26,87.74,88.39,4187739,PEP,92.16733333333306
350,2014-07-01,89.12,89.28,88.83,89.13,3540986,PEP,92.49616666666658
351,2014-07-02,89.29,89.69,89.01,89.67,2829646,PEP,96.08676666666638
355,2014-07-09,89.9,90.1,89.62,89.77,2603283,PEP,93.40250000000019
361,2014-07-17,90.15,90.67,89.97,89.99,2823794,PEP,93.82626111111126
363,2014-07-21,89.62,90.14,89.38,89.91,3024119,PEP,95.0094666666663
367,2014-07-25,91.98,92.15,91.29,91.55,2925074,PEP,99.07019999999939
372,2014-08-01,88.33,89.72,88.13,89.69,6488915,PEP,95.14579999999974
373,2014-08-04,88.33,89.72,88.13,89.69,6488915,PEP,95.14579999999974
374,2014-08-05,89.38,89.68,88.89,89.2,7678773,PEP,92.21083333333348
378,2014-08-11,91.1,91.86,90.7,91.79,5232022,PEP,96.80755055555534
379,2014-08-12,91.46,91.89,91.02,91.21,2776040,PEP,97.6047000000001
381,2014-08-14,91.82,92.08,91.46,91.79,3624934,PEP,96.80755055555534
385,2014-08-20,91.82,92.44,91.52,92.23,5712862,PEP,98.0662166666671
390,2014-08-27,92.72,92.72,92.06,92.23,2960141,PEP,98.0662166666671
391,2014-08-28,92.09,92.7,91.8075,92.58,3234333,PEP,97.75906666666656
396,2014-09-05,91.85,91.85,91.39,91.75,3148099,PEP,96.7443505555556
399,2014-09-10,91.67,91.92,91.53,91.79,3720513,PEP,96.80755055555534
402,2014-09-15,91.07,91.31,90.78,91.2,3770687,PEP,96.5687
405,2014-09-18,92.97,93.5,92.7,93.37,4757606,PEP,94.6973933333337
407,2014-09-22,93.42,93.78,93.2901,93.58,3790579,PEP,93.34677000000023
408,2014-09-23,93.55,93.58,92.84,92.93,3390277,PEP,98.86120000000025
409,2014-09-24,93.11,94.04,93.08,93.5,4227262,PEP,96.77954166666619
412,2014-09-29,92.51,93.39,92.51,93.15,2973610,PEP,96.81666666666659
415,2014-10-02,92.81,92.92,92.33,92.58,3513750,PEP,97.75906666666656
416,2014-10-03,93.01,93.53,92.65,93.5,4084603,PEP,96.77954166666619
417,2014-10-06,93.5,93.65,92.785,93.37,3733095,PEP,94.6973933333337
418,2014-10-07,93.29,93.54,92.9,93.1,6799862,PEP,97.37103333333354
426,2014-10-17,91.09,92.0,90.55,91.51,6260164,PEP,98.63409999999944
433,2014-10-28,94.69,95.26,94.3,95.26,3372697,PEP,96.34903333333308
451,2014-11-21,99.03,99.13,98.24,98.89,5259803,PEP,97.84753333333323
452,2014-11-24,98.88,99.25,98.49,98.68,4540688,PEP,99.32591166666705
455,2014-11-28,99.72,100.7,99.52,100.1,2504268,PEP,105.93111667869172
457,2014-12-02,99.98,100.57,99.61,100.39,3888040,PEP,99.29196666666638
459,2014-12-04,98.04,98.28,97.4,97.75,4590476,PEP,97.96165111111084
462,2014-12-09,97.22,97.75,96.21,97.13,3459737,PEP,96.49343000000046
463,2014-12-10,97.23,97.6,96.07,96.18,3972303,PEP,95.15013031746048
473,2014-12-24,97.5,97.89,97.05,97.09,1608616,PEP,96.39943277777795
474,2014-12-26,97.12,97.57,96.97,97.05,1492689,PEP,96.322388888889
478,2015-01-02,94.93,95.34,94.048,94.44,3554777,PEP,95.72629999999967
484,2015-01-12,96.95,97.34,96.19,96.42,4192739,PEP,93.00562500000039
485,2015-01-13,96.67,97.49,95.82,96.35,5373499,PEP,98.2505268253968
485,2015-01-13,96.67,97.49,95.82,96.35,5373499,PEP,98.2505268253968
489,2015-01-20,98.33,98.33,96.83,97.51,7029455,PEP,97.92638666666618
492,2015-01-23,98.36,98.99,98.1,98.53,4857695,PEP,100.01856111111147
493,2015-01-26,98.19,98.95,97.67,98.69,4298681,PEP,99.30431166666705
498,2015-02-02,93.86,95.44,93.6,95.33,6889501,PEP,94.48539999999957
500,2015-02-04,96.03,97.2653,96.03,96.6,5064710,PEP,96.56966666666706
503,2015-02-09,96.58,96.91,95.59,95.97,4217118,PEP,92.30373333333323
506,2015-02-12,100.05,100.5,99.38,100.27,9062289,PEP,98.83409999999976
506,2015-02-12,100.05,100.5,99.38,100.27,9062289,PEP,98.83409999999976
507,2015-02-13,100.15,100.15,98.94,99.13,5642975,PEP,99.44933333333363
508,2015-02-17,98.45,98.71,98.0,98.36,5877815,PEP,99.78285555555507
509,2015-02-18,98.24,99.49,98.16,99.33,3472486,PEP,99.64323333333343
510,2015-02-19,99.3,99.5999,98.53,98.72,4186264,PEP,99.4746722222224
511,2015-02-20,98.22,99.07,97.83,99.06,3946209,PEP,99.05783539682493
512,2015-02-23,99.16,99.475,98.74,99.45,3075845,PEP,98.24545277777797
518,2015-03-03,98.82,98.95,98.12,98.4,4148507,PEP,99.19100000000046
525,2015-03-12,93.96,95.76,93.84,95.71,4454966,PEP,96.0320333333329
530,2015-03-19,94.43,94.58,93.7,94.1,4386405,PEP,91.93274888888845
531,2015-03-20,94.2,95.475,94.1,95.34,8810365,PEP,94.93186666666627
534,2015-03-25,96.43,96.44,95.23,95.26,4965558,PEP,96.34903333333308
