,date,open,high,low,close,volume,Name,Predicted
0,2013-02-08,66.9,67.45,66.32,66.95,7396230,QCOM,63.3392677777778
3,2013-02-13,66.2,66.24,65.2,65.45,8951439,QCOM,62.488599999999934
4,2013-02-14,65.12,65.7,65.03,65.53,13771092,QCOM,59.16440000000022
4,2013-02-14,65.12,65.7,65.03,65.53,13771092,QCOM,59.16440000000022
9,2013-02-22,65.21,65.77,64.67,64.94,7069964,QCOM,65.59270000000006
12,2013-02-27,65.24,66.15,65.0,65.64,8976877,QCOM,64.44313678571416
13,2013-02-28,65.82,66.22,65.61,65.64,9596074,QCOM,64.44313678571416
16,2013-03-05,67.52,68.5,67.51,67.97,16204999,QCOM,65.3145583333335
17,2013-03-06,67.48,67.52,66.22,66.67,16965900,QCOM,58.07281111111105
20,2013-03-11,66.73,66.93,66.31,66.7,6559761,QCOM,66.3363688888889
23,2013-03-14,67.0,67.06,66.36,66.57,9262138,QCOM,67.08163333333297
23,2013-03-14,67.0,67.06,66.36,66.57,9262138,QCOM,67.08163333333297
24,2013-03-15,66.42,66.58,64.74,64.975,26181020,QCOM,63.232633333333546
25,2013-03-18,64.41,64.8,63.4,64.56,14183517,QCOM,64.57250000000002
26,2013-03-19,64.69,65.0,63.91,64.72,10231788,QCOM,58.5491666666667
28,2013-03-21,65.7,66.12,65.06,65.35,9215012,QCOM,61.84679888888889
32,2013-03-27,66.17,66.74,65.76,66.68,6659749,QCOM,59.95247777777774
33,2013-03-28,66.64,67.0,66.53,66.94,7899189,QCOM,61.02283293650796
34,2013-04-01,66.7,66.84,65.605,66.0,8705918,QCOM,67.51336666666676
34,2013-04-01,66.7,66.84,65.605,66.0,8705918,QCOM,67.51336666666676
38,2013-04-05,64.67,65.25,64.55,65.16,10245001,QCOM,57.411058333333266
40,2013-04-09,66.0,66.201,65.32,65.96,12057765,QCOM,59.878500000000045
42,2013-04-11,67.24,67.6,66.62,67.03,11180781,QCOM,60.69429317460322
43,2013-04-12,67.0229,67.07,66.09,66.68,10766083,QCOM,59.95247777777774
44,2013-04-15,66.23,66.67,65.43,65.49,9736540,QCOM,59.67203333333343
46,2013-04-17,65.08,65.18,64.01,64.23,14208291,QCOM,66.86763611111083
50,2013-04-23,64.95,65.49,64.61,65.35,9919058,QCOM,61.84679888888889
51,2013-04-24,66.0,66.56,65.81,66.0,17677263,QCOM,67.51336666666676
51,2013-04-24,66.0,66.56,65.81,66.0,17677263,QCOM,67.51336666666676
53,2013-04-26,62.51,62.68,61.47,61.52,28621118,QCOM,67.91013333333333
54,2013-04-29,61.8,62.11,61.52,61.61,22797391,QCOM,65.44435277777757
58,2013-05-03,63.52,63.85,63.31,63.77,10548705,QCOM,61.575073333333286
60,2013-05-07,63.81,64.22,63.53,63.97,9706623,QCOM,62.71486666666677
61,2013-05-08,63.9001,64.5,63.9001,64.12,11134396,QCOM,64.63000999999993
62,2013-05-09,64.21,64.5,63.93,64.11,9502100,QCOM,65.01240999999992
63,2013-05-10,64.01,64.64,64.01,64.64,9430302,QCOM,65.01303333333354
67,2013-05-16,65.43,66.2,65.36,65.64,11532065,QCOM,64.44313678571416
70,2013-05-21,65.68,66.21,65.6,65.76,11228396,QCOM,58.44974999999985
71,2013-05-22,65.63,66.15,64.88,65.23,13390358,QCOM,64.52706539682539
75,2013-05-29,63.78,64.3,63.5,64.11,13122291,QCOM,65.01240999999992
83,2013-06-10,62.11,62.2,61.67,62.03,11082971,QCOM,58.43942222222224
88,2013-06-17,61.61,62.35,61.49,62.07,13527804,QCOM,60.7951994444446
90,2013-06-19,62.63,62.8,61.83,61.91,11231829,QCOM,61.08994666666676
91,2013-06-20,61.4,61.855,60.67,60.92,14300250,QCOM,66.32266666666672
94,2013-06-25,60.42,62.38,60.37,61.81,21204895,QCOM,64.0826177777775
95,2013-06-26,62.56,62.92,61.17,61.27,22000650,QCOM,66.67510000000001
97,2013-06-28,60.64,61.63,60.55,61.09,13533083,QCOM,67.60766666666653
98,2013-07-01,61.495,61.61,60.9,60.96,7457378,QCOM,66.32266666666672
99,2013-07-02,60.74,61.235,60.635,60.92,7922130,QCOM,66.32266666666672
101,2013-07-05,60.75,60.96,60.27,60.95,11157904,QCOM,66.32266666666672
108,2013-07-16,61.49,61.88,61.2,61.85,13333353,QCOM,59.004963333333144
108,2013-07-16,61.49,61.88,61.2,61.85,13333353,QCOM,59.004963333333144
109,2013-07-17,62.05,62.66,61.56,62.65,12761281,QCOM,62.93083333333343
110,2013-07-18,61.94,62.02,60.82,61.115,23680230,QCOM,67.09136666666681
113,2013-07-23,62.27,62.75,62.21,62.3,9012043,QCOM,67.26715555555558
123,2013-08-06,66.18,66.3,65.53,65.59,7952421,QCOM,57.732200000000084
125,2013-08-08,65.59,66.6428,65.36,66.35,12876439,QCOM,68.23327222222217
128,2013-08-13,66.73,67.45,66.53,67.25,12588762,QCOM,61.3910330555555
129,2013-08-14,67.08,67.22,66.625,66.96,9323260,QCOM,66.50907753968256
130,2013-08-15,66.35,66.95,66.2,66.95,11463048,QCOM,63.3392677777778
132,2013-08-19,66.88,67.4,66.29,66.33,9063621,QCOM,68.23327222222217
133,2013-08-20,66.53,67.135,66.31,66.71,9066733,QCOM,66.38560222222222
134,2013-08-21,66.31,67.0,66.19,66.57,8471513,QCOM,67.08163333333297
134,2013-08-21,66.31,67.0,66.19,66.57,8471513,QCOM,67.08163333333297
137,2013-08-26,67.03,67.24,66.795,66.95,10388583,QCOM,63.3392677777778
140,2013-08-29,66.57,67.14,66.4,66.71,6551694,QCOM,66.38560222222222
141,2013-08-30,66.63,66.66,65.74,66.28,8441297,QCOM,66.28420333333315
146,2013-09-09,68.0,69.37,68.0,69.299,13633396,QCOM,63.502141666666674
147,2013-09-10,69.39,70.37,69.39,70.09,14533125,QCOM,68.16874531746026
148,2013-09-11,68.29,68.6,67.49,68.09,21087254,QCOM,67.01689055555534
149,2013-09-12,68.73,69.72,68.5,68.81,17294085,QCOM,71.37918333333324
151,2013-09-16,69.02,69.05,67.97,68.09,12197530,QCOM,67.01689055555534
153,2013-09-18,69.47,69.87,68.91,69.64,11062904,QCOM,64.87060000000017
164,2013-10-03,67.72,67.72,66.7,67.11,6164238,QCOM,64.21036666666663
164,2013-10-03,67.72,67.72,66.7,67.11,6164238,QCOM,64.21036666666663
166,2013-10-07,66.39,67.65,66.3,67.19,11817285,QCOM,65.18345277777792
167,2013-10-08,67.18,67.23,66.26,66.35,8108945,QCOM,68.23327222222217
168,2013-10-09,66.55,66.58,65.47,65.71,11099561,QCOM,65.16402738095238
169,2013-10-10,66.22,66.97,66.0,66.84,7416752,QCOM,67.95898380952397
170,2013-10-11,66.96,67.6,66.59,67.55,7119400,QCOM,64.08856666666674
171,2013-10-14,67.11,67.94,66.92,67.75,5548157,QCOM,62.090366666666476
172,2013-10-15,68.0,68.7,67.8,68.17,7729031,QCOM,62.19954166666662
179,2013-10-24,67.46,67.51,66.815,66.94,7021822,QCOM,61.02283293650796
186,2013-11-04,70.14,70.19,69.25,69.57,9294454,QCOM,62.683500000000045
189,2013-11-07,66.83,67.75,66.25,67.09,33831405,QCOM,57.968127936507784
189,2013-11-07,66.83,67.75,66.25,67.09,33831405,QCOM,57.968127936507784
190,2013-11-08,67.42,68.04,67.06,67.45,14752508,QCOM,70.10112195767199
196,2013-11-18,72.28,72.3,71.715,71.94,10955777,QCOM,70.39818888888874
199,2013-11-21,70.4,71.81,70.4,71.71,13598689,QCOM,69.93731666666676
204,2013-11-29,73.52,73.89,73.26,73.58,6060038,QCOM,76.43259999999977
205,2013-12-02,73.53,73.87,73.235,73.44,8851826,QCOM,72.67865000000013
207,2013-12-04,73.02,73.5,72.85,73.18,6515188,QCOM,78.44905000000013
216,2013-12-17,72.66,72.98,72.26,72.92,8620426,QCOM,77.82472333333314
217,2013-12-18,72.7,73.21,71.68,73.18,9385680,QCOM,78.44905000000013
218,2013-12-19,73.15,73.3,72.13,72.43,8788150,QCOM,77.18742111111136
220,2013-12-23,73.52,73.56,72.52,72.84,9168062,QCOM,71.04049333333343
222,2013-12-26,73.05,73.68,73.05,73.48,4609188,QCOM,72.09378333333342
224,2013-12-30,73.66,73.9,73.5,73.57,5389883,QCOM,76.4120333333331
224,2013-12-30,73.66,73.9,73.5,73.57,5389883,QCOM,76.4120333333331
226,2014-01-02,73.61,73.77,73.255,73.32,10110167,QCOM,78.1490765873015
228,2014-01-06,73.08,73.2,72.55,72.7,7696670,QCOM,71.36546666666693
231,2014-01-09,74.0371,74.1,73.68,73.91,9276238,QCOM,72.03721253968273
244,2014-01-29,71.4,72.08,70.98,71.12,16638871,QCOM,70.61321666666656
247,2014-02-03,73.67,73.95,72.93,73.32,15940060,QCOM,78.1490765873015
252,2014-02-10,74.2,74.73,73.8902,74.69,7599653,QCOM,77.88032111111104
253,2014-02-11,74.81,75.73,74.53,75.62,8948317,QCOM,79.59110000000032
253,2014-02-11,74.81,75.73,74.53,75.62,8948317,QCOM,79.59110000000032
259,2014-02-20,75.96,76.2,75.68,75.95,7194165,QCOM,73.5343458333332
262,2014-02-25,75.62,75.88,74.74,74.91,6999268,QCOM,72.50568333333324
263,2014-02-26,75.15,75.5,74.9,75.05,5551595,QCOM,72.99274182539696
264,2014-02-27,74.89,75.26,74.5,75.19,9465155,QCOM,73.27330000000019
270,2014-03-07,77.1,77.2,76.44,76.79,7284997,QCOM,71.62234166666667
278,2014-03-19,77.22,77.57,76.415,76.805,7808222,QCOM,71.03734166666673
280,2014-03-21,79.03,79.03,77.51,78.19,27476101,QCOM,69.23219999999968
283,2014-03-26,78.82,79.62,78.31,78.31,14203416,QCOM,65.68833333333302
284,2014-03-27,78.42,79.72,78.31,79.05,10373216,QCOM,75.89231333333345
285,2014-03-28,79.5,79.5,78.1,79.28,8550917,QCOM,73.71756666666667
289,2014-04-03,80.21,81.3,80.21,80.55,8724235,QCOM,77.46670000000013
305,2014-04-28,78.0,78.6,77.37,78.05,12603409,QCOM,77.46413333333324
306,2014-04-29,78.64,79.01,78.23,78.52,8034133,QCOM,70.3771666666665
308,2014-05-01,78.53,79.49,78.53,78.99,7018325,QCOM,76.14965333333343
309,2014-05-02,79.3,79.3,78.5,78.99,6063059,QCOM,76.14965333333343
316,2014-05-13,79.92,80.39,79.78,80.37,5854270,QCOM,75.43053333333353
318,2014-05-15,80.34,80.81,79.18,79.78,10429947,QCOM,74.97970277777807
322,2014-05-21,79.17,79.98,79.12,79.67,7671461,QCOM,74.77306666666657
325,2014-05-27,79.93,80.5,79.9,80.46,8079521,QCOM,76.4330666666667
326,2014-05-28,80.2,80.74,80.16,80.22,7659096,QCOM,77.73683333333334
334,2014-06-09,80.28,80.47,79.7,79.95,5181826,QCOM,78.09831111111092
336,2014-06-11,79.0,79.5,78.44,79.21,7404599,QCOM,75.96923333333368
339,2014-06-16,78.83,79.39,78.45,78.65,10423671,QCOM,76.98586666666655
344,2014-06-23,79.63,79.99,79.32,79.43,6145665,QCOM,74.32449999999967
346,2014-06-25,78.5,78.55,77.91,78.05,10702118,QCOM,77.46413333333324
348,2014-06-27,78.57,79.04,78.18,78.99,7732943,QCOM,76.14965333333343
350,2014-07-01,79.35,79.82,78.93,79.73,5872328,QCOM,74.97411666666694
351,2014-07-02,79.81,80.43,79.7,80.17,5449256,QCOM,78.77623333333356
355,2014-07-09,81.11,81.11,80.375,80.77,5071215,QCOM,75.83960000000019
361,2014-07-17,79.11,79.21,77.88,78.11,12578379,QCOM,79.02780000000006
363,2014-07-21,79.41,79.97,79.11,79.67,7654304,QCOM,74.77306666666657
367,2014-07-25,76.0,76.58,75.82,76.1,13574822,QCOM,73.59602269841257
368,2014-07-28,76.1,76.25,75.53,75.83,10939012,QCOM,73.55715388888893
372,2014-08-01,73.67,73.845,71.82,72.55,15203796,QCOM,74.84370722222226
374,2014-08-05,73.2,73.35,72.56,72.75,10306512,QCOM,75.41416666666686
379,2014-08-12,74.86,74.93,73.9,74.14,7790023,QCOM,76.68351365079371
385,2014-08-20,74.55,76.64,74.55,76.439,12130041,QCOM,75.52128714285708
392,2014-08-29,76.6,76.6,75.76,76.1,6483745,QCOM,73.59602269841257
396,2014-09-05,75.0,75.85,74.89,75.81,8472331,QCOM,74.24387555555559
