,date,open,high,low,close,Adj Close,volume,DATE,Predicted
2,2014-01-06,10.026666641235352,9.682666778564453,10.0,9.800000190734863,80416500.0,9.800000190734863,2014-01-06,13.988569329579672
4,2014-01-08,10.24666690826416,9.917332649230957,9.923333168029785,10.085332870483398,92448000.0,10.085332870483398,2014-01-08,13.939742724100748
7,2014-01-13,9.800000190734863,9.187999725341797,9.718667030334473,9.28933334350586,94741500.0,9.28933334350586,2014-01-13,14.295122375488281
9,2014-01-15,11.482000350952148,10.80666732788086,11.229999542236328,10.942000389099121,306984000.0,10.942000389099121,2014-01-15,13.849646546045939
12,2014-01-21,11.81933307647705,11.387332916259766,11.416000366210938,11.778667449951172,146020500.0,11.778667449951172,2014-01-21,13.93487317721049
13,2014-01-22,12.021332740783691,11.650667190551758,11.854000091552734,11.904000282287598,105339000.0,11.904000282287598,2014-01-22,15.189288708368936
17,2014-01-28,11.932000160217285,11.399999618530273,11.433333396911621,11.892000198364258,91401000.0,11.892000198364258,2014-01-28,15.189288708368936
17,2014-01-28,11.932000160217285,11.399999618530273,11.433333396911621,11.892000198364258,91401000.0,11.892000198364258,2014-01-28,15.189288708368936
19,2014-01-30,12.3186674118042,11.800666809082031,11.866666793823242,12.189332962036133,128475000.0,12.189332962036133,2014-01-30,16.605784336725872
20,2014-01-31,12.399999618530273,11.900667190551758,11.923333168029785,12.093999862670898,97632000.0,12.093999862670898,2014-01-31,17.188322909673055
24,2014-02-06,12.007332801818848,11.733332633972168,11.75333309173584,11.892000198364258,87624000.0,11.892000198364258,2014-02-06,15.189288708368936
24,2014-02-06,12.007332801818848,11.733332633972168,11.75333309173584,11.892000198364258,87624000.0,11.892000198364258,2014-02-06,15.189288708368936
25,2014-02-07,12.442000389099121,11.973333358764648,12.067333221435547,12.435333251953125,133927500.0,12.435333251953125,2014-02-07,15.761664819717407
28,2014-02-12,13.218000411987305,12.954667091369629,13.052000045776367,13.021332740783691,77605500.0,13.021332740783691,2014-02-12,15.761930898030599
34,2014-02-21,14.26533317565918,13.946000099182129,14.109333038330078,13.973333358764648,117282000.0,13.973333358764648,2014-02-21,16.813248219225144
36,2014-02-25,17.280000686645508,15.229999542236328,15.333333015441895,16.53333282470703,490225500.0,16.53333282470703,2014-02-25,19.03811778386434
37,2014-02-26,17.666667938232422,16.5,17.238666534423828,16.866666793823242,369069000.0,16.866666793823242,2014-02-26,16.23978218269348
40,2014-03-03,16.77666664123535,15.666000366210938,15.817333221435547,16.70400047302246,196339500.0,16.70400047302246,2014-03-03,16.560457588831582
43,2014-03-06,17.166667938232422,16.6299991607666,16.94266700744629,16.862667083740234,110416500.0,16.862667083740234,2014-03-06,18.833585990269977
46,2014-03-11,16.30666732788086,15.495332717895508,15.766667366027832,15.62733268737793,132151500.0,15.62733268737793,2014-03-11,19.25968257904053
51,2014-03-18,16.100000381469727,15.668000221252441,15.796667098999023,16.002666473388672,93634500.0,16.002666473388672,2014-03-18,25.097238165537515
54,2014-03-21,15.74666690826416,15.166666984558105,15.73466682434082,15.259332656860352,123253500.0,15.259332656860352,2014-03-21,16.897456617143416
