,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,33.62,33.885,33.54,33.72,5424613,TXN,36.70066666666684
4,2013-02-14,33.49,33.84,33.3,33.79,6394142,TXN,36.30333333333351
9,2013-02-22,33.15,34.25,33.15,34.18,20543027,TXN,39.0209000000002
13,2013-02-28,34.37,34.66,34.24,34.428,13412987,TXN,35.91553333333338
17,2013-03-06,35.03,35.26,34.95,35.14,8705919,TXN,34.92086333333333
20,2013-03-11,35.27,35.59,35.11,35.52,8907490,TXN,38.113134285714274
23,2013-03-14,35.5,35.73,35.32,35.38,8675966,TXN,36.81804301587301
24,2013-03-15,35.2,35.4,34.85,35.08,14809084,TXN,35.026806666666666
25,2013-03-18,34.21,34.98,34.21,34.62,9094558,TXN,38.795800000000106
26,2013-03-19,34.69,34.91,34.29,34.66,11004683,TXN,38.84036666666673
32,2013-03-27,34.82,35.12,34.555,35.08,8214580,TXN,35.026806666666666
34,2013-04-01,35.26,35.56,34.86,35.01,11066864,TXN,36.56966666666653
38,2013-04-05,34.11,34.23,33.81,34.2,11091929,TXN,39.0186000000002
40,2013-04-09,35.11,35.395,34.8,35.16,7745329,TXN,35.57968000000005
42,2013-04-11,35.45,35.92,35.37,35.69,10085565,TXN,39.465333333333255
46,2013-04-17,35.0,35.03,34.01,34.21,17043804,TXN,39.52350000000014
51,2013-04-24,35.53,36.14,35.33,36.01,12074135,TXN,38.58300175925927
51,2013-04-24,35.53,36.14,35.33,36.01,12074135,TXN,38.58300175925927
53,2013-04-26,35.58,35.89,35.5,35.74,6990777,TXN,37.17360000000005
54,2013-04-29,35.98,36.1,35.68,35.97,5335429,TXN,38.57440175925926
58,2013-05-03,36.94,37.2,36.87,37.01,11805384,TXN,39.711933333333434
59,2013-05-06,37.19,37.25,36.81,37.04,6140180,TXN,39.43273333333348
59,2013-05-06,37.19,37.25,36.81,37.04,6140180,TXN,39.43273333333348
60,2013-05-07,37.11,37.15,36.86,37.04,5786093,TXN,39.43273333333348
60,2013-05-07,37.11,37.15,36.86,37.04,5786093,TXN,39.43273333333348
61,2013-05-08,36.92,37.23,36.91,37.09,6355827,TXN,39.44346666666682
62,2013-05-09,37.0,37.355,36.94,37.01,7754567,TXN,39.711933333333434
63,2013-05-10,37.23,37.23,36.86,37.04,8742292,TXN,39.43273333333348
63,2013-05-10,37.23,37.23,36.86,37.04,8742292,TXN,39.43273333333348
67,2013-05-16,36.79,36.98,36.575,36.6,10209262,TXN,39.7607899999998
70,2013-05-21,36.7,36.8,36.51,36.6,6648748,TXN,39.7607899999998
71,2013-05-22,36.48,36.74,35.811,36.01,10121859,TXN,38.58300175925927
71,2013-05-22,36.48,36.74,35.811,36.01,10121859,TXN,38.58300175925927
75,2013-05-29,36.04,36.29,35.87,36.09,7809561,TXN,38.054919444444515
83,2013-06-10,36.25,36.76,36.12,36.62,7941260,TXN,39.28999333333331
94,2013-06-25,34.63,35.16,34.47,35.02,7825764,TXN,36.136733333333204
