,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,44.5399,44.7,44.28,44.52,7731554,VZ,52.258766666666794
4,2013-02-14,44.55,44.782,44.11,44.33,14665888,VZ,52.29203333333348
9,2013-02-22,45.23,45.44,44.72,45.4,18830625,VZ,47.93904825396841
12,2013-02-27,46.13,46.42,45.85,46.35,14804177,VZ,49.217797724867715
13,2013-02-28,46.35,46.93,46.3,46.53,17161275,VZ,48.4268244444442
16,2013-03-05,47.4,47.88,47.14,47.69,16394000,VZ,47.14139031746032
16,2013-03-05,47.4,47.88,47.14,47.69,16394000,VZ,47.14139031746032
17,2013-03-06,47.8,47.86,47.14,47.28,12203789,VZ,48.25455142043143
19,2013-03-08,47.72,47.98,47.67,47.96,9994826,VZ,48.67699555555559
20,2013-03-11,47.86,47.975,47.55,47.81,9540408,VZ,49.48740063492044
20,2013-03-11,47.86,47.975,47.55,47.81,9540408,VZ,49.48740063492044
23,2013-03-14,48.17,48.66,48.05,48.48,10598084,VZ,47.30976931216931
24,2013-03-15,48.19,48.38,47.64,48.02,16856166,VZ,47.320063888888924
25,2013-03-18,47.96,49.1524,47.96,48.75,14772499,VZ,46.33233611111121
25,2013-03-18,47.96,49.1524,47.96,48.75,14772499,VZ,46.33233611111121
26,2013-03-19,48.9,49.09,48.56,48.95,13781290,VZ,47.6032404761906
27,2013-03-20,49.06,49.17,48.53,48.6,15014353,VZ,49.829930158730036
31,2013-03-26,49.38,49.59,49.16,49.48,11663246,VZ,48.928086296296215
32,2013-03-27,49.31,49.4,48.75,48.94,12927430,VZ,48.036748412698415
32,2013-03-27,49.31,49.4,48.75,48.94,12927430,VZ,48.036748412698415
33,2013-03-28,48.99,49.19,48.9,49.15,13569032,VZ,49.58746276455029
33,2013-03-28,48.99,49.19,48.9,49.15,13569032,VZ,49.58746276455029
34,2013-04-01,49.06,49.38,49.008,49.22,6927888,VZ,46.972622499999986
34,2013-04-01,49.06,49.38,49.008,49.22,6927888,VZ,46.972622499999986
35,2013-04-02,49.53,49.86,49.26,49.5,12081213,VZ,51.398693650793504
37,2013-04-04,49.0,49.31,48.73,49.3,37100708,VZ,47.89836595238095
38,2013-04-05,49.05,49.58,48.95,49.56,39951108,VZ,47.21591992063495
38,2013-04-05,49.05,49.58,48.95,49.56,39951108,VZ,47.21591992063495
40,2013-04-09,49.52,49.63,49.16,49.36,8307596,VZ,49.59415468253981
42,2013-04-11,49.81,50.64,49.81,50.51,13298219,VZ,47.503834444444436
46,2013-04-17,50.21,50.35,49.49,49.54,15232968,VZ,46.978054166666695
51,2013-04-24,52.0,52.12,51.17,51.8,14436505,VZ,50.399744603174575
53,2013-04-26,53.25,53.71,53.2,53.63,14326852,VZ,48.98687499999999
53,2013-04-26,53.25,53.71,53.2,53.63,14326852,VZ,48.98687499999999
54,2013-04-29,53.65,53.72,53.26,53.46,10124341,VZ,52.15521666666654
57,2013-05-02,52.49,52.82,52.135,52.53,12878219,VZ,51.49390396825401
58,2013-05-03,52.92,53.05,52.52,52.68,9588964,VZ,49.880591666666874
58,2013-05-03,52.92,53.05,52.52,52.68,9588964,VZ,49.880591666666874
60,2013-05-07,52.22,52.92,52.1,52.92,9629777,VZ,50.46133333333316
61,2013-05-08,52.83,53.15,52.67,53.11,7373210,VZ,50.19581666666658
63,2013-05-10,52.79,52.95,52.5426,52.89,6242428,VZ,49.865299999999785
64,2013-05-13,52.83,52.89,52.41,52.55,5347838,VZ,49.698706428571604
65,2013-05-14,52.5,53.18,52.4068,53.17,7400298,VZ,50.11000944444456
70,2013-05-21,52.68,52.78,51.95,52.07,11220583,VZ,50.23613777777762
71,2013-05-22,51.9,52.43,51.17,51.47,14026957,VZ,52.44118333333346
75,2013-05-29,50.27,50.37,49.14,49.57,18588112,VZ,47.323403253968294
75,2013-05-29,50.27,50.37,49.14,49.57,18588112,VZ,47.323403253968294
77,2013-05-31,48.9,49.94,48.4725,48.48,19669756,VZ,47.30976931216931
79,2013-06-04,48.66,49.46,48.39,48.84,19898535,VZ,47.00008373015875
80,2013-06-05,48.91,48.93,48.23,48.3,11308645,VZ,48.16311515872998
81,2013-06-06,48.3,50.09,48.15,49.97,17669838,VZ,47.30652411375644
81,2013-06-06,48.3,50.09,48.15,49.97,17669838,VZ,47.30652411375644
81,2013-06-06,48.3,50.09,48.15,49.97,17669838,VZ,47.30652411375644
83,2013-06-10,50.87,50.87,50.12,50.53,9617647,VZ,48.37503047619062
84,2013-06-11,50.22,50.79,49.93,50.18,9913179,VZ,48.433336666666506
85,2013-06-12,50.47,50.56,49.741,49.9,8215937,VZ,48.596089461279455
85,2013-06-12,50.47,50.56,49.741,49.9,8215937,VZ,48.596089461279455
85,2013-06-12,50.47,50.56,49.741,49.9,8215937,VZ,48.596089461279455
88,2013-06-17,51.45,51.63,50.35,50.71,9887822,VZ,48.52286911976915
92,2013-06-21,49.43,49.78,49.1,49.52,35022353,VZ,49.29591563492059
94,2013-06-25,49.43,50.68,49.43,50.44,31414566,VZ,50.798840952381106
95,2013-06-26,50.8,50.84,50.24,50.66,9201320,VZ,49.90618999999997
97,2013-06-28,50.93,51.23,50.33,50.34,11174784,VZ,47.53977499999988
98,2013-07-01,50.29,50.65,50.18,50.36,9746948,VZ,46.66935333333333
98,2013-07-01,50.29,50.65,50.18,50.36,9746948,VZ,46.66935333333333
98,2013-07-01,50.29,50.65,50.18,50.36,9746948,VZ,46.66935333333333
99,2013-07-02,50.36,51.04,50.19,50.63,9661158,VZ,49.69698944444439
101,2013-07-05,51.3,51.3,50.34,51.3,8023710,VZ,54.75306666666637
103,2013-07-09,51.5,51.58,50.87,50.96,6738606,VZ,48.336735634920856
108,2013-07-16,49.75,50.45,49.71,50.28,8841351,VZ,49.93218670634895
109,2013-07-17,50.62,51.265,50.57,50.74,8544227,VZ,49.04473611111129
109,2013-07-17,50.62,51.265,50.57,50.74,8544227,VZ,49.04473611111129
110,2013-07-18,50.0,50.33,49.19,49.97,12950865,VZ,47.30652411375644
110,2013-07-18,50.0,50.33,49.19,49.97,12950865,VZ,47.30652411375644
110,2013-07-18,50.0,50.33,49.19,49.97,12950865,VZ,47.30652411375644
113,2013-07-23,50.33,50.455,50.03,50.36,6755968,VZ,46.66935333333333
113,2013-07-23,50.33,50.455,50.03,50.36,6755968,VZ,46.66935333333333
113,2013-07-23,50.33,50.455,50.03,50.36,6755968,VZ,46.66935333333333
114,2013-07-24,50.16,50.53,49.94,50.38,8469017,VZ,50.6365582539681
115,2013-07-25,50.29,50.8,50.1,50.71,6487533,VZ,48.52286911976915
116,2013-07-26,50.74,51.08,50.51,51.02,7090671,VZ,49.58334000000003
118,2013-07-30,51.94,51.94,50.3,50.42,11576493,VZ,49.49669682539687
119,2013-07-31,50.27,50.46,49.45,49.48,14428196,VZ,48.928086296296215
122,2013-08-05,50.11,50.35,49.95,50.21,4533010,VZ,50.125891111111
123,2013-08-06,50.19,50.22,49.815,50.09,5225485,VZ,46.87931333333342
123,2013-08-06,50.19,50.22,49.815,50.09,5225485,VZ,46.87931333333342
125,2013-08-08,50.06,50.07,49.46,49.62,8154963,VZ,46.95245452380932
125,2013-08-08,50.06,50.07,49.46,49.62,8154963,VZ,46.95245452380932
125,2013-08-08,50.06,50.07,49.46,49.62,8154963,VZ,46.95245452380932
128,2013-08-13,49.64,49.68,49.03,49.15,7881438,VZ,49.58746276455029
128,2013-08-13,49.64,49.68,49.03,49.15,7881438,VZ,49.58746276455029
130,2013-08-15,48.66,48.98,48.42,48.54,6610625,VZ,46.768158333333254
130,2013-08-15,48.66,48.98,48.42,48.54,6610625,VZ,46.768158333333254
130,2013-08-15,48.66,48.98,48.42,48.54,6610625,VZ,46.768158333333254
132,2013-08-19,47.55,48.09,47.45,47.5,7869407,VZ,48.69998888888893
132,2013-08-19,47.55,48.09,47.45,47.5,7869407,VZ,48.69998888888893
132,2013-08-19,47.55,48.09,47.45,47.5,7869407,VZ,48.69998888888893
134,2013-08-21,47.79,47.79,47.235,47.27,8432500,VZ,48.25455142043143
137,2013-08-26,47.53,47.53,46.94,46.94,6941339,VZ,50.251091666666845
138,2013-08-27,46.58,47.0,46.25,46.95,9655186,VZ,49.868505555555444
140,2013-08-29,48.62,48.66,47.57,47.82,36425326,VZ,49.69535037037023
141,2013-08-30,47.83,47.97,47.105,47.38,13416934,VZ,50.12227999999979
144,2013-09-05,47.11,47.58,46.325,46.64,17783039,VZ,48.77409968253971
144,2013-09-05,47.11,47.58,46.325,46.64,17783039,VZ,48.77409968253971
146,2013-09-09,46.35,46.4,45.82,45.91,12732598,VZ,46.342791904761796
151,2013-09-16,48.31,48.5,48.06,48.3,15385646,VZ,48.16311515872998
153,2013-09-18,48.51,48.83,47.87,48.72,10957889,VZ,49.99854230158712
157,2013-09-24,47.69,47.7,46.88,47.27,16765336,VZ,48.25455142043143
159,2013-09-26,47.05,47.71,47.05,47.67,10238730,VZ,48.24002480158731
160,2013-09-27,47.42,47.45,46.69,47.0,10291596,VZ,45.82602142857146
163,2013-10-02,46.84,46.98,46.33,46.79,11939061,VZ,49.884609484127054
164,2013-10-03,46.68,47.18,46.52,47.01,14969201,VZ,48.03678571428574
164,2013-10-03,46.68,47.18,46.52,47.01,14969201,VZ,48.03678571428574
166,2013-10-07,46.88,47.65,46.76,47.29,45149903,VZ,48.28158284900286
166,2013-10-07,46.88,47.65,46.76,47.29,45149903,VZ,48.28158284900286
168,2013-10-09,46.21,46.78,46.06,46.2,13260756,VZ,50.39984230158737
168,2013-10-09,46.21,46.78,46.06,46.2,13260756,VZ,50.39984230158737
170,2013-10-11,46.81,47.09,46.66,47.09,11131040,VZ,48.24747638888876
171,2013-10-14,46.7899,47.1,46.681,46.81,10939013,VZ,47.90946253968237
172,2013-10-15,46.8,46.94,46.27,46.32,12571750,VZ,49.91079111111138
174,2013-10-17,48.57,49.235,48.12,48.9,29337017,VZ,47.93574656084663
179,2013-10-24,51.04,51.19,50.32,50.42,10354763,VZ,49.49669682539687
180,2013-10-25,50.33,50.78,50.11,50.71,9184608,VZ,48.52286911976915
183,2013-10-30,51.39,51.4,50.39,50.53,12583099,VZ,48.37503047619062
184,2013-10-31,50.49,50.91,50.05,50.51,10922643,VZ,47.503834444444436
186,2013-11-04,50.92,51.09,50.53,51.08,8296520,VZ,51.67463722222207
189,2013-11-07,50.55,51.0,50.05,50.17,10806533,VZ,47.094906428571306
192,2013-11-12,50.01,50.465,49.78,50.16,9594552,VZ,47.27682142857131
195,2013-11-15,50.16,50.42,49.87,50.31,9101986,VZ,48.724764999999856
196,2013-11-18,50.35,50.8099,50.34,50.76,10224565,VZ,50.842600000000125
196,2013-11-18,50.35,50.8099,50.34,50.76,10224565,VZ,50.842600000000125
199,2013-11-21,50.6,50.8,50.35,50.38,6608041,VZ,50.6365582539681
204,2013-11-29,50.04,50.05,49.54,49.62,4908551,VZ,46.95245452380932
204,2013-11-29,50.04,50.05,49.54,49.62,4908551,VZ,46.95245452380932
204,2013-11-29,50.04,50.05,49.54,49.62,4908551,VZ,46.95245452380932
205,2013-12-02,49.66,49.7,49.14,49.26,10658055,VZ,49.37389976190464
206,2013-12-03,49.27,49.6,49.13,49.6,10234700,VZ,47.11094142857142
207,2013-12-04,49.32,49.79,49.1,49.37,10725891,VZ,48.66016579365096
207,2013-12-04,49.32,49.79,49.1,49.37,10725891,VZ,48.66016579365096
207,2013-12-04,49.32,49.79,49.1,49.37,10725891,VZ,48.66016579365096
209,2013-12-06,49.25,49.6,48.95,49.48,11177161,VZ,48.928086296296215
210,2013-12-09,49.07,49.63,48.79,49.57,11948147,VZ,47.323403253968294
210,2013-12-09,49.07,49.63,48.79,49.57,11948147,VZ,47.323403253968294
216,2013-12-17,48.07,48.07,47.45,47.56,13276726,VZ,48.98292333333328
219,2013-12-20,48.51,48.75,48.08,48.08,17676704,VZ,48.992982486772256
220,2013-12-23,48.375,48.74,48.365,48.58,11735769,VZ,47.05058055555543
221,2013-12-24,48.61,49.08,48.61,48.98,5052444,VZ,48.36966500000012
222,2013-12-26,49.02,49.335,48.9263,49.18,5102333,VZ,46.779454502164484
222,2013-12-26,49.02,49.335,48.9263,49.18,5102333,VZ,46.779454502164484
224,2013-12-30,49.05,49.28,48.99,49.15,5459999,VZ,49.58746276455029
224,2013-12-30,49.05,49.28,48.99,49.15,5459999,VZ,49.58746276455029
228,2014-01-06,48.77,49.07,48.2023,48.69,16067411,VZ,47.82495833333326
229,2014-01-07,49.12,49.4,48.58,49.3,17619520,VZ,47.89836595238095
231,2014-01-09,48.43,48.51,47.49,47.5,14603380,VZ,48.69998888888893
231,2014-01-09,48.43,48.51,47.49,47.5,14603380,VZ,48.69998888888893
231,2014-01-09,48.43,48.51,47.49,47.5,14603380,VZ,48.69998888888893
234,2014-01-14,47.04,47.23,46.58,47.08,19270847,VZ,48.07354392857123
234,2014-01-14,47.04,47.23,46.58,47.08,19270847,VZ,48.07354392857123
235,2014-01-15,47.35,48.375,47.28,48.27,21773242,VZ,46.53994063492054
240,2014-01-23,47.06,47.86,46.94,47.86,22653339,VZ,49.59292504985755
240,2014-01-23,47.06,47.86,46.94,47.86,22653339,VZ,49.59292504985755
242,2014-01-27,47.71,48.36,47.41,47.69,21423089,VZ,47.14139031746032
242,2014-01-27,47.71,48.36,47.41,47.69,21423089,VZ,47.14139031746032
244,2014-01-29,47.0,47.98,46.69,47.69,24966017,VZ,47.14139031746032
244,2014-01-29,47.0,47.98,46.69,47.69,24966017,VZ,47.14139031746032
246,2014-01-31,47.1,48.5,47.02,48.02,18558798,VZ,47.320063888888924
249,2014-02-05,46.73,46.895,46.31,46.69,19737272,VZ,47.17898403679659
249,2014-02-05,46.73,46.895,46.31,46.69,19737272,VZ,47.17898403679659
251,2014-02-07,46.89,46.98,46.58,46.81,13528174,VZ,47.90946253968237
252,2014-02-10,46.81,46.945,46.1833,46.91,12412630,VZ,48.91230055555533
252,2014-02-10,46.81,46.945,46.1833,46.91,12412630,VZ,48.91230055555533
252,2014-02-10,46.81,46.945,46.1833,46.91,12412630,VZ,48.91230055555533
253,2014-02-11,47.04,47.37,46.91,47.21,16249831,VZ,51.101576349206205
254,2014-02-12,47.44,47.44,47.06,47.37,23460865,VZ,47.96448277777756
256,2014-02-14,47.14,47.14,46.42,46.51,26399037,VZ,50.02085333333345
258,2014-02-19,45.74,46.84,45.56,46.53,34111008,VZ,48.4268244444442
259,2014-02-20,46.81,48.34,46.75,48.12,48976883,VZ,48.08260195767195
259,2014-02-20,46.81,48.34,46.75,48.12,48976883,VZ,48.08260195767195
260,2014-02-21,47.5499,48.25,47.18,47.27,60839123,VZ,48.25455142043143
262,2014-02-25,46.42,46.76,46.19,46.29,146504915,VZ,50.46977888888903
263,2014-02-26,46.09,46.5,45.885,46.35,102723889,VZ,49.217797724867715
264,2014-02-27,46.34,47.78,46.28,47.5,139461810,VZ,48.69998888888893
264,2014-02-27,46.34,47.78,46.28,47.5,139461810,VZ,48.69998888888893
264,2014-02-27,46.34,47.78,46.28,47.5,139461810,VZ,48.69998888888893
268,2014-03-05,47.82,47.87,47.34,47.38,40213212,VZ,50.12227999999979
