,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,39.1125,39.3475,38.535,38.6925,13915520,V,45.02737500000019
4,2013-02-14,38.65,39.1625,38.575,38.995,12760368,V,45.18716666666683
9,2013-02-22,39.575,39.895,39.1725,39.8575,11737004,V,44.904166666666725
13,2013-02-28,40.085,40.085,39.5775,39.66,11231148,V,45.046483333333214
17,2013-03-06,40.215,40.425,40.05,40.265,7515924,V,46.64747499999983
20,2013-03-11,40.3425,40.4,40.1025,40.295,6741784,V,46.64747499999983
23,2013-03-14,39.85,40.2675,39.825,40.165,14859112,V,45.12815833333321
24,2013-03-15,40.0075,40.1598,39.6325,39.6375,17615660,V,45.040241269841125
25,2013-03-18,39.32,39.795,39.1,39.5175,15163892,V,45.040241269841125
26,2013-03-19,39.5,39.8375,38.92,39.0,17599860,V,45.18716666666683
34,2013-04-01,42.4375,42.7475,41.7253,41.8375,13236436,V,45.502058333333295
36,2013-04-03,42.105,42.1325,41.07,41.1875,16624688,V,46.390699999999995
38,2013-04-05,41.0525,41.355,40.8975,41.29,7962988,V,46.52412500000002
40,2013-04-09,41.7075,41.72,41.0025,41.1875,6005468,V,46.390699999999995
42,2013-04-11,41.75,41.975,41.555,41.905,6493196,V,45.22221666666664
46,2013-04-17,40.935,41.0075,40.485,40.5575,9543540,V,47.204966666666586
51,2013-04-24,41.415,41.8925,41.4,41.765,7447196,V,46.72423333333341
53,2013-04-26,42.19,42.3987,41.785,41.8075,6127132,V,45.502058333333295
54,2013-04-29,41.9325,42.125,41.79,41.975,10692968,V,45.60631666666679
58,2013-05-03,44.24,45.21,44.1075,44.885,15026356,V,46.80161666666646
60,2013-05-07,44.8725,44.965,44.305,44.9475,11876096,V,46.471091666666666
61,2013-05-08,44.865,44.875,44.4252,44.815,14448868,V,48.26893333333314
63,2013-05-10,44.67,44.755,44.3875,44.6875,13840184,V,45.24383333333342
70,2013-05-21,45.385,45.6725,45.0975,45.3875,13429516,V,45.82458333333309
71,2013-05-22,45.52,46.105,45.025,45.035,19565244,V,43.78621666666643
75,2013-05-29,44.805,45.05,44.5175,44.535,7490024,V,44.354900000000086
77,2013-05-31,45.1425,45.35,44.525,44.535,12515232,V,44.354900000000086
83,2013-06-10,45.135,45.785,44.9075,45.5825,13784812,V,46.94917499999999
94,2013-06-25,44.95,45.345,44.625,45.1175,12721904,V,43.820208333333376
95,2013-06-26,45.4725,45.785,45.12,45.6625,10393064,V,48.90754166666675
97,2013-06-28,46.065,46.18,45.555,45.6875,12658668,V,48.91288333333342
98,2013-07-01,45.975,46.865,45.9075,46.305,11615672,V,50.063466666666805
99,2013-07-02,46.27,46.76,46.0652,46.31,8754560,V,50.063466666666805
101,2013-07-05,47.2175,47.715,46.875,47.6975,8504916,V,49.43098333333357
108,2013-07-16,47.5475,47.6825,47.175,47.345,7509664,V,53.283075000000025
108,2013-07-16,47.5475,47.6825,47.175,47.345,7509664,V,53.283075000000025
109,2013-07-17,47.11,47.4875,47.035,47.41,11118004,V,48.7844250000002
110,2013-07-18,47.5525,47.8498,47.4875,47.7525,5936680,V,51.925150000000286
113,2013-07-23,47.6825,47.8675,47.135,47.145,11706188,V,51.11290833333312
123,2013-08-06,46.0525,46.0775,45.212,45.7225,19986932,V,49.004791666666755
125,2013-08-08,45.6025,45.6397,44.9825,45.195,9626704,V,45.65997499999973
128,2013-08-13,45.125,45.16,44.67,44.8075,11407020,V,48.35893333333314
130,2013-08-15,44.3625,44.3725,43.3625,43.4825,17288460,V,49.647516666666746
132,2013-08-19,43.0825,44.2225,43.0525,43.745,11982012,V,49.491474999999966
134,2013-08-21,43.315,45.375,43.13,44.5975,30930940,V,48.28334999999986
140,2013-08-29,43.7775,44.32,43.6975,43.8425,9404832,V,48.95702500000014
141,2013-08-30,43.8525,43.875,43.4525,43.605,9886588,V,49.5251166666668
146,2013-09-09,44.32,44.6625,44.32,44.6375,10801516,V,46.622216666666745
151,2013-09-16,47.74,47.77,47.22,47.345,12592880,V,53.283075000000025
151,2013-09-16,47.74,47.77,47.22,47.345,12592880,V,53.283075000000025
153,2013-09-18,47.605,48.5,47.5425,48.4125,10475392,V,53.88202500000003
164,2013-10-03,47.9975,48.0275,46.935,47.1625,19659908,V,51.111791666666456
166,2013-10-07,46.9875,46.9875,46.58,46.5825,11800492,V,49.4508416666666
168,2013-10-09,45.85,46.175,45.0275,45.9625,13448172,V,49.6585333333335
170,2013-10-11,47.2,48.05,46.875,48.05,11913652,V,51.42755000000018
171,2013-10-14,47.5925,48.4475,47.505,48.36,8922368,V,53.81382499999983
172,2013-10-15,48.2575,48.604,47.8425,47.8425,10568560,V,49.93840000000002
179,2013-10-24,49.9675,50.845,49.9025,50.7275,8886896,V,62.238058333333186
186,2013-11-04,49.92,50.0,49.0475,49.105,11090132,V,53.59332500000011
189,2013-11-07,49.9925,50.09,49.025,49.025,10833184,V,53.71239166666674
196,2013-11-18,50.5,50.6775,49.8175,49.975,16382268,V,57.222750000000026
199,2013-11-21,49.82,50.5,49.3625,50.4025,12792332,V,55.70786666666653
204,2013-11-29,51.1275,51.2675,50.865,50.865,4139016,V,55.782541666666454
205,2013-12-02,51.025,51.6225,51.025,51.2825,8761892,V,60.819299999999785
207,2013-12-04,50.445,50.8325,50.27,50.685,11762160,V,61.81163333333314
216,2013-12-17,52.155,53.4525,51.96,53.3125,20681576,V,63.96468333333308
220,2013-12-23,54.2475,54.7075,54.1375,54.5075,8015428,V,54.79520833333332
222,2013-12-26,54.7475,55.0625,54.7475,55.05,4898860,V,52.041599999999896
224,2013-12-30,55.1475,55.404,54.925,55.2275,5940188,V,51.380924999999934
228,2014-01-06,55.295,55.5775,54.8975,54.9575,8579560,V,53.0198333333333
231,2014-01-09,55.8875,56.13,55.415,55.4775,8451228,V,52.34927499999993
244,2014-01-29,54.775,55.1856,54.125,54.28,16824676,V,60.54557499999983
252,2014-02-10,55.4725,55.5325,54.9975,55.1375,10318436,V,52.9605666666667
253,2014-02-11,55.2825,55.7225,55.0125,55.5825,9817868,V,51.62744999999979
