,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,35.45,35.52,34.95,35.13,21344989,WFC,39.731700000000096
4,2013-02-14,35.02,35.27,34.91,35.21,22295663,WFC,38.793633333333474
9,2013-02-22,35.57,35.83,35.39,35.82,20518984,WFC,40.53363333333333
12,2013-02-27,34.82,35.22,34.6,35.13,32175940,WFC,39.731700000000096
13,2013-02-28,35.07,35.37,35.02,35.08,22103105,WFC,39.42026666666682
17,2013-03-06,36.09,36.14,35.815,36.05,18491681,WFC,41.34483333333335
20,2013-03-11,36.58,37.14,36.53,37.13,18989701,WFC,42.98086666666664
23,2013-03-14,36.95,37.03,36.8,36.97,21860773,WFC,40.70943333333312
24,2013-03-15,37.36,38.2,37.3,38.2,56061332,WFC,43.426300000000126
25,2013-03-18,37.7,37.9,37.62,37.76,29754503,WFC,44.37129999999986
26,2013-03-19,37.92,37.93,37.33,37.49,23724771,WFC,42.402266666666776
34,2013-04-01,37.02,37.09,36.75,36.93,10906380,WFC,40.925433333333466
38,2013-04-05,36.81,37.2,36.62,37.15,24519384,WFC,41.673900000000046
40,2013-04-09,37.15,37.65,36.98,37.45,21248424,WFC,42.425866666666785
42,2013-04-11,37.59,37.91,37.15,37.51,30529800,WFC,42.75156666666674
46,2013-04-17,36.81,36.88,36.25,36.56,31790282,WFC,41.52396666666654
50,2013-04-23,36.85,37.14,36.71,37.13,19842795,WFC,42.98086666666664
51,2013-04-24,37.2,37.45,37.14,37.34,16740626,WFC,40.92383333333342
53,2013-04-26,37.56,37.88,37.46,37.88,17814620,WFC,44.06846666666672
53,2013-04-26,37.56,37.88,37.46,37.88,17814620,WFC,44.06846666666672
54,2013-04-29,37.95,37.98,37.76,37.88,15989559,WFC,44.06846666666672
54,2013-04-29,37.95,37.98,37.76,37.88,15989559,WFC,44.06846666666672
58,2013-05-03,37.74,37.92,37.6,37.74,15881294,WFC,44.37129999999986
60,2013-05-07,38.02,38.56,37.91,38.4,23272904,WFC,43.316700000000125
61,2013-05-08,38.14,38.67,38.05,38.45,18741978,WFC,43.30716666666679
63,2013-05-10,38.04,38.16,37.82,38.03,16390874,WFC,43.682099999999885
64,2013-05-13,38.04,38.29,37.83,38.2,12774199,WFC,43.426300000000126
70,2013-05-21,40.33,40.8,40.17,40.68,23055244,WFC,41.89620365079358
71,2013-05-22,40.72,41.1001,39.99,40.1,30388130,WFC,42.76456666666664
75,2013-05-29,40.36,40.9,40.21,40.75,22847891,WFC,41.217161666666684
76,2013-05-30,40.79,41.59,40.7,41.25,22022508,WFC,42.8512898809524
82,2013-06-07,41.23,41.38,40.81,41.25,23458489,WFC,42.8512898809524
83,2013-06-10,41.5,41.69,41.17,41.27,16340568,WFC,44.46668865079366
83,2013-06-10,41.5,41.69,41.17,41.27,16340568,WFC,44.46668865079366
94,2013-06-25,40.16,40.53,39.89,40.3,22264312,WFC,42.22143888888904
95,2013-06-26,40.73,41.3,40.73,41.02,19405880,WFC,42.673366666666816
97,2013-06-28,41.56,41.62,41.05,41.27,20259336,WFC,44.46668865079366
97,2013-06-28,41.56,41.62,41.05,41.27,20259336,WFC,44.46668865079366
98,2013-07-01,41.56,41.96,41.27,41.36,16176906,WFC,44.65995555555546
99,2013-07-02,41.2,41.58,41.01,41.22,15561872,WFC,42.0501602380953
100,2013-07-03,41.02,41.3,40.792,41.22,8079189,WFC,42.0501602380953
101,2013-07-05,41.46,42.07,41.43,42.07,14934019,WFC,42.15539999999995
103,2013-07-09,42.95,43.08,42.23,42.7,22544383,WFC,42.622916666666846
104,2013-07-10,42.55,42.58,41.74,42.07,25421813,WFC,42.15539999999995
108,2013-07-16,43.35,43.45,42.85,43.02,21829002,WFC,44.65868174603165
109,2013-07-17,43.2,43.88,43.17,43.51,23959131,WFC,43.64358666666687
110,2013-07-18,43.72,44.59,43.6701,44.41,23443154,WFC,50.30836666666647
113,2013-07-23,44.65,44.785,44.5,44.57,13432417,WFC,42.447133333333475
116,2013-07-26,43.55,43.7,43.2,43.51,18503704,WFC,43.64358666666687
123,2013-08-06,44.27,44.32,43.97,44.03,13787960,WFC,47.78889166666651
125,2013-08-08,43.51,43.57,42.99,43.22,18704342,WFC,42.9877361111112
128,2013-08-13,43.25,43.36,43.06,43.32,12734439,WFC,41.22281666666659
130,2013-08-15,42.9,43.12,42.81,42.99,17748825,WFC,44.78600952380943
132,2013-08-19,42.96,42.98,42.46,42.49,15873686,WFC,43.42973333333341
134,2013-08-21,42.45,42.675,42.13,42.36,14586234,WFC,43.6979
139,2013-08-28,41.09,41.578,40.98,41.25,13927866,WFC,42.8512898809524
140,2013-08-29,41.06,41.66,41.03,41.25,10512561,WFC,42.8512898809524
141,2013-08-30,41.37,41.42,40.92,41.08,15031829,WFC,43.23988611111131
145,2013-09-06,42.01,42.02,41.2,41.43,14548697,WFC,44.50693333333344
146,2013-09-09,41.52,41.72,40.89,41.72,27418642,WFC,44.86506666666686
151,2013-09-16,42.77,43.07,42.71,42.89,19328978,WFC,45.49110888888906
153,2013-09-18,42.8,43.82,42.75,43.31,23926784,WFC,41.22281666666659
164,2013-10-03,41.22,41.22,40.64,41.0,19049175,WFC,42.673366666666816
166,2013-10-07,40.79,40.895,40.62,40.62,15277019,WFC,42.34684888888886
168,2013-10-09,40.43,40.55,40.07,40.36,17006962,WFC,41.61901111111116
170,2013-10-11,40.44,41.51,40.3,41.43,46033823,WFC,44.50693333333344
171,2013-10-14,41.14,41.9,41.1,41.75,17182574,WFC,44.848666666666865
172,2013-10-15,41.86,41.98,41.42,41.54,17256590,WFC,43.10273333333333
179,2013-10-24,42.93,42.98,42.55,42.69,13946548,WFC,45.601888333333406
184,2013-10-31,43.04,43.23,42.68,42.69,18760653,WFC,45.601888333333406
186,2013-11-04,42.75,42.84,42.53,42.7,11921602,WFC,42.622916666666846
189,2013-11-07,42.56,42.6,41.71,41.71,22419815,WFC,44.903466666666745
196,2013-11-18,43.58,43.72,43.36,43.41,13117659,WFC,41.99397833333323
199,2013-11-21,43.81,44.3875,43.785,44.08,16450016,WFC,47.75902857142856
204,2013-11-29,44.39,44.51,43.96,44.02,9770220,WFC,47.78889166666651
205,2013-12-02,44.11,44.475,44.09,44.18,16740624,WFC,48.85047833333329
207,2013-12-04,43.4,44.07,43.34,43.75,18009593,WFC,47.37640111111111
207,2013-12-04,43.4,44.07,43.34,43.75,18009593,WFC,47.37640111111111
216,2013-12-17,43.76,43.82,43.49,43.59,13376138,WFC,45.88479999999985
220,2013-12-23,45.12,45.53,45.1,45.21,13037310,WFC,54.185916666666586
222,2013-12-26,45.5,45.64,45.43,45.54,7310638,WFC,54.094837777777634
223,2013-12-27,45.59,45.63,45.39,45.5,6844651,WFC,48.86287111111104
224,2013-12-30,45.57,45.61,45.33,45.5,11321358,WFC,48.86287111111104
228,2014-01-06,45.53,45.81,45.36,45.42,18521241,WFC,54.5603919047621
231,2014-01-09,45.97,46.2,45.8,46.16,14389488,WFC,53.970054603174646
234,2014-01-14,45.48,45.84,44.92,45.59,28526935,WFC,48.54989999999975
238,2014-01-21,46.51,46.8378,46.241,46.5,15534175,WFC,51.305883333333476
244,2014-01-29,45.63,46.21,45.49,45.59,20556137,WFC,48.54989999999975
245,2014-01-30,45.85,46.2,45.765,46.05,12714335,WFC,49.79124999999995
245,2014-01-30,45.85,46.2,45.765,46.05,12714335,WFC,49.79124999999995
252,2014-02-10,45.39,45.62,45.22,45.52,12522521,WFC,49.628077777777854
252,2014-02-10,45.39,45.62,45.22,45.52,12522521,WFC,49.628077777777854
253,2014-02-11,45.54,46.09,45.46,45.97,13577163,WFC,49.95697777777785
259,2014-02-20,45.39,45.85,45.25,45.63,13443399,WFC,52.88906666666672
261,2014-02-24,45.73,46.4262,45.7,46.08,14234573,WFC,48.191824444444165
262,2014-02-25,46.2,46.26,45.95,46.08,13842818,WFC,48.191824444444165
263,2014-02-26,46.35,46.43,45.81,46.05,13918518,WFC,49.79124999999995
263,2014-02-26,46.35,46.43,45.81,46.05,13918518,WFC,49.79124999999995
264,2014-02-27,45.95,46.08,45.61,46.05,13849543,WFC,49.79124999999995
264,2014-02-27,45.95,46.08,45.61,46.05,13849543,WFC,49.79124999999995
270,2014-03-07,47.76,48.48,47.6,47.95,20512670,WFC,45.697141481481545
272,2014-03-11,48.34,48.36,47.72,47.81,13430875,WFC,50.06306666666645
272,2014-03-11,48.34,48.36,47.72,47.81,13430875,WFC,50.06306666666645
273,2014-03-12,47.7,48.13,47.56,48.12,13505134,WFC,51.62162353174578
274,2014-03-13,48.23,48.3,47.74,47.84,14813888,WFC,52.13346666666675
278,2014-03-19,48.38,48.41,47.48,47.81,28292983,WFC,50.06306666666645
278,2014-03-19,48.38,48.41,47.48,47.81,28292983,WFC,50.06306666666645
279,2014-03-20,47.7,49.36,47.7,49.03,25208403,WFC,49.29125833333343
280,2014-03-21,49.79,49.97,49.04,49.12,31046062,WFC,51.43824166666666
283,2014-03-26,49.19,49.2,48.46,48.5,17399843,WFC,51.48000166666666
283,2014-03-26,49.19,49.2,48.46,48.5,17399843,WFC,51.48000166666666
284,2014-03-27,49.51,49.79,48.65,49.1,29075059,WFC,51.88121444444438
285,2014-03-28,49.14,49.6125,49.05,49.29,15008037,WFC,50.348139999999916
287,2014-04-01,49.88,49.93,49.5,49.77,16398766,WFC,51.62471111111122
288,2014-04-02,49.77,49.88,49.51,49.76,13035427,WFC,51.55992666666651
289,2014-04-03,49.81,49.89,49.56,49.83,9598908,WFC,49.825985714285736
292,2014-04-08,48.66,48.9993,48.44,48.83,19086946,WFC,52.4493850793652
293,2014-04-09,49.07,49.1,48.61,49.1,15928089,WFC,51.88121444444438
300,2014-04-21,49.08,49.33,48.96,49.12,12477981,WFC,51.43824166666666
305,2014-04-28,49.27,49.33,48.53,48.94,18411704,WFC,46.93451738095227
306,2014-04-29,49.27,49.51,49.13,49.47,14753633,WFC,49.39569222222216
307,2014-04-30,49.45,49.75,49.37,49.64,14982821,WFC,51.66448333333343
308,2014-05-01,49.74,49.84,49.45,49.64,11850982,WFC,51.66448333333343
315,2014-05-12,49.38,49.85,49.33,49.76,16450689,WFC,51.55992666666651
316,2014-05-13,49.78,49.96,49.64,49.81,9707133,WFC,51.62471111111122
317,2014-05-14,49.86,49.86,49.19,49.29,13263235,WFC,50.348139999999916
318,2014-05-15,49.1,49.2497,48.66,49.03,17370896,WFC,49.29125833333343
323,2014-05-22,49.68,50.04,49.6,49.99,12160307,WFC,52.22811694444449
325,2014-05-27,50.3,50.695,50.2,50.55,13322236,WFC,52.05778222222243
325,2014-05-27,50.3,50.695,50.2,50.55,13322236,WFC,52.05778222222243
326,2014-05-28,50.53,50.7,50.315,50.44,12465677,WFC,51.05232821428561
329,2014-06-02,50.94,51.17,50.87,51.09,11828333,WFC,51.73164936507941
330,2014-06-03,50.88,51.16,50.75,51.09,9293625,WFC,51.73164936507941
331,2014-06-04,50.95,51.07,50.82,51.04,10129239,WFC,52.25814349206334
334,2014-06-09,51.9,52.57,51.88,52.51,11049575,WFC,53.94594333333352
335,2014-06-10,52.4,52.63,52.19,52.59,12331656,WFC,52.160357777777705
336,2014-06-11,52.35,52.5,52.06,52.24,11735407,WFC,51.98576833333348
339,2014-06-16,51.88,51.89,50.94,51.09,16310453,WFC,51.73164936507941
340,2014-06-17,51.03,51.75,50.98,51.66,15470782,WFC,52.9687716666667
343,2014-06-20,52.38,52.91,52.27,52.89,29836531,WFC,51.79120833333316
344,2014-06-23,52.7,53.05,52.53,52.98,13122484,WFC,52.47741111111106
348,2014-06-27,52.23,52.9,52.15,52.9,16864488,WFC,52.66831666666667
349,2014-06-30,52.74,52.76,52.4,52.56,12928410,WFC,52.859413055555535
350,2014-07-01,52.73,52.95,52.62,52.72,12482622,WFC,56.30216666666667
