,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,74.0942,75.9985,73.9999,75.5699,86451022,AAPL,74.4895599980178
253,2014-02-11,75.8014,76.8214,75.6428,76.5656,70672252,AAPL,74.11957361335733
254,2014-02-12,76.7071,77.0799,76.1771,76.5599,77127064,AAPL,76.00095647026585
255,2014-02-13,76.3799,77.8356,76.3142,77.7756,76960156,AAPL,76.69609902897767
256,2014-02-14,77.4956,77.9971,77.3156,77.7128,68468036,AAPL,76.48040766576274
257,2014-02-18,77.9999,78.7413,77.9442,77.9985,65306248,AAPL,77.64501148925977
258,2014-02-19,77.8214,78.1271,76.3356,76.7671,78554420,AAPL,77.91641111805936
259,2014-02-20,76.1414,76.7142,75.5714,75.8785,76529103,AAPL,77.90506507068801
260,2014-02-21,76.1132,76.3671,74.9428,75.0356,69757247,AAPL,76.17273257347406
261,2014-02-24,74.7356,75.7028,74.6314,75.3642,72364950,AAPL,76.02363452228995
262,2014-02-25,75.6256,75.6521,74.4285,74.5799,58247350,AAPL,74.4874749330417
263,2014-02-26,74.8014,74.9999,73.6571,73.9071,69131286,AAPL,75.62150772593962
264,2014-02-27,73.8771,75.5399,73.7214,75.3814,75557321,AAPL,74.75152491970502
265,2014-02-28,75.5828,76.1071,74.5885,75.1771,93074653,AAPL,73.92538648588398
266,2014-03-03,74.7742,75.8071,74.6871,75.3942,59667923,AAPL,75.58150490818342
267,2014-03-04,75.8571,76.0914,75.3956,75.8914,64884834,AAPL,74.64290651731466
268,2014-03-05,75.8456,76.3928,75.5899,76.0514,50065519,AAPL,76.07645089661867
269,2014-03-06,76.1128,76.3485,75.4428,75.8214,46423111,AAPL,75.81927896553266
270,2014-03-07,75.8699,75.9971,75.1499,75.7771,55415241,AAPL,76.15657016610496
271,2014-03-10,75.4799,76.1899,75.4769,75.8456,44691430,AAPL,75.90953699303415
272,2014-03-11,76.4928,76.9628,76.0842,76.5842,70198849,AAPL,75.45061931406198
273,2014-03-12,76.3585,76.7642,75.9999,76.6585,50195460,AAPL,76.46976500890895
274,2014-03-13,76.7771,77.0942,75.5942,75.8071,64435609,AAPL,76.32603752980916
275,2014-03-14,75.5414,75.8414,74.7142,74.9556,59299492,AAPL,76.89614620571558
276,2014-03-17,75.3856,75.7099,75.1214,75.2485,49886074,AAPL,75.54335040682366
277,2014-03-18,75.1285,75.9956,75.0285,75.9142,52411863,AAPL,75.35910066255649
278,2014-03-19,76.0371,76.6056,75.5714,75.8942,56188958,AAPL,75.00176865639226
279,2014-03-20,75.6985,76.0956,75.3356,75.5285,52099537,AAPL,76.0039428032423
280,2014-03-21,75.9899,76.2499,75.1899,76.1242,93612169,AAPL,75.74179271961665
281,2014-03-24,76.9171,77.2142,76.4371,77.0271,88924871,AAPL,76.07925997862867
282,2014-03-25,77.3571,77.9642,77.0842,77.8556,70573356,AAPL,76.91003573809071
283,2014-03-26,78.0742,78.4285,76.9799,77.1114,74942224,AAPL,77.37253542067718
284,2014-03-27,77.1449,77.3571,76.4457,76.7799,55507676,AAPL,78.20055186084025
285,2014-03-28,76.9028,76.9913,76.3214,76.6942,50141063,AAPL,77.18825105416667
286,2014-03-31,77.0328,77.2585,76.5614,76.6771,42167188,AAPL,76.9126473490077
287,2014-04-01,76.8228,77.4099,76.6814,77.3785,50189685,AAPL,76.92071379577467
288,2014-04-02,77.4828,77.6399,77.1799,77.5071,44792195,AAPL,76.77073074675656
289,2014-04-03,77.3414,77.4999,76.8056,76.9699,40648111,AAPL,77.53181655680028
290,2014-04-04,77.1156,77.1428,75.7971,75.9742,68812485,AAPL,77.34425460214489
291,2014-04-07,75.4314,75.8428,74.5556,74.7814,72462530,AAPL,77.17041034299355
292,2014-04-08,75.0271,75.1599,74.0999,74.7771,60971883,AAPL,75.40542052623084
293,2014-04-09,74.6628,75.7842,74.5742,75.7599,51542722,AAPL,74.93593491327371
294,2014-04-10,75.8114,76.0342,74.7385,74.7828,59912818,AAPL,74.49402787309494
295,2014-04-11,74.1428,74.6899,73.8771,74.2299,67975012,AAPL,75.7890362992103
296,2014-04-14,74.5571,74.5942,73.8871,74.5256,51445177,AAPL,74.19304001044769
297,2014-04-15,74.3242,74.5199,73.0471,73.9942,66622577,AAPL,74.63134000724565
298,2014-04-16,74.0071,74.4414,73.4478,74.1442,53732994,AAPL,74.20829445827859
299,2014-04-17,74.2856,75.3942,74.1714,74.9914,71106721,AAPL,73.98152964848022
300,2014-04-21,75.0485,76.0199,74.8514,75.8814,45668931,AAPL,74.32251030100953
301,2014-04-22,75.4728,75.9751,75.2144,75.9569,50664453,AAPL,75.01094449312437
302,2014-04-23,75.5799,75.8756,74.9214,74.9642,98735259,AAPL,75.52833750591299
303,2014-04-24,81.1728,81.4285,80.1042,81.1099,189978082,AAPL,75.67525679954339
304,2014-04-25,80.6471,81.7128,80.5656,81.7056,97568814,AAPL,81.24010221998321
305,2014-04-28,81.8285,85.1071,81.7928,84.8699,167371680,AAPL,80.81843801915318
