,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,48.75,50.19,48.72,49.55,7907594,ABBV,48.28339624222069
253,2014-02-11,49.41,49.9675,49.04,49.66,7220444,ABBV,48.56481847551186
254,2014-02-12,49.63,50.93,49.59,50.56,6534491,ABBV,49.37883299006554
255,2014-02-13,50.3,50.52,49.88,50.35,5266042,ABBV,49.66418518751933
256,2014-02-14,50.56,50.91,50.17,50.73,4125072,ABBV,50.23279602443519
257,2014-02-18,50.64,51.56,50.56,51.46,4984888,ABBV,50.50356377274442
258,2014-02-19,51.17,51.86,50.64,51.19,5242787,ABBV,50.68199987450439
259,2014-02-20,51.19,52.11,50.73,51.86,6078933,ABBV,51.09569728038509
260,2014-02-21,51.82,51.97,51.01,51.04,5842724,ABBV,51.184122844985026
261,2014-02-24,51.01,51.56,50.83,50.85,5704236,ABBV,51.84035620403039
262,2014-02-25,50.93,51.13,50.5,50.72,5424996,ABBV,50.98891262344257
263,2014-02-26,49.95,50.97,49.93,50.74,5710741,ABBV,50.99512296692978
264,2014-02-27,50.6,50.92,50.47,50.91,5052972,ABBV,49.85136808097727
265,2014-02-28,50.84,51.96,50.51,50.91,7096343,ABBV,50.659903672901414
266,2014-03-03,50.34,50.86,49.79,50.09,6817656,ABBV,50.75294460375501
267,2014-03-04,50.73,51.725,50.53,51.59,6198289,ABBV,50.52941948395916
268,2014-03-05,51.68,52.12,51.3,51.7,5251165,ABBV,50.62228645248326
269,2014-03-06,52.04,52.77,51.97,52.04,6529013,ABBV,51.58002404155304
270,2014-03-07,52.25,52.5,51.01,51.46,5860736,ABBV,52.12146299245623
271,2014-03-10,51.9,51.9,50.86,51.66,3086027,ABBV,52.26299673388233
272,2014-03-11,51.68,52.139,51.5,51.75,3634594,ABBV,51.843277111988726
273,2014-03-12,51.46,51.74,51.07,51.64,3924773,ABBV,51.682883464722785
274,2014-03-13,51.89,52.1,51.14,51.32,4839437,ABBV,51.424804889300944
275,2014-03-14,51.25,51.42,50.8,51.21,5466682,ABBV,51.899280701990385
276,2014-03-17,51.47,52.19,51.26,51.98,3875485,ABBV,51.28391323660158
277,2014-03-18,52.08,53.22,51.97,53.1,4712266,ABBV,51.508359956964945
278,2014-03-19,53.09,53.53,52.44,53.11,6408622,ABBV,51.9494993253307
279,2014-03-20,52.86,53.8,52.52,53.68,6922666,ABBV,53.14677166654348
280,2014-03-21,54.22,54.73,53.09,53.46,12930499,ABBV,52.88235609209227
281,2014-03-24,53.53,53.62,51.35,51.36,10162405,ABBV,54.16623843843489
282,2014-03-25,51.68,52.1,51.495,51.69,6127187,ABBV,53.464673419421004
283,2014-03-26,52.0,52.34,51.46,51.5,5684946,ABBV,51.89161251740388
284,2014-03-27,51.53,51.84,51.43,51.66,4777964,ABBV,51.76482201560288
285,2014-03-28,51.83,52.13,50.89,50.98,4208320,ABBV,51.499211591245675
286,2014-03-31,51.34,51.7,50.95,51.4,4813095,ABBV,52.07850457399441
287,2014-04-01,51.62,52.38,51.54,52.1,4250829,ABBV,51.28140474097401
288,2014-04-02,52.1,53.41,51.99,53.34,6007236,ABBV,51.680546421647186
