,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,37.17,37.323,36.955,37.16,11207267,ABT,36.875024827587964
253,2014-02-11,37.045,38.0,37.045,37.95,8645614,ABT,37.16510050868914
254,2014-02-12,37.93,38.38,37.891,38.26,8793500,ABT,37.02792201810229
255,2014-02-13,38.07,38.805,38.055,38.72,7253281,ABT,38.1394348842791
256,2014-02-14,38.68,38.98,38.55,38.81,7269587,ABT,37.992918095420016
257,2014-02-18,38.96,39.19,38.8,38.93,6794100,ABT,38.90016605714907
258,2014-02-19,38.74,39.37,38.68,38.76,7093216,ABT,38.9279913566216
259,2014-02-20,38.82,39.09,38.53,38.95,8611905,ABT,38.826661568258096
260,2014-02-21,38.88,39.45,38.79,38.82,8335130,ABT,38.88323495813025
261,2014-02-24,38.865,39.35,38.82,38.98,8104555,ABT,38.89799793679477
262,2014-02-25,38.99,39.52,38.91,39.25,7952172,ABT,38.89666184581607
263,2014-02-26,39.29,39.66,39.03,39.39,8752550,ABT,38.996243426469526
264,2014-02-27,39.35,39.83,39.33,39.79,9189574,ABT,39.32524730176153
265,2014-02-28,39.62,39.98,39.42,39.78,8695830,ABT,39.34994028106177
266,2014-03-03,39.5,39.64,38.833,39.33,11006319,ABT,39.68690963352977
267,2014-03-04,39.74,40.32,39.67,40.12,9460192,ABT,39.46519815188015
268,2014-03-05,40.49,40.49,39.76,39.79,8285234,ABT,39.843821336423865
269,2014-03-06,39.92,40.23,39.73,39.73,6442012,ABT,40.56167141530595
270,2014-03-07,39.84,39.95,39.32,39.57,8630729,ABT,39.822266238481966
271,2014-03-10,39.5,39.89,39.41,39.82,5576312,ABT,39.96630421140962
272,2014-03-11,39.85,40.16,39.65,39.71,5117602,ABT,39.38847289297572
273,2014-03-12,39.44,39.89,39.44,39.66,6933032,ABT,40.00146232701193
274,2014-03-13,39.74,39.82,39.1,39.23,6964453,ABT,39.27351161228579
275,2014-03-14,39.19,39.52,38.91,38.97,7736046,ABT,39.846922703572
276,2014-03-17,39.05,39.58,39.04,39.51,5768991,ABT,39.034651290234436
277,2014-03-18,39.5,39.885,39.48,39.73,5534330,ABT,39.13195504576818
278,2014-03-19,39.73,40.22,39.32,39.45,8679052,ABT,39.47263657132285
279,2014-03-20,39.46,39.64,38.78,38.87,11396612,ABT,39.733950750830054
280,2014-03-21,39.21,39.6,38.36,38.39,21663062,ABT,39.41569490267251
281,2014-03-24,38.66,38.66,38.13,38.43,11078044,ABT,39.21327330653052
282,2014-03-25,38.49,38.7,38.08,38.4,8209588,ABT,38.61825547742855
283,2014-03-26,38.55,39.14,38.39,38.56,8174785,ABT,38.50803597933508
284,2014-03-27,38.55,38.6897,38.13,38.45,7404067,ABT,38.49927086542976
285,2014-03-28,38.58,38.985,38.21,38.31,6251371,ABT,38.5154365072096
286,2014-03-31,38.48,38.58,38.1,38.51,8037950,ABT,38.55035978308783
287,2014-04-01,38.49,38.83,38.23,38.47,5632577,ABT,38.45164568587495
288,2014-04-02,38.12,38.64,38.07,38.58,6340897,ABT,38.50673132489347
289,2014-04-03,38.74,38.75,38.3,38.65,6029613,ABT,38.063203401431664
290,2014-04-04,38.87,39.5,38.6,38.63,7368242,ABT,38.84668355104303
