,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,119.68,120.36,117.9,120.3,3352513,AMGN,116.29016726580656
253,2014-02-11,120.0,121.25,118.85,121.24,2502769,AMGN,119.29821870898758
254,2014-02-12,120.93,122.535,120.8703,122.21,2187545,AMGN,119.63892512760795
255,2014-02-13,121.65,124.16,121.22,124.15,2530134,AMGN,120.88487137122189
256,2014-02-14,123.54,124.3,122.52,123.84,2681557,AMGN,121.37548659729791
257,2014-02-18,124.84,126.32,124.57,124.94,3082110,AMGN,123.34065113612627
258,2014-02-19,124.85,124.9,123.13,123.35,2783059,AMGN,124.55557526458071
259,2014-02-20,123.35,124.31,122.901,123.49,3019980,AMGN,124.82201364850962
260,2014-02-21,123.75,125.5,123.26,123.85,3394951,AMGN,123.51166993142158
261,2014-02-24,124.385,126.59,124.2,125.79,2772570,AMGN,123.83458063869764
262,2014-02-25,125.34,126.22,124.02,124.36,2429830,AMGN,124.24152877969406
263,2014-02-26,123.9,124.23,121.74,121.86,3895729,AMGN,125.24556755283687
264,2014-02-27,121.99,123.9,121.77,123.08,3775396,AMGN,123.94873274191283
265,2014-02-28,124.26,126.95,123.17,124.02,4853628,AMGN,122.34502414552534
266,2014-03-03,122.89,124.18,122.52,123.69,2503868,AMGN,124.13956387083321
267,2014-03-04,125.32,126.06,124.51,126.0,2561520,AMGN,122.80170038108818
268,2014-03-05,126.18,127.15,125.389,126.19,2478251,AMGN,125.27549861072906
269,2014-03-06,126.69,127.42,124.12,124.19,3067544,AMGN,125.69497209472829
270,2014-03-07,125.31,125.9,120.26,122.26,7124965,AMGN,126.74238854132403
271,2014-03-10,122.26,126.1,122.25,125.4,3788733,AMGN,125.35230972803657
272,2014-03-11,125.45,125.6,123.74,124.27,2655286,AMGN,122.73663293214399
273,2014-03-12,122.98,126.0,122.98,125.98,2761051,AMGN,125.34368077333986
274,2014-03-13,126.17,126.35,123.3101,123.96,2436808,AMGN,122.95863644813912
275,2014-03-14,123.4,124.91,122.36,122.54,2215788,AMGN,126.10072887776775
276,2014-03-17,123.12,125.31,122.55,123.86,2576030,AMGN,123.34328106753397
277,2014-03-18,124.5,127.48,124.31,127.47,3255625,AMGN,123.58207491690011
278,2014-03-19,127.99,127.99,125.72,126.58,2599484,AMGN,124.08731950925434
279,2014-03-20,126.16,127.1,125.24,127.05,2311155,AMGN,127.53775472534714
280,2014-03-21,127.05,128.96,122.47,122.93,7101208,AMGN,126.10293756426121
281,2014-03-24,123.27,123.5,118.56,121.28,4448092,AMGN,127.0563642903396
282,2014-03-25,121.74,123.95,119.66,120.63,3863785,AMGN,123.71903920417964
283,2014-03-26,121.23,122.89,120.05,120.11,3843835,AMGN,122.32259992423938
284,2014-03-27,121.31,123.98,120.5,122.29,4553405,AMGN,121.38275535324053
285,2014-03-28,122.27,124.12,120.38,120.55,3245971,AMGN,121.4676208400728
286,2014-03-31,122.5,124.5299,122.194,123.34,4761382,AMGN,122.16088727003118
287,2014-04-01,123.67,126.23,123.51,126.07,3163815,AMGN,122.41215795838069
288,2014-04-02,126.02,127.09,125.02,125.98,2892876,AMGN,123.48183956163237
289,2014-04-03,126.16,127.25,123.13,124.13,3036339,AMGN,125.59483003727598
290,2014-04-04,125.07,125.3799,118.99,119.11,5020559,AMGN,125.98262637250602
291,2014-04-07,118.19,119.74,116.5601,118.82,4813124,AMGN,125.14892785351405
292,2014-04-08,120.17,120.47,117.67,117.98,4181303,AMGN,119.00549700211461
293,2014-04-09,117.94,120.19,117.5,120.0,3442150,AMGN,120.4170495437836
294,2014-04-10,119.87,119.95,113.4,114.11,6202378,AMGN,118.33649157639569
295,2014-04-11,113.27,116.09,111.9,111.94,7262698,AMGN,119.99444846308116
296,2014-04-14,113.0,114.8799,111.39,113.32,5428544,AMGN,114.24926714255514
297,2014-04-15,113.9,115.99,111.4,115.0,4750481,AMGN,113.24492679609872
298,2014-04-16,116.15,116.24,113.73,115.54,3451016,AMGN,113.97539997165256
299,2014-04-17,115.61,117.19,115.02,115.46,3237732,AMGN,115.81864704095727
300,2014-04-21,116.46,117.09,114.64,117.02,2658265,AMGN,115.47431926579738
301,2014-04-22,117.24,119.71,117.05,119.3,4280936,AMGN,116.25210447152413
302,2014-04-23,116.065,116.45,111.51,113.315,10966595,AMGN,117.12593073864781
303,2014-04-24,114.11,114.5,111.79,113.72,6112321,AMGN,116.1656623970265
304,2014-04-25,113.62,113.62,111.3,111.41,4513442,AMGN,114.40321353437086
305,2014-04-28,111.78,112.34,108.2,111.48,6113899,AMGN,113.82985550068813
306,2014-04-29,112.3,112.45,110.67,111.9,4116169,AMGN,112.14208329975183
307,2014-04-30,111.81,112.27,110.41,111.75,4465932,AMGN,112.33316798277055
308,2014-05-01,111.38,113.21,110.81,112.76,3643094,AMGN,111.94728190614003
309,2014-05-02,113.13,113.72,111.67,112.42,4319178,AMGN,111.43709937244381
310,2014-05-05,111.39,113.34,110.86,113.18,2544453,AMGN,112.92904378596579
311,2014-05-06,112.56,113.67,112.2,112.28,3760869,AMGN,111.58780716595233
312,2014-05-07,111.72,112.84,110.78,112.77,2823929,AMGN,112.3843012804104
313,2014-05-08,112.4,113.72,110.57,110.78,4161937,AMGN,111.86688152545783
314,2014-05-09,110.5,111.57,109.41,111.4825,3487770,AMGN,112.28710852683825
315,2014-05-12,111.78,112.73,111.39,111.73,3555431,AMGN,110.79320278513022
316,2014-05-13,111.66,112.18,110.76,110.81,3676843,AMGN,111.62290641314381
317,2014-05-14,111.14,112.48,110.52,112.07,2991454,AMGN,111.72556087611707
318,2014-05-15,112.0,112.3199,109.92,110.29,2785390,AMGN,111.15998696369084
319,2014-05-16,110.86,112.03,110.59,111.94,4193637,AMGN,111.90027855693813
320,2014-05-19,111.24,112.47,110.92,112.08,3655495,AMGN,111.02124328115599
321,2014-05-20,112.8,112.85,111.89,112.22,3234221,AMGN,111.18625705883942
322,2014-05-21,112.08,113.84,111.96,113.49,2805121,AMGN,112.60329212440882
323,2014-05-22,113.18,115.59,113.01,114.86,2582723,AMGN,112.11621440301178
324,2014-05-23,114.99,115.12,113.56,114.33,2815887,AMGN,112.97081387870507
325,2014-05-27,115.73,115.92,114.72,115.89,2514130,AMGN,114.70511517909907
326,2014-05-28,116.1,116.38,115.36,115.67,2261668,AMGN,115.5133695384125
327,2014-05-29,115.77,116.5,115.5,116.0,2123088,AMGN,115.94600767753764
328,2014-05-30,116.57,116.57,115.03,115.99,2251617,AMGN,115.76922984550036
329,2014-06-02,116.72,117.06,115.83,116.45,2741160,AMGN,116.45051289914785
330,2014-06-03,116.45,117.72,116.2,117.12,2474120,AMGN,116.68498135201962
331,2014-06-04,117.5,119.38,117.22,119.15,3051548,AMGN,116.45305531137271
332,2014-06-05,119.34,119.34,117.6,117.74,3115993,AMGN,117.34948914730695
333,2014-06-06,118.82,118.83,117.02,117.82,2559230,AMGN,119.0526343251705
334,2014-06-09,117.47,117.79,116.04,116.4,2900146,AMGN,118.79193632498934
335,2014-06-10,115.76,117.15,115.7,117.1,1912803,AMGN,117.60895660051115
336,2014-06-11,116.96,117.52,115.6,116.34,2178396,AMGN,116.06851885670724
337,2014-06-12,116.14,116.62,115.6101,116.2,1805743,AMGN,116.91492455924954
338,2014-06-13,116.67,116.695,115.3,116.03,1456995,AMGN,116.28692657012911
339,2014-06-16,116.0,116.91,115.725,116.16,2159567,AMGN,116.57211788001206
340,2014-06-17,116.75,116.85,115.67,116.17,2108891,AMGN,116.11227394087797
341,2014-06-18,116.44,117.56,115.5,117.49,2549136,AMGN,116.64131564844892
342,2014-06-19,118.12,118.12,117.18,117.85,2206257,AMGN,116.48888050308247
343,2014-06-20,118.53,121.0,117.83,120.97,6250787,AMGN,117.85239378840217
344,2014-06-23,120.68,120.85,118.5,119.13,2317976,AMGN,118.42990726651986
345,2014-06-24,119.46,120.26,118.341,118.79,2003064,AMGN,120.2854922237686
346,2014-06-25,118.7,120.34,118.28,119.42,2666780,AMGN,119.55537027152907
347,2014-06-26,119.96,119.97,117.48,119.14,2311406,AMGN,118.74357842148771
348,2014-06-27,119.47,119.5,117.5,118.59,3331902,AMGN,119.86311330099467
349,2014-06-30,118.96,119.17,118.2,118.37,2422723,AMGN,119.52787042670793
350,2014-07-01,119.39,120.5,119.05,120.31,2076210,AMGN,118.99634820267167
351,2014-07-02,120.08,121.22,120.0201,121.03,1447029,AMGN,119.37081902273742
352,2014-07-03,121.45,122.85,120.72,122.85,1963370,AMGN,119.98274472774555
353,2014-07-07,121.85,123.11,120.04,120.16,3075707,AMGN,121.2112047268432
354,2014-07-08,119.99,120.98,119.1,119.96,2461211,AMGN,121.71879427146163
355,2014-07-09,120.45,120.62,118.92,119.57,2647622,AMGN,120.17999222886128
356,2014-07-10,118.91,119.2,117.88,118.95,2642494,AMGN,120.43351823725504
357,2014-07-11,120.43,120.8,119.11,119.77,2733159,AMGN,119.19795161404221
358,2014-07-14,120.84,120.86,118.81,118.98,2149725,AMGN,120.2388989053935
359,2014-07-15,118.74,119.47,116.57,116.86,3963117,AMGN,120.80195742614336
360,2014-07-16,117.85,117.85,116.27,117.71,4087077,AMGN,118.96817101134266
361,2014-07-17,116.73,117.17,115.21,115.39,2692241,AMGN,118.03216272415906
362,2014-07-18,116.11,118.68,114.93,118.3,3483921,AMGN,117.02460489458592
363,2014-07-21,117.63,119.34,117.2,119.03,3079901,AMGN,116.28077286505093
364,2014-07-22,119.59,121.27,119.35,121.11,2806123,AMGN,117.48457067363617
365,2014-07-23,121.38,122.39,121.0,122.01,3527538,AMGN,119.30048316230136
366,2014-07-24,122.15,122.36,121.32,122.26,3219699,AMGN,121.00480567840833
367,2014-07-25,121.97,122.88,121.67,122.84,3028901,AMGN,121.88378859068318
368,2014-07-28,122.63,123.05,121.66,122.65,2432016,AMGN,121.85704573700814
369,2014-07-29,122.52,124.39,122.25,123.31,3988149,AMGN,122.48980899089582
370,2014-07-30,128.63,131.2367,128.63,130.01,8472513,AMGN,122.51168624071896
371,2014-07-31,128.39,129.34,127.04,127.39,4841225,AMGN,127.79346189601918
372,2014-08-01,126.17,127.3,124.76,125.55,4543694,AMGN,128.2713796871304
373,2014-08-04,129.0,129.387,126.52,128.65,6403729,AMGN,126.18657704162597
374,2014-08-05,127.51,129.0,126.62,127.88,3749336,AMGN,128.6853629971721
375,2014-08-06,127.26,128.78,126.53,127.09,2578974,AMGN,127.75292746300948
376,2014-08-07,127.41,128.89,125.51,125.75,3065193,AMGN,127.27656821696583
377,2014-08-08,125.22,127.41,125.14,126.95,2209531,AMGN,127.40320110269644
378,2014-08-11,127.86,127.995,126.58,127.32,2532556,AMGN,125.57699592292937
379,2014-08-12,126.22,126.9,125.4,126.32,2324513,AMGN,127.53350462444368
380,2014-08-13,126.65,127.8,126.3,127.34,2534550,AMGN,126.43154475555149
381,2014-08-14,125.2,132.52,124.8105,131.86,6408429,AMGN,126.59846116722379
382,2014-08-15,133.31,133.31,130.0,132.8,4347836,AMGN,125.37853179449493
383,2014-08-18,133.35,133.98,132.37,133.22,3161507,AMGN,132.07660948958053
384,2014-08-19,133.36,133.69,131.8,133.02,1878926,AMGN,133.14326811976701
385,2014-08-20,131.97,133.27,131.85,132.68,1748934,AMGN,133.0231527716335
386,2014-08-21,132.96,133.0099,132.04,132.53,1774291,AMGN,132.16682107600084
387,2014-08-22,132.99,133.46,132.42,132.82,2021241,AMGN,132.90474913219347
388,2014-08-25,133.38,134.93,133.38,134.79,3001705,AMGN,133.02225101778976
389,2014-08-26,134.91,137.67,134.9,137.27,3891242,AMGN,133.26557850524216
390,2014-08-27,137.94,138.57,136.69,137.83,2693200,AMGN,134.66506378666463
391,2014-08-28,137.65,139.38,137.2901,138.69,3902305,AMGN,137.44666741357418
392,2014-08-29,139.45,139.73,138.31,139.38,2362472,AMGN,137.53859522616384
393,2014-09-02,139.62,139.93,137.2,137.96,3290710,AMGN,139.0823533771998
394,2014-09-03,138.53,138.85,137.34,138.58,2729349,AMGN,139.59967098567404
395,2014-09-04,138.74,139.5,137.53,138.01,2981133,AMGN,138.61088120832406
396,2014-09-05,138.22,138.33,135.63,137.88,3357138,AMGN,138.7388444720963
397,2014-09-08,138.0,139.36,137.66,139.27,2512882,AMGN,138.34042272325954
398,2014-09-09,138.66,138.98,137.07,137.39,3122479,AMGN,138.0300527029262
399,2014-09-10,137.39,139.72,137.27,139.19,2330577,AMGN,138.5913767078686
400,2014-09-11,138.53,139.93,137.35,138.96,3620019,AMGN,137.56365109653376
401,2014-09-12,138.51,138.99,136.82,137.89,2329921,AMGN,138.36562916233228
402,2014-09-15,137.57,138.06,136.89,137.97,2175305,AMGN,138.54009441391995
403,2014-09-16,137.32,139.55,136.95,139.33,2401196,AMGN,137.65785843576006
404,2014-09-17,140.0,141.57,138.62,140.71,3944490,AMGN,137.379879634981
405,2014-09-18,140.9,142.16,139.95,142.02,2160429,AMGN,139.65801482078493
406,2014-09-19,142.99,144.46,142.29,144.01,6703386,AMGN,140.7059316947565
407,2014-09-22,143.29,144.02,141.09,142.18,3086856,AMGN,142.56472929838458
408,2014-09-23,141.84,142.4,140.57,140.68,2320925,AMGN,143.18110184868888
409,2014-09-24,140.75,142.48,140.02,142.24,3232186,AMGN,141.95144465583522
410,2014-09-25,142.08,143.03,139.4,139.85,2683678,AMGN,140.91873388372602
411,2014-09-26,140.01,141.19,138.93,141.06,2299897,AMGN,141.9844355391226
412,2014-09-29,139.96,141.5,139.33,140.07,2222410,AMGN,140.31264703978613
413,2014-09-30,140.31,141.58,139.02,140.46,2646822,AMGN,139.96566250530944
414,2014-10-01,140.39,140.78,138.18,138.82,3757591,AMGN,140.3525338602291
415,2014-10-02,138.98,139.77,136.32,137.2,3060874,AMGN,140.3638462169929
416,2014-10-03,138.07,139.71,137.9,139.15,3429021,AMGN,139.17352970468644
417,2014-10-06,138.0725,140.5467,136.98,137.61,3192622,AMGN,138.22917222792577
418,2014-10-07,137.14,137.54,135.98,136.03,2679781,AMGN,138.15025236359125
419,2014-10-08,135.61,140.375,135.4201,140.07,3627597,AMGN,137.29969069280943
420,2014-10-09,139.57,140.19,137.02,137.58,2750605,AMGN,135.841825184484
421,2014-10-10,136.78,140.74,136.78,137.39,5750533,AMGN,139.09010314568891
422,2014-10-13,137.05,137.81,133.52,133.56,6876224,AMGN,137.15395219069313
423,2014-10-14,135.38,135.43,131.93,132.2,3736406,AMGN,136.9358690772553
424,2014-10-15,131.02,131.37,128.6,130.9,4700100,AMGN,135.76113100405996
425,2014-10-16,128.15,130.88,127.67,130.45,7906044,AMGN,131.68860059994864
426,2014-10-17,131.25,139.85,129.5,133.69,7351493,AMGN,128.67060979029176
427,2014-10-20,133.28,137.55,133.01,137.51,6623760,AMGN,131.05239692984506
428,2014-10-21,138.49,145.49,137.01,144.09,8951767,AMGN,133.1031391802213
429,2014-10-22,143.81,144.41,141.67,143.64,5222581,AMGN,137.82178115286365
430,2014-10-23,145.9,148.14,145.24,147.25,4713937,AMGN,143.1689634701305
431,2014-10-24,146.85,147.5,145.52,147.26,5318413,AMGN,145.33033452587455
432,2014-10-27,146.7,148.469,146.11,148.2,4172467,AMGN,146.38912730272244
433,2014-10-28,151.75,157.25,151.47,157.19,11626291,AMGN,146.27864071035023
434,2014-10-29,157.91,159.72,156.91,158.88,7074414,AMGN,151.16811508277124
435,2014-10-30,158.64,161.58,158.16,161.58,3864487,AMGN,157.65811804280665
436,2014-10-31,164.56,164.65,161.42,162.18,7973043,AMGN,158.6822279726444
437,2014-11-03,162.08,162.4099,159.65,161.56,5823845,AMGN,164.3904163539588
438,2014-11-04,160.69,161.99,159.17,160.41,3719005,AMGN,162.58123664058576
