,date,open,high,low,close,volume,Name,outcome
252,2014-02-12,52.62,53.33,52.54,52.85,8110369,BMY,51.69295819736437
253,2014-02-13,52.6,53.5,52.51,53.49,6074717,BMY,52.69739649537744
254,2014-02-14,53.41,54.465,53.4,54.37,8241355,BMY,52.64537118077196
255,2014-02-18,54.24,54.96,54.21,54.63,7657774,BMY,53.507100887826006
256,2014-02-19,54.23,54.62,53.42,53.46,8402458,BMY,54.41099757534663
257,2014-02-20,53.64,53.9,53.44,53.85,12437806,BMY,54.16347732145719
258,2014-02-21,53.41,54.57,53.38,54.14,7107321,BMY,53.58284667104018
259,2014-02-24,54.24,54.77,54.23,54.31,6620924,BMY,53.433167161177366
260,2014-02-25,54.33,54.53,53.63,53.68,7250352,BMY,54.38489150493913
261,2014-02-26,53.64,54.04,53.453,53.57,5898011,BMY,54.271094661220296
262,2014-02-27,53.56,54.1,53.5,53.95,6487365,BMY,53.49498176459484
263,2014-02-28,53.91,54.92,53.4,53.77,7803059,BMY,53.64906500128388
264,2014-03-03,53.17,53.675,52.91,53.49,5198518,BMY,53.976675752473334
265,2014-03-04,53.98,56.74,53.98,56.42,11926668,BMY,52.97307839317532
266,2014-03-05,56.22,57.06,55.52,56.61,8941337,BMY,54.143316404412246
267,2014-03-06,56.43,57.49,55.54,55.56,8018589,BMY,56.60036623105716
268,2014-03-07,55.73,55.91,54.87,55.83,5138372,BMY,56.251130287653424
269,2014-03-10,55.88,56.155,55.21,56.14,4327398,BMY,55.66656173161453
270,2014-03-11,55.99,56.31,55.73,55.83,4736074,BMY,56.0992825781323
271,2014-03-12,55.29,55.35,54.87,55.24,7812574,BMY,55.919142296817995
272,2014-03-13,55.32,55.52,54.125,54.18,8184573,BMY,55.09373725399934
273,2014-03-14,54.16,54.44,53.88,54.0,8054511,BMY,55.426815493634464
274,2014-03-17,54.48,54.9,54.18,54.72,7305584,BMY,53.965820571261396
275,2014-03-18,54.68,54.93,54.28,54.73,5307022,BMY,54.54705329314038
276,2014-03-19,54.9,55.47,54.57,54.74,6697992,BMY,54.73558958246805
277,2014-03-20,54.58,54.58,53.5,53.78,10382325,BMY,54.83186139587219
278,2014-03-21,54.31,54.97,52.06,52.06,17016749,BMY,54.59270262627762
279,2014-03-24,52.21,52.24,50.16,51.04,19823853,BMY,54.28474865169716
