,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,27.385,27.385,27.1025,27.175,13889172,CMCSA,27.15809524042721
253,2014-02-11,27.155,27.525,27.14,27.5,15871728,CMCSA,27.315735657122296
254,2014-02-12,27.615,27.64,27.5125,27.62,16032852,CMCSA,27.157645623498254
255,2014-02-13,26.76,27.145,26.385,26.4825,166551204,CMCSA,27.579275827253
256,2014-02-14,26.505,27.055,26.5,26.85,71679996,CMCSA,26.832402970205777
257,2014-02-18,26.98,26.985,26.595,26.765,40541558,CMCSA,26.646847595827776
258,2014-02-19,26.635,26.685,25.605,25.785,80427040,CMCSA,26.889996962342618
259,2014-02-20,25.89,26.07,25.665,25.88,51477140,CMCSA,26.68574225306085
260,2014-02-21,26.0299,26.0299,25.5,25.525,48105416,CMCSA,26.059651370385467
261,2014-02-24,25.8577,25.93,25.565,25.575,32762746,CMCSA,26.065363060098377
262,2014-02-25,25.63,25.73,25.095,25.385,40888722,CMCSA,25.84419546563641
263,2014-02-26,25.46,25.4615,25.0975,25.34,30516474,CMCSA,25.71114472509978
264,2014-02-27,25.325,25.685,25.25,25.54,35473120,CMCSA,25.488940467768646
265,2014-02-28,25.65,26.0405,25.56,25.845,38390298,CMCSA,25.352839428253894
266,2014-03-03,25.54,25.635,25.305,25.5,33500878,CMCSA,25.6169744703741
267,2014-03-04,25.7,25.795,25.615,25.68,25840062,CMCSA,25.513370838012555
268,2014-03-05,25.685,26.1275,25.565,25.945,33179708,CMCSA,25.7099418893128
269,2014-03-06,26.06,26.16,25.915,26.055,25728450,CMCSA,25.653636670502024
270,2014-03-07,26.16,26.185,25.72,25.815,25983422,CMCSA,26.02548299211862
271,2014-03-10,25.835,25.945,25.655,25.76,19885044,CMCSA,26.10294294752142
272,2014-03-11,25.855,25.88,25.5,25.61,23851502,CMCSA,25.889478223131313
273,2014-03-12,25.5,25.595,25.305,25.49,22210908,CMCSA,25.882986151167373
274,2014-03-13,25.555,25.595,25.085,25.23,30253550,CMCSA,25.529104333562877
275,2014-03-14,25.16,25.3925,25.09,25.32,31715910,CMCSA,25.59644626783254
276,2014-03-17,25.49,25.495,25.305,25.39,25711984,CMCSA,25.184894580421506
277,2014-03-18,25.365,25.365,24.985,25.11,32672432,CMCSA,25.49399368023057
278,2014-03-19,25.105,25.145,24.75,24.94,42753868,CMCSA,25.33012556793249
279,2014-03-20,25.0,25.4725,24.95,25.3025,30960292,CMCSA,25.17844703997243
280,2014-03-21,25.345,25.655,24.955,25.0,47988580,CMCSA,25.023677566511655
281,2014-03-24,25.125,25.25,24.665,25.15,36853986,CMCSA,25.298923378688805
282,2014-03-25,25.175,25.245,24.695,24.835,36882004,CMCSA,25.12066764588824
283,2014-03-26,24.87,25.18,24.785,24.81,38862316,CMCSA,25.20695563357447
284,2014-03-27,24.705,24.795,24.4975,24.55,25188316,CMCSA,24.894102683112056
285,2014-03-28,24.695,24.92,24.505,24.78,31930854,CMCSA,24.764479999680255
286,2014-03-31,24.92,25.195,24.89,25.02,34758188,CMCSA,24.69692312683912
287,2014-04-01,25.17,25.19,24.815,24.965,27944634,CMCSA,24.88766492007986
288,2014-04-02,25.01,25.485,25.01,25.45,31878224,CMCSA,25.116355807763178
289,2014-04-03,25.38,25.655,25.365,25.56,28831592,CMCSA,25.016026072024083
290,2014-04-04,25.59,25.805,25.085,25.09,36551060,CMCSA,25.349954068060967
291,2014-04-07,25.055,25.105,24.32,24.54,43991260,CMCSA,25.51541664307125
292,2014-04-08,24.595,24.595,24.135,24.425,47083076,CMCSA,25.12839875037415
293,2014-04-09,24.39,24.945,24.335,24.895,40873538,CMCSA,24.713419418219083
294,2014-04-10,24.84,24.965,24.195,24.21,38223460,CMCSA,24.433201937964384
295,2014-04-11,24.085,24.35,23.9525,23.98,34034496,CMCSA,24.80278746627049
296,2014-04-14,24.1,24.42,24.05,24.33,32360078,CMCSA,24.142496374284352
297,2014-04-15,24.375,24.475,23.87,24.205,35995504,CMCSA,24.195039633830906
298,2014-04-16,24.375,24.61,24.2455,24.585,41936728,CMCSA,24.30100750527128
299,2014-04-17,24.48,24.75,24.375,24.55,30275600,CMCSA,24.346706390498227
300,2014-04-21,24.695,24.945,24.66,24.94,31715914,CMCSA,24.481493392203998
301,2014-04-22,25.295,25.81,25.25,25.415,73149622,CMCSA,24.652081474610906
302,2014-04-23,25.485,25.71,25.37,25.605,33428542,CMCSA,25.195937274532824
303,2014-04-24,25.675,25.965,25.5625,25.685,33769678,CMCSA,25.413736662351194
304,2014-04-25,25.63,25.7,25.435,25.485,32738598,CMCSA,25.664831102213903
305,2014-04-28,25.765,25.905,25.385,25.85,43184070,CMCSA,25.626509089530582
306,2014-04-29,26.0,26.0,25.6095,25.775,34263824,CMCSA,25.758933419877007
307,2014-04-30,25.765,25.9925,25.66,25.88,30445574,CMCSA,25.957829011887974
308,2014-05-01,25.91,26.055,25.86,26.055,26996322,CMCSA,25.77968455565953
309,2014-05-02,26.21,26.21,25.84,26.015,26765460,CMCSA,25.926570446407055
310,2014-05-05,25.915,26.24,25.865,26.23,27093476,CMCSA,26.147475564072174
311,2014-05-06,26.05,26.165,25.8,25.905,32064590,CMCSA,25.93146990322295
312,2014-05-07,26.015,26.095,25.645,25.87,28597576,CMCSA,26.07863098386036
313,2014-05-08,25.825,25.88,25.39,25.55,37924954,CMCSA,25.990552158082924
314,2014-05-09,25.535,25.5625,25.045,25.5,30732926,CMCSA,25.859520733587534
315,2014-05-12,25.555,25.605,25.2338,25.325,29710680,CMCSA,25.58851971544694
316,2014-05-13,25.425,25.435,25.015,25.055,50113180,CMCSA,25.56647292344851
317,2014-05-14,25.085,25.125,24.84,24.915,31636136,CMCSA,25.421064023407727
318,2014-05-15,24.895,25.175,24.58,25.155,33025946,CMCSA,25.138138785495983
319,2014-05-16,25.11,25.155,24.9175,25.095,25462782,CMCSA,24.93961219815115
320,2014-05-19,25.12,25.47,24.89,25.45,28003482,CMCSA,25.077491463206016
321,2014-05-20,25.395,25.47,25.22,25.325,24989942,CMCSA,25.084899658637
322,2014-05-21,25.3,25.69,25.2625,25.675,25162430,CMCSA,25.375478227948637
323,2014-05-22,25.635,25.995,25.62,25.85,22344854,CMCSA,25.290645356790098
324,2014-05-23,25.935,26.06,25.89,25.985,18252338,CMCSA,25.617083201349367
325,2014-05-27,26.035,26.14,25.925,26.03,18778726,CMCSA,25.867761504874828
326,2014-05-28,26.085,26.085,25.785,25.925,17307254,CMCSA,26.018003108097467
327,2014-05-29,26.03,26.09,25.89,26.035,18987288,CMCSA,26.095110905877796
328,2014-05-30,26.09,26.145,25.92,26.1,21661812,CMCSA,26.040370143531923
329,2014-06-02,26.055,26.38,26.04,26.28,20537090,CMCSA,26.09063933199916
330,2014-06-03,26.18,26.24,26.125,26.16,15599900,CMCSA,26.050712088392274
331,2014-06-04,26.14,26.205,25.9675,26.145,27464910,CMCSA,26.171341038267933
332,2014-06-05,26.22,26.385,26.045,26.355,14680972,CMCSA,26.13317351293545
333,2014-06-06,26.46,26.5,26.195,26.455,18442148,CMCSA,26.221336454923215
334,2014-06-09,26.38,26.61,26.36,26.475,23375732,CMCSA,26.424519206527137
335,2014-06-10,26.475,26.535,26.26,26.44,20496148,CMCSA,26.3743135490118
336,2014-06-11,26.29,26.395,26.27,26.355,20246882,CMCSA,26.487302004088605
337,2014-06-12,26.25,26.395,26.205,26.335,19549364,CMCSA,26.301184622707034
338,2014-06-13,26.325,26.375,26.15,26.235,19548008,CMCSA,26.274101411666848
339,2014-06-16,26.19,26.24,26.055,26.175,14121204,CMCSA,26.308536689060826
340,2014-06-17,26.14,26.175,26.0,26.1,15988314,CMCSA,26.19522361242699
341,2014-06-18,26.135,26.385,25.995,26.33,19601734,CMCSA,26.161724636949153
342,2014-06-19,26.325,26.48,26.25,26.47,18794216,CMCSA,26.131525625440954
343,2014-06-20,26.635,26.635,26.2975,26.37,34834578,CMCSA,26.29829213284838
344,2014-06-23,26.385,26.385,26.18,26.215,15939874,CMCSA,26.58351618687124
345,2014-06-24,26.22,26.5,26.12,26.32,23433720,CMCSA,26.40102889495837
346,2014-06-25,26.33,26.675,26.23,26.605,26891660,CMCSA,26.281313641496507
347,2014-06-26,26.59,26.82,26.525,26.8,18776616,CMCSA,26.318012937788772
348,2014-06-27,26.84,27.13,26.765,27.065,32415932,CMCSA,26.537854510177503
349,2014-06-30,26.95,26.95,26.785,26.84,31397874,CMCSA,26.79338810443458
350,2014-07-01,26.93,27.17,26.845,27.055,22481366,CMCSA,26.932885295652593
351,2014-07-02,27.1,27.3,27.02,27.2775,18373856,CMCSA,26.940587249236817
352,2014-07-03,27.37,27.485,27.255,27.45,15269828,CMCSA,27.093031340679506
353,2014-07-07,27.275,27.375,26.93,27.09,22482730,CMCSA,27.328043073242767
354,2014-07-08,26.96,27.11,26.625,26.655,29228448,CMCSA,27.274400920242368
355,2014-07-09,26.78,27.37,26.705,27.365,31707902,CMCSA,27.021408354043306
356,2014-07-10,27.16,27.39,27.04,27.1775,20308796,CMCSA,26.82424275849283
357,2014-07-11,27.155,27.32,27.0825,27.275,14109050,CMCSA,27.116609633916504
358,2014-07-14,27.395,27.625,27.185,27.525,27396484,CMCSA,27.106308152991428
359,2014-07-15,27.43,27.585,27.295,27.445,19715390,CMCSA,27.38652574332377
360,2014-07-16,27.555,27.765,27.44,27.525,37157848,CMCSA,27.407901581558452
361,2014-07-17,27.265,27.58,27.0475,27.1,30708988,CMCSA,27.5537916813046
362,2014-07-18,27.37,27.37,27.11,27.27,23198030,CMCSA,27.29097372183839
363,2014-07-21,27.06,27.23,26.75,26.91,35371210,CMCSA,27.390237003544417
364,2014-07-22,27.375,27.62,27.11,27.315,31778144,CMCSA,27.072415378336586
365,2014-07-23,27.265,27.5,27.125,27.355,26712286,CMCSA,27.36491899897783
366,2014-07-24,27.48,27.625,27.355,27.565,26207604,CMCSA,27.239701405031806
367,2014-07-25,27.57,27.605,27.115,27.195,19935336,CMCSA,27.472644922476086
368,2014-07-28,27.26,27.41,27.0425,27.365,17571690,CMCSA,27.543515557495915
369,2014-07-29,27.645,28.245,27.47,27.495,36491796,CMCSA,27.297516652937336
370,2014-07-30,27.595,27.725,27.46,27.705,25923096,CMCSA,27.63004405154997
371,2014-07-31,27.495,27.525,26.8125,26.865,30528858,CMCSA,27.556077543976205
372,2014-08-01,26.77,26.94,26.575,26.695,19903332,CMCSA,27.52775063261917
373,2014-08-04,26.7,27.04,26.7,26.925,21853230,CMCSA,26.86934542022638
374,2014-08-05,26.93,26.93,26.455,26.59,27338966,CMCSA,26.760374284300983
375,2014-08-06,26.485,26.7,26.3942,26.45,20068938,CMCSA,26.877664255997484
376,2014-08-07,26.555,26.595,26.2602,26.34,23479634,CMCSA,26.502482429478206
377,2014-08-08,26.345,26.78,26.345,26.75,23684772,CMCSA,26.59007401057807
378,2014-08-11,26.79,27.09,26.7675,26.875,15617036,CMCSA,26.34560538689865
