,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,114.04,114.1,112.58,113.85,1871796,COST,113.92709160243932
253,2014-02-11,113.91,115.15,113.5,114.99,1778347,COST,114.15035151502485
254,2014-02-12,114.88,115.43,114.3,114.81,1737694,COST,113.90838059434999
255,2014-02-13,114.14,115.93,114.14,115.81,1587102,COST,114.78624071680267
256,2014-02-14,115.16,116.49,114.5,116.1,1520003,COST,114.11933555813256
257,2014-02-18,116.3,116.41,114.92,115.36,2062002,COST,115.16736233830233
258,2014-02-19,115.11,115.3,114.27,114.91,1804724,COST,116.16760801272522
259,2014-02-20,114.57,115.55,113.88,115.06,1837090,COST,115.17253923889434
260,2014-02-21,115.4,115.49,112.92,113.19,3659545,COST,114.69002462638505
261,2014-02-24,113.46,114.81,113.2,113.94,2285392,COST,115.29273836355948
262,2014-02-25,114.0,115.887,114.0,115.46,1935430,COST,113.50604513633236
263,2014-02-26,115.5,116.83,115.37,115.88,1926823,COST,114.1203695615592
264,2014-02-27,116.03,116.42,115.28,116.22,1374462,COST,115.28232959946887
265,2014-02-28,116.5,117.47,115.89,116.8,2106177,COST,115.97807852926462
266,2014-03-03,116.22,117.07,115.11,115.75,1666961,COST,116.56767715126973
267,2014-03-04,116.61,116.91,115.85,116.65,1810584,COST,116.1879288294962
268,2014-03-05,116.57,116.95,115.81,116.47,2320202,COST,116.57243674364354
269,2014-03-06,113.15,114.64,112.27,113.26,8925347,COST,116.51780388385279
270,2014-03-07,113.8,114.01,113.1401,113.5,2906694,COST,113.35048829803281
271,2014-03-10,113.21,114.59,113.0,114.59,2325219,COST,113.91521109915979
272,2014-03-11,114.56,114.75,113.92,114.71,2201836,COST,113.03430054091965
273,2014-03-12,114.39,115.62,114.25,115.21,2177956,COST,114.62300602242041
274,2014-03-13,115.66,115.79,114.1901,114.41,2519618,COST,114.41331889865069
275,2014-03-14,114.95,114.95,113.325,113.45,2293362,COST,115.61487143168283
276,2014-03-17,114.14,114.46,113.39,113.46,2190456,COST,114.94589514869149
277,2014-03-18,113.9,114.12,113.02,113.85,2501020,COST,114.20353175748339
278,2014-03-19,113.54,114.25,112.46,112.85,1635636,COST,113.89433779469883
279,2014-03-20,112.56,113.2196,112.131,113.16,1408202,COST,113.51221741895284
280,2014-03-21,114.41,114.58,113.3,113.83,4442274,COST,112.68154654344978
281,2014-03-24,113.99,114.0,112.89,113.37,2501669,COST,114.35377263187397
282,2014-03-25,113.82,114.46,113.792,113.93,2202127,COST,113.95170215525974
283,2014-03-26,114.28,114.47,112.46,112.49,1912278,COST,113.95207720613236
284,2014-03-27,112.5,112.94,111.82,112.03,2042713,COST,114.23003100240642
285,2014-03-28,112.35,112.785,111.15,111.66,2795496,COST,112.5396203556306
286,2014-03-31,111.94,112.282,111.57,111.68,2119603,COST,112.46339620133529
287,2014-04-01,112.21,112.55,111.51,111.86,2566752,COST,111.90272260327752
288,2014-04-02,111.9,112.01,110.94,111.55,3291664,COST,112.24814513962859
289,2014-04-03,111.74,112.15,111.28,111.7,2329649,COST,111.98996855866292
290,2014-04-04,111.95,111.9999,110.63,110.65,2722053,COST,111.79242262763759
291,2014-04-07,110.73,111.13,110.36,110.789,3119749,COST,111.93815042542171
292,2014-04-08,110.56,112.74,110.38,112.66,3863906,COST,110.80635366940645
293,2014-04-09,112.72,113.14,112.11,113.05,2899623,COST,110.63696639498515
294,2014-04-10,114.12,114.44,111.94,112.08,3305094,COST,112.52515509545015
295,2014-04-11,111.44,112.78,111.4,112.08,3098466,COST,113.98129522477564
296,2014-04-14,112.49,113.0,111.53,112.56,2518969,COST,111.69197819555681
297,2014-04-15,112.58,112.96,111.45,112.06,2130181,COST,112.53337342070083
298,2014-04-16,112.8,113.64,112.27,113.49,2455027,COST,112.27410248438677
299,2014-04-17,113.52,114.03,113.12,113.5,1659126,COST,112.8212320671882
300,2014-04-21,113.51,114.1,113.4,114.1,1826836,COST,113.5391213820773
301,2014-04-22,114.0,114.23,113.51,113.56,2315142,COST,113.43214549109273
302,2014-04-23,113.48,114.99,113.33,114.79,1999296,COST,113.97470736527208
303,2014-04-24,114.9,115.31,114.14,115.03,1939330,COST,113.46351045622798
304,2014-04-25,114.85,115.3,114.2,115.01,1721552,COST,114.79434792765493
305,2014-04-28,115.1,116.61,115.1,115.59,3018758,COST,114.75485942987814
306,2014-04-29,115.38,115.9496,115.16,115.4,1580555,COST,115.12319377516394
307,2014-04-30,115.04,115.755,114.76,115.68,1633995,COST,115.32271826446787
308,2014-05-01,115.68,116.0,114.94,115.56,1167950,COST,115.00615365473712
309,2014-05-02,116.14,116.14,115.06,115.15,1321116,COST,115.64677385057837
310,2014-05-05,115.06,115.06,113.93,114.49,1397980,COST,116.04278144542353
311,2014-05-06,114.28,114.49,112.77,112.83,1945691,COST,115.14944469083648
312,2014-05-07,112.83,113.086,111.61,111.98,2951813,COST,114.40509322698355
313,2014-05-08,113.08,114.82,112.97,114.73,2557564,COST,112.90079907272288
314,2014-05-09,114.55,115.67,114.3,115.39,1954566,COST,113.11988303200204
315,2014-05-12,115.78,116.91,115.581,116.51,1940724,COST,114.4536430384251
316,2014-05-13,116.32,116.6,116.08,116.29,1229433,COST,115.71627577185843
317,2014-05-14,115.73,116.1,114.86,115.13,1255293,COST,116.30819883530822
318,2014-05-15,114.76,114.8,113.62,114.35,1890968,COST,115.69406041406322
319,2014-05-16,114.58,115.82,114.36,115.61,2146282,COST,114.74591442461082
320,2014-05-19,115.09,116.55,114.87,116.37,2212762,COST,114.55376396276526
321,2014-05-20,115.79,116.11,114.98,115.13,2127085,COST,115.05560797686174
322,2014-05-21,115.1,115.32,114.16,114.52,1712718,COST,115.78418591866513
323,2014-05-22,114.53,115.0,114.4,114.73,1059931,COST,115.16307107597724
324,2014-05-23,115.07,115.1499,114.51,114.94,1103053,COST,114.59909083442429
325,2014-05-27,115.0,115.22,113.62,113.87,2583867,COST,115.00300623569458
326,2014-05-28,114.0,114.95,113.956,114.24,2391409,COST,114.9729653737948
327,2014-05-29,114.58,115.19,113.51,114.14,2976908,COST,114.13405235091798
328,2014-05-30,114.61,116.09,114.01,116.02,2622386,COST,114.59313652489037
329,2014-06-02,115.84,116.14,115.54,115.68,1085483,COST,114.54005406598264
330,2014-06-03,115.47,116.0,115.27,115.51,1127418,COST,115.8087802075766
331,2014-06-04,115.29,116.49,115.2701,116.31,1297837,COST,115.43896914460635
332,2014-06-05,117.0,117.94,116.7201,117.75,2614252,COST,115.31639149123363
333,2014-06-06,117.69,118.24,117.581,118.23,1669550,COST,116.82477149032462
334,2014-06-09,118.21,118.85,117.473,117.78,1623136,COST,117.51501194273578
335,2014-06-10,117.37,117.73,116.9,117.1,1089123,COST,118.18756992772117
336,2014-06-11,116.46,116.94,115.98,116.24,1117146,COST,117.33958115765621
337,2014-06-12,116.13,116.43,115.07,115.44,1427319,COST,116.48976267575814
338,2014-06-13,115.7,115.7,114.67,115.3,1230071,COST,116.14649576056192
339,2014-06-16,115.32,115.46,114.95,115.43,1503081,COST,115.75785146372851
340,2014-06-17,115.4,115.79,115.14,115.45,1505805,COST,115.43498799476035
341,2014-06-18,115.66,116.34,115.07,116.27,2113173,COST,115.45627496513629
342,2014-06-19,116.57,116.58,115.78,116.26,1635755,COST,115.66540703479482
343,2014-06-20,116.65,116.65,115.09,115.36,2966299,COST,116.53235920728235
344,2014-06-23,115.2,115.32,114.51,115.22,1509532,COST,116.60721713916998
345,2014-06-24,115.53,116.51,115.08,116.31,1906557,COST,115.28248539482765
346,2014-06-25,116.0,116.45,115.68,116.27,1188720,COST,115.54196645622137
347,2014-06-26,116.24,116.5,115.28,115.64,1252089,COST,115.89804094507036
348,2014-06-27,115.63,115.75,115.01,115.49,2477302,COST,116.2665180104249
349,2014-06-30,115.62,116.09,115.1,115.16,1389991,COST,115.6919017654533
350,2014-07-01,115.54,115.7,114.9,115.44,1501715,COST,115.62833704129142
351,2014-07-02,115.25,115.91,115.25,115.75,1122270,COST,115.51322011641832
352,2014-07-03,115.86,116.59,115.8,116.35,976048,COST,115.29339531132088
353,2014-07-07,116.33,116.49,115.88,116.32,1576930,COST,115.85782487521554
354,2014-07-08,116.45,117.65,116.11,117.46,2584447,COST,116.26352411033845
355,2014-07-09,117.21,117.99,117.11,117.92,2328158,COST,116.43619098460402
356,2014-07-10,117.5,118.64,117.5,118.08,2266386,COST,117.14108293394746
357,2014-07-11,118.13,118.25,117.09,118.01,1684853,COST,117.39539897721987
358,2014-07-14,118.21,118.49,117.3,117.36,1703089,COST,118.06306353921174
359,2014-07-15,118.16,118.25,117.18,117.82,2637139,COST,118.13369619587931
360,2014-07-16,118.09,118.44,117.66,117.85,1531201,COST,118.12903141529158
361,2014-07-17,117.35,117.54,116.58,116.79,1436645,COST,118.06026097320564
362,2014-07-18,117.32,117.8,116.61,117.7399,2156182,COST,117.3745089659806
363,2014-07-21,117.43,117.91,116.86,117.04,1340803,COST,117.36370849707129
364,2014-07-22,117.28,118.04,117.1,117.55,1768971,COST,117.4205229568684
365,2014-07-23,117.41,117.76,117.27,117.59,1155161,COST,117.31924087680143
366,2014-07-24,117.5,118.28,117.46,118.14,1352474,COST,117.43790719190223
367,2014-07-25,117.96,118.03,117.07,117.55,1549356,COST,117.48078916677075
368,2014-07-28,117.44,117.66,116.81,117.12,1402633,COST,117.93161477178433
369,2014-07-29,118.93,119.6,118.53,118.9,2545375,COST,117.44543843346771
370,2014-07-30,118.79,119.07,117.44,118.18,2032545,COST,118.86177991058175
371,2014-07-31,117.54,118.34,117.28,117.54,2477018,COST,118.68392434315307
372,2014-08-01,117.8,118.33,117.46,117.88,2089466,COST,117.65817128479542
373,2014-08-04,117.55,118.38,117.11,118.15,1683789,COST,117.80401997734677
374,2014-08-05,117.5,118.2,117.29,118.05,1798588,COST,117.4889417310074
375,2014-08-06,117.95,119.97,117.8,119.59,2859824,COST,117.58735703240102
376,2014-08-07,118.22,118.998,117.47,117.8,2698210,COST,117.94965654967844
377,2014-08-08,117.96,119.4,117.8101,119.16,2329870,COST,118.1781800492993
378,2014-08-11,119.4,119.51,118.7,119.18,1232987,COST,117.97801327020909
379,2014-08-12,118.77,119.27,118.551,119.01,1082111,COST,119.30559880733742
380,2014-08-13,119.0,119.1,118.25,118.64,1449617,COST,118.69301230581445
381,2014-08-14,118.51,119.2715,118.3104,119.26,1067902,COST,119.04687879601063
382,2014-08-15,119.91,119.95,117.78,118.57,2025928,COST,118.45949465237051
383,2014-08-18,119.0,119.675,118.95,119.46,1240085,COST,119.81765596589732
384,2014-08-19,119.38,120.75,119.24,120.61,1708885,COST,118.99796806904614
385,2014-08-20,120.45,121.23,120.09,120.91,1287408,COST,119.42792651863316
386,2014-08-21,120.79,121.88,120.72,121.62,1552235,COST,120.29592392300108
387,2014-08-22,121.9,122.06,121.15,121.29,1404965,COST,120.6929842534616
388,2014-08-25,121.79,122.0,121.12,121.39,1100081,COST,121.83572012653008
389,2014-08-26,121.43,121.59,120.86,121.09,1393169,COST,121.68221027838771
390,2014-08-27,121.58,121.58,120.83,121.24,1028157,COST,121.42222370473318
391,2014-08-28,121.01,121.25,120.7,120.97,804362,COST,121.52479028043389
392,2014-08-29,121.68,121.68,120.58,121.08,1047332,COST,121.00157293464608
393,2014-09-02,121.0,121.63,120.9,121.56,1469943,COST,121.68540024785048
394,2014-09-03,121.7,121.94,121.11,121.35,1903538,COST,121.01178136279268
395,2014-09-04,123.0,125.17,122.56,125.15,4448617,COST,121.71286916788942
396,2014-09-05,125.04,127.03,124.71,127.01,2915411,COST,122.8480325817732
397,2014-09-08,127.05,127.32,126.26,126.6,2057440,COST,124.85859658304531
398,2014-09-09,126.14,126.49,125.74,126.11,1500831,COST,126.87140326813909
399,2014-09-10,126.31,126.49,125.87,126.17,1014919,COST,126.04191523437183
400,2014-09-11,126.16,126.5256,125.643,125.94,1511168,COST,126.23183793751961
401,2014-09-12,126.25,126.25,125.02,125.37,1598290,COST,125.98481388044713
402,2014-09-15,125.57,126.53,125.45,125.71,1615345,COST,126.23429720453962
403,2014-09-16,125.6,126.79,125.52,126.43,1684380,COST,125.62613566920524
404,2014-09-17,126.03,126.56,125.67,126.01,1593995,COST,125.63011416299119
405,2014-09-18,126.21,126.8,125.9571,126.48,1401530,COST,125.99547585765038
406,2014-09-19,127.29,127.29,126.47,126.5,3018637,COST,126.20926951596303
407,2014-09-22,126.37,126.5,125.58,125.83,1453733,COST,127.24899965535559
408,2014-09-23,125.96,125.99,125.21,125.51,1563097,COST,126.35779213908572
409,2014-09-24,126.09,127.78,125.58,127.62,2076388,COST,126.01577965730694
410,2014-09-25,127.45,127.55,125.6,125.66,1819936,COST,126.03141028940907
411,2014-09-26,125.41,125.67,124.381,125.54,2045330,COST,127.36814100064412
412,2014-09-29,125.03,125.6,124.78,125.32,1170981,COST,125.52926938469743
413,2014-09-30,124.86,125.6,124.77,125.32,1666455,COST,125.17681462654213
414,2014-10-01,125.25,125.68,124.45,124.76,1411317,COST,124.80777053111166
415,2014-10-02,124.99,126.21,124.82,125.79,1545842,COST,125.26163400806115
416,2014-10-03,126.2,127.65,126.01,127.09,1770671,COST,125.07384242173305
417,2014-10-06,127.56,127.67,125.93,126.21,1907467,COST,126.1612437748402
418,2014-10-07,125.35,125.83,124.75,125.27,2335221,COST,127.41286578696531
419,2014-10-08,128.2,128.95,127.16,128.73,4266976,COST,125.42989271323847
420,2014-10-09,128.22,130.74,128.19,128.41,2963699,COST,128.0573131220873
421,2014-10-10,128.26,131.41,128.26,128.9,3353581,COST,127.94537332719285
422,2014-10-13,128.57,128.85,126.89,126.97,2446184,COST,128.33966779374407
423,2014-10-14,127.5,127.98,125.27,126.25,4003560,COST,128.51156385182648
424,2014-10-15,125.1,125.7,123.28,124.3,3784798,COST,127.47392101296022
425,2014-10-16,122.68,123.85,122.05,122.95,3543012,COST,125.32557765782124
426,2014-10-17,123.77,125.75,123.18,124.65,3199186,COST,122.87661389689731
427,2014-10-20,124.83,128.87,124.65,128.42,3506170,COST,123.80831500981994
428,2014-10-21,128.94,130.65,128.17,130.28,2105624,COST,124.86927168547703
429,2014-10-22,130.56,131.59,130.32,130.54,1879960,COST,128.99035674622712
430,2014-10-23,131.03,131.48,130.35,130.59,1763755,COST,130.40915111905667
431,2014-10-24,128.58,130.54,128.56,130.44,2490256,COST,130.7615319094867
432,2014-10-27,129.24,131.2599,129.24,130.92,1629582,COST,128.1688107868353
433,2014-10-28,130.97,131.5,130.16,131.06,1439800,COST,128.85540846415105
434,2014-10-29,131.29,132.0,130.93,131.93,1705814,COST,130.7976839106439
435,2014-10-30,131.5,133.31,131.33,133.0,1302063,COST,131.32968682922396
436,2014-10-31,134.45,134.5,132.71,133.37,2373896,COST,131.51897257510583
437,2014-11-03,133.82,134.29,133.37,134.27,1949226,COST,134.15887036955218
438,2014-11-04,134.61,136.72,133.99,136.55,2802823,COST,133.5718879890839
439,2014-11-05,137.49,137.81,136.03,136.5,2116797,COST,134.52426027262962
440,2014-11-06,137.39,137.67,136.6,137.09,1685940,COST,137.1417125069132
441,2014-11-07,137.05,137.9094,136.5201,137.71,1589448,COST,137.1397565905921
442,2014-11-10,137.85,137.89,135.98,137.69,1958039,COST,137.06359629104065
443,2014-11-11,137.78,137.95,136.6599,137.05,1495574,COST,137.60182212989844
444,2014-11-12,136.7,137.35,136.1537,136.9,1910222,COST,137.57305494624995
445,2014-11-13,137.64,138.76,137.34,138.71,2235941,COST,136.7756677997374
446,2014-11-14,138.93,138.93,138.0701,138.48,1598624,COST,137.62258126656985
447,2014-11-17,137.21,138.5,137.21,138.47,1228116,COST,138.7824048007003
448,2014-11-18,138.48,139.34,138.04,139.21,1574757,COST,137.29791467532817
449,2014-11-19,139.09,140.1435,139.09,140.01,1362597,COST,138.53898150531285
450,2014-11-20,139.06,140.01,139.02,139.25,1518294,COST,138.8302074365092
451,2014-11-21,140.8,140.83,139.23,139.72,1849219,COST,139.0657153361032
452,2014-11-24,139.33,139.99,139.19,139.8,1645815,COST,140.77344216366978
453,2014-11-25,140.1,140.35,138.74,138.87,1865793,COST,139.19499419977888
454,2014-11-26,139.5,140.88,139.04,139.75,1631937,COST,140.11984692214222
455,2014-11-28,141.3,142.9699,140.308,142.12,1442598,COST,139.35703329248915
456,2014-12-01,143.32,143.32,141.27,141.98,1952149,COST,141.22195199156934
457,2014-12-02,142.43,143.349,141.76,143.06,1765406,COST,143.18194563763603
458,2014-12-03,142.98,143.3,141.98,142.69,1795877,COST,142.41219150575367
459,2014-12-04,143.49,143.49,142.02,143.02,1324093,COST,142.92839847104747
460,2014-12-05,143.18,143.31,141.961,143.25,1198018,COST,143.19544020936033
461,2014-12-08,143.05,143.05,141.95,142.33,1946175,COST,143.13755028081079
462,2014-12-09,142.13,143.13,140.88,143.04,2094901,COST,143.0879834424265
463,2014-12-10,144.94,146.82,139.4,140.25,4919143,COST,142.1084405390746
464,2014-12-11,141.09,142.68,140.67,141.41,2401295,COST,144.8290329191168
465,2014-12-12,139.99,141.36,137.83,137.88,3672019,COST,141.27083948085618
466,2014-12-15,138.65,139.5,137.06,138.19,2456713,COST,140.33440341042802
467,2014-12-16,138.53,139.3,136.55,137.31,2470072,COST,138.5973816622386
468,2014-12-17,137.31,139.62,136.78,139.33,2428540,COST,138.65239436615263
469,2014-12-18,140.18,141.56,139.29,141.56,2903401,COST,137.64551846629217
470,2014-12-19,141.5,142.5,141.33,141.77,4029974,COST,140.1897354002765
471,2014-12-22,142.34,143.27,141.85,143.21,1776902,COST,141.44360311556684
472,2014-12-23,144.53,144.97,143.67,144.15,1464516,COST,142.35951868531419
473,2014-12-24,144.56,144.865,143.6,143.65,738668,COST,144.33242395571716
474,2014-12-26,143.61,143.87,143.08,143.44,1233068,COST,144.21101942128232
475,2014-12-29,143.35,143.85,142.74,143.34,1364395,COST,143.52463494485914
476,2014-12-30,143.0,144.09,143.0,143.49,1158803,COST,143.1667248043149
477,2014-12-31,143.49,144.13,141.69,141.75,1485064,COST,142.8195966774035
478,2015-01-02,141.87,143.15,140.814,141.61,1471736,COST,143.52989828791064
479,2015-01-05,141.69,142.16,139.8,140.0,1751693,COST,142.03604210484696
480,2015-01-06,140.61,142.94,139.85,141.85,3187950,COST,141.78390819195
481,2015-01-07,142.6,144.43,142.36,144.32,2171551,COST,140.64321059864278
482,2015-01-08,145.56,146.1,144.94,145.56,2937674,COST,142.56780853872232
483,2015-01-09,144.48,145.05,143.22,143.32,1727049,COST,145.5153786826169
484,2015-01-12,143.58,144.16,142.12,142.52,1344803,COST,144.56032861405498
485,2015-01-13,142.2,144.41,140.39,141.09,2200910,COST,143.62270995525571
486,2015-01-14,140.01,140.21,138.24,139.31,2208252,COST,141.9261478843413
487,2015-01-15,139.95,140.17,138.62,139.31,1821110,COST,139.9857778215528
