,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,112.47,112.47,111.08,111.69,9251748,CVX,111.96529270937691
253,2014-02-11,112.03,113.87,111.95,113.58,6880829,CVX,112.43449105952108
254,2014-02-12,112.89,112.89,111.81,112.03,6436077,CVX,112.31696904465319
255,2014-02-13,111.73,112.74,111.18,112.51,5064114,CVX,112.94982660713923
256,2014-02-14,112.58,113.83,111.59,113.48,6787514,CVX,111.52034302735345
257,2014-02-18,113.86,114.11,112.6,112.71,6111613,CVX,112.80161905137992
258,2014-02-19,112.55,115.05,112.47,113.6,7993616,CVX,113.71444037625295
259,2014-02-20,113.51,115.33,113.1,114.6,8408726,CVX,112.6684475065554
260,2014-02-21,114.72,114.74,112.6,112.68,9222025,CVX,113.71509868376953
261,2014-02-24,113.37,115.0,113.05,114.15,7348553,CVX,114.4864562776573
262,2014-02-25,114.37,115.435,114.24,114.97,5976339,CVX,113.53572044078248
263,2014-02-26,114.82,115.86,114.4,115.51,6114023,CVX,114.57627717403442
264,2014-02-27,115.66,115.82,114.56,115.69,4923905,CVX,114.49873255937251
265,2014-02-28,115.87,116.74,114.81,115.33,6947143,CVX,116.00085598851857
266,2014-03-03,114.79,116.19,114.26,114.84,6046576,CVX,115.863829130932
267,2014-03-04,115.89,116.27,115.26,115.32,5612688,CVX,114.83825027689112
268,2014-03-05,115.08,115.26,114.01,114.43,6704008,CVX,115.95180476668224
269,2014-03-06,114.71,115.15,114.35,114.85,5179876,CVX,114.83355306730236
270,2014-03-07,115.07,115.95,114.64,115.08,5055612,CVX,114.9792066911953
271,2014-03-10,115.45,115.94,114.12,115.84,6203531,CVX,114.845036835887
272,2014-03-11,115.9,116.23,114.24,114.51,6274518,CVX,115.48476728021588
273,2014-03-12,114.14,116.36,114.13,115.65,6821466,CVX,116.0006961781346
274,2014-03-13,115.6,115.75,114.12,114.45,5405112,CVX,114.0629594258145
275,2014-03-14,114.36,114.9,113.68,114.1,6290005,CVX,115.73866791650596
276,2014-03-17,114.26,115.29,114.13,115.07,5895674,CVX,113.99310592041402
277,2014-03-18,115.62,116.555,115.2,116.24,6329618,CVX,114.6312583992677
278,2014-03-19,115.88,116.74,114.66,115.2,5569641,CVX,115.30723124076607
279,2014-03-20,114.85,116.08,114.3207,115.51,5280578,CVX,115.98436933700566
280,2014-03-21,116.29,118.0,115.58,115.63,14894127,CVX,115.03945462243931
281,2014-03-24,116.0,116.69,115.654,115.85,5386996,CVX,116.28835072725948
282,2014-03-25,116.23,117.19,116.21,117.09,5573789,CVX,115.78732566838998
283,2014-03-26,117.8,118.28,117.36,117.71,5972009,CVX,116.56176454280372
284,2014-03-27,117.75,117.99,116.83,117.67,5224576,CVX,117.67836689317737
285,2014-03-28,118.13,118.55,117.7,118.5,5875099,CVX,117.81250593079623
286,2014-03-31,118.79,119.62,118.485,118.91,5482812,CVX,118.4065696155702
287,2014-04-01,119.15,119.6099,118.84,119.0,5391435,CVX,118.68162304088895
288,2014-04-02,118.52,119.54,118.52,119.35,4505159,CVX,119.2427827537655
289,2014-04-03,119.78,119.79,118.885,119.04,4448768,CVX,118.59224198339855
290,2014-04-04,119.75,119.75,118.59,118.8,5301335,CVX,119.83466639566298
291,2014-04-07,118.32,118.82,117.34,117.34,5241259,CVX,119.6065697883163
292,2014-04-08,117.66,118.31,117.178,117.8,4711840,CVX,118.56420442670127
293,2014-04-09,117.83,119.25,117.59,119.1,5377587,CVX,117.5538374524186
294,2014-04-10,117.1999,118.06,116.55,116.69,8769453,CVX,117.57602383148259
295,2014-04-11,116.5,117.73,116.5,117.03,7028942,CVX,117.15759520891777
296,2014-04-14,117.84,118.83,117.34,118.7,6819190,CVX,116.56500599064968
297,2014-04-15,118.71,120.31,118.34,120.3,7681867,CVX,117.76011351011412
298,2014-04-16,120.9,122.115,120.9,121.83,7277495,CVX,118.63525608181118
299,2014-04-17,121.72,123.85,121.72,123.68,8604891,CVX,121.29182340708714
300,2014-04-21,123.05,124.4,123.05,124.24,6351118,CVX,121.82389481355091
301,2014-04-22,123.87,124.3494,123.61,124.0,5851778,CVX,123.44031595773967
302,2014-04-23,124.19,124.96,124.19,124.69,5596357,CVX,123.91084034645255
303,2014-04-24,124.84,124.92,124.14,124.3,5185910,CVX,124.37767250506279
304,2014-04-25,124.23,124.7,123.5801,123.99,5778653,CVX,124.93279344138892
305,2014-04-28,124.26,126.06,124.25,125.73,7687848,CVX,124.19347856620114
306,2014-04-29,125.92,127.27,125.76,125.97,6666828,CVX,124.34201367556261
