,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,75.67,77.305,75.57,77.06,8785647,DIS,75.04233638112602
253,2014-02-11,77.15,77.92,77.11,77.79,8186408,DIS,76.02839117278644
254,2014-02-12,77.66,78.01,77.64,77.91,6329539,DIS,77.0805647757039
255,2014-02-13,77.52,78.24,77.2,77.9,5955510,DIS,77.65623083093175
256,2014-02-14,77.88,79.47,77.77,79.23,7002635,DIS,77.71347798647162
257,2014-02-18,79.5,80.0,79.43,79.58,6140692,DIS,77.97569954054876
258,2014-02-19,79.5,79.78,78.8,78.87,7024022,DIS,79.48376694548594
259,2014-02-20,79.21,79.65,78.84,79.19,5748753,DIS,79.50054312072511
260,2014-02-21,79.07,80.45,78.8,80.13,8253018,DIS,79.437206559026
261,2014-02-24,80.5,81.59,80.4601,80.73,6635969,DIS,79.13932234764273
262,2014-02-25,80.72,81.35,80.04,80.21,6065203,DIS,80.45879363310512
263,2014-02-26,80.63,80.95,79.59,80.08,5776068,DIS,80.64364292125474
264,2014-02-27,80.0,80.5949,79.86,80.48,4919943,DIS,80.79636100542507
265,2014-02-28,80.84,81.59,80.17,80.81,7031874,DIS,80.10788557548882
266,2014-03-03,80.3,80.65,78.845,79.46,8450395,DIS,80.86072080085123
267,2014-03-04,80.6,82.17,80.54,81.71,8021840,DIS,80.19793064467883
268,2014-03-05,82.22,83.21,82.02,82.68,7710268,DIS,80.67188403995394
269,2014-03-06,82.86,83.42,82.84,83.34,5774783,DIS,82.18373319091968
270,2014-03-07,83.6,83.65,82.015,82.21,7478961,DIS,82.81225674433274
271,2014-03-10,82.18,82.425,81.695,81.97,5211542,DIS,83.81343498883062
272,2014-03-11,82.19,82.33,80.72,81.05,7174290,DIS,82.31683024036194
273,2014-03-12,80.59,81.39,80.05,81.38,6378361,DIS,82.34927243766185
274,2014-03-13,81.75,81.98,79.66,79.93,8570629,DIS,80.46854851168158
275,2014-03-14,79.85,80.41,79.57,80.07,7754672,DIS,81.67181922912825
276,2014-03-17,80.5,81.6,80.31,81.39,7282393,DIS,79.80446059378026
277,2014-03-18,81.53,82.25,81.2785,81.99,5395913,DIS,80.43404948489429
278,2014-03-19,82.25,82.3,80.04,80.52,6403205,DIS,81.44588951920251
279,2014-03-20,80.59,81.02,79.76,80.81,5968527,DIS,82.12066652996074
280,2014-03-21,81.96,82.05,80.05,80.35,7841172,DIS,80.85774073257485
281,2014-03-24,80.71,80.93,79.38,79.49,7643653,DIS,82.0103713128376
282,2014-03-25,80.24,80.34,78.6,79.55,6693822,DIS,80.6599808262154
283,2014-03-26,79.93,80.24,78.61,78.62,6752012,DIS,80.18206784817238
284,2014-03-27,78.295,78.615,77.28,78.48,9194723,DIS,80.0653357782726
285,2014-03-28,78.73,79.46,78.31,78.99,5281656,DIS,78.16811917131858
286,2014-03-31,79.7,80.39,79.66,80.07,6848852,DIS,78.68659167601612
287,2014-04-01,80.39,81.61,80.39,81.57,6555910,DIS,79.52389504028197
288,2014-04-02,81.72,81.97,81.3,81.67,6073512,DIS,80.32468857848808
