,date,open,high,low,close,volume,Name,outcome
195,2015-01-05,523.26,524.33,513.06,513.87,2054238,GOOG,529.5037656549575
196,2015-01-06,515.0,516.175,501.05,501.96,2891950,GOOG,522.8634664684712
197,2015-01-07,507.0,507.244,499.65,501.1,2059366,GOOG,516.3850384499731
198,2015-01-08,497.99,503.48,491.0,502.68,3344395,GOOG,507.42123043239485
199,2015-01-09,504.76,504.92,494.79,496.17,2065715,GOOG,498.6806528314963
200,2015-01-12,494.94,495.976,487.56,492.55,2320446,GOOG,505.5023627218948
201,2015-01-13,498.84,502.98,492.39,496.18,2365687,GOOG,495.5202350230243
202,2015-01-14,494.65,503.23,493.0,500.87,2229638,GOOG,499.0820873285554
203,2015-01-15,505.57,505.68,497.76,501.79,2711355,GOOG,496.44941023320445
204,2015-01-16,500.01,508.19,500.0,508.08,2292043,GOOG,503.5919343713338
205,2015-01-20,511.0,512.5,506.016,506.9,2225922,GOOG,501.5087225196508
206,2015-01-21,507.25,519.28,506.2,518.04,2262455,GOOG,509.24640283332764
207,2015-01-22,521.48,536.33,519.7,534.39,2669558,GOOG,508.92260301122747
208,2015-01-23,535.59,542.17,533.0,539.95,2275485,GOOG,518.2659698527759
209,2015-01-26,538.53,539.0,529.67,535.21,1539524,GOOG,536.7565695721307
210,2015-01-27,529.97,530.7,518.19,518.63,1898844,GOOG,536.1346484034128
211,2015-01-28,522.78,522.99,510.0,510.0,1679230,GOOG,531.2366966517706
212,2015-01-29,511.0,511.09,501.2,510.66,4174924,GOOG,522.5109027594352
213,2015-01-30,515.86,539.87,515.52,534.52,5590977,GOOG,510.20109265890284
214,2015-02-02,531.73,533.0,518.55,528.48,2841976,GOOG,515.4770825903555
215,2015-02-03,528.0,533.4,523.26,529.24,2033085,GOOG,532.8410643248925
216,2015-02-04,529.24,532.6715,521.27,522.76,1659125,GOOG,527.2734971313495
217,2015-02-05,523.79,528.5,522.09,527.58,1844687,GOOG,529.8467331580755
218,2015-02-06,527.64,537.2,526.41,531.0,1758650,GOOG,524.5599302785694
219,2015-02-09,528.0,532.0,526.02,527.83,1264276,GOOG,525.6230634567592
220,2015-02-10,529.3,537.7,526.92,536.94,1745076,GOOG,528.7921514849565
221,2015-02-11,535.3,538.45,533.3775,535.97,1373970,GOOG,528.4742187900039
222,2015-02-12,537.25,544.82,534.673,542.93,1615824,GOOG,535.8861634003065
223,2015-02-13,543.35,549.91,543.13,549.01,1895126,GOOG,536.5211586362346
224,2015-02-17,546.83,550.0,541.09,542.84,1612439,GOOG,542.7205906981069
225,2015-02-18,541.4,545.49,537.51,539.7,1449089,GOOG,546.6674421956034
226,2015-02-19,538.04,543.11,538.01,542.87,987478,GOOG,540.4232878171327
227,2015-02-20,543.13,543.75,535.8,538.95,1441212,GOOG,538.1355977838966
228,2015-02-23,536.05,536.439,529.41,531.91,1453907,GOOG,543.0985367608588
229,2015-02-24,530.0,536.79,528.25,536.09,1002393,GOOG,535.6399929647912
230,2015-02-25,535.9,546.22,535.445,543.87,1821041,GOOG,530.3991021291272
231,2015-02-26,543.21,556.14,541.5,555.48,2305219,GOOG,537.1502179948171
232,2015-02-27,554.24,564.71,552.9,558.4,2403553,GOOG,542.2555516577198
233,2015-03-02,560.53,572.15,558.75,571.34,2123796,GOOG,553.8149197999178
234,2015-03-03,570.45,575.39,566.52,573.64,1700084,GOOG,560.5820089746363
235,2015-03-04,571.87,577.11,568.01,573.37,1871694,GOOG,569.2105419346738
236,2015-03-05,575.02,577.91,573.41,575.33,1385818,GOOG,571.02655029958
237,2015-03-06,574.88,576.6799,566.76,567.685,1654561,GOOG,573.4539510164402
238,2015-03-09,566.86,570.27,563.535,568.85,1059336,GOOG,574.6420245829755
239,2015-03-10,564.25,564.85,554.73,555.01,1787357,GOOG,565.5666901755782
240,2015-03-11,555.14,558.14,550.68,551.18,1815763,GOOG,564.4110503316532
241,2015-03-12,553.51,556.37,550.46,555.51,1385772,GOOG,555.2971511386879
242,2015-03-13,553.5,558.4,544.22,547.32,1698872,GOOG,553.3619215829445
243,2015-03-16,550.95,556.85,546.0,554.51,1636493,GOOG,554.9378795620596
