,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,90.24,91.08,89.8,91.07,8080445,JNJ,89.02275812927799
253,2014-02-11,91.09,92.97,90.95,92.97,11581143,JNJ,90.23864657433685
254,2014-02-12,92.95,92.99,91.95,92.42,7699343,JNJ,91.14431734216753
255,2014-02-13,92.0,92.62,91.71,92.56,5926351,JNJ,93.25114226791266
256,2014-02-14,92.6,92.945,92.0282,92.76,5524615,JNJ,92.0310635911182
257,2014-02-18,92.77,92.85,92.09,92.17,6935397,JNJ,92.69456575570722
258,2014-02-19,92.15,92.75,91.57,91.64,7693621,JNJ,92.80368078153737
259,2014-02-20,91.69,92.73,91.31,92.38,8160140,JNJ,92.2542465970964
260,2014-02-21,91.86,92.245,91.45,91.52,7381439,JNJ,91.5688018153976
261,2014-02-24,91.45,92.06,91.1,91.11,8407203,JNJ,91.86854194249182
262,2014-02-25,91.59,91.87,90.66,91.11,6387063,JNJ,91.43694687320018
263,2014-02-26,91.11,91.54,90.77,91.11,6334213,JNJ,91.57238562250888
264,2014-02-27,91.16,91.42,90.75,91.36,7040593,JNJ,91.04310126668946
265,2014-02-28,91.42,92.64,91.06,92.12,9644505,JNJ,91.16513117394518
266,2014-03-03,91.13,91.98,90.83,91.56,7506726,JNJ,91.41018039396745
267,2014-03-04,92.47,93.46,92.25,93.34,8796989,JNJ,91.13735154170232
268,2014-03-05,93.27,93.3,92.38,92.59,6843672,JNJ,92.54049643558123
269,2014-03-06,93.19,93.65,92.82,92.89,7718786,JNJ,93.37876777014849
270,2014-03-07,93.37,93.48,92.6901,93.32,6792275,JNJ,93.26698266997606
271,2014-03-10,93.17,93.49,92.79,93.45,4880978,JNJ,93.34667528643723
272,2014-03-11,93.71,93.75,93.09,93.49,5837194,JNJ,93.19751845483731
273,2014-03-12,92.82,93.62,92.65,93.6,6159381,JNJ,93.79435855434754
274,2014-03-13,93.85,94.2,92.98,93.0,7659366,JNJ,92.76031282038609
275,2014-03-14,92.88,93.44,92.46,92.81,7337843,JNJ,93.9060284395377
276,2014-03-17,93.26,94.18,93.18,93.93,5876845,JNJ,92.83675554569476
277,2014-03-18,93.9,94.24,93.48,93.94,5891904,JNJ,93.28651002096285
278,2014-03-19,93.89,94.36,92.92,93.59,5937603,JNJ,93.87256756753453
279,2014-03-20,93.52,94.19,92.96,94.12,5727520,JNJ,94.00394030088823
280,2014-03-21,94.77,95.93,93.88,95.93,24005402,JNJ,93.45681082206121
281,2014-03-24,95.3,95.43,94.54,95.2,13949809,JNJ,94.82401423389435
282,2014-03-25,95.7,97.7,95.7,97.38,14167327,JNJ,95.40810188407737
283,2014-03-26,97.51,98.47,97.05,97.05,11215165,JNJ,95.78597178303542
284,2014-03-27,97.08,97.7,96.26,97.28,8694613,JNJ,97.62922616821544
285,2014-03-28,97.51,98.22,96.96,97.44,8815993,JNJ,97.1994740642066
286,2014-03-31,98.0,98.6,97.61,98.23,7545682,JNJ,97.58307805200454
287,2014-04-01,98.31,98.68,97.37,97.94,7068696,JNJ,98.00534876293443
288,2014-04-02,98.01,98.39,97.37,98.23,7995623,JNJ,98.4583095506631
289,2014-04-03,97.97,98.34,97.53,98.26,5476117,JNJ,98.00309961767495
290,2014-04-04,98.62,99.38,98.32,98.42,10310236,JNJ,97.9670560177006
291,2014-04-07,98.39,99.36,97.83,97.89,11410399,JNJ,98.65790082690991
292,2014-04-08,98.03,98.725,97.5,98.06,9601881,JNJ,98.42828832015633
293,2014-04-09,98.42,99.0,97.78,98.95,8921922,JNJ,98.01156964961072
294,2014-04-10,98.86,98.93,96.52,96.54,9668076,JNJ,98.40042713243369
295,2014-04-11,96.2,97.199,96.05,96.87,8711166,JNJ,98.9189486498582
296,2014-04-14,97.28,97.36,96.25,97.14,8617844,JNJ,96.0991117890223
297,2014-04-15,98.45,99.21,98.05,99.2,14005235,JNJ,97.19203273307153
298,2014-04-16,99.57,99.71,98.07,98.75,11308070,JNJ,98.38405884766928
299,2014-04-17,98.69,99.65,98.69,98.96,9153584,JNJ,99.7371350180373
300,2014-04-21,99.01,100.13,98.67,100.0,7032062,JNJ,98.67910213359158
301,2014-04-22,100.0,100.75,99.74,100.18,7937911,JNJ,99.05979548339837
302,2014-04-23,100.24,100.56,99.92,100.22,5880223,JNJ,100.06116299358847
303,2014-04-24,100.24,100.37,99.55,99.96,6154027,JNJ,100.29437355733047
304,2014-04-25,99.97,100.26,99.4,99.79,5897880,JNJ,100.2705284944055
305,2014-04-28,100.56,101.5,100.1201,101.34,8793329,JNJ,99.99289997107752
306,2014-04-29,101.63,101.98,100.96,101.03,7811264,JNJ,100.60615403263374
307,2014-04-30,100.84,101.67,100.7,101.29,8519913,JNJ,101.69033345961705
308,2014-05-01,100.77,101.03,99.93,100.53,6590499,JNJ,100.84566081614346
309,2014-05-02,100.17,100.38,98.88,99.31,8744242,JNJ,100.79637815783705
310,2014-05-05,99.29,100.17,99.04,100.0,5438240,JNJ,100.15885860481492
311,2014-05-06,100.02,100.02,99.51,99.51,5795969,JNJ,99.24898382038293
312,2014-05-07,99.85,101.045,99.35,100.91,8720814,JNJ,99.98343402602167
313,2014-05-08,100.67,101.09,100.36,100.5,5668825,JNJ,99.81681015884077
314,2014-05-09,100.86,101.25,100.41,100.91,5691707,JNJ,100.69352559589105
315,2014-05-12,101.24,101.24,100.42,100.52,7437341,JNJ,100.86264648939479
316,2014-05-13,100.9,101.49,100.625,101.02,6183174,JNJ,101.30662421531055
317,2014-05-14,100.95,101.1,100.77,100.87,4187810,JNJ,100.907676942832
318,2014-05-15,100.64,100.84,100.41,100.69,7011935,JNJ,100.97902407860713
319,2014-05-16,100.57,100.89,100.14,100.58,6517090,JNJ,100.62816531419176
320,2014-05-19,100.22,100.93,100.125,100.64,6997400,JNJ,100.56593981360572
321,2014-05-20,100.81,100.98,99.96,100.25,5438763,JNJ,100.18695789107694
322,2014-05-21,100.6,101.2,100.53,101.14,5302472,JNJ,100.81790925753917
323,2014-05-22,100.58,101.01,100.08,100.96,5124957,JNJ,100.59073722294279
324,2014-05-23,101.04,101.16,100.67,100.98,5276064,JNJ,100.58438807678559
325,2014-05-27,101.1,101.36,100.265,100.81,4524361,JNJ,101.04895371858694
326,2014-05-28,100.67,100.93,100.12,100.3,4353776,JNJ,101.12591095852164
327,2014-05-29,100.56,100.795,100.15,100.76,3685692,JNJ,100.66494015312908
328,2014-05-30,100.7,101.54,100.55,101.46,5972931,JNJ,100.5513918029227
329,2014-06-02,101.54,102.26,101.01,102.17,5852618,JNJ,100.69995436757198
330,2014-06-03,101.91,102.6,101.84,102.46,6683665,JNJ,101.56848648776267
331,2014-06-04,102.23,102.71,101.94,102.68,5608597,JNJ,101.93921694441116
332,2014-06-05,102.78,103.36,102.42,103.22,4731051,JNJ,102.2764561950755
333,2014-06-06,103.25,103.33,102.8386,103.18,4625104,JNJ,102.83712519210415
334,2014-06-09,103.07,103.23,102.68,103.22,3748814,JNJ,103.32111675500971
