,date,open,high,low,close,Adj Close,volume,DATE,outcome
424,2015-09-09,105.02999877929688,105.4000015258789,103.75,104.30000305175781,90.7144775390625,2470200,2015-09-09,103.18052971408027
425,2015-09-10,103.77999877929688,105.80000305175781,103.41999816894531,105.19000244140625,91.488525390625,3322600,2015-09-10,104.8896346843198
426,2015-09-11,104.93000030517578,105.05000305175781,104.08000183105469,104.7699966430664,91.12325286865234,2412500,2015-09-11,103.91725378202476
427,2015-09-14,104.83999633789062,105.0,103.93000030517578,104.41000366210938,90.81013488769531,1783900,2015-09-14,104.90561514519071
428,2015-09-15,104.88999938964844,105.91000366210938,104.16000366210938,105.69999694824219,91.93209838867188,1934500,2015-09-15,104.88920821538095
429,2015-09-16,105.13999938964844,107.5,105.13999938964844,107.44999694824219,93.45414733886719,1922100,2015-09-16,104.64299488716814
430,2015-09-17,107.27999877929688,108.22000122070312,106.62000274658203,107.05000305175781,93.10627746582031,2397300,2015-09-17,105.27900956580422
431,2015-09-18,105.36000061035156,106.16000366210938,104.54000091552734,105.12999725341797,91.43636322021484,3108300,2015-09-18,106.93961783278293
432,2015-09-21,105.19000244140625,106.12999725341797,104.73999786376953,105.25,91.54071807861328,1655300,2015-09-21,105.66558502341574
433,2015-09-22,103.93000030517578,104.44000244140625,102.7300033569336,103.43000030517578,89.95777893066406,1725600,2015-09-22,105.12636238083545
434,2015-09-23,103.2300033569336,103.61000061035156,100.41999816894531,100.63999938964844,87.53118133544922,2877200,2015-09-23,104.20250001891144
435,2015-09-24,100.0,101.43000030517578,98.55000305175781,101.0,87.84430694580078,2723900,2015-09-24,102.97807910525262
436,2015-09-25,101.72000122070312,102.0999984741211,100.5999984741211,100.91999816894531,87.77471923828125,2011400,2015-09-25,100.52368779131757
437,2015-09-28,99.98999786376953,100.81999969482422,99.08000183105469,99.16999816894531,86.25264739990234,2025900,2015-09-28,101.35060534984491
438,2015-09-29,99.2699966430664,100.7300033569336,99.12000274658203,100.55000305175781,87.45292663574219,1497700,2015-09-29,100.3957648749376
439,2015-09-30,101.29000091552734,102.11000061035156,101.02999877929688,101.86000061035156,88.59227752685547,2388000,2015-09-30,99.13188539676372
440,2015-10-01,102.0999984741211,102.55000305175781,100.55000305175781,101.41000366210938,88.20089721679688,2627200,2015-10-01,101.44606483449483
441,2015-10-02,100.38999938964844,103.1500015258789,99.58999633789062,103.1500015258789,89.71426391601562,1874300,2015-10-02,101.81301346785307
442,2015-10-05,104.0199966430664,106.51000213623047,103.63999938964844,106.33999633789062,92.48872375488281,1940900,2015-10-05,100.7527156197357
443,2015-10-06,105.88999938964844,106.61000061035156,105.47000122070312,105.97000122070312,92.16693878173828,1739300,2015-10-06,103.69396107400598
444,2015-10-07,106.23999786376953,107.23999786376953,105.26000213623047,107.23999786376953,93.2715072631836,1224600,2015-10-07,105.59717834383429
445,2015-10-08,107.30000305175781,108.72000122070312,106.97000122070312,108.58999633789062,94.4456558227539,1339700,2015-10-08,106.09096126356816
446,2015-10-09,109.0999984741211,109.5199966430664,108.29000091552734,108.6500015258789,94.49785614013672,1368100,2015-10-09,107.62391862659723
447,2015-10-12,108.5999984741211,109.0999984741211,108.04000091552734,108.52999877929688,94.39350128173828,674200,2015-10-12,108.65093326677173
448,2015-10-13,107.4800033569336,108.43000030517578,107.37999725341797,108.37000274658203,94.25432586669922,1461400,2015-10-13,108.5526922752286
449,2015-10-14,108.30999755859375,109.30000305175781,107.94000244140625,108.97000122070312,94.77619934082031,1693800,2015-10-14,107.63823434003253
450,2015-10-15,109.5,109.94999694824219,108.62000274658203,109.48999786376953,95.22842407226562,1588900,2015-10-15,108.16009290364497
451,2015-10-16,110.2300033569336,110.23999786376953,108.7300033569336,109.43000030517578,95.17625427246094,1354800,2015-10-16,109.13661089883892
452,2015-10-19,108.54000091552734,109.41000366210938,108.44999694824219,109.12999725341797,94.91533660888672,1424500,2015-10-19,110.1850002407621
453,2015-10-20,109.1500015258789,109.93000030517578,108.47000122070312,109.36000061035156,95.11537170410156,1101000,2015-10-20,108.95258093769684
454,2015-10-21,109.51000213623047,109.5199966430664,107.72000122070312,107.87999725341797,93.8281478881836,964400,2015-10-21,109.02380103280005
455,2015-10-22,108.81999969482422,110.58999633789062,108.30999755859375,110.26000213623047,95.89812469482422,1164100,2015-10-22,109.3893870415883
456,2015-10-23,111.0,112.08000183105469,110.37999725341797,111.75,97.19407653808594,1442600,2015-10-23,108.71276231889345
