,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,52.75,53.985,52.29,53.97,4229229,LLY,52.76302097068489
253,2014-02-11,53.82,54.63,53.66,54.51,5881221,LLY,52.79632768367702
254,2014-02-12,54.15,54.15,53.12,53.32,6055093,LLY,53.88062370641646
255,2014-02-13,53.04,53.7,52.89,53.48,3769728,LLY,54.17821733015383
256,2014-02-14,53.41,54.37,53.33,54.2,4005834,LLY,52.98692079198285
257,2014-02-18,54.14,55.34,54.03,55.25,6855061,LLY,53.475041806369255
258,2014-02-19,57.3,58.2,56.55,58.09,16135481,LLY,54.08453652663139
259,2014-02-20,57.85,58.52,57.4,58.05,8991658,LLY,57.5546136032118
260,2014-02-21,58.1,58.76,57.77,57.96,6617336,LLY,57.893488766844335
261,2014-02-24,58.1,58.9,57.89,58.03,4162727,LLY,58.10371755991309
262,2014-02-25,57.99,58.84,57.9303,58.48,5464330,LLY,58.165748865729256
263,2014-02-26,58.47,58.89,58.38,58.66,4603556,LLY,57.93002922370803
264,2014-02-27,58.55,59.65,58.45,59.54,5666128,LLY,58.528245881065025
265,2014-02-28,59.53,60.12,59.325,59.61,5883038,LLY,58.5588424383799
266,2014-03-03,58.95,59.5,58.81,59.03,4088020,LLY,59.62744876479592
267,2014-03-04,59.55,60.1,59.55,59.85,5608220,LLY,58.904359983145184
268,2014-03-05,59.94,59.9699,59.22,59.43,3540825,LLY,59.58811428302118
269,2014-03-06,59.45,59.92,58.69,58.72,5083689,LLY,60.01628306293959
270,2014-03-07,58.89,59.08,58.145,58.59,4288626,LLY,59.394753956619
271,2014-03-10,58.51,58.915,58.2,58.9,3978074,LLY,58.843888199917
272,2014-03-11,58.92,59.02,58.315,58.43,3438826,LLY,58.48564463475929
273,2014-03-12,58.16,59.21,58.12,59.2,4547184,LLY,58.959037033522435
274,2014-03-13,59.24,59.33,58.23,58.34,4103677,LLY,58.07794835059138
275,2014-03-14,58.31,58.98,58.23,58.87,4201752,LLY,59.31052771283222
276,2014-03-17,59.12,59.29,58.65,58.87,3016243,LLY,58.29233139341899
277,2014-03-18,58.91,59.7,58.81,59.4,4082826,LLY,59.08561343159383
278,2014-03-19,59.35,59.74,58.63,59.05,2865879,LLY,58.99019721387038
279,2014-03-20,58.88,58.89,58.3,58.57,3546404,LLY,59.300280205775636
280,2014-03-21,58.88,59.75,57.76,57.78,7421541,LLY,58.92056408953967
281,2014-03-24,57.78,57.99,56.81,57.4,5910933,LLY,58.827663169863456
282,2014-03-25,57.45,57.835,56.94,57.21,6419233,LLY,57.75863551381703
283,2014-03-26,57.39,58.3,57.24,57.48,6628503,LLY,57.353323898193516
284,2014-03-27,57.5,58.12,57.17,57.53,5472493,LLY,57.42810082562408
285,2014-03-28,57.67,58.47,57.4,57.61,3117549,LLY,57.4728596184447
286,2014-03-31,57.94,59.13,57.81,58.86,5098942,LLY,57.69555229881556
287,2014-04-01,59.13,59.91,58.51,58.82,6345140,LLY,57.96435014174231
288,2014-04-02,59.17,59.275,58.75,59.15,3881419,LLY,59.22013830828158
289,2014-04-03,59.83,60.18,58.75,58.97,5447079,LLY,59.21797143997861
290,2014-04-04,59.22,59.96,58.93,59.01,5177859,LLY,59.831865235052106
291,2014-04-07,59.26,60.08,58.575,58.62,5522441,LLY,59.25286280053256
292,2014-04-08,58.0,58.93,57.6,58.58,6169943,LLY,59.1692493975543
293,2014-04-09,58.7,60.46,58.66,60.43,6638621,LLY,57.98262536921854
294,2014-04-10,60.4,60.4,58.53,58.66,5514450,LLY,58.60660393871164
295,2014-04-11,58.38,58.89,58.03,58.45,5351157,LLY,60.632972649471256
296,2014-04-14,58.92,59.6533,58.3,58.95,3682351,LLY,58.30978656276405
297,2014-04-15,59.19,59.69,58.28,59.42,4532141,LLY,58.84443591670045
298,2014-04-16,59.4,60.0,59.35,59.96,5321849,LLY,59.27253795555831
299,2014-04-17,59.73,60.45,59.62,60.43,4750022,LLY,59.32234225579868
300,2014-04-21,60.44,60.89,59.949,60.86,3348509,LLY,59.76582598402332
301,2014-04-22,60.9699,61.15,59.97,60.03,6271760,LLY,60.45322176585611
302,2014-04-23,59.67,60.005,59.23,59.56,6563328,LLY,60.99833050911192
303,2014-04-24,58.31,59.18,57.35,58.68,7854549,LLY,59.64710983108986
304,2014-04-25,58.7,59.13,58.28,58.5,4260422,LLY,58.22875363889359
305,2014-04-28,59.67,59.67,58.16,58.97,4930747,LLY,58.722027244737276
306,2014-04-29,59.2,59.67,59.12,59.62,5120511,LLY,59.712737952112846
307,2014-04-30,59.5,59.58,58.66,59.1,5198100,LLY,59.162038343312986
308,2014-05-01,59.18,59.705,58.79,59.52,4173356,LLY,59.5218055600778
309,2014-05-02,59.36,59.63,58.75,59.08,4122546,LLY,59.20333519225573
310,2014-05-05,58.77,58.97,58.04,58.88,3805889,LLY,59.32108358789596
311,2014-05-06,58.74,59.6,58.45,58.56,4185942,LLY,58.78873846145351
