,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,76.66,77.3399,75.85,76.35,4886654,MA,75.27757483848094
253,2014-02-11,76.8,76.83,76.0,76.19,5323791,MA,76.23383503180246
254,2014-02-12,76.44,76.93,75.67,75.97,4775447,MA,76.83865710447047
255,2014-02-13,75.48,76.64,75.13,76.53,4912964,MA,76.64464545024649
256,2014-02-14,76.58,77.66,76.48,77.39,4766134,MA,75.78882179960043
257,2014-02-18,78.46,78.49,77.2,77.49,5811790,MA,76.67682235626663
258,2014-02-19,77.34,78.01,76.53,76.65,6038258,MA,78.22205677606574
259,2014-02-20,76.88,76.88,74.85,75.86,8723584,MA,77.25273530607741
260,2014-02-21,75.86,76.35,75.5,75.7,6551857,MA,77.08555678470344
261,2014-02-24,75.57,76.97,75.56,75.96,7942731,MA,76.00891920148737
262,2014-02-25,76.0,76.97,75.52,76.74,7437312,MA,75.84154712844993
263,2014-02-26,76.83,77.41,76.61,77.36,7438903,MA,75.80103074053618
264,2014-02-27,77.34,78.01,77.0,77.76,4939433,MA,76.68563472552897
265,2014-02-28,78.2,78.669,76.95,77.72,5919129,MA,77.16832301067281
266,2014-03-03,76.53,77.09,75.65,76.73,6154731,MA,78.1597930010894
267,2014-03-04,77.81,78.8,77.41,78.5,5303009,MA,76.58598240405479
268,2014-03-05,78.67,78.88,77.825,78.2,4233519,MA,78.04225163294771
269,2014-03-06,78.4,78.71,77.57,77.63,4594433,MA,78.45303025270438
270,2014-03-07,78.07,78.25,77.52,77.94,4134098,MA,78.51212246241752
271,2014-03-10,77.8,77.944,77.27,77.39,3314844,MA,77.99853574141868
272,2014-03-11,77.49,78.45,76.89,77.9,4835405,MA,77.96644317954637
273,2014-03-12,77.22,78.34,76.8,78.34,4744935,MA,77.59544951572805
274,2014-03-13,78.38,78.77,76.54,76.62,6521375,MA,77.21272786546577
275,2014-03-14,76.51,77.22,76.23,76.34,4859053,MA,78.30059579753701
276,2014-03-17,76.75,77.84,76.74,77.83,3911475,MA,76.45402405211732
277,2014-03-18,78.1,78.98,77.54,78.92,4523471,MA,76.95339074396496
278,2014-03-19,78.94,79.6,77.92,78.31,5929255,MA,77.83740677822826
279,2014-03-20,78.21,78.65,77.61,78.41,5197964,MA,78.88493991784524
280,2014-03-21,79.34,79.83,75.9,75.99,14425292,MA,78.06720908156902
281,2014-03-24,76.48,77.71,75.87,77.39,8822012,MA,79.44863216868713
282,2014-03-25,77.58,77.77,75.23,75.28,7134713,MA,76.64571094200129
283,2014-03-26,75.81,76.17,73.68,73.71,7612692,MA,77.86807941688082
284,2014-03-27,73.54,73.62,72.35,73.34,7690125,MA,75.73632904652895
285,2014-03-28,73.39,73.79,72.44,73.22,5245438,MA,74.00473969968735
286,2014-03-31,73.86,74.87,73.5,74.7,5843774,MA,73.18784895589852
287,2014-04-01,75.25,75.34,74.382,74.81,4105928,MA,73.75900720804782
288,2014-04-02,74.89,75.35,74.53,74.7,4271585,MA,74.98120717810725
289,2014-04-03,75.04,75.5499,74.24,74.53,4133295,MA,74.6528302626916
290,2014-04-04,75.4,75.49,71.71,72.18,8294189,MA,75.1116881896957
291,2014-04-07,71.66,71.96,70.434,71.33,9701807,MA,75.38021785442739
292,2014-04-08,71.22,71.9401,71.0,71.52,6288654,MA,72.01504805139835
293,2014-04-09,71.93,73.67,71.61,73.56,6985344,MA,71.51375474790926
294,2014-04-10,73.67,74.32,70.95,71.17,8984297,MA,71.71695254297988
295,2014-04-11,70.05,70.38,68.68,68.68,11611261,MA,73.60853479899522
296,2014-04-14,69.79,71.97,69.6,71.18,10893950,MA,69.97102877773082
297,2014-04-15,72.3,72.74,70.48,72.15,7010084,MA,70.19577404591709
298,2014-04-16,72.88,73.95,72.5,73.93,7002536,MA,72.0603522895599
299,2014-04-17,74.07,74.82,73.61,74.13,5552348,MA,72.49789271943247
300,2014-04-21,74.25,74.63,73.83,74.31,5991676,MA,73.73137907199357
301,2014-04-22,74.47,74.77,73.85,74.53,5049896,MA,74.16158448103033
302,2014-04-23,74.33,74.5,73.0627,73.36,5057415,MA,74.66375060230524
303,2014-04-24,73.71,74.72,73.33,74.35,5195169,MA,74.38523980386628
304,2014-04-25,72.21,73.0,70.6,70.66,9661421,MA,73.85444411127978
305,2014-04-28,70.8,72.16,70.2169,71.24,8649368,MA,72.38476836406174
306,2014-04-29,71.49,72.61,71.33,72.03,6031110,MA,71.02076599712944
307,2014-04-30,72.34,73.63,71.54,73.55,6554327,MA,71.52498729989145
308,2014-05-01,75.57,76.71,74.05,74.22,9752820,MA,72.12152311820401
309,2014-05-02,74.2,74.5,72.52,73.78,5977593,MA,75.27956587193302
310,2014-05-05,73.21,74.86,72.95,74.82,4777809,MA,73.88356297768016
311,2014-05-06,74.34,74.475,73.75,73.81,4290252,MA,73.47924259228516
312,2014-05-07,73.93,74.37,73.05,73.87,4413087,MA,74.40012722724062
313,2014-05-08,73.87,75.47,73.5,74.24,4628491,MA,73.98779340965466
314,2014-05-09,74.01,74.44,73.52,74.38,2975555,MA,73.87884260843106
315,2014-05-12,74.69,75.22,74.5,75.02,2975256,MA,73.9413183479576
316,2014-05-13,75.19,75.43,74.45,74.83,3268662,MA,74.68668294533995
317,2014-05-14,74.66,75.02,73.96,74.1,2595985,MA,75.06280899398074
318,2014-05-15,74.0,74.24,72.881,73.08,4306940,MA,74.64345759486253
319,2014-05-16,73.03,73.865,72.56,73.75,3703945,MA,74.11449953550573
320,2014-05-19,73.47,74.38,73.41,73.86,3429017,MA,73.18587125050361
321,2014-05-20,73.82,74.49,73.51,73.65,3764725,MA,73.57659903359668
322,2014-05-21,74.2,75.64,74.17,75.63,4365876,MA,73.71235522499826
323,2014-05-22,75.81,76.22,75.1,75.75,4625410,MA,74.11826980577028
324,2014-05-23,76.0,76.67,75.82,76.45,3376052,MA,75.62814006607317
325,2014-05-27,76.88,77.89,76.72,77.03,5599191,MA,75.82550629913197
326,2014-05-28,77.11,77.25,76.72,76.93,2733287,MA,76.85110124680912
327,2014-05-29,77.05,77.23,76.51,76.79,3375589,MA,77.0046998204523
328,2014-05-30,76.8,77.025,76.35,76.45,5003547,MA,77.11866579219674
329,2014-06-02,76.77,77.21,76.23,77.05,3050434,MA,76.82174148148137
330,2014-06-03,76.76,77.0,76.24,76.35,2619141,MA,76.83483094610347
