,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,54.29,55.0,54.22,54.89,10615310,MRK,53.73060702629326
253,2014-02-11,54.71,55.75,54.44,55.7,15358220,MRK,54.00979977668184
254,2014-02-12,55.44,55.69,54.85,55.0,13629961,MRK,54.67433953240079
255,2014-02-13,54.45,55.21,54.41,55.1,10244169,MRK,55.215645103456644
256,2014-02-14,54.95,55.615,54.95,55.44,8696479,MRK,54.64133657019213
257,2014-02-18,55.22,55.925,55.13,55.69,11201287,MRK,55.0317543131305
258,2014-02-19,55.44,55.66,54.99,55.04,10297100,MRK,55.087980322527464
259,2014-02-20,55.11,56.0,55.03,55.81,10133452,MRK,55.45589540870958
260,2014-02-21,55.85,56.34,55.82,56.03,11666583,MRK,55.09359756737954
261,2014-02-24,55.87,56.92,55.87,56.18,11012522,MRK,55.771534373073756
262,2014-02-25,56.13,56.39,55.8,55.91,8515916,MRK,55.79831178288402
263,2014-02-26,56.0,56.45,55.92,56.27,10139579,MRK,56.12744331013746
264,2014-02-27,56.24,56.67,56.0001,56.66,9055465,MRK,55.987908703275195
265,2014-02-28,56.73,57.455,56.65,56.99,11887592,MRK,56.2717077947891
266,2014-03-03,56.1,56.77,55.95,56.42,9821842,MRK,56.59794721295456
267,2014-03-04,57.04,57.39,56.91,57.06,10996055,MRK,56.227430159197404
268,2014-03-05,57.4,57.44,56.52,56.88,9048109,MRK,56.9061408777052
269,2014-03-06,57.06,57.65,57.01,57.26,10605733,MRK,57.21921203951416
270,2014-03-07,57.35,57.57,57.1,57.47,10634294,MRK,57.1956341297891
271,2014-03-10,57.44,57.62,57.0,57.32,7383294,MRK,57.30114159019035
272,2014-03-11,57.4,57.44,56.57,56.69,10885694,MRK,57.453657155014035
273,2014-03-12,56.39,56.93,56.26,56.81,9499235,MRK,57.44513302857598
274,2014-03-13,56.61,56.79,55.72,55.79,10120002,MRK,56.60404637294516
275,2014-03-14,55.53,56.02,55.27,55.7,12117827,MRK,56.67910656631039
276,2014-03-17,55.95,56.45,55.95,56.26,9509414,MRK,55.69121785132668
277,2014-03-18,56.31,56.56,56.16,56.36,7070853,MRK,55.937930858307126
278,2014-03-19,56.68,56.91,55.64,55.99,10048366,MRK,56.05229060465207
279,2014-03-20,55.83,55.88,55.31,55.59,8460953,MRK,56.59467736335114
280,2014-03-21,56.5,56.6,54.62,54.66,23424864,MRK,55.947837725648526
281,2014-03-24,54.86,54.86,53.57,53.78,15502018,MRK,56.46936197530892
