,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,80.17,80.72,80.16,80.6,4742012,PEP,79.55909923420424
253,2014-02-11,80.48,81.33,80.33,81.25,5077734,PEP,80.38166081874617
254,2014-02-12,81.48,81.85,80.98,81.49,4471389,PEP,80.4752040216081
255,2014-02-13,80.77,80.87,78.36,79.69,11205919,PEP,81.41453864217279
256,2014-02-14,79.76,79.82,78.0599,78.09,13254694,PEP,80.7724721625715
257,2014-02-18,78.63,78.63,77.78,78.18,9843869,PEP,79.7265220670899
258,2014-02-19,78.04,78.43,77.01,77.1,10353796,PEP,78.54760011294302
259,2014-02-20,77.43,78.87,77.37,78.01,9580424,PEP,77.91082973793452
260,2014-02-21,78.01,78.91,77.9,78.22,7531842,PEP,77.4262803191046
261,2014-02-24,78.31,79.5915,78.31,78.88,7751126,PEP,78.14758839683692
262,2014-02-25,79.02,79.75,78.93,79.23,7513012,PEP,78.4149341578071
263,2014-02-26,79.5,79.88,78.57,78.65,6586262,PEP,79.14127034444918
264,2014-02-27,78.65,79.46,78.4,79.07,7809766,PEP,79.58845879234816
265,2014-02-28,79.09,80.4,78.85,80.07,9871334,PEP,78.53258692460358
266,2014-03-03,79.17,79.71,79.1,79.52,5767178,PEP,79.1120907534342
267,2014-03-04,79.81,80.925,79.8,80.85,7518090,PEP,79.06908975086166
268,2014-03-05,80.39,81.47,80.31,81.11,6402186,PEP,79.82046781480561
269,2014-03-06,81.17,81.44,80.96,81.33,5880029,PEP,80.49043011151092
270,2014-03-07,81.51,81.63,81.03,81.56,4033468,PEP,81.1875181933135
271,2014-03-10,81.55,81.83,81.2101,81.73,4313497,PEP,81.52350256215105
272,2014-03-11,81.84,82.98,81.79,82.81,5850404,PEP,81.50039077831633
273,2014-03-12,82.2,82.55,81.86,82.15,5674517,PEP,81.8095701857528
274,2014-03-13,82.21,82.71,81.63,81.8,6119011,PEP,82.15102758872165
275,2014-03-14,81.73,82.19,80.86,81.0,7766887,PEP,82.18250202338082
276,2014-03-17,81.47,82.14,81.29,82.05,7762000,PEP,81.69782844343224
277,2014-03-18,82.02,82.215,81.59,81.95,3488298,PEP,81.42888374409641
278,2014-03-19,81.98,81.99,81.19,81.37,5106038,PEP,82.02092885336448
279,2014-03-20,81.36,81.91,81.25,81.86,3241077,PEP,81.96196507004801
280,2014-03-21,82.22,82.57,81.5,82.14,9206706,PEP,81.37316526899357
281,2014-03-24,82.325,82.57,81.53,81.89,5253623,PEP,82.31474059996816
282,2014-03-25,81.9,82.495,81.9,82.4,4170490,PEP,82.24389975282728
283,2014-03-26,82.57,83.74,82.49,82.87,6392588,PEP,81.90182336278112
284,2014-03-27,82.85,83.21,82.5,82.54,4352011,PEP,82.6824428544955
285,2014-03-28,82.7,83.21,82.695,82.95,4078089,PEP,82.75382461324533
286,2014-03-31,83.74,83.8,83.17,83.5,6620876,PEP,82.7009968559285
287,2014-04-01,83.07,83.27,82.73,82.88,4676900,PEP,83.86018892704679
288,2014-04-02,82.82,82.95,82.44,82.73,4919224,PEP,82.93508965072262
289,2014-04-03,82.92,83.1,82.6,82.91,3369428,PEP,82.83929929795079
