,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,31.26,31.47,31.13,31.47,22592138,PFE,30.731450750928445
253,2014-02-11,31.79,31.98,31.43,31.88,24751159,PFE,31.239657330001215
254,2014-02-12,31.87,32.0,31.55,31.61,21258791,PFE,31.75536610976474
255,2014-02-13,31.5,31.8479,31.4,31.7,18908053,PFE,31.85562715591161
256,2014-02-14,31.88,32.0,31.7,31.94,18916233,PFE,31.518116731046835
257,2014-02-18,31.81,32.09,31.7901,31.88,19688059,PFE,31.827871225117907
258,2014-02-19,31.92,31.96,31.44,31.48,27748274,PFE,31.779903749881548
259,2014-02-20,31.34,31.71,31.26,31.55,22456010,PFE,31.963697655557546
260,2014-02-21,31.68,31.77,31.44,31.46,18471924,PFE,31.35529413865571
261,2014-02-24,31.99,32.08,31.53,31.99,38786380,PFE,31.679113306988803
262,2014-02-25,31.55,31.99,31.54,31.89,27197243,PFE,31.91054512843689
263,2014-02-26,31.74,32.0,31.72,31.99,25023439,PFE,31.63872780787816
264,2014-02-27,31.87,32.24,31.83,32.23,22754494,PFE,31.726228439008505
265,2014-02-28,32.12,32.41,31.85,32.11,27517571,PFE,31.80550093320196
266,2014-03-03,31.52,32.14,31.52,31.98,23791929,PFE,32.131673992490754
267,2014-03-04,32.34,32.74,32.34,32.69,26342366,PFE,31.564185900856568
268,2014-03-05,32.65,32.95,32.6,32.75,22451734,PFE,32.26870581835019
269,2014-03-06,32.8,32.96,32.41,32.46,20551400,PFE,32.529158278264006
270,2014-03-07,32.51,32.66,32.18,32.43,17610815,PFE,32.83920672544693
271,2014-03-10,32.42,32.545,32.29,32.39,15958700,PFE,32.51651303934083
272,2014-03-11,32.35,32.62,32.24,32.42,24165672,PFE,32.43522510168486
273,2014-03-12,32.15,32.57,31.93,31.98,32518265,PFE,32.34295653312318
274,2014-03-13,31.99,32.02,30.91,31.12,45895720,PFE,32.18440250616634
275,2014-03-14,31.15,31.435,30.83,31.23,27112901,PFE,32.01953125147895
276,2014-03-17,31.41,31.53,31.26,31.42,21264210,PFE,31.237321905734262
277,2014-03-18,31.47,32.055,31.42,31.93,23080384,PFE,31.415604473019343
278,2014-03-19,31.93,32.08,31.39,31.71,23082990,PFE,31.42286941588697
279,2014-03-20,32.12,32.12,31.71,31.91,22696147,PFE,31.924216024123766
280,2014-03-21,32.33,32.49,31.4601,32.18,62719258,PFE,32.07489739534129
281,2014-03-24,31.77,31.9,31.33,31.49,41807065,PFE,32.310288483263506
282,2014-03-25,31.77,31.99,31.59,31.82,21139199,PFE,31.801662523136425
283,2014-03-26,32.01,32.41,31.67,32.18,31579480,PFE,31.777723087180565
284,2014-03-27,32.28,32.38,31.9,32.1,27743994,PFE,31.958311098701124
285,2014-03-28,32.2,32.48,31.7401,31.88,21969901,PFE,32.26682832212852
286,2014-03-31,31.96,32.18,31.83,32.12,18473249,PFE,32.207162729985484
287,2014-04-01,31.93,32.25,31.75,31.95,21836775,PFE,31.98149511300968
288,2014-04-02,31.92,32.39,31.81,32.29,21615821,PFE,31.928193562143868
289,2014-04-03,32.43,32.49,32.18,32.4,20036574,PFE,31.921056809404245
290,2014-04-04,32.52,32.69,32.07,32.16,26276720,PFE,32.38854903699211
291,2014-04-07,31.48,31.71,31.05,31.2,54582482,PFE,32.48935830987215
292,2014-04-08,31.26,31.39,30.85,30.87,34572690,PFE,31.59102243655719
293,2014-04-09,30.99,31.25,30.62,31.23,38686954,PFE,31.322225705026895
294,2014-04-10,31.38,31.43,30.51,30.61,30444904,PFE,31.020826068166954
295,2014-04-11,30.5,30.5,29.83,29.86,40821080,PFE,31.41762385082482
296,2014-04-14,30.05,30.13,29.58,29.87,28833929,PFE,30.568992914148577
297,2014-04-15,29.97,30.15,29.6,29.89,30079681,PFE,30.139185531839974
298,2014-04-16,30.15,30.22,29.92,30.09,29506945,PFE,29.97843227725973
299,2014-04-17,30.15,30.4,30.07,30.25,26536813,PFE,30.16225888943108
300,2014-04-21,30.54,30.94,30.4,30.86,30336778,PFE,30.122596557592146
301,2014-04-22,30.85,31.25,30.85,31.0,25974867,PFE,30.498340056980584
302,2014-04-23,31.18,31.18,30.76,30.92,20493333,PFE,30.799136559183037
303,2014-04-24,30.9,30.9,30.2,30.71,24963923,PFE,31.142135151182412
304,2014-04-25,30.73,30.8,30.545,30.75,18669530,PFE,30.900330341295124
305,2014-04-28,31.59,32.35,31.37,32.04,71421571,PFE,30.753126046683818
306,2014-04-29,32.06,32.09,31.4,31.76,39659341,PFE,31.522318248315575
307,2014-04-30,31.76,31.94,31.22,31.28,36534514,PFE,31.987745039443503
308,2014-05-01,31.08,31.58,30.94,31.15,41507996,PFE,31.752196952623514
309,2014-05-02,31.02,31.06,30.5492,30.75,41708460,PFE,31.13553744128918
310,2014-05-05,30.26,30.27,29.85,29.96,54908732,PFE,31.097670870010244
311,2014-05-06,30.0,30.01,29.333,29.43,54719820,PFE,30.333104262599804
312,2014-05-07,29.14,29.48,28.8497,29.02,49056067,PFE,30.06679573499549
313,2014-05-08,29.12,29.44,28.98,29.17,36094515,PFE,29.182928157870414
314,2014-05-09,29.1,29.21,28.774,29.03,38996257,PFE,29.14289673845126
315,2014-05-12,29.34,29.375,29.03,29.13,21658093,PFE,29.084440261654084
316,2014-05-13,29.11,29.4,29.1,29.2,26287428,PFE,29.3241298751383
317,2014-05-14,29.14,29.28,28.92,29.1,26782297,PFE,29.105167149300733
318,2014-05-15,29.07,29.18,28.91,29.06,26836907,PFE,29.14450883587255
319,2014-05-16,29.0,29.55,29.0,29.12,35704300,PFE,29.07462393158408
320,2014-05-19,29.58,29.71,29.25,29.28,40994909,PFE,29.00716250376255
321,2014-05-20,29.54,29.54,29.21,29.25,24872164,PFE,29.546339567614346
322,2014-05-21,29.25,29.9214,29.2,29.57,21444759,PFE,29.52506665566996
323,2014-05-22,29.56,29.87,29.55,29.66,21451982,PFE,29.266176771140124
324,2014-05-23,29.57,29.64,29.43,29.49,18933462,PFE,29.55231336138203
325,2014-05-27,29.93,29.99,29.5701,29.61,26930669,PFE,29.565521768180407
326,2014-05-28,29.7,29.82,29.6,29.61,27369551,PFE,29.90773347240157
327,2014-05-29,29.73,29.76,29.53,29.6,24470229,PFE,29.697768674994972
