,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,79.95,80.0965,78.44,78.81,6532396,PM,78.52423967866011
253,2014-02-11,78.61,79.5,78.01,79.46,6015419,PM,80.1362466649857
254,2014-02-12,79.64,79.66,78.31,78.44,5160136,PM,78.6828323514837
255,2014-02-13,78.25,79.32,77.55,79.24,4595600,PM,79.50284863868279
256,2014-02-14,79.03,80.55,78.88,80.39,6642446,PM,78.05907690913601
257,2014-02-18,80.21,80.94,80.0,80.01,5989021,PM,79.0065672097649
258,2014-02-19,79.77,80.1944,79.5,79.6,4474066,PM,80.12223134729624
259,2014-02-20,79.63,80.15,79.25,79.71,4546128,PM,79.97343616073682
260,2014-02-21,79.64,79.94,78.9,78.97,5429540,PM,79.62854710510068
261,2014-02-24,78.79,79.64,78.52,79.17,5051968,PM,79.48101956446436
262,2014-02-25,79.4,80.09,79.33,79.93,5363118,PM,78.80464043617914
263,2014-02-26,80.05,80.08,78.92,79.5,5278235,PM,79.37096159307701
264,2014-02-27,79.5,81.14,79.345,80.78,5978275,PM,80.03474231058264
265,2014-02-28,81.16,81.6,80.511,80.91,4568955,PM,79.65187420567605
266,2014-03-03,80.25,80.97,79.77,80.45,5289863,PM,81.08188986894194
267,2014-03-04,81.0,81.86,80.99,81.58,5595714,PM,80.2558572794268
268,2014-03-05,81.87,81.8799,80.77,81.07,3844436,PM,81.02943192067367
269,2014-03-06,81.2,81.5,80.7948,80.91,5149998,PM,81.6757960872645
270,2014-03-07,81.02,81.04,79.22,80.34,5384591,PM,81.366665697229
271,2014-03-10,80.32,80.57,80.04,80.43,4571415,PM,80.97784549715148
272,2014-03-11,80.62,80.85,79.15,79.52,5324948,PM,80.18677683419607
273,2014-03-12,79.15,79.45,78.79,79.17,4363910,PM,80.61691003638916
274,2014-03-13,79.41,79.89,79.06,79.23,4285676,PM,79.22759684533122
275,2014-03-14,79.25,80.4837,79.18,79.89,4814663,PM,79.40655151130424
276,2014-03-17,80.01,80.68,80.0,80.28,4453918,PM,79.19267200827409
277,2014-03-18,80.28,80.908,80.14,80.47,3698677,PM,80.12413424949675
