,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,117.32,119.0,117.25,118.61,4233031,TMO,115.01582290640974
253,2014-02-11,119.76,121.21,118.75,121.0,3766772,TMO,117.12044153150133
254,2014-02-12,121.07,121.93,120.74,121.52,3605738,TMO,119.5139498851162
255,2014-02-13,120.87,123.43,120.61,122.9,2540570,TMO,120.9646763798667
256,2014-02-14,122.79,123.99,122.63,123.74,9596240,TMO,120.79628939605104
257,2014-02-18,123.76,124.17,122.67,123.55,2845489,TMO,122.39228641623679
258,2014-02-19,123.55,124.37,121.6,121.81,2884510,TMO,123.74072606166143
259,2014-02-20,124.33,125.014,122.49,124.71,3456946,TMO,123.6301898604022
260,2014-02-21,124.71,124.85,123.08,123.18,2646185,TMO,124.1955600185538
261,2014-02-24,123.05,124.901,123.05,123.37,2880522,TMO,124.68184946649814
262,2014-02-25,123.48,124.3,123.09,123.81,2625867,TMO,123.26860494581989
263,2014-02-26,123.87,125.18,123.43,124.28,2620037,TMO,123.27964572564395
264,2014-02-27,124.23,125.21,123.81,124.91,2213893,TMO,123.81825267792433
265,2014-02-28,125.29,125.82,123.61,124.54,3148056,TMO,124.2308685712526
266,2014-03-03,123.07,123.98,122.14,123.35,2106979,TMO,125.2297195512106
267,2014-03-04,124.59,125.58,124.59,125.35,2354751,TMO,123.43137408665055
268,2014-03-05,124.87,126.24,124.19,125.91,2196087,TMO,124.1842780330176
269,2014-03-06,127.15,127.63,125.85,126.4,1649945,TMO,124.92018205690643
270,2014-03-07,127.03,127.03,125.65,126.67,1690797,TMO,126.8803465532068
271,2014-03-10,126.48,126.7,125.25,126.28,1766768,TMO,127.252900882263
272,2014-03-11,126.37,127.05,125.75,126.23,1341705,TMO,126.50511086785112
273,2014-03-12,125.65,126.58,125.03,126.49,3107276,TMO,126.30024028626325
274,2014-03-13,126.55,126.84,122.59,123.25,2413780,TMO,125.71964421199354
275,2014-03-14,122.96,123.59,121.82,122.25,2078566,TMO,126.38337619607658
276,2014-03-17,123.08,124.32,122.62,123.02,1254823,TMO,123.54773369080888
277,2014-03-18,123.0,123.98,122.9,123.73,1209203,TMO,122.74523935231804
278,2014-03-19,123.83,124.32,121.801,122.72,1532946,TMO,123.03673031018458
279,2014-03-20,122.6,123.83,122.14,123.58,1352204,TMO,123.7578176599625
280,2014-03-21,124.83,125.87,122.84,122.9,4441581,TMO,122.85577464630659
281,2014-03-24,123.31,123.56,119.35,120.65,2763394,TMO,124.39269287565742
282,2014-03-25,121.22,122.42,117.0824,119.35,3971632,TMO,123.74851464469411
283,2014-03-26,119.72,120.578,118.03,118.04,2121614,TMO,121.36917909080502
284,2014-03-27,118.08,118.58,116.62,117.67,2192541,TMO,119.77820359019822
