,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,70.91,71.07,69.57,69.74,7778767,UNH,70.73695693651887
253,2014-02-11,69.76,70.87,69.58,70.62,5547440,UNH,70.92147904478848
254,2014-02-12,70.91,71.3,69.98,70.24,4120630,UNH,69.75887005166086
255,2014-02-13,70.13,71.48,69.93,71.21,3787957,UNH,70.74599370173753
256,2014-02-14,71.16,73.84,71.0,73.52,6868841,UNH,70.30407065425695
257,2014-02-18,73.52,74.62,73.45,73.83,5538437,UNH,71.0729636895007
258,2014-02-19,73.55,74.31,73.42,73.55,3926547,UNH,73.52287824049628
259,2014-02-20,73.6,74.11,73.23,73.48,4134029,UNH,73.9450215523778
260,2014-02-21,73.43,74.1,73.34,73.81,4561973,UNH,73.47948843582333
261,2014-02-24,74.14,76.77,74.0,76.01,9569735,UNH,73.2498660994626
262,2014-02-25,75.98,76.14,75.13,75.32,3762240,UNH,74.13449474745507
263,2014-02-26,75.33,76.125,74.78,76.06,5433154,UNH,76.06021583685279
264,2014-02-27,75.78,76.41,75.6,76.02,4227261,UNH,75.58071170447042
265,2014-02-28,76.04,77.71,75.8,77.27,6176557,UNH,75.60166695422268
266,2014-03-03,76.7,77.46,76.53,77.1,3673405,UNH,75.99850273704133
267,2014-03-04,77.74,78.57,77.54,78.13,5171180,UNH,76.83121419381781
268,2014-03-05,78.26,78.5,77.58,77.99,3934324,UNH,77.75234751864389
269,2014-03-06,78.15,78.34,77.55,77.64,4200499,UNH,78.39074611335019
270,2014-03-07,78.01,78.07,77.04,77.4,3434762,UNH,78.17452966893552
271,2014-03-10,77.28,77.9,77.11,77.88,2986435,UNH,77.95026454712982
272,2014-03-11,77.91,78.45,77.52,77.78,3471320,UNH,77.27740210179336
273,2014-03-12,77.28,77.7,77.23,77.6,2875361,UNH,77.84099176461338
274,2014-03-13,77.76,78.1,76.96,77.01,3178656,UNH,77.38835615365024
275,2014-03-14,77.02,77.02,75.65,75.7,5128657,UNH,77.70123098656451
276,2014-03-17,76.14,77.02,76.09,76.76,3517946,UNH,77.03361483395506
277,2014-03-18,76.97,78.05,76.77,78.0,3670775,UNH,76.11474610969272
278,2014-03-19,78.07,80.3,77.94,79.96,9060088,UNH,76.78506025109621
279,2014-03-20,79.58,81.59,79.43,81.53,7786538,UNH,78.25540609586452
280,2014-03-21,82.19,83.32,81.3,81.34,11828107,UNH,79.72815612835379
281,2014-03-24,81.65,81.72,80.86,81.28,5306212,UNH,82.32752697435197
282,2014-03-25,81.59,82.15,80.98,81.1,4590186,UNH,81.93077018441457
283,2014-03-26,81.48,82.3,81.07,81.54,6909988,UNH,81.36732959836091
284,2014-03-27,81.58,81.9,80.78,81.02,5453852,UNH,81.32081970426145
285,2014-03-28,81.4,82.3499,81.26,81.62,4787407,UNH,81.73532565949287
286,2014-03-31,82.08,82.27,81.41,81.99,3513665,UNH,81.39679143402874
287,2014-04-01,82.35,83.05,81.58,81.84,4339860,UNH,82.06490273100778
288,2014-04-02,81.54,81.74,81.27,81.61,3832145,UNH,82.43800265980484
289,2014-04-03,81.65,82.35,81.6,82.25,4215604,UNH,81.57518557149383
290,2014-04-04,82.69,82.93,81.3688,81.53,4788119,UNH,81.47005037851243
291,2014-04-07,81.5,81.98,80.75,81.08,5290330,UNH,82.73372355918161
292,2014-04-08,81.07,81.55,80.11,80.66,4048983,UNH,81.70862440183522
293,2014-04-09,80.8,81.56,80.5,81.39,3308856,UNH,80.86677153552836
294,2014-04-10,81.42,81.99,79.78,79.99,4850066,UNH,80.6833330389556
295,2014-04-11,79.77,79.97,78.82,78.95,3418743,UNH,81.52197170596423
296,2014-04-14,79.44,79.68,78.3804,79.18,4013706,UNH,79.85307297535053
297,2014-04-15,79.36,79.72,78.06,79.51,4719051,UNH,79.23054796254675
298,2014-04-16,79.49,79.54,77.4701,78.19,8098381,UNH,79.29301935409099
299,2014-04-17,75.44,76.65,73.61,75.78,13427199,UNH,79.6069061808804
300,2014-04-21,75.7,76.48,74.79,74.95,6912457,UNH,75.45436537985702
301,2014-04-22,75.19,76.19,74.95,75.76,6199367,UNH,75.20456448462201
302,2014-04-23,75.81,76.07,75.11,75.33,4645725,UNH,75.24166674292293
303,2014-04-24,76.15,77.08,75.91,76.59,4604993,UNH,75.86957290948062
304,2014-04-25,76.57,77.29,75.23,75.66,5416238,UNH,76.16675179676272
305,2014-04-28,76.35,76.58,75.42,75.74,5346755,UNH,76.6200309098471
306,2014-04-29,75.95,76.21,74.885,75.2,4813169,UNH,76.37214567851865
307,2014-04-30,75.25,76.19,74.92,75.04,6435883,UNH,75.91070652370013
308,2014-05-01,75.05,75.4,74.26,74.95,4597953,UNH,75.19438761455575
309,2014-05-02,74.68,75.33,74.51,75.03,3794748,UNH,74.9826493858213
310,2014-05-05,74.83,75.31,74.3,75.23,4476125,UNH,74.68287100276959
311,2014-05-06,75.13,75.6,74.89,75.26,4728216,UNH,74.81179144520227
312,2014-05-07,75.59,77.95,75.08,77.91,6383483,UNH,75.15853026149618
313,2014-05-08,77.82,78.06,76.74,76.89,4943133,UNH,75.63658543644563
314,2014-05-09,76.82,77.3,76.62,76.95,3465602,UNH,77.86705310781844
315,2014-05-12,77.2,78.02,77.1,77.74,3110874,UNH,77.08701136334
316,2014-05-13,77.86,78.22,77.53,78.04,3059008,UNH,77.01241028002185
317,2014-05-14,78.05,78.05,76.94,77.17,2635300,UNH,77.8181458910501
318,2014-05-15,77.16,77.32,76.23,76.48,3075204,UNH,78.17226066523513
319,2014-05-16,76.35,76.67,76.01,76.65,2974554,UNH,77.17650363086675
320,2014-05-19,76.42,77.23,76.36,77.2,2149084,UNH,76.22217421822486
321,2014-05-20,77.19,77.4,76.36,76.66,2806514,UNH,76.32863949715352
322,2014-05-21,76.71,77.88,76.63,77.72,2401209,UNH,77.23843714218428
323,2014-05-22,77.71,78.63,77.63,78.34,3147002,UNH,76.82694335938105
324,2014-05-23,78.65,79.0,78.3622,78.77,2251500,UNH,77.6324836247463
325,2014-05-27,79.23,79.33,78.66,79.11,2645515,UNH,78.73723425468853
326,2014-05-28,78.97,79.21,78.3,78.58,2250873,UNH,79.33661676612809
327,2014-05-29,78.6,79.425,78.08,79.37,3526776,UNH,78.99571199317992
328,2014-05-30,79.24,79.74,78.88,79.63,5139572,UNH,78.52360286609614
329,2014-06-02,79.77,79.93,79.32,79.47,1986392,UNH,79.17608218654678
330,2014-06-03,79.31,80.18,79.28,79.88,2841136,UNH,79.85298201959309
331,2014-06-04,79.73,80.57,79.48,80.51,3552853,UNH,79.37398452866239
332,2014-06-05,80.48,80.75,79.68,79.8,3453679,UNH,79.65098183663481
333,2014-06-06,79.99,80.32,79.57,79.93,3286592,UNH,80.51028952779843
334,2014-06-09,80.05,80.25,79.26,79.76,2801673,UNH,80.08113402161008
335,2014-06-10,79.6,79.995,79.47,79.81,2459185,UNH,79.97935760398211
336,2014-06-11,79.76,80.34,79.42,80.17,2733575,UNH,79.59043319104508
337,2014-06-12,79.78,80.0,79.095,79.44,2559953,UNH,79.71902164616225
338,2014-06-13,79.34,79.37,78.6,79.18,2265154,UNH,79.80334912858912
339,2014-06-16,79.18,79.21,77.81,78.0,4547770,UNH,79.35626786295117
340,2014-06-17,77.9,78.25,77.53,78.17,3430890,UNH,79.12967738006256
341,2014-06-18,78.17,79.37,77.78,79.21,4823037,UNH,77.89296582751109
342,2014-06-19,79.35,80.79,79.26,80.51,4544281,UNH,78.03979459055607
343,2014-06-20,80.83,81.485,80.46,81.41,7366539,UNH,79.39429024463963
344,2014-06-23,81.39,81.65,80.98,81.49,3066875,UNH,80.99628847453938
345,2014-06-24,81.43,82.385,81.42,81.74,4685483,UNH,81.52464785423365
346,2014-06-25,81.35,82.38,80.81,82.34,3634609,UNH,81.4182231748746
347,2014-06-26,82.48,82.48,81.66,82.29,2916113,UNH,81.28691707198438
348,2014-06-27,81.69,82.11,81.31,82.0,4755622,UNH,82.46334641727492
349,2014-06-30,82.28,82.54,81.595,81.75,3916130,UNH,81.81130208622089
350,2014-07-01,81.74,82.35,81.65,81.89,5482404,UNH,82.17338994131887
351,2014-07-02,81.8,82.52,81.07,82.49,3693498,UNH,81.78925133969044
352,2014-07-03,82.59,83.44,82.32,83.35,2183356,UNH,81.75013915412846
353,2014-07-07,82.99,83.1,81.79,82.22,2558521,UNH,82.58424403784498
354,2014-07-08,82.02,82.07,81.38,81.93,2972233,UNH,83.0938217902546
355,2014-07-09,81.98,82.75,81.89,82.74,3079544,UNH,82.04805253678025
356,2014-07-10,81.28,82.51,81.05,82.08,3829357,UNH,81.84574184881181
357,2014-07-11,81.92,83.13,81.726,82.87,2758370,UNH,81.28398734567642
358,2014-07-14,83.33,84.69,83.21,84.27,3800692,UNH,81.87228960404887
359,2014-07-15,84.04,84.74,83.7323,83.9,4375967,UNH,83.4130416756497
360,2014-07-16,84.07,84.13,83.215,83.76,3955246,UNH,84.20167089226364
361,2014-07-17,84.25,87.24,83.43,85.11,7118352,UNH,84.08514672750825
362,2014-07-18,85.47,85.78,84.43,85.52,3892050,UNH,84.1882179362316
363,2014-07-21,85.22,85.29,84.03,85.06,4025054,UNH,85.4801126604081
364,2014-07-22,85.52,86.76,85.47,86.05,4366881,UNH,85.34553407010158
365,2014-07-23,86.31,86.545,85.77,85.94,2596329,UNH,85.46250118820447
366,2014-07-24,85.45,86.33,85.29,85.68,4022427,UNH,86.31613844346039
367,2014-07-25,84.12,85.01,84.0,84.68,3362632,UNH,85.53772029263575
368,2014-07-28,85.03,85.9,84.6,85.75,2206871,UNH,84.00389347947805
369,2014-07-29,84.96,85.56,83.99,84.27,4897834,UNH,84.88896335611845
370,2014-07-30,84.76,84.87,81.72,82.95,7171944,UNH,85.08706811151052
371,2014-07-31,81.77,82.18,80.545,81.05,5345605,UNH,84.78303714598971
372,2014-08-01,81.59,82.53,81.155,82.27,3197713,UNH,81.72531761060769
373,2014-08-04,81.59,82.53,81.155,82.27,3197713,UNH,81.31383574343222
374,2014-08-05,81.83,82.53,80.57,80.99,4599538,UNH,81.65025703248527
375,2014-08-06,80.95,82.1199,80.74,81.5,3311312,UNH,81.87085852614283
376,2014-08-07,81.0,81.09,79.16,79.26,5471126,UNH,80.94973957823447
377,2014-08-08,79.41,80.19,78.74,80.12,3713398,UNH,80.91248756137257
378,2014-08-11,80.39,80.65,79.76,79.87,3460399,UNH,79.43150911049574
379,2014-08-12,79.61,80.39,79.53,80.22,3206150,UNH,80.23780471810876
380,2014-08-13,80.62,81.67,80.385,81.51,3049868,UNH,79.75229022387813
381,2014-08-14,81.71,82.07,80.1599,81.82,2241095,UNH,80.50169859300601
382,2014-08-15,82.21,82.28,80.81,81.47,2442721,UNH,81.82079162323461
383,2014-08-18,81.77,82.48,81.35,82.34,2795757,UNH,82.29473951889295
384,2014-08-19,82.49,83.76,82.05,83.47,3549430,UNH,81.77874019045652
385,2014-08-20,82.94,83.75,82.36,83.43,2579624,UNH,82.42626132014934
386,2014-08-21,83.61,84.1,83.59,83.77,2648527,UNH,83.0245934740325
387,2014-08-22,83.6,84.0,83.46,83.78,2089466,UNH,83.63388416511515
388,2014-08-25,84.39,84.75,83.95,84.24,1988101,UNH,83.65340711316043
389,2014-08-26,84.45,85.34,84.15,85.12,2269197,UNH,84.37177714297533
390,2014-08-27,85.18,86.97,84.96,86.38,5804220,UNH,84.53375568041773
391,2014-08-28,86.0,87.0,85.52,86.34,2753827,UNH,85.16491912508607
392,2014-08-29,86.75,87.23,86.35,86.68,3297485,UNH,86.08040389140344
393,2014-09-02,87.12,87.22,85.76,86.39,3726067,UNH,86.82331982458767
394,2014-09-03,86.78,87.35,86.42,86.79,2824458,UNH,87.18439348878807
395,2014-09-04,86.76,88.45,86.71,87.06,3650146,UNH,86.80387211157942
396,2014-09-05,86.95,87.8,86.74,87.75,3873450,UNH,86.72147355939583
397,2014-09-08,87.7,88.0,87.42,87.91,2298199,UNH,86.9648346017969
398,2014-09-09,88.0,88.85,87.49,88.56,4413984,UNH,87.72527359057962
399,2014-09-10,88.44,88.5,86.69,87.25,3355823,UNH,88.07241002723644
400,2014-09-11,86.76,87.12,86.2,87.08,3035393,UNH,88.45391454149112
401,2014-09-12,87.24,87.24,85.86,86.18,2582410,UNH,86.7934426203834
402,2014-09-15,86.3,86.82,85.83,86.03,2441860,UNH,87.05820068463899
403,2014-09-16,86.0,87.37,85.85,87.16,2973828,UNH,86.41269905214216
404,2014-09-17,86.95,87.5597,86.474,86.99,3302717,UNH,85.87632991532482
405,2014-09-18,87.42,87.97,87.19,87.63,2583988,UNH,86.93425228426513
406,2014-09-19,88.51,88.72,87.6401,87.8,6486285,UNH,87.53286364221405
407,2014-09-22,87.8,88.44,87.48,87.77,2335394,UNH,88.52984940604077
408,2014-09-23,87.32,87.69,86.38,86.59,2640243,UNH,87.89468678889796
409,2014-09-24,86.62,88.46,86.6,88.21,2661475,UNH,87.21098842595475
410,2014-09-25,87.79,88.0,86.03,86.18,3657085,UNH,86.59036606393781
411,2014-09-26,86.25,86.97,85.91,86.6,2260493,UNH,87.74975566766857
412,2014-09-29,85.58,86.95,85.58,86.51,3114772,UNH,86.40522373786851
413,2014-09-30,86.68,87.08,86.115,86.25,2843214,UNH,85.37126775580478
414,2014-10-01,86.0,86.26,84.61,84.88,4140232,UNH,86.65624690304521
415,2014-10-02,84.85,85.27,83.73,84.9,3046995,UNH,86.13940639178901
416,2014-10-03,85.37,86.28,85.07,86.02,3108080,UNH,84.76250696512747
417,2014-10-06,86.65,86.945,84.95,85.09,2596071,UNH,85.28196209882502
