,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,46.81,46.945,46.1833,46.91,12412630,VZ,46.869519936036625
253,2014-02-11,47.04,47.37,46.91,47.21,16249831,VZ,46.717890919297155
254,2014-02-12,47.44,47.44,47.06,47.37,23460865,VZ,47.07230836354872
255,2014-02-13,47.24,47.46,47.0,47.31,18863830,VZ,47.421105075527784
256,2014-02-14,47.14,47.14,46.42,46.51,26399037,VZ,47.2217566206996
257,2014-02-18,46.47,46.5,45.45,45.98,34926654,VZ,47.14364975156293
258,2014-02-19,45.74,46.84,45.56,46.53,34111008,VZ,46.518507623538866
259,2014-02-20,46.81,48.34,46.75,48.12,48976883,VZ,45.82502105886089
260,2014-02-21,47.5499,48.25,47.18,47.27,60839123,VZ,46.874007366653544
261,2014-02-24,47.02,47.2,46.23,46.23,618237630,VZ,47.456699433275396
262,2014-02-25,46.42,46.76,46.19,46.29,146504915,VZ,46.827437884135
263,2014-02-26,46.09,46.5,45.885,46.35,102723889,VZ,46.402564581314415
264,2014-02-27,46.34,47.78,46.28,47.5,139461810,VZ,46.293640269320754
265,2014-02-28,47.45,47.76,47.21,47.58,62319916,VZ,46.46214665615746
266,2014-03-03,47.3,47.68,46.82,47.31,60289074,VZ,47.38135952464645
267,2014-03-04,47.54,48.39,47.47,47.9,52246922,VZ,47.09725048076175
268,2014-03-05,47.82,47.87,47.34,47.38,40213212,VZ,47.47180414784361
269,2014-03-06,47.46,47.53,47.25,47.46,30899185,VZ,47.84652878973385
270,2014-03-07,47.41,47.43,46.86,47.15,41090539,VZ,47.52906532003252
271,2014-03-10,46.79,47.06,46.5,47.03,32385865,VZ,47.423121078585865
272,2014-03-11,46.73,46.79,46.36,46.7,42641029,VZ,46.83522266997618
273,2014-03-12,46.57,46.61,46.13,46.36,45524204,VZ,46.82093508281495
274,2014-03-13,46.35,46.56,45.96,46.03,35184160,VZ,46.56701580999214
275,2014-03-14,45.84,46.27,45.83,46.08,27874530,VZ,46.35597283663352
276,2014-03-17,46.22,46.52,46.1,46.31,26394937,VZ,45.80095862344679
277,2014-03-18,46.32,46.75,46.2,46.7,26373700,VZ,46.2754849994867
278,2014-03-19,46.63,46.99,46.19,46.36,35065228,VZ,46.28635990580958
279,2014-03-20,46.41,47.25,46.26,47.21,31613427,VZ,46.576179224971774
280,2014-03-21,47.3,47.41,46.7,46.91,38892248,VZ,46.32870032946811
281,2014-03-24,46.81,47.1,46.38,47.01,34926056,VZ,47.34600998136066
282,2014-03-25,47.02,47.36,46.77,47.22,23581834,VZ,46.75256434151838
283,2014-03-26,47.4,47.66,47.01,47.01,24384774,VZ,47.041887132356244
284,2014-03-27,46.98,47.7,46.97,47.69,32560040,VZ,47.398176776134626
285,2014-03-28,47.63,47.93,47.15,47.42,25700265,VZ,47.01234542355437
286,2014-03-31,47.66,47.83,47.5,47.57,20744092,VZ,47.60042260552118
287,2014-04-01,47.54,47.78,47.2,47.75,19712827,VZ,47.641981906052806
288,2014-04-02,47.66,48.18,47.63,47.82,25154901,VZ,47.54433655953527
289,2014-04-03,47.94,48.17,47.61,48.12,19320865,VZ,47.63294486514597
290,2014-04-04,48.26,48.35,47.96,48.04,20776403,VZ,47.99565610554538
291,2014-04-07,47.7,48.325,47.69,48.12,30359546,VZ,48.22846094473851
292,2014-04-08,47.67,48.23,47.525,48.21,36508243,VZ,47.651951733998025
293,2014-04-09,48.17,48.18,47.52,47.98,30318456,VZ,47.725196327992705
294,2014-04-10,47.71,48.46,47.419,47.47,33518266,VZ,48.2235798327322
295,2014-04-11,47.35,47.44,47.02,47.07,25824660,VZ,47.69298822128136
296,2014-04-14,47.26,47.33,46.83,47.27,19034015,VZ,47.32550188073679
297,2014-04-15,47.26,47.31,46.765,46.92,20922980,VZ,47.31758099575692
298,2014-04-16,47.03,47.16,46.7,47.1,18851273,VZ,47.32554744513554
299,2014-04-17,46.87,47.7,46.87,47.6,23242122,VZ,46.9857176743961
300,2014-04-21,47.77,48.0,47.75,47.98,13280841,VZ,46.857737033966686
301,2014-04-22,47.99,48.37,47.75,47.92,20830294,VZ,47.777057184882594
302,2014-04-23,47.3,47.67,46.75,47.43,38239710,VZ,47.89936740879123
303,2014-04-24,47.4,47.49,46.07,46.28,41610870,VZ,47.226586940619256
304,2014-04-25,46.08,46.25,45.85,45.94,24431457,VZ,47.463563518030725
305,2014-04-28,46.22,46.69,46.15,46.6,22320807,VZ,46.199671579257895
306,2014-04-29,46.67,46.9,46.31,46.77,15552173,VZ,46.36394833304388
307,2014-04-30,46.7,46.86,46.6,46.73,16281395,VZ,46.63321613238656
308,2014-05-01,46.63,47.23,46.6,47.22,22787418,VZ,46.65989009473981
309,2014-05-02,46.96,47.41,46.81,47.12,18140232,VZ,46.484482093094186
310,2014-05-05,47.14,47.43,47.03,47.39,12612715,VZ,46.97382829099622
311,2014-05-06,47.36,47.48,47.26,47.47,14031404,VZ,47.14629434884948
312,2014-05-07,47.52,48.43,47.45,48.1,23606564,VZ,47.329438634763335
313,2014-05-08,48.07,48.63,48.07,48.49,17359756,VZ,47.483067310695674
314,2014-05-09,48.36,48.68,48.25,48.48,14518133,VZ,48.070840861315396
315,2014-05-12,48.59,48.63,48.02,48.16,13582378,VZ,48.314683099081876
316,2014-05-13,48.32,48.34,47.64,47.85,18017013,VZ,48.56263508716322
317,2014-05-14,48.0,48.32,47.8,48.01,13875195,VZ,48.30600753506641
318,2014-05-15,47.85,48.24,47.84,47.96,13115429,VZ,48.07097978391049
319,2014-05-16,48.71,49.3,48.54,49.07,29389728,VZ,47.91846577285632
320,2014-05-19,49.13,49.5,49.06,49.15,19062600,VZ,48.7508253284055
321,2014-05-20,49.36,49.38,48.62,48.65,14023956,VZ,49.020877941859105
322,2014-05-21,48.9,49.36,48.82,49.17,13950131,VZ,49.25393250017986
323,2014-05-22,49.3,49.51,49.25,49.45,13753530,VZ,48.84801430024923
324,2014-05-23,49.47,49.74,49.375,49.74,12052215,VZ,49.414220971645086
325,2014-05-27,49.97,50.01,49.43,49.62,12227972,VZ,49.48826781401733
326,2014-05-28,49.49,49.9,49.47,49.74,11587383,VZ,49.95160613749286
327,2014-05-29,49.8,49.9,49.49,49.72,10309863,VZ,49.3984879296816
328,2014-05-30,49.55,50.0,49.55,49.96,12408314,VZ,49.85799316996019
329,2014-06-02,50.02,50.33,49.96,50.05,14365265,VZ,49.56717504304594
330,2014-06-03,49.75,49.82,49.19,49.29,19683688,VZ,50.06011124062406
331,2014-06-04,49.32,49.365,49.07,49.15,12696107,VZ,49.686185254538664
332,2014-06-05,49.21,49.556,49.02,49.28,9855927,VZ,49.35152915322727
333,2014-06-06,49.45,49.48,48.85,49.42,13919645,VZ,49.24918903237037
334,2014-06-09,49.23,49.64,49.23,49.57,10144965,VZ,49.51712523968663
335,2014-06-10,49.45,49.55,49.29,49.52,11034662,VZ,49.18558117939382
336,2014-06-11,49.35,49.57,49.32,49.37,10039657,VZ,49.41619118143176
337,2014-06-12,49.27,49.35,48.75,49.04,11524658,VZ,49.33626926102091
338,2014-06-13,48.93,49.31,48.81,49.18,11121696,VZ,49.28688057383686
339,2014-06-16,49.23,49.42,49.05,49.31,9172249,VZ,48.93161759333462
340,2014-06-17,49.19,49.355,48.95,49.21,11086403,VZ,49.27838810847229
341,2014-06-18,49.01,49.42,48.8,49.42,11917013,VZ,49.17090365114158
342,2014-06-19,49.42,49.77,49.29,49.47,11275702,VZ,48.98848880621179
343,2014-06-20,49.75,49.75,49.2,49.39,18210631,VZ,49.40776876496337
344,2014-06-23,49.36,49.76,49.12,49.73,11860010,VZ,49.74063761566292
345,2014-06-24,49.74,49.79,49.19,49.28,13541703,VZ,49.30788055405194
346,2014-06-25,49.14,49.49,49.11,49.41,11334307,VZ,49.74546154653718
347,2014-06-26,49.41,49.41,48.87,49.21,9332597,VZ,49.17529711759895
348,2014-06-27,49.17,49.335,48.88,49.32,12390063,VZ,49.4618056508518
349,2014-06-30,49.27,49.45,48.81,48.93,16818489,VZ,49.155961688288514
350,2014-07-01,48.88,49.55,48.82,49.37,14298501,VZ,49.29711543945243
351,2014-07-02,49.52,49.73,49.32,49.66,11576149,VZ,48.849202733596414
352,2014-07-03,49.9,49.94,49.35,49.71,8238567,VZ,49.547799888398366
353,2014-07-07,49.61,49.88,49.55,49.75,13939261,VZ,49.84002518324489
354,2014-07-08,49.01,49.07,48.76,48.76,12858230,VZ,49.548063691148705
355,2014-07-09,48.99,49.11,48.72,48.9,14438372,VZ,49.010237730711815
356,2014-07-10,48.59,49.77,48.54,49.64,18425201,VZ,49.120108691922006
357,2014-07-11,49.85,50.43,49.67,50.32,17741199,VZ,48.65872277453723
358,2014-07-14,50.44,50.6,50.15,50.53,13024984,VZ,49.81971564504521
359,2014-07-15,50.57,50.82,50.37,50.71,14250973,VZ,50.291974591390506
360,2014-07-16,50.89,51.015,50.67,50.96,12798832,VZ,50.42543543387924
361,2014-07-17,50.79,50.98,50.24,50.32,11492641,VZ,50.81904618575743
362,2014-07-18,50.62,50.85,50.445,50.75,10131636,VZ,50.85684768165046
363,2014-07-21,50.82,51.0,50.54,50.7,11338524,VZ,50.655721653469726
364,2014-07-22,50.98,51.14,50.41,50.98,15037383,VZ,50.84920087258046
365,2014-07-23,50.98,51.2,50.78,50.91,11912994,VZ,50.99274818693386
366,2014-07-24,50.96,51.45,50.71,51.05,17616157,VZ,50.94517393606171
367,2014-07-25,51.07,51.4799,51.07,51.28,11063240,VZ,50.93975483572056
368,2014-07-28,51.26,51.58,51.18,51.58,9601109,VZ,51.085750928510116
369,2014-07-29,53.19,53.66,51.88,51.97,32966125,VZ,51.2600417391284
370,2014-07-30,51.94,52.15,51.42,51.76,12769235,VZ,53.14038056371654
371,2014-07-31,51.26,51.38,50.35,50.42,21258154,VZ,51.80508357738166
372,2014-08-01,50.52,50.52,49.83,49.83,18256602,VZ,51.2886666257544
373,2014-08-04,50.04,50.3,49.64,50.21,11702943,VZ,50.72399968674207
374,2014-08-05,50.15,50.2,49.5,49.66,11567207,VZ,50.311749948424506
375,2014-08-06,49.4,49.45,48.36,49.13,18996610,VZ,50.15307221101445
376,2014-08-07,49.16,49.32,48.45,48.65,12153308,VZ,49.3807400760313
377,2014-08-08,48.73,49.1,48.2,48.7,15404388,VZ,49.154479711485514
378,2014-08-11,48.89,49.0355,48.61,48.67,11839202,VZ,48.76132443757957
379,2014-08-12,48.8,48.95,48.555,48.84,12325975,VZ,48.93976308928167
380,2014-08-13,49.0,49.02,48.76,48.92,10897821,VZ,48.750650933937436
381,2014-08-14,49.02,49.02,48.81,49.0,11539256,VZ,48.97011387327728
382,2014-08-15,48.9,49.05,48.5,48.8,16380737,VZ,48.97534087311518
383,2014-08-18,49.05,49.14,48.64,48.78,12682058,VZ,48.90103212864814
384,2014-08-19,49.03,49.04,48.27,48.7,17348706,VZ,49.04850766253846
385,2014-08-20,48.82,48.97,48.6,48.82,10685680,VZ,49.043496286524864
386,2014-08-21,48.86,49.15,48.73,48.87,10197214,VZ,48.81717804747798
387,2014-08-22,48.83,48.98,48.52,48.64,9991932,VZ,48.86722430603726
388,2014-08-25,48.68,49.16,48.68,49.15,9914242,VZ,48.85309839668961
389,2014-08-26,49.21,49.29,49.02,49.25,10367139,VZ,48.679846439442315
390,2014-08-27,49.29,49.46,49.21,49.43,11500786,VZ,49.19529783594604
391,2014-08-28,49.38,49.5,49.2,49.41,8026665,VZ,49.260504647903204
392,2014-08-29,49.43,49.82,49.4,49.82,11260146,VZ,49.33603771677244
393,2014-09-02,49.82,50.0,49.5,49.77,8726415,VZ,49.40716183359345
394,2014-09-03,49.94,50.0,49.69,49.88,9100935,VZ,49.84758593038163
395,2014-09-04,49.93,49.94,49.51,49.72,9473532,VZ,49.9126896439999
396,2014-09-05,49.73,50.03,49.56,49.94,11927378,VZ,49.90512782407683
397,2014-09-08,49.87,49.88,49.35,49.53,9006018,VZ,49.733781930522746
398,2014-09-09,49.42,49.52,48.8,48.9,14611440,VZ,49.91620133715706
399,2014-09-10,49.03,49.07,48.37,48.75,14370286,VZ,49.440495856630754
400,2014-09-11,48.65,49.08,48.33,49.01,13199570,VZ,49.05997725018747
401,2014-09-12,49.0,49.0,48.26,48.4,15362323,VZ,48.69718613742598
402,2014-09-15,48.49,48.6,48.3,48.56,12452246,VZ,49.05430617591141
403,2014-09-16,48.54,49.14,48.52,48.96,13801011,VZ,48.45767680441901
404,2014-09-17,49.05,49.48,48.95,49.21,16319524,VZ,48.51945920406936
405,2014-09-18,49.48,49.72,49.37,49.69,12464218,VZ,49.04029858192326
406,2014-09-19,50.04,50.38,49.83,50.35,30872034,VZ,49.45327491484516
407,2014-09-22,50.11,50.32,49.83,50.18,14728531,VZ,49.930419954649466
408,2014-09-23,50.09,50.15,49.78,49.91,10614468,VZ,50.050954912259094
409,2014-09-24,49.98,50.15,49.82,50.07,11488562,VZ,50.09418127378977
410,2014-09-25,50.1,50.2,49.43,49.61,13665820,VZ,50.015457246110714
411,2014-09-26,49.57,49.91,49.31,49.77,9036184,VZ,50.15086208856959
412,2014-09-29,49.62,49.79,49.21,49.75,9218274,VZ,49.58094414624678
413,2014-09-30,49.67,50.24,49.6,49.99,13068936,VZ,49.64704130009419
414,2014-10-01,49.73,49.95,49.4,49.43,16816120,VZ,49.69070187953963
415,2014-10-02,49.7,49.73,49.2,49.29,14430319,VZ,49.72768373237919
416,2014-10-03,49.7,49.83,49.495,49.71,12073538,VZ,49.65443574700771
417,2014-10-06,49.95,50.26,49.92,50.08,11034363,VZ,49.70248530592899
418,2014-10-07,49.99,50.0325,49.67,49.68,17252110,VZ,49.95227448117401
419,2014-10-08,49.15,49.87,48.95,49.87,15516084,VZ,49.97597446051366
420,2014-10-09,49.78,49.8872,48.84,48.93,14909392,VZ,49.14218557852581
421,2014-10-10,49.0,49.5,48.94,48.94,19412480,VZ,49.82766206006186
422,2014-10-13,49.05,49.46,48.36,48.37,19600483,VZ,49.0470099061463
423,2014-10-14,48.48,48.68,48.1,48.22,18526969,VZ,49.06065696437276
424,2014-10-15,47.74,48.07,46.89,47.92,27895541,VZ,48.485542132696935
425,2014-10-16,47.41,48.04,47.03,47.67,19075679,VZ,47.83291326890467
426,2014-10-17,47.8,48.19,47.61,48.07,18086282,VZ,47.433166297398316
427,2014-10-20,48.06,48.55,47.81,48.48,13047384,VZ,47.85594612662048
428,2014-10-21,48.09,48.85,47.95,48.69,22564467,VZ,48.00262797919095
429,2014-10-22,48.69,48.84,48.26,48.31,13315969,VZ,47.992048208813486
430,2014-10-23,48.58,48.6,47.85,48.22,15039242,VZ,48.64121181049856
431,2014-10-24,48.22,49.11,48.1,48.77,13549502,VZ,48.57189289792917
432,2014-10-27,48.78,49.54,48.73,49.42,13089753,VZ,48.21534935556721
433,2014-10-28,49.7,50.03,49.6101,49.96,13254560,VZ,48.80297261939084
434,2014-10-29,50.05,50.25,49.55,49.83,11724487,VZ,49.71037342580862
435,2014-10-30,49.63,50.28,49.5,49.9,11979130,VZ,49.9424848765185
436,2014-10-31,50.42,50.5,50.07,50.25,17778466,VZ,49.53706328899902
437,2014-11-03,50.49,50.65,50.05,50.39,11575699,VZ,50.468286899965506
438,2014-11-04,50.41,50.92,50.13,50.33,14041958,VZ,50.529559097446906
439,2014-11-05,50.69,50.98,49.93,50.34,11064097,VZ,50.38319803687831
440,2014-11-06,50.37,50.38,49.67,50.28,13293223,VZ,50.668521688283704
441,2014-11-07,50.33,50.87,50.12,50.86,14008697,VZ,50.41792341874254
442,2014-11-10,50.72,51.05,50.15,50.72,17367589,VZ,50.34136736322696
443,2014-11-11,50.94,50.95,50.33,50.61,9168951,VZ,50.72939740901041
444,2014-11-12,50.35,51.02,50.3,50.82,9888652,VZ,50.928705146023205
445,2014-11-13,50.66,51.29,50.64,51.2,11267141,VZ,50.30303998369428
446,2014-11-14,51.26,51.73,51.18,51.5,12742088,VZ,50.68546078488778
447,2014-11-17,51.41,51.48,51.14,51.4,6887136,VZ,51.285688502601616
448,2014-11-18,51.42,51.42,51.06,51.22,8995807,VZ,51.356816442630816
449,2014-11-19,51.0,51.03,50.29,50.49,15773152,VZ,51.34486072555708
450,2014-11-20,50.41,50.52,49.962,50.19,9856206,VZ,51.02847229674445
451,2014-11-21,50.53,50.54,49.7,50.21,19979610,VZ,50.489865238664876
452,2014-11-24,49.55,49.89,48.86,49.5,17759794,VZ,50.60147656884058
453,2014-11-25,49.34,49.52,48.91,49.34,13837213,VZ,49.58114443784368
454,2014-11-26,49.37,50.17,49.32,50.04,11962119,VZ,49.36617301816965
455,2014-11-28,50.2,50.8,50.2,50.59,9524572,VZ,49.3895991494727
456,2014-12-01,50.68,50.84,50.0,50.03,11949097,VZ,50.19342821962949
457,2014-12-02,49.8,50.015,49.05,49.11,18141045,VZ,50.554319166333336
458,2014-12-03,49.02,49.02,48.28,48.79,22429242,VZ,49.718627989806286
459,2014-12-04,48.73,48.9,48.41,48.78,14648089,VZ,49.07442535051186
