,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,45.39,45.62,45.22,45.52,12522521,WFC,45.15906686228323
253,2014-02-11,45.54,46.09,45.46,45.97,13577163,WFC,45.25783663316484
254,2014-02-12,45.96,46.25,45.81,45.99,12219422,WFC,45.572943240766826
255,2014-02-13,45.56,46.07,45.44,45.98,14638566,WFC,45.89649256761359
256,2014-02-14,46.03,46.28,45.81,46.13,11372314,WFC,45.50426313559047
257,2014-02-18,46.29,46.3299,46.07,46.13,12151989,WFC,46.11536528505359
258,2014-02-19,46.05,46.251,45.48,45.53,16219307,WFC,46.1738375756101
259,2014-02-20,45.39,45.85,45.25,45.63,13443399,WFC,46.116491054616546
260,2014-02-21,45.62,46.06,45.48,45.6,15452681,WFC,45.35898570213165
261,2014-02-24,45.73,46.4262,45.7,46.08,14234573,WFC,45.681878370100655
262,2014-02-25,46.2,46.26,45.95,46.08,13842818,WFC,45.69234455301184
263,2014-02-26,46.35,46.43,45.81,46.05,13918518,WFC,46.26292529945045
264,2014-02-27,45.95,46.08,45.61,46.05,13849543,WFC,46.25015760069622
265,2014-02-28,46.1,46.65,46.01,46.42,16349402,WFC,45.95381435817172
266,2014-03-03,46.11,46.24,45.96,46.15,16067568,WFC,46.118620588410884
267,2014-03-04,46.72,46.8,46.43,46.74,14951272,WFC,46.07495757789695
268,2014-03-05,46.82,47.23,46.687,47.09,13660688,WFC,46.78513573259601
269,2014-03-06,47.29,47.5,47.17,47.34,14726410,WFC,46.71029794152149
270,2014-03-07,47.76,48.48,47.6,47.95,20512670,WFC,47.328173408738024
271,2014-03-10,47.9,48.275,47.58,48.15,11860395,WFC,47.66589157994227
272,2014-03-11,48.34,48.36,47.72,47.81,13430875,WFC,47.90704109392145
273,2014-03-12,47.7,48.13,47.56,48.12,13505134,WFC,48.33346916288264
274,2014-03-13,48.23,48.3,47.74,47.84,14813888,WFC,47.63010876635278
275,2014-03-14,47.59,48.07,47.27,47.4,15347268,WFC,48.34551206465098
276,2014-03-17,47.7,48.17,47.58,48.13,11085701,WFC,47.47487237857333
277,2014-03-18,48.17,48.45,48.12,48.4,9757390,WFC,47.86174601280622
278,2014-03-19,48.38,48.41,47.48,47.81,28292983,WFC,48.037487388799136
279,2014-03-20,47.7,49.36,47.7,49.03,25208403,WFC,48.42923360323947
280,2014-03-21,49.79,49.97,49.04,49.12,31046062,WFC,47.66898015745174
281,2014-03-24,49.48,49.49,48.82,48.98,19677616,WFC,49.74857623655618
282,2014-03-25,49.25,49.27,48.91,48.96,14659355,WFC,49.27465112208055
283,2014-03-26,49.19,49.2,48.46,48.5,17399843,WFC,49.4694248087272
284,2014-03-27,49.51,49.79,48.65,49.1,29075059,WFC,49.044277080566765
285,2014-03-28,49.14,49.6125,49.05,49.29,15008037,WFC,49.5016963210992
286,2014-03-31,49.75,49.91,49.46,49.74,17901782,WFC,49.148444198933795
287,2014-04-01,49.88,49.93,49.5,49.77,16398766,WFC,49.764701403208896
288,2014-04-02,49.77,49.88,49.51,49.76,13035427,WFC,49.793151055798695
289,2014-04-03,49.81,49.89,49.56,49.83,9598908,WFC,49.8086672900656
290,2014-04-04,50.05,50.49,49.56,49.56,18702386,WFC,49.798277221713434
291,2014-04-07,49.58,49.67,48.65,48.66,19653743,WFC,50.00754213130187
292,2014-04-08,48.66,48.9993,48.44,48.83,19086946,WFC,49.59381209409929
293,2014-04-09,49.07,49.1,48.61,49.1,15928089,WFC,48.75823683694787
294,2014-04-10,49.22,49.22,47.71,47.71,24910814,WFC,49.08656838451992
295,2014-04-11,47.45,48.87,46.72,48.08,36428623,WFC,49.14724901969131
296,2014-04-14,48.37,48.68,47.44,48.11,24321399,WFC,47.62120423535466
297,2014-04-15,48.27,48.88,48.035,48.78,21749769,WFC,48.49496517507998
298,2014-04-16,49.06,49.23,48.63,49.09,17866556,WFC,48.031233706951205
299,2014-04-17,49.02,49.29,48.8,48.93,19399882,WFC,49.10801329510961
300,2014-04-21,49.08,49.33,48.96,49.12,12477981,WFC,48.98817494079608
301,2014-04-22,49.04,49.49,48.9,49.23,14203811,WFC,49.0826736783291
302,2014-04-23,49.2,49.67,49.2,49.59,13309890,WFC,49.01222959840649
303,2014-04-24,49.74,49.74,49.17,49.32,12617062,WFC,49.16077409726177
304,2014-04-25,49.27,49.45,49.0,49.05,16274458,WFC,49.67637914854698
305,2014-04-28,49.27,49.33,48.53,48.94,18411704,WFC,49.281291323184824
306,2014-04-29,49.27,49.51,49.13,49.47,14753633,WFC,49.32699913756446
307,2014-04-30,49.45,49.75,49.37,49.64,14982821,WFC,49.22415697632997
308,2014-05-01,49.74,49.84,49.45,49.64,11850982,WFC,49.43158014862846
309,2014-05-02,49.77,50.0095,49.5,49.58,13369832,WFC,49.71223894973174
310,2014-05-05,49.28,49.64,49.1,49.56,9128140,WFC,49.75370835112031
