,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,73.59,73.76,72.96,73.76,6236787,WMT,72.94948566514638
253,2014-02-11,73.9,74.85,73.67,74.8,6712699,WMT,73.613754555491
254,2014-02-12,74.22,75.18,74.22,74.96,5372947,WMT,73.8799222505952
255,2014-02-13,74.68,75.49,74.56,75.36,5275177,WMT,74.23095884439488
256,2014-02-14,75.4,75.985,75.1,75.79,4920591,WMT,74.69218197042849
257,2014-02-18,75.49,75.65,74.8647,75.33,5994299,WMT,75.41318835999641
258,2014-02-19,75.01,75.32,74.41,74.85,8145148,WMT,75.47698379819707
259,2014-02-20,73.05,74.0,72.81,73.52,13103284,WMT,75.03407607000547
260,2014-02-21,73.19,73.4,72.82,73.12,8971032,WMT,73.01586716701881
261,2014-02-24,73.24,73.815,73.14,73.35,7326672,WMT,73.3108937729308
262,2014-02-25,73.18,73.74,73.09,73.35,9500619,WMT,73.15905489086195
263,2014-02-26,73.94,75.1,73.79,74.78,9027834,WMT,73.1673361399025
264,2014-02-27,74.78,74.78,74.0901,74.56,5456591,WMT,73.98807908444356
265,2014-02-28,74.48,75.19,74.2,74.7,7445309,WMT,74.75498190762595
266,2014-03-03,74.49,74.67,73.825,74.12,5347575,WMT,74.43594955109275
267,2014-03-04,74.77,75.49,74.66,75.13,7549037,WMT,74.53858531611647
268,2014-03-05,75.32,75.33,74.58,74.8,5526031,WMT,74.74550587283017
269,2014-03-06,74.86,75.11,74.51,74.88,5107196,WMT,75.30412408185873
270,2014-03-07,74.96,74.96,74.365,74.58,5054617,WMT,74.82173941188769
271,2014-03-10,74.52,74.6,74.05,74.43,4844541,WMT,75.0161548280395
272,2014-03-11,74.72,74.97,74.2,74.92,9036284,WMT,74.47571244504377
273,2014-03-12,74.845,75.75,74.82,75.53,8637988,WMT,74.74529715559704
274,2014-03-13,75.71,76.18,74.91,74.93,5824463,WMT,74.83246142265766
275,2014-03-14,74.67,75.07,74.27,74.28,6619016,WMT,75.73310711365265
276,2014-03-17,74.3,74.85,74.01,74.68,5783947,WMT,74.60368957325201
277,2014-03-18,74.66,74.99,74.45,74.77,3943802,WMT,74.37929431929551
278,2014-03-19,74.56,75.11,74.02,74.38,5761073,WMT,74.66979429763562
279,2014-03-20,74.02,75.68,73.86,75.38,8637512,WMT,74.49060910116067
280,2014-03-21,75.89,77.02,75.45,76.1,17180931,WMT,74.05240660074834
281,2014-03-24,76.21,76.8,76.11,76.76,7279659,WMT,75.98258246365867
282,2014-03-25,76.88,77.14,76.16,76.87,7389784,WMT,76.03790199509191
283,2014-03-26,77.08,77.525,76.23,76.23,7736520,WMT,76.93647452339835
284,2014-03-27,76.38,76.8199,76.04,76.14,5596634,WMT,77.08886995008625
285,2014-03-28,76.26,76.595,75.7701,76.01,5871101,WMT,76.28519240533699
286,2014-03-31,76.35,76.78,76.02,76.43,4695643,WMT,76.29020664564078
287,2014-04-01,76.76,77.25,76.54,76.77,5770037,WMT,76.30675512875638
288,2014-04-02,76.58,77.19,76.34,77.18,6078086,WMT,76.7573242357566
289,2014-04-03,77.2,77.55,77.0,77.46,6045985,WMT,76.58076165373862
290,2014-04-04,77.58,77.9,77.25,77.31,6769289,WMT,77.24334969590396
291,2014-04-07,77.23,77.715,77.0949,77.31,7680807,WMT,77.53686861493436
292,2014-04-08,77.09,78.31,76.8,78.18,7498660,WMT,77.19721867019136
293,2014-04-09,78.2,78.22,77.28,77.97,6877819,WMT,77.12587504887945
294,2014-04-10,77.95,78.14,76.65,76.89,7599640,WMT,78.19375145343597
295,2014-04-11,76.78,77.23,76.29,76.5,7978971,WMT,77.8434621210143
296,2014-04-14,76.94,77.55,76.79,77.38,5375940,WMT,76.83042640231596
297,2014-04-15,77.03,77.31,76.44,76.88,6929329,WMT,77.0369249725774
298,2014-04-16,77.31,77.465,77.03,77.22,5036770,WMT,76.9166938430905
299,2014-04-17,77.08,77.75,77.08,77.66,6964745,WMT,77.32757363781292
300,2014-04-21,77.41,77.73,77.18,77.6,4595096,WMT,77.11336076742867
301,2014-04-22,77.52,77.825,77.39,77.56,6465465,WMT,77.43637344987687
302,2014-04-23,77.82,78.2801,77.57,78.04,5806189,WMT,77.48457640086163
303,2014-04-24,78.17,78.47,77.7,78.31,4354918,WMT,77.81317762961619
304,2014-04-25,78.31,78.78,78.02,78.62,5396525,WMT,78.1709085265111
305,2014-04-28,78.86,79.985,78.83,79.76,9598676,WMT,78.27939435994409
306,2014-04-29,79.84,79.87,79.57,79.67,4695718,WMT,78.87065728552781
307,2014-04-30,79.59,79.93,79.51,79.71,6111791,WMT,79.82013809805545
308,2014-05-01,79.73,79.73,79.16,79.7,5098328,WMT,79.51300567002475
309,2014-05-02,79.6,79.76,79.01,79.12,5620034,WMT,79.78707279477614
310,2014-05-05,78.86,78.95,78.505,78.62,4590956,WMT,79.5548707389286
311,2014-05-06,78.33,78.39,77.965,78.01,5638910,WMT,78.80412076047558
312,2014-05-07,77.85,78.099,77.53,77.96,6086214,WMT,78.37802769040773
313,2014-05-08,78.0,78.83,78.0,78.69,4820639,WMT,77.83541796840497
314,2014-05-09,78.52,79.28,78.52,79.2,4896368,WMT,78.0268182526801
315,2014-05-12,78.95,79.23,78.65,79.15,5999823,WMT,78.55180427183632
316,2014-05-13,79.17,79.37,78.99,79.14,4363735,WMT,78.96515005168808
317,2014-05-14,79.05,79.05,78.07,78.74,5608286,WMT,79.19181771423172
318,2014-05-15,76.28,77.44,76.25,76.83,13035789,WMT,79.03206684191252
319,2014-05-16,77.0,77.38,76.65,77.01,7244131,WMT,76.14991542486224
320,2014-05-19,77.11,77.13,76.5,76.61,6131274,WMT,77.20132511869912
321,2014-05-20,76.36,76.37,75.52,75.69,7441355,WMT,76.97736839726277
322,2014-05-21,75.94,75.96,75.27,75.66,5704092,WMT,76.41440635684013
323,2014-05-22,75.79,75.921,75.24,75.39,5243663,WMT,76.1556581979263
324,2014-05-23,75.56,75.75,75.43,75.61,3703626,WMT,75.75529247738974
325,2014-05-27,75.71,75.81,75.29,75.59,5379301,WMT,75.55068760338833
326,2014-05-28,75.38,75.94,75.34,75.53,5036879,WMT,75.76833068420093
327,2014-05-29,75.67,76.19,75.57,75.98,4003511,WMT,75.37443912141023
328,2014-05-30,76.06,76.81,76.01,76.77,5974016,WMT,75.71636404740998
329,2014-06-02,76.58,77.11,76.47,76.76,4395340,WMT,76.04419656866864
330,2014-06-03,76.74,76.97,76.36,76.71,7213733,WMT,76.56699487969846
331,2014-06-04,76.6,77.3,76.53,77.13,6199894,WMT,76.7330204890523
332,2014-06-05,77.05,77.44,76.87,77.32,4695821,WMT,76.58475091800715
333,2014-06-06,77.46,77.59,77.07,77.21,4195073,WMT,77.0542740643157
334,2014-06-09,77.07,77.76,76.7,77.01,5552326,WMT,77.40395586678653
335,2014-06-10,76.81,76.94,76.5148,76.62,3365665,WMT,77.03862899833702
336,2014-06-11,76.55,76.74,76.05,76.16,4463301,WMT,76.85449383632175
337,2014-06-12,76.05,76.19,75.58,75.73,5336596,WMT,76.52406558551941
338,2014-06-13,75.67,75.76,75.12,75.28,4981452,WMT,76.02861671881375
339,2014-06-16,75.11,75.48,75.02,75.34,3846878,WMT,75.70996641763776
340,2014-06-17,75.29,75.42,74.915,74.99,6544215,WMT,75.11617212193751
341,2014-06-18,75.04,75.96,74.92,75.7,6740696,WMT,75.33816174347922
342,2014-06-19,75.88,76.28,75.8,75.87,5255313,WMT,75.02443088469093
343,2014-06-20,76.16,76.17,75.12,75.68,11335802,WMT,75.95123670758879
344,2014-06-23,75.56,75.94,75.3,75.79,4276034,WMT,76.1275873214151
345,2014-06-24,76.03,76.21,75.6849,75.97,5659196,WMT,75.5472406837323
346,2014-06-25,75.76,75.84,75.28,75.62,4318156,WMT,76.10314869164161
347,2014-06-26,75.52,75.61,74.7,74.91,6922337,WMT,75.64850760814292
348,2014-06-27,74.8,75.38,74.67,75.34,13960847,WMT,75.54618359531267
349,2014-06-30,75.395,75.69,74.94,75.07,6666648,WMT,74.81760412180381
350,2014-07-01,75.27,75.42,74.75,75.28,6604504,WMT,75.4265961802236
351,2014-07-02,75.26,75.9,75.25,75.62,4366772,WMT,75.21515410581345
352,2014-07-03,75.61,76.05,75.52,75.75,2873959,WMT,75.30828462041383
353,2014-07-07,75.69,76.21,75.55,76.07,5027994,WMT,75.65058576976219
354,2014-07-08,76.09,76.98,76.03,76.65,7960476,WMT,75.63231664390577
355,2014-07-09,76.77,77.33,76.62,77.21,6240126,WMT,76.11307675952168
356,2014-07-10,76.91,77.569,76.91,77.06,5372478,WMT,76.75856041593876
357,2014-07-11,76.87,76.97,76.56,76.82,4547543,WMT,76.86099930629479
358,2014-07-14,77.13,77.25,76.48,76.55,4822869,WMT,76.87867916567771
359,2014-07-15,76.56,76.93,76.56,76.84,4686766,WMT,77.11772241504666
360,2014-07-16,76.9,77.05,76.7,76.86,3743501,WMT,76.48620538114687
361,2014-07-17,76.58,77.05,76.44,76.61,4630252,WMT,76.94958056362387
362,2014-07-18,76.62,77.1,76.51,77.09,4913346,WMT,76.52825437183765
363,2014-07-21,76.76,76.91,76.48,76.77,3457586,WMT,76.64555248727936
364,2014-07-22,76.84,76.89,76.4,76.64,4383167,WMT,76.77667467110598
365,2014-07-23,76.63,77.06,76.59,76.99,3994349,WMT,76.81725272674873
366,2014-07-24,76.68,76.79,76.19,76.35,7228303,WMT,76.64380186940262
367,2014-07-25,76.19,76.36,75.8,75.97,3948442,WMT,76.69485229670673
368,2014-07-28,75.43,75.93,75.36,75.71,5509938,WMT,76.16017654864915
369,2014-07-29,75.21,76.01,75.15,75.44,6293487,WMT,75.445114810146
370,2014-07-30,75.88,75.92,74.67,74.78,9985703,WMT,75.2474143758495
371,2014-07-31,73.99,74.25,73.54,73.58,9632692,WMT,75.8834621536483
372,2014-08-01,73.38,73.625,73.06,73.54,5402081,WMT,73.94007709474147
373,2014-08-04,73.38,73.625,73.06,73.54,5402181,WMT,73.57352821703893
374,2014-08-05,73.31,73.52,72.77,73.34,10580561,WMT,73.34313502448394
375,2014-08-06,73.19,74.29,73.18,74.2,7934785,WMT,73.23855121606827
376,2014-08-07,74.34,74.81,73.76,73.95,7053149,WMT,73.29779491056456
377,2014-08-08,74.06,74.73,73.85,74.67,4996347,WMT,74.41253696501032
378,2014-08-11,74.29,74.6,74.02,74.36,4721351,WMT,73.97348344021584
379,2014-08-12,74.31,74.44,74.01,74.22,3928584,WMT,74.37140518003035
380,2014-08-13,74.27,74.41,73.51,74.03,6579857,WMT,74.28874336663573
381,2014-08-14,73.89,74.43,73.61,74.39,6136444,WMT,74.19928177261471
382,2014-08-15,74.65,74.65,73.485,73.9,6942723,WMT,73.90666329712785
383,2014-08-18,74.15,74.68,74.05,74.49,4015717,WMT,74.66689082394144
384,2014-08-19,74.81,74.94,74.14,74.88,5047957,WMT,74.07797269793055
385,2014-08-20,74.83,75.05,74.51,74.96,4898266,WMT,74.88135216853577
386,2014-08-21,75.06,75.91,75.0,75.55,5260626,WMT,74.79953142375747
387,2014-08-22,75.78,76.2,75.64,75.73,4137761,WMT,75.03035276373485
388,2014-08-25,75.93,76.02,75.5063,75.69,3393630,WMT,75.81113837970486
389,2014-08-26,75.83,76.15,75.44,75.52,4222880,WMT,75.85455181780492
390,2014-08-27,75.51,75.86,75.44,75.85,3200426,WMT,75.85219807955463
391,2014-08-28,75.47,75.94,75.47,75.9,2928089,WMT,75.50126060857572
392,2014-08-29,75.75,75.88,75.29,75.5,5080513,WMT,75.43090766881824
393,2014-09-02,75.42,75.94,75.41,75.75,4532422,WMT,75.73086411265315
394,2014-09-03,75.95,76.33,75.88,76.01,4709373,WMT,75.40579824005104
395,2014-09-04,76.16,76.6,76.11,76.56,5282252,WMT,76.00920575384988
396,2014-09-05,76.52,77.73,76.48,77.51,7841819,WMT,76.1197959893742
397,2014-09-08,77.13,77.32,76.43,76.53,5946869,WMT,76.51596615268396
398,2014-09-09,76.56,77.0,76.17,76.74,5631979,WMT,77.15011682013872
399,2014-09-10,76.79,77.08,76.37,76.51,6697057,WMT,76.49892152052246
400,2014-09-11,76.35,76.44,76.09,76.1,4985299,WMT,76.83580378051741
401,2014-09-12,75.97,76.05,75.66,75.77,5693775,WMT,76.28108659783081
402,2014-09-15,75.78,75.89,75.61,75.81,3748478,WMT,75.96146490471622
403,2014-09-16,75.64,76.57,75.6,76.32,4109537,WMT,75.81715173075528
404,2014-09-17,76.36,76.47,76.01,76.24,4239265,WMT,75.61766679456419
405,2014-09-18,76.31,76.58,75.91,76.22,4751711,WMT,76.39923767266613
406,2014-09-19,76.45,77.07,76.38,76.84,13323532,WMT,76.29260307623949
407,2014-09-22,76.79,76.86,76.25,76.31,4450704,WMT,76.49963874023798
408,2014-09-23,76.0,76.225,75.57,75.6,6717115,WMT,76.78707430825078
409,2014-09-24,75.73,77.31,75.7,77.08,8434589,WMT,75.93360890635203
410,2014-09-25,76.93,77.05,76.12,76.12,4963485,WMT,75.78745592039934
411,2014-09-26,76.25,76.57,75.86,76.49,3752888,WMT,76.9027360492142
412,2014-09-29,76.06,76.25,75.65,76.08,4959285,WMT,76.15070560440121
413,2014-09-30,76.04,76.72,75.77,76.47,5640744,WMT,76.22047848384638
414,2014-10-01,76.51,76.86,75.91,76.12,6524863,WMT,76.02149097916408
415,2014-10-02,76.21,76.91,75.96,76.23,4929134,WMT,76.42408772738175
416,2014-10-03,76.57,77.48,76.53,77.32,5819678,WMT,76.23131304495958
417,2014-10-06,77.05,77.92,76.99,77.35,5429677,WMT,76.6239003095338
418,2014-10-07,77.03,77.695,76.72,77.3,7059857,WMT,77.01280759126686
419,2014-10-08,77.41,78.485,76.81,78.24,8107097,WMT,76.98678549389211
420,2014-10-09,78.11,78.83,77.66,77.86,7072744,WMT,77.4545665781286
421,2014-10-10,77.93,79.37,77.93,78.29,10078027,WMT,78.0595810731877
422,2014-10-13,78.03,78.585,77.45,77.56,8201401,WMT,77.87345299928553
423,2014-10-14,77.83,78.63,77.67,77.98,7901051,WMT,78.07606994964684
424,2014-10-15,77.58,77.69,74.36,75.2,21057683,WMT,77.78122950260071
425,2014-10-16,73.23,74.0694,72.61,73.82,14346643,WMT,77.54543162164792
426,2014-10-17,74.18,74.5,73.03,74.1,11472069,WMT,73.20937179695625
427,2014-10-20,74.14,75.22,73.92,75.14,7040685,WMT,74.36450298895603
428,2014-10-21,75.18,76.2,75.01,76.02,8299743,WMT,73.92128591557719
429,2014-10-22,76.47,76.66,76.01,76.03,5927620,WMT,75.20827429347955
430,2014-10-23,76.37,76.65,75.78,76.25,6367092,WMT,76.82752969575141
431,2014-10-24,76.13,76.5,75.5,76.38,4483654,WMT,76.25151185574805
432,2014-10-27,76.33,76.98,76.31,76.59,4107391,WMT,76.12646960036555
433,2014-10-28,76.63,76.8,76.0,76.35,4979984,WMT,76.19395619837515
434,2014-10-29,76.55,76.64,75.97,76.39,5763263,WMT,76.50123811158463
435,2014-10-30,76.17,76.6,75.98,76.45,4872414,WMT,76.55849635363931
436,2014-10-31,76.89,77.4,76.01,76.27,7570734,WMT,76.19912316950827
437,2014-11-03,76.35,76.38,75.59,76.28,6887875,WMT,76.86776503559517
438,2014-11-04,76.49,77.37,76.28,77.26,6904853,WMT,76.29492499825488
439,2014-11-05,77.87,78.23,77.3,77.7,5673772,WMT,76.54529993138833
440,2014-11-06,78.15,78.18,77.17,77.81,4621864,WMT,77.83557218827768
441,2014-11-07,77.84,79.08,77.61,78.77,9498782,WMT,78.03793969877259
442,2014-11-10,78.6,80.13,78.42,79.44,12640479,WMT,77.90945778731586
443,2014-11-11,79.4,79.42,78.85,79.01,5602406,WMT,78.55304558448242
444,2014-11-12,78.83,79.44,78.65,79.2,6791218,WMT,79.20946852776723
445,2014-11-13,80.96,83.06,80.86,82.94,22812356,WMT,78.80369285321909
446,2014-11-14,82.58,83.15,82.1,82.96,10636644,WMT,80.980413359825
447,2014-11-17,82.58,83.72,82.53,83.57,7993427,WMT,82.36463989328945
448,2014-11-18,83.5,83.92,83.34,83.79,6096432,WMT,82.55509440667062
449,2014-11-19,83.96,85.64,83.92,84.99,12189846,WMT,83.59526137846414
450,2014-11-20,84.81,85.29,84.04,84.58,7812733,WMT,83.70600812885019
451,2014-11-21,85.34,85.44,84.58,84.65,6649630,WMT,84.73787115132104
452,2014-11-24,84.85,85.61,84.77,85.4,7995454,WMT,85.34122742803858
453,2014-11-25,85.5,85.51,84.39,84.95,6675451,WMT,84.81526560580019
454,2014-11-26,84.9,85.111,84.48,84.98,3943821,WMT,85.51345082657602
455,2014-11-28,86.18,88.09,85.9,87.54,7820627,WMT,84.78053839728129
456,2014-12-01,86.72,87.07,85.7499,86.22,9140937,WMT,86.20560905997971
457,2014-12-02,86.27,86.7,85.93,86.4,6766310,WMT,86.67292436174482
458,2014-12-03,85.95,86.0,84.68,84.94,6374338,WMT,86.31024225049214
459,2014-12-04,84.13,84.82,83.65,84.76,6922353,WMT,86.0175001115896
460,2014-12-05,84.81,84.82,83.51,84.12,6570121,WMT,84.01467038835871
461,2014-12-08,84.15,84.67,83.85,84.23,6265990,WMT,84.8208200227846
462,2014-12-09,83.65,84.21,82.65,83.56,6633610,WMT,84.06258132151004
463,2014-12-10,83.93,84.31,82.9,82.98,6973600,WMT,83.76091269866174
464,2014-12-11,83.2,84.495,83.16,83.83,8032841,WMT,83.97673144049581
465,2014-12-12,83.52,85.0,83.52,83.81,7284128,WMT,83.15004928911378
466,2014-12-15,84.26,84.7,83.05,83.94,6317736,WMT,83.5920453619299
467,2014-12-16,83.62,84.76,82.94,82.96,7437440,WMT,84.21681842530288
468,2014-12-17,83.28,84.26,82.95,84.23,6641024,WMT,83.63703305652795
469,2014-12-18,84.8,85.95,84.28,85.94,8645929,WMT,83.370524130505
470,2014-12-19,86.26,86.34,85.16,85.16,12068826,WMT,84.71805794589616
471,2014-12-22,85.32,86.4,85.29,86.38,4575752,WMT,86.17408628108457
472,2014-12-23,86.69,87.08,86.36,86.66,5552646,WMT,85.40992602689641
473,2014-12-24,86.97,87.065,86.39,86.43,2491789,WMT,86.81142196488052
474,2014-12-26,86.18,87.14,86.01,86.91,3249266,WMT,86.74748126681801
475,2014-12-29,86.46,87.07,86.4,86.64,3605617,WMT,86.22601483990398
476,2014-12-30,86.52,87.13,86.48,86.79,3265377,WMT,86.52861403139649
477,2014-12-31,87.08,87.44,85.86,85.88,4151386,WMT,86.36144646904803
478,2015-01-02,86.27,86.72,85.545,85.9,4501838,WMT,87.09904277762163
479,2015-01-05,85.72,86.32,85.51,85.65,6978986,WMT,86.30199859672882
480,2015-01-06,85.98,86.75,85.79,86.31,8205145,WMT,85.78144108863398
481,2015-01-07,86.78,88.68,86.67,88.6,8498428,WMT,85.91749556583146
482,2015-01-08,89.21,90.665,89.07,90.47,12713559,WMT,86.70756855019478
483,2015-01-09,90.32,90.39,89.25,89.35,8522505,WMT,89.25693783798908
484,2015-01-12,89.36,90.31,89.22,90.02,7372534,WMT,90.34060508544351
485,2015-01-13,90.8,90.97,88.93,89.31,8215406,WMT,89.43523569463309
486,2015-01-14,87.65,88.52,86.5,86.61,11954333,WMT,90.83598398116534
487,2015-01-15,87.0,87.78,86.7,87.38,9412733,WMT,87.40034264116808
488,2015-01-16,87.2,87.46,86.23,86.77,8408926,WMT,87.16923558043248
489,2015-01-20,86.82,87.7,85.552,86.69,7853065,WMT,86.96272712317058
490,2015-01-21,86.1,86.91,85.71,86.64,8174202,WMT,86.88878126148224
491,2015-01-22,87.23,88.395,86.86,88.3,7123834,WMT,86.36816006392314
492,2015-01-23,88.42,89.26,87.89,88.51,7565786,WMT,87.24332420954578
493,2015-01-26,88.31,89.16,88.12,88.63,4666660,WMT,88.33488053428312
494,2015-01-27,88.28,88.46,87.26,87.53,6020450,WMT,88.42990967142943
495,2015-01-28,88.02,88.23,86.77,86.82,5936775,WMT,88.36333452951287
496,2015-01-29,87.07,87.72,86.27,87.72,6522794,WMT,87.85936931458895
497,2015-01-30,86.78,87.36,84.9,84.98,10280220,WMT,86.98921126918674
498,2015-02-02,84.79,85.87,83.93,85.71,6927168,WMT,86.80001870124363
499,2015-02-03,85.83,86.525,85.66,86.19,8283477,WMT,84.75021692467858
500,2015-02-04,86.11,87.035,86.0,86.65,8932258,WMT,85.91724167447619
501,2015-02-05,87.11,87.36,86.56,87.28,5090777,WMT,86.04869641591483
502,2015-02-06,87.26,88.0,86.78,87.33,5617641,WMT,87.30627731300508
503,2015-02-09,86.97,87.19,85.64,85.91,5456247,WMT,87.36937560656203
504,2015-02-10,86.62,87.41,86.42,87.29,5732061,WMT,86.92082173144301
505,2015-02-11,86.63,87.12,85.92,86.34,5853068,WMT,86.54844738401735
506,2015-02-12,86.56,86.68,85.23,85.89,6941569,WMT,86.524195521988
507,2015-02-13,85.84,86.16,85.32,85.81,5597012,WMT,86.54664856590733
508,2015-02-17,85.43,85.97,84.97,85.96,5087189,WMT,85.89644144571409
509,2015-02-18,85.98,86.3,85.52,86.29,6032699,WMT,85.47255956632026
510,2015-02-19,84.5,84.8,83.39,83.52,18646754,WMT,85.94572645616996
511,2015-02-20,82.73,84.38,82.55,84.3,13840389,WMT,84.53488670267757
512,2015-02-23,84.39,84.86,84.23,84.6,6730435,WMT,82.88593280199424
513,2015-02-24,84.52,84.82,83.92,84.57,5197741,WMT,84.32760151282115
514,2015-02-25,84.63,84.716,83.52,83.57,6808428,WMT,84.38541284927486
515,2015-02-26,83.85,83.86,83.27,83.8,5888139,WMT,84.97211849694419
516,2015-02-27,83.72,84.16,83.4,83.93,5877422,WMT,83.9235951317322
517,2015-03-02,83.89,84.0,83.2,83.96,6061495,WMT,83.61026008186192
518,2015-03-03,83.66,83.82,83.17,83.37,6460768,WMT,83.83122265805828
519,2015-03-04,83.21,83.21,82.2,82.58,6214421,WMT,83.68277073864671
520,2015-03-05,83.15,83.87,82.96,83.57,5997522,WMT,83.3016218392715
