,date,open,high,low,close,volume,Name,outcome
252,2014-02-10,90.45,90.53,89.36,89.52,12241464,XOM,90.05532086166129
253,2014-02-11,89.56,91.0,89.4,90.84,13426576,XOM,90.40344787926786
254,2014-02-12,91.01,91.86,90.64,91.08,10753088,XOM,89.5815254617142
255,2014-02-13,90.59,91.65,90.4,91.43,9776453,XOM,90.9701207616648
256,2014-02-14,91.78,94.4301,91.6,94.11,18335517,XOM,90.63019149480526
257,2014-02-18,94.07,94.72,93.36,94.07,12981890,XOM,91.85709749908541
258,2014-02-19,93.8,95.29,93.8,93.95,12228854,XOM,94.08364928814723
259,2014-02-20,93.85,95.77,93.75,95.37,14425193,XOM,94.09532675576615
260,2014-02-21,95.48,95.58,94.94,95.03,11286050,XOM,93.94682248576315
261,2014-02-24,95.61,97.25,95.41,96.44,16034244,XOM,95.5143551872146
262,2014-02-25,96.54,96.97,95.96,96.31,10664330,XOM,95.80394268462607
263,2014-02-26,96.56,96.86,95.53,95.79,9088471,XOM,96.70734722289777
264,2014-02-27,95.58,96.05,95.16,95.84,9101165,XOM,96.60180761438296
265,2014-02-28,95.96,96.833,95.78,96.27,12652612,XOM,95.73924743885374
266,2014-03-03,95.76,96.54,94.8299,95.5,11897226,XOM,95.90856045655721
267,2014-03-04,96.59,96.86,95.87,96.52,12566341,XOM,95.7379918001464
268,2014-03-05,95.2,95.29,93.395,93.8,19836928,XOM,96.65763866202266
269,2014-03-06,93.67,93.94,93.27,93.76,12612051,XOM,95.13924932190402
270,2014-03-07,94.37,95.06,93.99,94.99,12660051,XOM,93.67737792989392
271,2014-03-10,95.15,95.55,94.66,95.5,9967356,XOM,94.17000468850213
272,2014-03-11,95.36,95.59,93.52,94.01,12144602,XOM,95.14837209159172
273,2014-03-12,93.64,94.47,93.55,94.21,9705872,XOM,95.3536362143775
274,2014-03-13,94.44,94.57,93.33,93.64,9872689,XOM,93.51213082835147
275,2014-03-14,93.58,94.22,93.29,93.47,11731826,XOM,94.5003456131616
276,2014-03-17,93.95,94.53,93.75,94.32,8676159,XOM,93.53553524706281
277,2014-03-18,94.41,95.25,94.07,94.71,8757308,XOM,93.99427611243763
278,2014-03-19,94.65,95.3,93.13,93.73,9914653,XOM,94.21092853485764
279,2014-03-20,93.44,94.74,93.01,94.58,10405003,XOM,94.75585976794979
280,2014-03-21,95.1,95.99,94.31,94.31,24482606,XOM,93.41110779135379
281,2014-03-24,94.76,95.1,94.48,94.64,9539768,XOM,95.09512777470967
282,2014-03-25,95.1,95.82,94.8,94.91,9799558,XOM,94.76295801527985
283,2014-03-26,95.56,95.58,94.41,94.7,11033634,XOM,95.19912801127074
284,2014-03-27,94.61,96.5,94.06,96.24,15427492,XOM,95.4772574661009
285,2014-03-28,96.47,97.97,96.47,97.7,12321804,XOM,94.78461466585928
286,2014-03-31,98.49,98.85,97.32,97.68,12375215,XOM,96.39347557890292
287,2014-04-01,97.65,97.93,97.28,97.73,9476393,XOM,98.48258195144892
288,2014-04-02,97.53,98.06,97.18,97.95,9550006,XOM,97.89402176046755
289,2014-04-03,97.83,98.54,97.56,97.93,10119284,XOM,97.61539599955087
290,2014-04-04,98.3,98.71,97.28,97.36,12496720,XOM,97.91553773188902
291,2014-04-07,97.25,97.53,96.751,96.78,10126378,XOM,98.456222746766
292,2014-04-08,97.01,97.88,96.75,97.45,10251416,XOM,97.23169426539964
293,2014-04-09,97.75,97.79,96.629,97.33,10464949,XOM,97.04091610010116
294,2014-04-10,96.98,97.78,96.235,96.78,13449913,XOM,97.67699456440674
295,2014-04-11,96.51,97.4399,96.28,96.72,13353028,XOM,96.99278430864535
296,2014-04-14,97.49,98.055,96.74,97.86,9610713,XOM,96.50437976037924
297,2014-04-15,97.58,98.7,97.07,98.68,12961766,XOM,97.39539242507736
298,2014-04-16,99.05,100.1,98.97,99.94,12508091,XOM,97.56665111840874
299,2014-04-17,99.69,100.97,99.69,100.42,15439810,XOM,99.05817127943463
300,2014-04-21,100.03,100.93,99.89,100.93,8003529,XOM,99.67830675920723
301,2014-04-22,100.53,100.86,100.22,100.37,8212620,XOM,100.24006409092114
302,2014-04-23,100.59,100.95,100.33,100.5,8691639,XOM,100.61354436287684
303,2014-04-24,100.48,100.6,99.86,100.01,9057792,XOM,100.73508192376464
304,2014-04-25,99.99,100.57,99.93,100.41,10396471,XOM,100.57573745060768
305,2014-04-28,100.72,101.462,100.31,101.17,12710821,XOM,100.02419742099352
306,2014-04-29,101.57,102.57,101.2301,101.45,10094588,XOM,100.73102303388951
307,2014-04-30,101.13,102.41,100.71,102.41,13972286,XOM,101.52592427898878
308,2014-05-01,101.96,102.39,101.2,101.41,11161697,XOM,101.19583178720981
309,2014-05-02,101.28,102.91,100.98,102.01,11169957,XOM,102.00567049939477
310,2014-05-05,101.69,103.13,101.58,102.91,7614576,XOM,101.3111610214556
311,2014-05-06,102.6,103.3,102.41,102.67,9669834,XOM,101.81126272613061
312,2014-05-07,103.12,103.45,102.79,103.11,11007353,XOM,102.49682818440489
313,2014-05-08,103.09,103.29,102.1701,102.32,8924353,XOM,103.2188490127332
314,2014-05-09,101.71,102.18,101.26,101.95,8948779,XOM,103.13731937663825
315,2014-05-12,102.33,102.35,101.525,102.23,8830502,XOM,101.80677182431455
316,2014-05-13,102.18,102.71,101.94,102.36,7529135,XOM,102.38895372397297
317,2014-05-14,102.36,102.68,102.11,102.29,6999163,XOM,102.10209592136144
318,2014-05-15,102.0,102.42,100.33,100.78,13658740,XOM,102.39740838923713
319,2014-05-16,100.59,101.0,100.32,100.74,10369477,XOM,101.89141994054576
320,2014-05-19,100.42,101.11,100.42,100.87,5851383,XOM,100.6758893678883
321,2014-05-20,100.69,101.08,100.45,100.67,6140744,XOM,100.36949138739209
322,2014-05-21,100.85,102.22,100.72,102.03,7748049,XOM,100.57698433494974
323,2014-05-22,101.81,101.97,101.47,101.5,5304614,XOM,100.79376598685008
324,2014-05-23,101.55,101.93,101.2663,101.32,5411273,XOM,101.70350582469061
325,2014-05-27,101.61,101.9,100.93,101.36,8359739,XOM,101.55546363692177
326,2014-05-28,101.23,102.07,101.05,101.06,7587010,XOM,101.71194020283038
327,2014-05-29,101.54,101.65,101.02,101.27,6113654,XOM,101.22530428191432
328,2014-05-30,100.8,101.15,100.37,100.53,11488959,XOM,101.62278448115146
329,2014-06-02,100.53,100.88,99.67,99.94,7762537,XOM,100.75935839045569
330,2014-06-03,99.59,100.69,99.59,100.39,9384234,XOM,100.55706224226658
331,2014-06-04,100.21,100.455,99.96,100.04,7154661,XOM,99.5068503212302
332,2014-06-05,100.1,100.83,99.96,100.55,12296438,XOM,100.19285103651589
333,2014-06-06,100.61,101.63,100.6,101.6,9342474,XOM,99.97474231952367
334,2014-06-09,101.45,101.96,101.19,101.52,6404983,XOM,100.62253956974062
335,2014-06-10,101.48,101.73,101.0,101.46,7917532,XOM,101.36587342344251
336,2014-06-11,101.19,102.33,101.0,101.95,10270318,XOM,101.57736394587737
337,2014-06-12,102.46,102.945,101.57,101.66,11421250,XOM,101.24872869407614
338,2014-06-13,101.93,102.6551,101.63,102.65,8241548,XOM,102.48299581787487
339,2014-06-16,102.57,103.25,102.17,102.92,8977642,XOM,101.99316036916989
340,2014-06-17,102.58,102.59,101.45,102.42,9355388,XOM,102.65302466588767
341,2014-06-18,102.57,102.95,102.06,102.73,9575877,XOM,102.52860238475199
342,2014-06-19,102.61,102.84,101.68,102.63,11107691,XOM,102.71563789710845
343,2014-06-20,103.28,104.06,102.94,103.83,17681113,XOM,102.5718312324461
344,2014-06-23,104.11,104.61,103.88,104.38,8553670,XOM,103.31378501857213
345,2014-06-24,104.18,104.47,102.47,102.73,9708408,XOM,104.11207701627438
346,2014-06-25,102.34,102.62,101.53,102.14,10716273,XOM,104.24570624235206
347,2014-06-26,101.94,102.38,100.85,102.03,8424551,XOM,102.4363253731918
348,2014-06-27,101.67,101.79,100.66,101.21,15149918,XOM,101.9858486641037
349,2014-06-30,101.21,101.27,100.52,100.68,9536536,XOM,101.60113172450312
350,2014-07-01,101.15,101.59,100.79,101.36,8404213,XOM,101.18618616298646
351,2014-07-02,101.15,101.64,101.04,101.57,6954442,XOM,100.9905523156735
352,2014-07-03,101.95,103.27,101.68,102.59,6922616,XOM,101.08675328802313
353,2014-07-07,102.33,102.65,102.02,102.65,7980994,XOM,101.9194237591689
354,2014-07-08,102.33,103.23,102.17,102.83,9615023,XOM,102.30533586415719
355,2014-07-09,102.96,103.69,102.81,103.55,7659029,XOM,102.38787108941004
356,2014-07-10,102.88,103.07,102.04,102.57,8533731,XOM,102.98131441924049
