,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,60.74,61.0,60.42,60.84,4324649,ABBV,61.153954
1009,2017-02-10,60.85,61.0,60.27,60.42,5749160,ABBV,61.441906
1010,2017-02-13,60.58,60.859,60.4344,60.51,6396046,ABBV,61.051228
1011,2017-02-14,60.44,60.98,60.15,60.82,13562193,ABBV,61.15279
1012,2017-02-15,60.92,61.84,60.4,61.65,8927630,ABBV,61.419495
1013,2017-02-16,61.67,61.91,60.81,61.48,5662016,ABBV,62.151398
1014,2017-02-17,61.54,62.08,61.17,61.77,8124442,ABBV,61.96037
1015,2017-02-21,61.84,62.11,61.5,61.83,8503519,ABBV,62.23452
1016,2017-02-22,61.72,61.95,61.3,61.36,6422208,ABBV,62.267914
1017,2017-02-23,61.68,62.2353,61.45,61.94,8057672,ABBV,61.847553
1018,2017-02-24,61.92,62.23,61.49,62.09,6536399,ABBV,62.396996
1019,2017-02-27,62.02,62.37,61.68,62.22,5214091,ABBV,62.50685
1020,2017-02-28,62.11,62.4,61.69,61.84,6756122,ABBV,62.633015
1021,2017-03-01,62.16,62.93,61.95,62.83,7737382,ABBV,62.292156
1022,2017-03-02,62.78,63.599,62.6,63.25,8190430,ABBV,63.21008
1023,2017-03-03,63.11,63.53,62.83,63.34,6125782,ABBV,63.53892
1024,2017-03-06,63.0,63.85,62.88,63.55,6837019,ABBV,63.61369
1025,2017-03-07,63.14,64.14,62.97,63.69,9638038,ABBV,63.803745
1026,2017-03-08,63.75,64.675,63.5,64.14,7049660,ABBV,63.921772
1027,2017-03-09,64.14,64.72,64.05,64.5,6957213,ABBV,64.3301
1028,2017-03-10,65.3,66.45,65.11,65.88,12788109,ABBV,64.640915
1029,2017-03-13,65.87,65.94,65.3,65.85,7577385,ABBV,65.89029
1030,2017-03-14,65.88,66.05,65.6,65.67,3728039,ABBV,65.78623
1031,2017-03-15,65.7,66.79,65.68,66.55,5241216,ABBV,65.64687
1032,2017-03-16,66.4,66.45,65.55,65.9,5162786,ABBV,66.465675
1033,2017-03-17,66.04,66.09,65.5,65.69,11288046,ABBV,65.825264
1034,2017-03-20,65.78,66.01,65.56,65.8,4252114,ABBV,65.70605
1035,2017-03-21,65.96,66.0,65.04,65.35,5187438,ABBV,65.829895
1036,2017-03-22,65.38,65.73,65.1,65.52,5662572,ABBV,65.433105
1037,2017-03-23,65.52,66.065,65.36,65.65,4099497,ABBV,65.636856
1038,2017-03-24,65.51,66.115,65.32,65.62,4056311,ABBV,65.75245
1039,2017-03-27,65.37,66.275,65.24,66.1,4962319,ABBV,65.727554
1040,2017-03-28,65.96,66.21,65.6364,65.98,5067383,ABBV,66.1701
1041,2017-03-29,65.95,66.27,65.68,65.77,3649941,ABBV,66.02628
1042,2017-03-30,65.76,65.82,65.25,65.46,3749633,ABBV,65.844864
1043,2017-03-31,65.46,65.52,65.15,65.16,4057839,ABBV,65.57101
1044,2017-04-03,65.24,65.59,64.88,65.03,5229561,ABBV,65.31615
1045,2017-04-04,65.12,65.295,64.83,65.11,3457881,ABBV,65.21724
1046,2017-04-05,65.23,65.76,64.86,64.96,4396317,ABBV,65.29974
1047,2017-04-06,65.03,65.195,64.65,65.08,4628438,ABBV,65.16046
1048,2017-04-07,65.06,65.93,64.83,65.54,6089261,ABBV,65.27937
1049,2017-04-10,65.5,65.7757,64.91,64.97,7136184,ABBV,65.68439
1050,2017-04-11,64.43,64.43,63.32,64.18,5404537,ABBV,65.13242
1051,2017-04-12,64.17,64.41,63.67,64.37,6121973,ABBV,64.45055
1052,2017-04-13,64.24,64.725,64.085,64.13,3896680,ABBV,64.65788
1053,2017-04-17,64.79,64.9701,64.06,64.31,4189518,ABBV,64.4213
1054,2017-04-18,64.03,64.0799,63.1153,63.65,4755959,ABBV,64.60375
1055,2017-04-19,63.9,63.93,63.31,63.45,4057127,ABBV,63.991177
1056,2017-04-20,63.72,64.0,63.29,63.78,5708615,ABBV,63.846405
1057,2017-04-21,63.76,64.29,63.547,63.82,4154869,ABBV,64.14255
1058,2017-04-24,64.4,65.16,64.26,64.66,7120988,ABBV,64.1532
1059,2017-04-25,64.94,65.63,64.82,65.1,5352864,ABBV,64.909424
1060,2017-04-26,65.19,65.92,65.02,65.04,5008927,ABBV,65.24825
1061,2017-04-27,65.45,67.5,65.12,66.07,11692878,ABBV,65.16373
1062,2017-04-28,66.06,66.32,65.441,65.94,5521146,ABBV,66.09775
1063,2017-05-01,66.0,66.665,65.94,66.48,4575844,ABBV,65.90376
1064,2017-05-02,66.51,66.68,66.18,66.63,4342819,ABBV,66.416466
1065,2017-05-03,66.45,66.88,66.21,66.74,4993409,ABBV,66.51725
1066,2017-05-04,66.74,67.4,66.62,67.23,4287407,ABBV,66.622986
1067,2017-05-05,67.19,67.22,66.3246,66.99,4587787,ABBV,67.07597
1068,2017-05-08,66.94,66.95,66.14,66.21,4497397,ABBV,66.837074
1069,2017-05-09,66.2,66.95,65.86,66.17,4395161,ABBV,66.16307
1070,2017-05-10,66.16,66.23,65.36,65.98,5140246,ABBV,66.19115
1071,2017-05-11,65.9,65.96,64.655,65.3,7853758,ABBV,66.029335
1072,2017-05-12,65.27,66.19,65.21,66.06,6093484,ABBV,65.44116
1073,2017-05-15,66.07,66.85,65.95,66.67,8527854,ABBV,66.186264
1074,2017-05-16,66.73,66.92,66.33,66.85,6313452,ABBV,66.69113
1075,2017-05-17,64.98,66.34,64.61,65.37,12771373,ABBV,66.821686
1076,2017-05-18,65.37,66.1,65.2,65.63,6000963,ABBV,65.45784
1077,2017-05-19,65.74,66.01,65.31,65.58,6731832,ABBV,65.78247
1078,2017-05-22,65.55,65.619,64.8,65.44,5541712,ABBV,65.699844
1079,2017-05-23,65.44,66.26,65.43,65.84,4676497,ABBV,65.58504
1080,2017-05-24,65.79,66.12,65.57,65.93,3232250,ABBV,65.959526
1081,2017-05-25,66.06,66.57,65.8,66.32,4058348,ABBV,66.01251
1082,2017-05-26,66.14,66.41,65.851,66.06,4083006,ABBV,66.36205
1083,2017-05-30,65.89,66.2,65.81,66.02,4803867,ABBV,66.09175
1084,2017-05-31,66.24,66.41,65.61,66.02,6935838,ABBV,66.07035
1085,2017-06-01,66.255,66.725,66.12,66.71,4554745,ABBV,66.06547
1086,2017-06-02,66.809,67.31,66.62,67.25,5645994,ABBV,66.69535
1087,2017-06-05,67.25,67.86,66.88,67.51,4918062,ABBV,67.14382
1088,2017-06-06,67.48,68.095,67.37,67.87,5494466,ABBV,67.3518
1089,2017-06-07,68.01,69.32,68.01,68.75,8406339,ABBV,67.665436
1090,2017-06-08,68.67,69.05,68.335,68.76,6082516,ABBV,68.44639
1091,2017-06-09,68.8,69.83,68.7201,69.67,6159800,ABBV,68.39313
1092,2017-06-12,69.79,69.9,68.89,69.53,6084294,ABBV,69.242355
1093,2017-06-13,69.62,70.03,69.42,69.67,5269007,ABBV,69.04534
1094,2017-06-14,69.48,70.79,69.37,70.52,6639136,ABBV,69.20641
1095,2017-06-15,70.341,70.65,69.88,70.6,4682694,ABBV,69.98675
1096,2017-06-16,70.8,71.12,70.49,71.05,9342262,ABBV,70.00727
1097,2017-06-19,71.11,71.59,70.94,71.34,6396250,ABBV,70.440445
1098,2017-06-20,71.44,71.81,71.16,71.22,6542849,ABBV,70.68087
1099,2017-06-21,71.11,71.7,71.05,71.34,6096825,ABBV,70.56238
1100,2017-06-22,71.49,73.67,71.41,73.18,9998906,ABBV,70.69839
1101,2017-06-23,73.2,73.49,72.26,72.64,7064455,ABBV,72.40056
1102,2017-06-26,72.79,72.945,72.41,72.74,4019452,ABBV,71.74347
1103,2017-06-27,72.7,73.06,72.25,72.39,4490570,ABBV,71.91673
1104,2017-06-28,72.72,73.54,72.58,72.92,4196191,ABBV,71.5776
1105,2017-06-29,73.15,73.17,71.91,72.48,4444714,ABBV,72.11336
1106,2017-06-30,72.57,72.82,72.21,72.51,4729149,ABBV,71.6684
1107,2017-07-03,72.76,72.99,72.37,72.42,2570706,ABBV,71.759995
1108,2017-07-05,72.48,72.74,71.99,72.48,4751870,ABBV,71.68033
1109,2017-07-06,72.24,72.45,71.41,71.73,4372054,ABBV,71.75643
1110,2017-07-07,72.11,72.11,71.63,72.03,4333674,ABBV,71.06573
1111,2017-07-10,71.8,72.225,71.5789,71.83,3158342,ABBV,71.41645
1112,2017-07-11,71.89,72.17,71.33,71.84,3535144,ABBV,71.19972
1113,2017-07-12,71.51,72.13,71.3,71.88,4860230,ABBV,71.234764
1114,2017-07-13,71.94,72.895,71.67,72.63,5189786,ABBV,71.26634
1115,2017-07-14,72.62,73.23,72.51,73.11,4335669,ABBV,71.95237
1116,2017-07-17,73.1,73.47,72.69,72.7,3461573,ABBV,72.32124
